NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,15900.0,15900.0,0.0,0.0,15900.0,15900.0,15900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,15900.0,14900.0,1000.0,0.06711409,14900.0,15900.0,13900.0,3084.0,46151700.0,120000.0,1800000000.0,123084.0,1846151700.0,2382.0,-2382.0,0.0,0.0,35391799.0,-35391800.0,0.0,0.0
27/08/2026,14900.0,15950.0,-1050.0,-0.06583072,14900.0,14900.0,14900.0,2029.0,30231550.0,0.0,0.0,2029.0,30231550.0,-11.0,11.0,0.0,0.0,-163350.0,163350.0,0.0,0.0
26/08/2026,15950.0,15950.0,0.0,0.0,15950.0,15950.0,15950.0,39.0,589050.0,0.0,0.0,39.0,589050.0,-1.0,1.0,0.0,0.0,-14851.0,14850.0,0.0,0.0
25/08/2026,15950.0,14950.0,1000.0,0.06688963,15950.0,15950.0,15950.0,524.0,8357800.0,0.0,0.0,524.0,8357800.0,-10.0,10.0,0.0,0.0,-159500.0,159500.0,0.0,0.0
24/08/2026,14950.0,14000.0,950.0,0.06785714,14950.0,14950.0,14950.0,4126.0,61598800.0,0.0,0.0,4126.0,61598800.0,88.0,-88.0,0.0,0.0,1315700.0,-1315700.0,0.0,0.0
21/08/2026,14000.0,14200.0,-200.0,-0.01408451,14000.0,14000.0,14000.0,9401.0,131614200.0,0.0,0.0,9401.0,131614200.0,4500.0,-4500.0,0.0,0.0,63000000.0,-63000000.0,0.0,0.0
20/08/2026,14200.0,14800.0,-600.0,-0.04054054,15500.0,15500.0,14200.0,10500.0,158850000.0,0.0,0.0,10500.0,158850000.0,5600.0,-5600.0,0.0,0.0,86800000.0,-86800000.0,0.0,0.0
19/08/2026,14800.0,15800.0,-1000.0,-0.06329114,15000.0,16900.0,14800.0,14686.0,233843100.0,0.0,0.0,14686.0,233843100.0,1112.0,-1112.0,0.0,0.0,16274400.0,-16274400.0,0.0,0.0
18/08/2026,15800.0,14900.0,900.0,0.06040268,15500.0,15800.0,15500.0,43694.0,677502300.0,0.0,0.0,43694.0,677502300.0,30000.0,-30000.0,0.0,0.0,465000000.0,-465000000.0,0.0,0.0
17/08/2026,14900.0,15850.0,-950.0,-0.05993691,15850.0,16950.0,14900.0,8978.0,150714050.0,0.0,0.0,8978.0,150714050.0,4253.0,-4253.0,0.0,0.0,72140001.0,-72140000.0,0.0,0.0
