NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,48800.0,49950.0,-1150.0,-0.02302302,49950.0,50000.0,48000.0,3240173.0,158912193350.0,4493800.0,233677600000.0,7733973.0,392589793350.0,158945.0,0.0,-141100.0,-17845.0,7813025750.0,0.0,-6857620000.0,-955405750.0
28/08/2026,49950.0,49400.0,550.0,0.0111336,49700.0,50500.0,49350.0,3036348.0,151348941000.0,0.0,0.0,3036348.0,151348941000.0,-91055.0,-321945.0,-430800.0,413000.0,-4519318150.0,-15961406850.0,-21367745000.0,20480725000.0
27/08/2026,49400.0,49600.0,-200.0,-0.00403226,49300.0,49800.0,49100.0,1849727.0,91290498400.0,2545000.0,127250000000.0,4394727.0,218540498400.0,410011.0,-156611.0,-508400.0,-253400.0,20219622850.0,-7715277850.0,-25080660000.0,-12504345000.0
26/08/2026,49600.0,49800.0,-200.0,-0.00401606,50000.0,50200.0,48700.0,4109104.0,203135987200.0,0.0,0.0,4109104.0,203135987200.0,-776450.0,636993.0,281100.0,139457.0,-38334618650.0,31375475750.0,13950665000.0,6959142900.0
25/08/2026,49800.0,49100.0,700.0,0.01425662,49150.0,50600.0,49100.0,3216644.0,161033898000.0,4625000.0,230000000000.0,7841644.0,391033898000.0,-87998.0,48241.0,-158300.0,39757.0,-4512938700.0,2473243000.0,-7867060000.0,2039695700.0
24/08/2026,49100.0,50000.0,-900.0,-0.018,51000.0,51000.0,48500.0,3946154.0,195535818200.0,846000.0,43992000000.0,4792154.0,239527818200.0,-84528.0,595166.0,-169700.0,-510638.0,-4087055800.0,29447452800.0,-8400180000.0,-25360397000.0
21/08/2026,50000.0,50000.0,0.0,0.0,49800.0,50500.0,48500.0,3875131.0,192783369850.0,0.0,0.0,3875131.0,192783369850.0,-666300.0,787800.0,300300.0,-121500.0,-33074639100.0,39172869100.0,15004115000.0,-6098230000.0
20/08/2026,50000.0,50700.0,-700.0,-0.01380671,51000.0,51300.0,49650.0,2731419.0,137552579800.0,0.0,0.0,2731419.0,137552579800.0,-626808.0,855389.0,594500.0,-228581.0,-31541270700.0,43086523100.0,30134070000.0,-11545252400.0
19/08/2026,50700.0,50000.0,700.0,0.014,50300.0,51300.0,50000.0,1258934.0,63838383700.0,0.0,0.0,1258934.0,63838383700.0,-259767.0,41500.0,277300.0,218267.0,-13214917600.0,2175780600.0,14102160000.0,11039137000.0
18/08/2026,50000.0,50900.0,-900.0,-0.01768173,51100.0,51500.0,50000.0,3180841.0,160906352600.0,0.0,0.0,3180841.0,160906352600.0,319481.0,-5081.0,-296200.0,-314400.0,16092301699.0,131218300.0,-15030110000.0,-16223520000.0
