NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,20550.0,20600.0,-50.0,-0.00242718,20600.0,20850.0,20550.0,8895914.0,183564079700.0,0.0,0.0,8895914.0,183564079700.0,0.0,106200.0,106200.0,-1073345.0,0.0,2243145000.0,2243145000.0,-22133904400.0
03/09/2026,20600.0,21050.0,-450.0,-0.02137767,21000.0,21000.0,20600.0,11730350.0,243265539500.0,0.0,0.0,11730350.0,243265539500.0,4260254.0,0.0,-1136400.0,-3123854.0,88166754000.0,0.0,-23485805000.0,-64680949000.0
28/08/2026,21050.0,21050.0,0.0,0.0,21050.0,21050.0,20850.0,8710543.0,182876563850.0,0.0,0.0,8710543.0,182876563850.0,-1177775.0,-326525.0,-819492.0,1504300.0,-24830098601.0,-6821821400.0,-17172137000.0,31651920000.0
27/08/2026,21050.0,21050.0,0.0,0.0,21050.0,21200.0,20850.0,7640733.0,160425426450.0,1200000.0,25195200000.0,8840733.0,185620626450.0,-1395189.0,313989.0,-470899.0,1081200.0,-29279849300.0,6549489300.0,-9879414000.0,22730360000.0
26/08/2026,21050.0,20650.0,400.0,0.01937046,20650.0,21200.0,20500.0,18786041.0,392028141600.0,0.0,0.0,18786041.0,392028141600.0,383158.0,1064992.0,1302400.0,-1448150.0,7517368200.0,22349121800.0,27370465000.0,-29866490000.0
25/08/2026,20650.0,20750.0,-100.0,-0.00481928,20750.0,20950.0,20650.0,10254173.0,213233893950.0,443000.0,9205540000.0,10697173.0,222439433950.0,-316677.0,512101.0,-535200.0,-195424.0,-6651787150.0,10694134950.0,-11068310000.0,-4042347800.0
24/08/2026,20750.0,20850.0,-100.0,-0.00479616,21050.0,21200.0,20750.0,11136860.0,232945481550.0,28000.0,624400000.0,11164860.0,233569881550.0,-699071.0,1114396.0,275618.0,-415325.0,-14716305700.0,23414233650.0,5941640000.0,-8697927950.0
21/08/2026,20850.0,20300.0,550.0,0.0270936,20300.0,20850.0,20100.0,15739681.0,322732533850.0,2898000.0,56221200000.0,18637681.0,378953733850.0,-1871814.0,2555668.0,1270600.0,-683854.0,-38926097500.0,52738485400.0,26261420000.0,-13812387900.0
20/08/2026,20300.0,19950.0,350.0,0.01754386,20000.0,20350.0,20000.0,10937391.0,221035171300.0,1110000.0,22422000000.0,12047391.0,243457171300.0,1129147.0,-2278649.0,1238700.0,1149502.0,22824199600.0,-46037443800.0,25021715000.0,23213244200.0
19/08/2026,19950.0,19950.0,0.0,0.0,19950.0,20000.0,19850.0,5093520.0,101483896200.0,0.0,0.0,5093520.0,101483896200.0,-231685.0,-13676.0,4279.0,245361.0,-4640069850.0,-261349300.0,97956000.0,4901419150.0
18/08/2026,19950.0,19900.0,50.0,0.00251256,19900.0,20050.0,19850.0,7121202.0,141983570350.0,0.0,0.0,7121202.0,141983570350.0,-744451.0,32102.0,-707600.0,712349.0,-14854846000.0,620935850.0,-14077675000.0,14233910150.0
17/08/2026,19900.0,20000.0,-100.0,-0.005,20000.0,20200.0,19900.0,7694688.0,153900926100.0,300001.0,5580018600.0,7994689.0,159480944700.0,1120992.0,-572592.0,621600.0,-548400.0,22342978901.0,-11410083900.0,12497700000.0,-10932895000.0
14/08/2026,20000.0,20150.0,-150.0,-0.00744417,20150.0,20250.0,20000.0,11953741.0,240200444050.0,150000.0,3067500000.0,12103741.0,243267944050.0,166626.0,693099.0,549900.0,-859725.0,3255859750.0,13972455250.0,11212515000.0,-17228315000.0
13/08/2026,20150.0,20450.0,-300.0,-0.01466993,20500.0,20550.0,20150.0,11733683.0,239042764900.0,749200.0,15113989200.0,12482883.0,254156754100.0,1887984.0,180652.0,-116580.0,-2068636.0,38276866399.0,3849986350.0,-2212914000.0,-42126852750.0
12/08/2026,20450.0,20350.0,100.0,0.004914,20400.0,20500.0,20350.0,8978677.0,183338224100.0,29700.0,645975000.0,9008377.0,183984199100.0,-845316.0,1813754.0,1569600.0,-968438.0,-17260339949.0,37041931600.0,32093810000.0,-19781591650.0
