NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,28000.0,28000.0,0.0,0.0,28000.0,28000.0,27900.0,17900.0,500370000.0,0.0,0.0,17900.0,500370000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,28000.0,28000.0,0.0,0.0,28000.0,28000.0,27800.0,23500.0,655180000.0,0.0,0.0,23500.0,655180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,28000.0,28100.0,-100.0,-0.00355872,27800.0,28200.0,27800.0,36604.0,1027072400.0,0.0,0.0,36604.0,1027072400.0,-4.0,4.0,0.0,0.0,-112400.0,112400.0,0.0,0.0
26/08/2026,28100.0,28100.0,0.0,0.0,28100.0,28100.0,27950.0,30200.0,845700000.0,0.0,0.0,30200.0,845700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,28100.0,27950.0,150.0,0.00536673,27950.0,28100.0,27950.0,24600.0,689340000.0,0.0,0.0,24600.0,689340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,27950.0,28100.0,-150.0,-0.00533808,28100.0,28100.0,27900.0,34700.0,969710000.0,0.0,0.0,34700.0,969710000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,28100.0,27900.0,200.0,0.00716846,27900.0,28100.0,27900.0,28900.0,808695000.0,0.0,0.0,28900.0,808695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,27900.0,28000.0,-100.0,-0.00357143,28100.0,28100.0,27800.0,54400.0,1517585000.0,0.0,0.0,54400.0,1517585000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,28000.0,27900.0,100.0,0.00358423,27900.0,28000.0,27900.0,36300.0,1014995000.0,0.0,0.0,36300.0,1014995000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,27900.0,27700.0,200.0,0.00722022,27700.0,28000.0,27700.0,32400.0,902590000.0,0.0,0.0,32400.0,902590000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,27700.0,27700.0,0.0,0.0,27700.0,27700.0,27700.0,10500.0,290850000.0,0.0,0.0,10500.0,290850000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,27700.0,27900.0,-200.0,-0.00716846,27900.0,27900.0,27700.0,39000.0,1082680000.0,0.0,0.0,39000.0,1082680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
