NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,15950.0,16000.0,-50.0,-0.003125,16000.0,16100.0,15800.0,54684.0,871630100.0,0.0,0.0,54684.0,871630100.0,-13800.0,0.0,0.0,13800.0,-221170000.0,0.0,0.0,221170000.0
28/08/2026,16000.0,15800.0,200.0,0.01265823,15800.0,16100.0,15800.0,66319.0,1055279850.0,0.0,0.0,66319.0,1055279850.0,-20601.0,-2799.0,0.0,23400.0,-329760900.0,-45269100.0,0.0,375030000.0
27/08/2026,15800.0,16100.0,-300.0,-0.01863354,15850.0,16150.0,15800.0,84095.0,1334080750.0,0.0,0.0,84095.0,1334080750.0,-14483.0,-1317.0,0.0,15800.0,-228939350.0,-20875650.0,0.0,249815000.0
26/08/2026,16100.0,16100.0,0.0,0.0,16100.0,16150.0,15900.0,76029.0,1218515950.0,0.0,0.0,76029.0,1218515950.0,-22431.0,-14069.0,0.0,36500.0,-360212400.0,-226082600.0,0.0,586295000.0
25/08/2026,16100.0,16200.0,-100.0,-0.00617284,16200.0,16300.0,15950.0,67482.0,1085946500.0,0.0,0.0,67482.0,1085946500.0,-17834.0,-4766.0,0.0,22600.0,-286564700.0,-77375300.0,0.0,363940000.0
24/08/2026,16200.68,17200.0,0.0,0.0,15918.11,16294.87,15918.11,335296.0,5709313350.0,0.0,0.0,335296.0,5709313350.0,-56400.0,-85700.0,0.0,142100.0,-958319449.0,-1461865550.0,0.0,2420185000.0
21/08/2026,16200.68,16750.0,450.0,0.02686567,15729.73,16200.68,15729.73,199938.0,3401948550.0,0.0,0.0,199938.0,3401948550.0,-123924.0,-18476.0,0.0,142400.0,-2116166850.0,-313988150.0,0.0,2430155000.0
20/08/2026,15776.825,16850.0,-100.0,-0.00593472,15871.015,15871.015,15682.635,44820.0,750620200.0,300000.0,5253600000.0,344820.0,6004220200.0,-3460.0,3160.0,0.0,300.0,-57575001.0,52555000.0,0.0,5020000.0
19/08/2026,15871.015,16750.0,100.0,0.00597015,15871.015,15918.11,15776.825,47652.0,801306950.0,0.0,0.0,47652.0,801306950.0,-11115.0,5115.0,0.0,6000.0,-186653501.0,85538500.0,0.0,101115000.0
18/08/2026,15776.825,16750.0,0.0,0.0,15918.11,15918.11,15776.825,46446.0,779755800.0,300000.0,5280000000.0,346446.0,6059755800.0,394.0,-6594.0,0.0,6200.0,7204750.0,-111374750.0,0.0,104170000.0
17/08/2026,15776.825,16750.0,0.0,0.0,15729.73,15776.825,15682.635,63481.0,1062441050.0,0.0,0.0,63481.0,1062441050.0,9671.0,-8336.0,0.0,-1335.0,162185200.0,-139945700.0,0.0,-22239500.0
14/08/2026,15776.825,16700.0,50.0,0.00299401,15823.92,15871.015,15682.635,47643.0,799047650.0,300000.0,5280000000.0,347643.0,6079047650.0,9400.0,-9700.0,-200.0,300.0,157595100.0,-162740100.0,-3350000.0,5145000.0
13/08/2026,15729.73,16700.0,0.0,0.0,15729.73,16012.3,15682.635,198013.0,3332686700.0,0.0,0.0,198013.0,3332686700.0,15735.0,-10735.0,0.0,-5000.0,263836500.0,-179741500.0,0.0,-84095000.0
12/08/2026,15729.73,16600.0,100.0,0.0060241,15635.54,15871.015,15635.54,47420.0,794477500.0,0.0,0.0,47420.0,794477500.0,-11595.0,11595.0,0.0,0.0,-194118150.0,194118150.0,0.0,0.0
11/08/2026,15635.54,16850.0,-250.0,-0.0148368,15871.015,15918.11,15635.54,145156.0,2428028800.0,0.0,0.0,145156.0,2428028800.0,23634.0,-16234.0,0.0,-7400.0,395420900.0,-271385900.0,0.0,-124035000.0
10/08/2026,15871.015,16900.0,-50.0,-0.00295858,16012.3,16012.3,15776.825,54824.0,924796050.0,0.0,0.0,54824.0,924796050.0,-12799.0,8499.0,0.0,4300.0,-216150350.0,143685350.0,0.0,72465000.0
07/08/2026,15918.11,16900.0,0.0,0.0,15918.11,16106.49,15635.54,188047.0,3188379300.0,0.0,0.0,188047.0,3188379300.0,63520.0,-72365.0,0.0,8845.0,1081698000.0,-1231443499.0,0.0,149745500.0
