NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,73100.0,73200.0,-100.0,-0.00136612,73200.0,73600.0,72800.0,2439812.0,178255818900.0,351800.0,27545940000.0,2791612.0,205801758900.0,0.0,398250.0,398250.0,3200.0,0.0,29063374000.0,29063374000.0,234240000.0
03/09/2026,73200.0,75000.0,-1800.0,-0.024,74000.0,74600.0,73200.0,2389552.0,176004280600.0,6272300.0,501458990000.0,8661852.0,677463270600.0,171397.0,0.0,-171100.0,-297.0,12540455600.0,0.0,-12518530000.0,-21925600.0
28/08/2026,75000.0,75900.0,-900.0,-0.01185771,75700.0,75700.0,74800.0,2721861.0,204549663400.0,755800.0,54309020000.0,3477661.0,258858683400.0,-20537.0,19437.0,-548300.0,1100.0,-1645140300.0,1561870300.0,-41122340000.0,83270000.0
27/08/2026,75900.0,75500.0,400.0,0.00529801,75500.0,75900.0,74800.0,2310401.0,174236020200.0,445800.0,34409690000.0,2756201.0,208645710200.0,-60186.0,64386.0,-130669.0,-4200.0,-4487201300.0,4803341300.0,-9888521000.0,-316140000.0
26/08/2026,75500.0,73900.0,1600.0,0.02165088,73900.0,75500.0,73200.0,2166421.0,161276423000.0,192000.0,14538000000.0,2358421.0,175814423000.0,-147969.0,145169.0,-8010.0,2800.0,-11383672900.0,11176752900.0,-419269000.0,206920000.0
25/08/2026,73900.0,75100.0,-1200.0,-0.0159787,75000.0,75300.0,73800.0,2560394.0,191141372100.0,163100.0,13096930000.0,2723494.0,204238302100.0,-95264.0,96364.0,-93090.0,-1100.0,-7191090101.0,7273750100.0,-6872739000.0,-82660000.0
24/08/2026,75100.0,75000.0,100.0,0.00133333,75500.0,75600.0,74600.0,2475910.0,185849091000.0,92400.0,7410480000.0,2568310.0,193259571000.0,84489.0,-86489.0,1980.0,2000.0,6312535500.0,-6463535500.0,185722000.0,151000000.0
21/08/2026,75000.0,72700.0,2300.0,0.03163686,72500.0,75100.0,71800.0,5002778.0,369766096800.0,5729179.0,445149108300.0,10731957.0,814915205100.0,-85103.0,86703.0,403840.0,-1600.0,-6967640500.0,7086840500.0,30591614000.0,-119200000.0
20/08/2026,72700.0,72200.0,500.0,0.00692521,72300.0,73200.0,71900.0,2496962.0,181244152500.0,2600.0,193619400.0,2499562.0,181437771900.0,164966.0,-163766.0,38264.0,-1200.0,11817300699.0,-11729920700.0,2765662000.0,-87380000.0
19/08/2026,72200.0,72800.0,-600.0,-0.00824176,72700.0,72700.0,71200.0,1999498.0,143702554200.0,894777.0,66386210600.0,2894275.0,210088764800.0,190058.0,-193117.0,-109910.0,3059.0,13669233400.0,-13891461400.0,-7959308000.0,222228000.0
18/08/2026,72800.0,73500.0,-700.0,-0.00952381,73600.0,73900.0,72100.0,1653325.0,120641439600.0,94000.0,7184400000.0,1747325.0,127825839600.0,136994.0,-135994.0,-121848.0,-1000.0,10004554599.0,-9931754600.0,-8746289000.0,-72800000.0
17/08/2026,73500.0,72400.0,1100.0,0.01519337,72300.0,74200.0,71800.0,2144352.0,156317723800.0,0.0,0.0,2144352.0,156317723800.0,-355819.0,351830.0,276898.0,3989.0,-26015233600.0,25727997600.0,20036515000.0,287236000.0
