NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,12500.0,12800.0,-300.0,-0.0234375,12800.0,12850.0,12500.0,1515762.0,19322656100.0,0.0,0.0,1515762.0,19322656100.0,90100.0,0.0,0.0,-90100.0,1137440000.0,0.0,0.0,-1137440000.0
03/09/2026,12800.0,12900.0,-100.0,-0.00775194,12800.0,12900.0,12700.0,197543.0,2526530400.0,1960000.0,23520000000.0,2157543.0,26046530400.0,5600.0,0.0,0.0,-5600.0,71065000.0,0.0,0.0,-71065000.0
28/08/2026,12900.0,12800.0,100.0,0.0078125,12800.0,13000.0,12750.0,279839.0,3603247000.0,0.0,0.0,279839.0,3603247000.0,-48208.0,57908.0,0.0,-9700.0,-619220150.0,744735150.0,0.0,-125515000.0
27/08/2026,12800.0,13100.0,-300.0,-0.02290076,13000.0,13000.0,12750.0,366101.0,4693842400.0,0.0,0.0,366101.0,4693842400.0,68088.0,1312.0,0.0,-69400.0,872723700.0,17171300.0,0.0,-889895000.0
26/08/2026,13100.0,13150.0,-50.0,-0.00380228,13150.0,13150.0,12900.0,360590.0,4697356850.0,0.0,0.0,360590.0,4697356850.0,-40258.0,49258.0,0.0,-9000.0,-525471901.0,642466900.0,0.0,-116995000.0
25/08/2026,13150.0,12800.0,350.0,0.02734375,13000.0,13150.0,12750.0,774430.0,10023712000.0,0.0,0.0,774430.0,10023712000.0,104734.0,-46334.0,0.0,-58400.0,1337261600.0,-581926600.0,0.0,-755335000.0
24/08/2026,12800.0,12250.0,550.0,0.04489796,12300.0,12800.0,12200.0,843096.0,10629634400.0,95000.0,1163750000.0,938096.0,11793384400.0,-57627.0,20427.0,0.0,37200.0,-729812550.0,258992550.0,0.0,470820000.0
21/08/2026,12250.0,12450.0,-200.0,-0.01606426,12400.0,12450.0,12100.0,795648.0,9799915050.0,0.0,0.0,795648.0,9799915050.0,42678.0,-14578.0,0.0,-28100.0,529353050.0,-179478050.0,0.0,-349875000.0
20/08/2026,12450.0,12250.0,200.0,0.01632653,12300.0,12450.0,12100.0,280460.0,3449325000.0,200000.0,2400000000.0,480460.0,5849325000.0,41000.0,-8500.0,0.0,-32500.0,501315000.0,-102740000.0,0.0,-398575000.0
19/08/2026,12250.0,11850.0,400.0,0.03375527,11900.0,12250.0,11800.0,490868.0,5874052450.0,300000.0,3600000000.0,790868.0,9474052450.0,-153994.0,142194.0,0.0,11800.0,-1843969050.0,1703779050.0,0.0,140190000.0
