NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,11550.0,11550.0,0.0,0.0,11600.0,11600.0,11500.0,1052021.0,12155792350.0,0.0,0.0,1052021.0,12155792350.0,-219718.0,198030.0,0.0,21688.0,-2538835000.0,2287199000.0,0.0,251636000.0
27/08/2026,11550.0,11650.0,-100.0,-0.00858369,11650.0,11700.0,11500.0,1100006.0,12745670750.0,0.0,0.0,1100006.0,12745670750.0,47368.0,73252.0,400.0,-120620.0,551487300.0,845834700.0,4650000.0,-1397322000.0
26/08/2026,11650.0,11650.0,0.0,0.0,11600.0,11650.0,11550.0,1191733.0,13829343200.0,0.0,0.0,1191733.0,13829343200.0,-357527.0,405027.0,100.0,-47500.0,-4146338600.0,4697368600.0,1165000.0,-551030000.0
25/08/2026,11650.0,11650.0,0.0,0.0,11650.0,11700.0,11550.0,1233154.0,14310979600.0,0.0,0.0,1233154.0,14310979600.0,-138771.0,261571.0,0.0,-122800.0,-1612904850.0,3037349850.0,0.0,-1424445000.0
24/08/2026,11650.0,11600.0,50.0,0.00431034,11700.0,11750.0,11600.0,1109675.0,12916455350.0,3200000.0,37120000000.0,4309675.0,50036455350.0,25998.0,29302.0,1600.0,-55300.0,302512451.0,342012550.0,18640000.0,-644525000.0
21/08/2026,11600.0,11550.0,50.0,0.004329,11500.0,11700.0,11400.0,1461233.0,16878732650.0,0.0,0.0,1461233.0,16878732650.0,-129922.0,143822.0,0.0,-13900.0,-1476801250.0,1637031250.0,0.0,-160230000.0
20/08/2026,11550.0,11600.0,-50.0,-0.00431034,11500.0,11650.0,11500.0,1386299.0,16036373000.0,0.0,0.0,1386299.0,16036373000.0,1052107.0,-971507.0,0.0,-80600.0,12177150600.0,-11243820600.0,0.0,-933330000.0
19/08/2026,11600.0,11600.0,0.0,0.0,11600.0,11600.0,11400.0,1184930.0,13656748350.0,0.0,0.0,1184930.0,13656748350.0,224783.0,-151583.0,0.0,-73200.0,2593996950.0,-1750501950.0,0.0,-843495000.0
18/08/2026,11600.0,11650.0,-50.0,-0.00429185,11650.0,11750.0,11500.0,1272217.0,14808213300.0,0.0,0.0,1272217.0,14808213300.0,222945.0,-34445.0,0.0,-188500.0,2589103850.0,-395958850.0,0.0,-2193145000.0
17/08/2026,11650.0,11700.0,-50.0,-0.0042735,11650.0,11750.0,11550.0,1329109.0,15470478000.0,0.0,0.0,1329109.0,15470478000.0,32737.0,74663.0,3800.0,-107400.0,393623700.0,865951300.0,44365000.0,-1259575000.0
14/08/2026,11700.0,11750.0,-50.0,-0.00425532,11750.0,11800.0,11600.0,1254809.0,14692812750.0,0.0,0.0,1254809.0,14692812750.0,185471.0,44429.0,-4400.0,-229900.0,2169100400.0,519829600.0,-51480000.0,-2688930000.0
13/08/2026,11750.0,11900.0,-150.0,-0.01260504,11850.0,11950.0,11750.0,1519339.0,18030919950.0,0.0,0.0,1519339.0,18030919950.0,24341.0,65959.0,0.0,-90300.0,289054550.0,776230450.0,0.0,-1065285000.0
12/08/2026,11900.0,11950.0,-50.0,-0.0041841,11850.0,12000.0,11800.0,1108167.0,13142513100.0,0.0,0.0,1108167.0,13142513100.0,23036.0,166764.0,3100.0,-189800.0,277689700.0,1975535299.0,36890000.0,-2253225000.0
11/08/2026,11950.0,12050.0,-100.0,-0.00829876,11950.0,12050.0,11900.0,1105171.0,13211675550.0,0.0,0.0,1105171.0,13211675550.0,74895.0,55125.0,100.0,-130020.0,898068150.0,657735850.0,1200000.0,-1555804000.0
10/08/2026,12050.0,11800.0,250.0,0.02118644,11850.0,12600.0,11700.0,1605523.0,19079105250.0,0.0,0.0,1605523.0,19079105250.0,42900.0,251564.0,-100.0,-294464.0,523744350.0,2978835050.0,-1190000.0,-3502579400.0
07/08/2026,11800.0,11900.0,-100.0,-0.00840336,11800.0,11950.0,11700.0,1564546.0,18492180900.0,0.0,0.0,1564546.0,18492180900.0,-3328.0,62028.0,3300.0,-58700.0,-38190800.0,729975800.0,39105000.0,-691785000.0
