NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,17200.0,17200.0,0.0,0.0,16950.0,17200.0,16950.0,16200.0,277770000.0,0.0,0.0,16200.0,277770000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,17200.0,16700.0,500.0,0.02994012,16800.0,17200.0,16800.0,38901.0,668307150.0,0.0,0.0,38901.0,668307150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,16700.0,17150.0,-450.0,-0.02623907,17100.0,17100.0,16700.0,4000.0,67600000.0,0.0,0.0,4000.0,67600000.0,1700.0,300.0,0.0,-2000.0,29190000.0,5010000.0,0.0,-34200000.0
27/08/2026,17150.0,17200.0,-50.0,-0.00290698,16950.0,17200.0,16950.0,38907.0,661718300.0,0.0,0.0,38907.0,661718300.0,-600.0,600.0,0.0,0.0,-10090000.0,10090000.0,0.0,0.0
26/08/2026,17200.0,17000.0,200.0,0.01176471,16900.0,17200.0,16900.0,11401.0,195126900.0,0.0,0.0,11401.0,195126900.0,1899.0,-1899.0,0.0,0.0,32363100.0,-32363100.0,0.0,0.0
25/08/2026,17000.0,17150.0,-150.0,-0.00874636,16950.0,17000.0,16950.0,13901.0,235802100.0,0.0,0.0,13901.0,235802100.0,1899.0,-1899.0,0.0,0.0,32282900.0,-32282900.0,0.0,0.0
24/08/2026,17150.0,17100.0,50.0,0.00292398,16950.0,17150.0,16950.0,9117.0,155868150.0,0.0,0.0,9117.0,155868150.0,3600.0,-3600.0,0.0,0.0,61595000.0,-61595000.0,0.0,0.0
21/08/2026,17100.0,17000.0,100.0,0.00588235,16950.0,17200.0,16900.0,35700.0,607505000.0,0.0,0.0,35700.0,607505000.0,2900.0,-2900.0,0.0,0.0,49710000.0,-49710000.0,0.0,0.0
20/08/2026,17000.0,17000.0,0.0,0.0,16950.0,17100.0,16950.0,6700.0,113940000.0,0.0,0.0,6700.0,113940000.0,1500.0,-1500.0,0.0,0.0,25555000.0,-25555000.0,0.0,0.0
19/08/2026,17000.0,17100.0,-100.0,-0.00584795,17000.0,17000.0,16800.0,4900.0,83180000.0,0.0,0.0,4900.0,83180000.0,-300.0,500.0,0.0,-200.0,-5060000.0,8460000.0,0.0,-3400000.0
