NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,83600.0,83700.0,-100.0,-0.00119474,83700.0,84000.0,83500.0,10355.0,865639400.0,0.0,0.0,10355.0,865639400.0,2300.0,0.0,0.0,-2300.0,191950000.0,0.0,0.0,-191950000.0
03/09/2026,83700.0,83600.0,100.0,0.00119617,83600.0,83900.0,83600.0,12982.0,1086749700.0,0.0,0.0,12982.0,1086749700.0,3900.0,0.0,0.0,-3900.0,326620000.0,0.0,0.0,-326620000.0
28/08/2026,83600.0,83400.0,200.0,0.00239808,83400.0,83600.0,83100.0,8270.0,688535600.0,0.0,0.0,8270.0,688535600.0,3099.0,-899.0,0.0,-2200.0,257538500.0,-74538500.0,0.0,-183000000.0
27/08/2026,83400.0,83300.0,100.0,0.00120048,83300.0,83500.0,83200.0,4744.0,395627800.0,0.0,0.0,4744.0,395627800.0,2490.0,-1490.0,0.0,-1000.0,207737000.0,-124387000.0,0.0,-83350000.0
26/08/2026,83300.0,83000.0,300.0,0.00361446,83100.0,83800.0,83000.0,14861.0,1236241300.0,0.0,0.0,14861.0,1236241300.0,6822.0,-3422.0,0.0,-3400.0,567564100.0,-284814100.0,0.0,-282750000.0
25/08/2026,83000.0,82700.0,300.0,0.00362757,82900.0,83800.0,82900.0,36533.0,3045534800.0,0.0,0.0,36533.0,3045534800.0,11304.0,-4004.0,0.0,-7300.0,943307700.0,-335537700.0,0.0,-607770000.0
24/08/2026,82700.0,83000.0,-300.0,-0.00361446,83500.0,83600.0,82700.0,21228.0,1763161000.0,0.0,0.0,21228.0,1763161000.0,2080.0,2920.0,0.0,-5000.0,173440500.0,241349500.0,0.0,-414790000.0
21/08/2026,83000.0,82600.0,400.0,0.00484262,83100.0,83100.0,82900.0,14263.0,1183520200.0,0.0,0.0,14263.0,1183520200.0,2670.0,4330.0,0.0,-7000.0,221449699.0,359350300.0,0.0,-580800000.0
20/08/2026,82600.0,82700.0,-100.0,-0.00120919,82800.0,82800.0,82600.0,41247.0,3410396700.0,0.0,0.0,41247.0,3410396700.0,-6506.0,-2694.0,0.0,9200.0,-538116100.0,-222723900.0,0.0,760840000.0
19/08/2026,82700.0,82700.0,0.0,0.0,82700.0,82800.0,82600.0,18434.0,1524936600.0,0.0,0.0,18434.0,1524936600.0,2933.0,4367.0,0.0,-7300.0,242636700.0,361093300.0,0.0,-603730000.0
18/08/2026,82700.0,82900.0,-200.0,-0.00241255,83000.0,83200.0,82700.0,25901.0,2146989700.0,0.0,0.0,25901.0,2146989700.0,6375.0,2225.0,0.0,-8600.0,528107800.0,184232200.0,0.0,-712340000.0
17/08/2026,82900.0,82600.0,300.0,0.00363196,82700.0,82900.0,82500.0,8212.0,679692000.0,0.0,0.0,8212.0,679692000.0,1159.0,2041.0,0.0,-3200.0,95873700.0,168866300.0,0.0,-264740000.0
14/08/2026,82600.0,82500.0,100.0,0.00121212,82500.0,83400.0,82500.0,16295.0,1347471500.0,0.0,0.0,16295.0,1347471500.0,-4714.0,9415.0,0.0,-4701.0,-389131400.0,778224100.0,0.0,-389092700.0
13/08/2026,82500.0,82500.0,0.0,0.0,82500.0,82600.0,82400.0,15539.0,1282401000.0,0.0,0.0,15539.0,1282401000.0,941.0,4559.0,0.0,-5500.0,77820100.0,376159900.0,0.0,-453980000.0
12/08/2026,82500.0,82400.0,100.0,0.00121359,82400.0,82500.0,82200.0,25620.0,2109980800.0,0.0,0.0,25620.0,2109980800.0,5188.0,5712.0,0.0,-10900.0,427132500.0,470887500.0,0.0,-898020000.0
11/08/2026,82400.0,82600.0,-200.0,-0.00242131,82700.0,82700.0,82400.0,23450.0,1934763600.0,0.0,0.0,23450.0,1934763600.0,1297.0,4803.0,0.0,-6100.0,106561400.0,396348600.0,0.0,-502910000.0
10/08/2026,82600.0,82600.0,0.0,0.0,82600.0,83300.0,82600.0,30198.0,2495397300.0,0.0,0.0,30198.0,2495397300.0,5658.0,5942.0,0.0,-11600.0,467165400.0,491222600.0,0.0,-958388000.0
07/08/2026,82600.0,82500.0,100.0,0.00121212,82500.0,83000.0,82400.0,21902.0,1809328500.0,0.0,0.0,21902.0,1809328500.0,1600.0,9900.0,0.0,-11500.0,132072900.0,818047100.0,0.0,-950120000.0
06/08/2026,82500.0,82500.0,0.0,0.0,82400.0,82500.0,82200.0,24507.0,2019964600.0,0.0,0.0,24507.0,2019964600.0,9599.0,501.0,0.0,-10100.0,791097300.0,42042700.0,0.0,-833140000.0
05/08/2026,82500.0,82900.0,-400.0,-0.00482509,82900.0,82900.0,82100.0,25748.0,2120124800.0,0.0,0.0,25748.0,2120124800.0,10831.0,4069.0,0.0,-14900.0,891275101.0,334954900.0,0.0,-1226230000.0
04/08/2026,82900.0,83400.0,-500.0,-0.0059952,82700.0,83400.0,82100.0,48960.0,4040627000.0,0.0,0.0,48960.0,4040627000.0,19631.0,-14331.0,0.0,-5300.0,1620816600.0,-1184896600.0,0.0,-435920000.0
03/08/2026,83400.0,83400.0,0.0,0.0,83700.0,84100.0,82900.0,30532.0,2538642400.0,0.0,0.0,30532.0,2538642400.0,1388.0,5512.0,0.0,-6900.0,114987699.0,458312300.0,0.0,-573300000.0
31/07/2026,83400.0,83600.0,-200.0,-0.00239234,83400.0,83500.0,82900.0,19542.0,1626442500.0,0.0,0.0,19542.0,1626442500.0,4591.0,1309.0,0.0,-5900.0,382567600.0,109092400.0,0.0,-491660000.0
30/07/2026,83600.0,83000.0,600.0,0.00722892,83400.0,84400.0,83400.0,26610.0,2228028500.0,0.0,0.0,26610.0,2228028500.0,19020.0,-9520.0,0.0,-9500.0,1592160000.0,-796000000.0,0.0,-796160000.0
29/07/2026,83000.0,82900.0,100.0,0.00120627,83500.0,83500.0,82900.0,26267.0,2183221200.0,0.0,0.0,26267.0,2183221200.0,458.0,-158.0,0.0,-300.0,38341300.0,-13131300.0,0.0,-25210000.0
28/07/2026,82900.0,83900.0,-1000.0,-0.01191895,84300.0,84400.0,82900.0,34357.0,2867732900.0,0.0,0.0,34357.0,2867732900.0,2437.0,3863.0,0.0,-6300.0,202695900.0,322674100.0,0.0,-525370000.0
27/07/2026,83900.0,84800.0,-900.0,-0.01061321,84200.0,84600.0,83800.0,51958.0,4368512500.0,0.0,0.0,51958.0,4368512500.0,16716.0,5184.0,0.0,-21900.0,1405990500.0,435299500.0,0.0,-1841290000.0
24/07/2026,84800.64,93000.0,-200.0,-0.00215054,84983.4,84983.4,84435.12,38829.0,3602168900.0,0.0,0.0,38829.0,3602168900.0,18702.0,2998.0,0.0,-21700.0,1735828601.0,278961400.0,0.0,-2014790000.0
23/07/2026,84983.4,93900.0,-900.0,-0.00958466,85897.2,85897.2,84435.12,39757.0,3702526400.0,0.0,0.0,39757.0,3702526400.0,19927.0,-6827.0,0.0,-13100.0,1856045700.0,-635975700.0,0.0,-1220070000.0
22/07/2026,85805.82,94200.0,-300.0,-0.00318471,86079.96,86171.34,85440.3,49908.0,4688258700.0,0.0,0.0,49908.0,4688258700.0,-11623.0,23923.0,0.0,-12300.0,-1090722500.0,2246502500.0,0.0,-1155780000.0
21/07/2026,86079.96,94200.0,0.0,0.0,85897.2,86262.72,85897.2,24529.0,2311968700.0,0.0,0.0,24529.0,2311968700.0,1168.0,6032.0,0.0,-7200.0,110632100.0,568447900.0,0.0,-679080000.0
20/07/2026,86079.96,95100.0,-900.0,-0.00946372,86902.38,86902.38,85897.2,38771.0,3664061700.0,0.0,0.0,38771.0,3664061700.0,3603.0,-3.0,0.0,-3600.0,340060600.0,-490600.0,0.0,-339570000.0
17/07/2026,86902.38,94900.0,200.0,0.00210748,86811.0,86902.38,86445.48,23008.0,2184931000.0,0.0,0.0,23008.0,2184931000.0,7402.0,1998.0,0.0,-9400.0,703170400.0,189589600.0,0.0,-892760000.0
16/07/2026,86719.62,94800.0,100.0,0.00105485,86628.24,86811.0,86171.34,31299.0,2966029600.0,0.0,0.0,31299.0,2966029600.0,6795.0,5305.0,0.0,-12100.0,642586000.0,504804000.0,0.0,-1147390000.0
15/07/2026,86628.24,94900.0,-100.0,-0.00105374,86811.0,87176.52,86628.24,16626.0,1581212600.0,0.0,0.0,16626.0,1581212600.0,-3694.0,8494.0,0.0,-4800.0,-350999400.0,807609400.0,0.0,-456610000.0
14/07/2026,86719.62,94800.0,100.0,0.00105485,86628.24,86719.62,86079.96,16672.0,1580932700.0,0.0,0.0,16672.0,1580932700.0,8451.0,-1451.0,0.0,-7000.0,801889901.0,-138089900.0,0.0,-663800000.0
