NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,7960.0,8020.0,-60.0,-0.0074813,7820.0,8260.0,7820.0,115043.0,924977590.0,0.0,0.0,115043.0,924977590.0,30388.0,-22388.0,0.0,-8000.0,242543441.0,-177130440.0,0.0,-65413000.0
27/08/2026,8020.0,8060.0,-40.0,-0.00496278,8170.0,8170.0,8010.0,49658.0,400831540.0,0.0,0.0,49658.0,400831540.0,-8048.0,11148.0,0.0,-3100.0,-64909241.0,90002240.0,0.0,-25093000.0
26/08/2026,8060.0,8070.0,-10.0,-0.00123916,8100.0,8100.0,8050.0,75721.0,611267940.0,0.0,0.0,75721.0,611267940.0,-30511.0,30511.0,0.0,0.0,-246606601.0,246606600.0,0.0,0.0
25/08/2026,8070.0,8300.0,-230.0,-0.02771084,8500.0,8500.0,7720.0,173540.0,1420838260.0,0.0,0.0,173540.0,1420838260.0,-109203.0,109203.0,0.0,0.0,-898091160.0,898091160.0,0.0,0.0
24/08/2026,8300.0,7950.0,350.0,0.04402516,7950.0,8400.0,7950.0,191406.0,1567684970.0,0.0,0.0,191406.0,1567684970.0,4522.0,-5522.0,0.0,1000.0,37951010.0,-46051010.0,0.0,8100000.0
21/08/2026,7950.0,7770.0,180.0,0.02316602,7820.0,7990.0,7700.0,130096.0,1019777460.0,0.0,0.0,130096.0,1019777460.0,-45380.0,33680.0,0.0,11700.0,-355466531.0,263765530.0,0.0,91701000.0
20/08/2026,7770.0,7770.0,0.0,0.0,7800.0,7960.0,7610.0,133672.0,1037212970.0,0.0,0.0,133672.0,1037212970.0,-16153.0,18653.0,0.0,-2500.0,-127063550.0,146557550.0,0.0,-19494000.0
19/08/2026,7770.0,8110.0,-340.0,-0.04192355,7700.0,8000.0,7700.0,211166.0,1653032010.0,0.0,0.0,211166.0,1653032010.0,-23105.0,24705.0,0.0,-1600.0,-182399829.0,195040830.0,0.0,-12641000.0
18/08/2026,8110.0,8440.0,-330.0,-0.03909953,8250.0,8400.0,8100.0,145674.0,1195548250.0,0.0,0.0,145674.0,1195548250.0,9701.0,8099.0,0.0,-17800.0,80371311.0,66128690.0,0.0,-146500000.0
17/08/2026,8440.0,8270.0,170.0,0.02055623,8300.0,8440.0,8230.0,35924.0,298557990.0,0.0,0.0,35924.0,298557990.0,-3887.0,5487.0,0.0,-1600.0,-32353261.0,45609260.0,0.0,-13256000.0
14/08/2026,8270.0,8370.0,-100.0,-0.01194743,8370.0,8450.0,8210.0,77919.0,647723040.0,0.0,0.0,77919.0,647723040.0,-9204.0,13804.0,0.0,-4600.0,-75582480.0,114070480.0,0.0,-38488000.0
13/08/2026,8370.0,8400.0,-30.0,-0.00357143,8480.0,8480.0,8360.0,75589.0,634438670.0,0.0,0.0,75589.0,634438670.0,-8340.0,10940.0,0.0,-2600.0,-69844600.0,91749600.0,0.0,-21905000.0
