NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,11600.0,11600.0,0.0,0.0,11550.0,11600.0,11550.0,1500.0,17375000.0,0.0,0.0,1500.0,17375000.0,-800.0,800.0,0.0,0.0,-9255000.0,9255000.0,0.0,0.0
27/08/2026,11600.0,11700.0,-100.0,-0.00854701,11600.0,11600.0,11600.0,1100.0,12760000.0,0.0,0.0,1100.0,12760000.0,1100.0,-1000.0,0.0,-100.0,12760000.0,-11600000.0,0.0,-1160000.0
26/08/2026,11700.0,11400.0,300.0,0.02631579,11700.0,11700.0,11700.0,500.0,5850000.0,0.0,0.0,500.0,5850000.0,-200.0,500.0,0.0,-300.0,-2340000.0,5850000.0,0.0,-3510000.0
25/08/2026,11400.0,11400.0,0.0,0.0,11400.0,11400.0,11400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,11400.0,11500.0,-100.0,-0.00869565,11500.0,11500.0,11400.0,10000.0,114330000.0,0.0,0.0,10000.0,114330000.0,-6200.0,6200.0,0.0,0.0,-70800000.0,70800000.0,0.0,0.0
21/08/2026,11500.0,11500.0,0.0,0.0,11500.0,11500.0,11500.0,100.0,1150000.0,0.0,0.0,100.0,1150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,11500.0,11850.0,-350.0,-0.02953587,11500.0,11500.0,11500.0,1000.0,11500000.0,0.0,0.0,1000.0,11500000.0,-700.0,700.0,0.0,0.0,-8050000.0,8050000.0,0.0,0.0
19/08/2026,11850.0,11600.0,250.0,0.02155172,11850.0,11850.0,11850.0,100.0,1185000.0,0.0,0.0,100.0,1185000.0,-100.0,100.0,0.0,0.0,-1185000.0,1185000.0,0.0,0.0
18/08/2026,11600.0,11600.0,0.0,0.0,11600.0,11600.0,11600.0,100.0,1160000.0,0.0,0.0,100.0,1160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,11600.0,11550.0,50.0,0.004329,11600.0,11600.0,11600.0,300.0,3480000.0,0.0,0.0,300.0,3480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
