NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,24300.0,24400.0,-100.0,-0.00409836,24500.0,24850.0,24300.0,1094574.0,26917278750.0,3220000.0,78570000000.0,4314574.0,105487278750.0,-236451.0,427051.0,-3000.0,-190600.0,-5904897900.0,10558092900.0,-70460000.0,-4653195000.0
27/08/2026,24400.0,24500.0,-100.0,-0.00408163,24500.0,25000.0,24400.0,1573022.0,38797553350.0,0.0,0.0,1573022.0,38797553350.0,-372335.0,185103.0,-12900.0,187232.0,-9205734750.0,4565074150.0,-314545000.0,4640660600.0
26/08/2026,24500.0,24000.0,500.0,0.02083333,24050.0,24600.0,24050.0,1458245.0,35607058900.0,4359500.0,105121376500.0,5817745.0,140728435400.0,-140543.0,-105657.0,107200.0,246200.0,-3415483700.0,-2645346300.0,2634520000.0,6060830000.0
25/08/2026,24000.0,24500.0,-500.0,-0.02040816,24500.0,24550.0,24000.0,2847999.0,68784589400.0,1750000.0,42875000000.0,4597999.0,111659589400.0,-117646.0,785446.0,-401400.0,-667800.0,-2854756600.0,18979946600.0,-9669660000.0,-16125190000.0
24/08/2026,24500.0,24000.0,500.0,0.02083333,24050.0,24650.0,24000.0,1847675.0,44991677750.0,0.0,0.0,1847675.0,44991677750.0,260262.0,-65762.0,-30600.0,-194500.0,6396945450.0,-1637240450.0,-747570000.0,-4759705000.0
21/08/2026,24000.0,23450.0,550.0,0.02345416,23450.0,24250.0,23450.0,3394695.0,80714652200.0,0.0,0.0,3394695.0,80714652200.0,-195727.0,466626.0,17600.0,-270899.0,-4531207649.0,10927943800.0,419025000.0,-6396736150.0
20/08/2026,23450.0,23150.0,300.0,0.01295896,23150.0,23800.0,23100.0,2236663.0,52694491450.0,0.0,0.0,2236663.0,52694491450.0,-881315.0,1010416.0,504300.0,-129101.0,-20781901600.0,23836180150.0,11888290000.0,-3054278550.0
19/08/2026,23150.0,23500.0,-350.0,-0.01489362,23500.0,23950.0,23150.0,1907149.0,44982815300.0,0.0,0.0,1907149.0,44982815300.0,-447996.0,484095.0,272400.0,-36099.0,-10595052400.0,11455798550.0,6430700000.0,-860746150.0
18/08/2026,23500.0,23750.0,-250.0,-0.01052632,23550.0,23900.0,23500.0,1383220.0,32723376250.0,0.0,0.0,1383220.0,32723376250.0,-388996.0,424696.0,239200.0,-35700.0,-9208075551.0,10062710550.0,5667990000.0,-854635000.0
17/08/2026,23750.0,22800.0,950.0,0.04166667,22800.0,23900.0,22800.0,2258179.0,53005786850.0,0.0,0.0,2258179.0,53005786850.0,-477762.0,359762.0,525500.0,118000.0,-11222465800.0,8482930800.0,12285820000.0,2739535000.0
14/08/2026,22800.0,22500.0,300.0,0.01333333,22500.0,23650.0,22450.0,3849807.0,88629007550.0,0.0,0.0,3849807.0,88629007550.0,-1010513.0,1104833.0,990000.0,-94320.0,-23216674201.0,25443276200.0,22877840000.0,-2226602000.0
13/08/2026,22500.0,22650.0,-150.0,-0.00662252,22750.0,22900.0,22500.0,1573591.0,35744760800.0,316003.0,6667663300.0,1889594.0,42412424100.0,-580614.0,387614.0,-13200.0,193000.0,-13190493551.0,8788718550.0,-299580000.0,4401775000.0
12/08/2026,22650.0,22700.0,-50.0,-0.00220264,22900.0,23050.0,22650.0,1225419.0,27955192800.0,50000.0,1125000000.0,1275419.0,29080192800.0,-345889.0,301789.0,9000.0,44100.0,-7870086950.0,6861406950.0,204510000.0,1008680000.0
11/08/2026,22700.0,22600.0,100.0,0.00442478,22700.0,22950.0,22550.0,1675346.0,38198129000.0,0.0,0.0,1675346.0,38198129000.0,-499906.0,710606.0,224600.0,-210700.0,-11404182850.0,16208857850.0,5122755000.0,-4804675000.0
10/08/2026,22600.0,22200.0,400.0,0.01801802,22450.0,22750.0,22200.0,1464856.0,32989821850.0,50000.0,1125000000.0,1514856.0,34114821850.0,-526848.0,672048.0,4400.0,-145200.0,-11873624750.0,15141459750.0,98560000.0,-3267835000.0
07/08/2026,22200.0,21800.0,400.0,0.01834862,21900.0,22250.0,21900.0,1404704.0,31122215800.0,100000.0,2300000000.0,1504704.0,33422215800.0,-814120.0,739420.0,96500.0,74700.0,-18039237200.0,16383812200.0,2127035000.0,1655425000.0
06/08/2026,21800.0,21750.0,50.0,0.00229885,21750.0,21900.0,21550.0,2126443.0,46267820650.0,0.0,0.0,2126443.0,46267820650.0,-40797.0,1107597.0,60200.0,-1066800.0,-864791200.0,24096761200.0,1308690000.0,-23231970000.0
05/08/2026,21750.0,21850.0,-100.0,-0.00457666,22100.0,22550.0,21750.0,3507738.0,77555864450.0,60000.0,1302000000.0,3567738.0,78857864450.0,-407161.0,1388515.0,-70800.0,-981354.0,-8965815700.0,30642924100.0,-1562925000.0,-21677108400.0
04/08/2026,21850.0,21700.0,150.0,0.00691244,22000.0,22000.0,21750.0,2332101.0,50977533100.0,1962400.0,43335280000.0,4294501.0,94312813100.0,457182.0,1278918.0,122300.0,-1736100.0,9987528650.0,27959656350.0,2677940000.0,-37947185000.0
03/08/2026,21700.0,22200.0,-500.0,-0.02252252,21900.0,22450.0,21500.0,6988172.0,152483957550.0,60000.0,1302000000.0,7048172.0,153785957550.0,2464735.0,2782869.0,130000.0,-5247604.0,53838552300.0,60573881500.0,2874620000.0,-114412433800.0
31/07/2026,22200.0,21550.0,650.0,0.03016241,21650.0,22200.0,21500.0,4514068.0,98279928900.0,0.0,0.0,4514068.0,98279928900.0,-782253.0,3160853.0,1462400.0,-2378600.0,-17226382100.0,68812897100.0,32204575000.0,-51586515000.0
