NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,40900.0,40950.0,-50.0,-0.001221,40900.0,40900.0,40350.0,26210.0,1064259500.0,0.0,0.0,26210.0,1064259500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,40950.0,40850.0,100.0,0.00244798,40350.0,41000.0,40300.0,35801.0,1454280500.0,0.0,0.0,35801.0,1454280500.0,-1100.0,1100.0,0.0,0.0,-52275000.0,52275000.0,0.0,0.0
27/08/2026,40850.0,40950.0,-100.0,-0.002442,40550.0,40850.0,40400.0,22103.0,898237300.0,0.0,0.0,22103.0,898237300.0,1200.0,-1200.0,0.0,0.0,46070000.0,-46070000.0,0.0,0.0
26/08/2026,40950.0,40900.0,50.0,0.00122249,40100.0,41000.0,40100.0,21241.0,862919600.0,0.0,0.0,21241.0,862919600.0,-1784.0,1784.0,0.0,0.0,-76259599.0,76259600.0,0.0,0.0
25/08/2026,40900.0,40500.0,400.0,0.00987654,40150.0,41000.0,40150.0,16416.0,667958700.0,0.0,0.0,16416.0,667958700.0,4598.0,-4598.0,0.0,0.0,185388800.0,-185388800.0,0.0,0.0
24/08/2026,40499.85,40450.0,1050.0,0.02595797,39523.95,40499.85,39523.95,20163.0,827397300.0,0.0,0.0,20163.0,827397300.0,-5360.0,5360.0,0.0,0.0,-223995700.0,223995700.0,0.0,0.0
21/08/2026,39475.155,40900.0,-450.0,-0.01100245,39816.72,40207.08,39475.155,34200.0,1396611250.0,0.0,0.0,34200.0,1396611250.0,12020.0,-12020.0,0.0,0.0,490257000.0,-490257000.0,0.0,0.0
20/08/2026,39914.31,40950.0,-50.0,-0.001221,39914.31,39963.105,39231.18,37729.0,1529109350.0,0.0,0.0,37729.0,1529109350.0,4004.0,-4004.0,0.0,0.0,155125600.0,-155125600.0,0.0,0.0
19/08/2026,39963.105,41000.0,-50.0,-0.00121951,39963.105,40011.9,39231.18,40914.0,1662549300.0,0.0,0.0,40914.0,1662549300.0,511.0,-511.0,0.0,0.0,11742100.0,-11742100.0,0.0,0.0
18/08/2026,40011.9,40750.0,250.0,0.00613497,39377.565,40011.9,39036.0,49322.0,1993386250.0,0.0,0.0,49322.0,1993386250.0,2888.0,-2888.0,0.0,0.0,101613250.0,-101613250.0,0.0,0.0
