NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,4700.0,4760.0,-60.0,-0.01260504,4780.0,4780.0,4700.0,2442.0,11513900.0,0.0,0.0,2442.0,11513900.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
28/08/2026,4760.0,4760.0,0.0,0.0,4780.0,4780.0,4760.0,5501.0,26191760.0,0.0,0.0,5501.0,26191760.0,2601.0,-2601.0,0,0.0,12375761.0,-12375760.0,0,0.0
27/08/2026,4760.0,4780.0,-20.0,-0.0041841,4700.0,4760.0,4690.0,8634.0,40624630.0,0.0,0.0,8634.0,40624630.0,-1922.0,1922.0,0,0.0,-9029341.0,9029340.0,0,0.0
26/08/2026,4780.0,4780.0,0.0,0.0,4800.0,4800.0,4650.0,6400.0,30213000.0,0.0,0.0,6400.0,30213000.0,2200.0,-2200.0,0,0.0,10257000.0,-10257000.0,0,0.0
25/08/2026,4780.0,4790.0,-10.0,-0.00208768,4730.0,4840.0,4710.0,7000.0,33086000.0,0.0,0.0,7000.0,33086000.0,1200.0,-1200.0,0,0.0,5666000.0,-5666000.0,0,0.0
24/08/2026,4790.0,4800.0,-10.0,-0.00208333,4800.0,4800.0,4710.0,15900.0,75447000.0,0.0,0.0,15900.0,75447000.0,-15300.0,15300.0,0,0.0,-72587000.0,72587000.0,0,0.0
21/08/2026,4800.0,4830.0,-30.0,-0.00621118,4660.0,4800.0,4660.0,4722.0,22161520.0,0.0,0.0,4722.0,22161520.0,322.0,500.0,0,-822.0,1533520.0,2297000.0,0,-3830520.0
20/08/2026,4830.0,4830.0,0.0,0.0,4830.0,4830.0,4830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
19/08/2026,4830.0,4760.0,70.0,0.01470588,4840.0,4840.0,4660.0,601.0,2888760.0,0.0,0.0,601.0,2888760.0,-100.0,100.0,0,0.0,-484000.0,484000.0,0,0.0
18/08/2026,4760.0,4750.0,10.0,0.00210526,4760.0,4760.0,4760.0,200.0,952000.0,0.0,0.0,200.0,952000.0,-200.0,200.0,0,0.0,-952000.0,952000.0,0,0.0
17/08/2026,4750.0,4810.0,-60.0,-0.01247401,4680.0,4800.0,4680.0,5200.0,24762000.0,0.0,0.0,5200.0,24762000.0,1000.0,-1000.0,0,0.0,4804000.0,-4804000.0,0,0.0
14/08/2026,4810.0,4810.0,0.0,0.0,4890.0,4890.0,4810.0,701.0,3383740.0,0.0,0.0,701.0,3383740.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
13/08/2026,4810.0,4810.0,0.0,0.0,4800.0,4890.0,4790.0,13100.0,62918000.0,0.0,0.0,13100.0,62918000.0,3100.0,-3100.0,0,0.0,14865000.0,-14865000.0,0,0.0
12/08/2026,4810.0,4800.0,10.0,0.00208333,4800.0,4810.0,4790.0,6100.0,29240000.0,0.0,0.0,6100.0,29240000.0,-400.0,400.0,0,0.0,-1916000.0,1916000.0,0,0.0
11/08/2026,4800.0,4850.0,-50.0,-0.01030928,4770.0,4800.0,4770.0,5400.0,25917000.0,0.0,0.0,5400.0,25917000.0,300.0,-300.0,0,0.0,1440000.0,-1440000.0,0,0.0
10/08/2026,4850.0,4800.0,50.0,0.01041667,4800.0,4860.0,4770.0,10700.0,51548000.0,0.0,0.0,10700.0,51548000.0,-1900.0,1900.0,0,0.0,-9065000.0,9065000.0,0,0.0
07/08/2026,4800.0,4800.0,0.0,0.0,4800.0,4830.0,4800.0,5900.0,28335000.0,0.0,0.0,5900.0,28335000.0,-900.0,900.0,0,0.0,-4320000.0,4320000.0,0,0.0
06/08/2026,4800.0,4750.0,50.0,0.01052632,4770.0,4800.0,4740.0,25000.0,119855000.0,0.0,0.0,25000.0,119855000.0,4800.0,-4800.0,0,0.0,22944000.0,-22944000.0,0,0.0
05/08/2026,4750.0,4750.0,0.0,0.0,4750.0,4820.0,4700.0,31300.0,148205000.0,0.0,0.0,31300.0,148205000.0,19300.0,-7700.0,0,-11600.0,91201000.0,-36597000.0,0,-54604000.0
04/08/2026,4750.0,4820.0,-70.0,-0.01452282,4820.0,4820.0,4750.0,12492.0,59463800.0,0.0,0.0,12492.0,59463800.0,-6090.0,6090.0,0,0.0,-28933000.0,28933000.0,0,0.0
03/08/2026,4820.0,4800.0,20.0,0.00416667,4800.0,4850.0,4730.0,21900.0,105048000.0,0.0,0.0,21900.0,105048000.0,7300.0,-5900.0,0,-1400.0,35019000.0,-28397000.0,0,-6622000.0
31/07/2026,4800.0,4990.0,-190.0,-0.03807615,4990.0,4990.0,4800.0,10900.0,52450000.0,0.0,0.0,10900.0,52450000.0,-1800.0,1800.0,0,0.0,-8665000.0,8665000.0,0,0.0
30/07/2026,4990.0,4740.0,250.0,0.05274262,4780.0,5000.0,4750.0,43800.0,209565000.0,0.0,0.0,43800.0,209565000.0,-14500.0,14500.0,0,0.0,-68941000.0,68941000.0,0,0.0
29/07/2026,4740.0,4900.0,-160.0,-0.03265306,4750.0,4940.0,4740.0,22103.0,105581650.0,0.0,0.0,22103.0,105581650.0,11000.0,-11000.0,0,0.0,52312001.0,-52312000.0,0,0.0
28/07/2026,4900.0,4800.0,100.0,0.02083333,4790.0,4980.0,4750.0,1524.0,7340750.0,0.0,0.0,1524.0,7340750.0,-1049.0,1049.0,0,0.0,-5019000.0,5019000.0,0,0.0
27/07/2026,4800.0,4940.0,-140.0,-0.02834008,4940.0,4940.0,4800.0,19521.0,94125740.0,0.0,0.0,19521.0,94125740.0,-83.0,83.0,0,0.0,-410020.0,410020.0,0,0.0
24/07/2026,4940.0,4870.0,70.0,0.01437372,4960.0,4960.0,4930.0,1743.0,8616550.0,0.0,0.0,1743.0,8616550.0,543.0,-543.0,0,0.0,2688551.0,-2688550.0,0,0.0
23/07/2026,4870.0,4980.0,-110.0,-0.02208835,4980.0,4980.0,4860.0,7103.0,34678550.0,0.0,0.0,7103.0,34678550.0,-3099.0,3099.0,0,0.0,-15049350.0,15049350.0,0,0.0
22/07/2026,4980.0,4990.0,-10.0,-0.00200401,4990.0,4990.0,4980.0,6400.0,31885000.0,0.0,0.0,6400.0,31885000.0,-6400.0,6400.0,0,0.0,-31885000.0,31885000.0,0,0.0
21/07/2026,4990.0,5070.0,-80.0,-0.01577909,5000.0,5000.0,4860.0,2000.0,9887000.0,0.0,0.0,2000.0,9887000.0,0.0,0.0,0,0.0,1000.0,-1000.0,0,0.0
20/07/2026,5070.0,5080.0,-10.0,-0.0019685,5050.0,5070.0,4990.0,5100.0,25531000.0,0.0,0.0,5100.0,25531000.0,-2400.0,2400.0,0,0.0,-12019000.0,12019000.0,0,0.0
17/07/2026,5080.0,4980.0,100.0,0.02008032,5090.0,5090.0,5080.0,5705.0,29030290.0,0.0,0.0,5705.0,29030290.0,405.0,-405.0,0,0.0,2062000.0,-2062000.0,0,0.0
16/07/2026,4980.0,5000.0,-20.0,-0.004,5000.0,5000.0,4980.0,10500.0,52300000.0,0.0,0.0,10500.0,52300000.0,-4700.0,4700.0,0,0.0,-23411000.0,23411000.0,0,0.0
15/07/2026,5000.0,5020.0,-20.0,-0.00398406,5020.0,5020.0,5000.0,18206.0,91050600.0,0.0,0.0,18206.0,91050600.0,-10800.0,10800.0,0,0.0,-54000000.0,54000000.0,0,0.0
14/07/2026,5020.0,5080.0,-60.0,-0.01181102,5080.0,5080.0,5000.0,15800.0,79193000.0,0.0,0.0,15800.0,79193000.0,-15000.0,15000.0,0,0.0,-75186000.0,75186000.0,0,0.0
13/07/2026,5080.0,5080.0,0.0,0.0,5090.0,5090.0,5000.0,18898.0,94727800.0,0.0,0.0,18898.0,94727800.0,-4210.0,4210.0,0,0.0,-20978800.0,20978800.0,0,0.0
10/07/2026,5080.0,5080.0,0.0,0.0,5000.0,5120.0,5000.0,19700.0,99303000.0,0.0,0.0,19700.0,99303000.0,-5300.0,5300.0,0,0.0,-26946000.0,26946000.0,0,0.0
09/07/2026,5080.0,5080.0,0.0,0.0,5060.0,5100.0,5020.0,12932.0,65238560.0,0.0,0.0,12932.0,65238560.0,-11632.0,11632.0,0,0.0,-58642560.0,58642560.0,0,0.0
08/07/2026,5080.0,5080.0,0.0,0.0,4960.0,5080.0,4920.0,10542.0,53263340.0,0.0,0.0,10542.0,53263340.0,-6100.0,6101.0,0,-1.0,-30971001.0,30976060.0,0,-5060.0
07/07/2026,5080.0,4880.0,202.0,0.04141041,5120.0,5190.0,4930.0,12500.0,63237000.0,0.0,0.0,12500.0,63237000.0,-1100.0,2100.0,0,-1000.0,-5473000.0,10473000.0,0,-5000000.0
06/07/2026,4878.0,5020.0,-20.0,-0.00398406,4897.512,4985.316,4878.0,24500.0,123257000.0,0.0,0.0,24500.0,123257000.0,-2200.0,2200.0,0,0.0,-11230000.0,11230000.0,0,0.0
03/07/2026,4897.512,5020.0,0.0,0.0,4907.268,4975.56,4897.512,23200.0,116632000.0,0.0,0.0,23200.0,116632000.0,-10900.0,10900.0,0,0.0,-54764000.0,54764000.0,0,0.0
02/07/2026,4897.512,5090.0,-70.0,-0.01375246,4965.804,4965.804,4897.512,22101.0,111364100.0,0.0,0.0,22101.0,111364100.0,-101.0,101.0,0,0.0,-534100.0,534100.0,0,0.0
