NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,68000.0,67100.0,900.0,0.01341282,67900.0,68000.0,67900.0,502.0,34116000.0,0.0,0.0,502.0,34116000.0,-500.0,0.0,0.0,500.0,-33980000.0,0.0,0.0,33980000.0
28/08/2026,67100.0,66100.0,1000.0,0.01512859,66100.0,67100.0,66100.0,300.0,19930000.0,0.0,0.0,300.0,19930000.0,200.0,-200.0,0.0,0.0,13220000.0,-13220000.0,0.0,0.0
27/08/2026,66100.0,66100.0,0.0,0.0,66100.0,66100.0,66100.0,336.0,22184900.0,0.0,0.0,336.0,22184900.0,0.0,100.0,0.0,-100.0,0.0,6610000.0,0.0,-6610000.0
26/08/2026,66100.0,70000.0,-3900.0,-0.05571429,66300.0,66600.0,66100.0,1700.0,112650000.0,0.0,0.0,1700.0,112650000.0,500.0,300.0,0.0,-800.0,33090000.0,19870000.0,0.0,-52960000.0
25/08/2026,70000.0,70000.0,0.0,0.0,70000.0,70000.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,70000.0,67401.0,2600.0,0.03857567,70000.0,70000.0,70000.0,200.0,14000000.0,0.0,0.0,200.0,14000000.0,-200.0,200.0,0.0,0.0,-14000000.0,14000000.0,0.0,0.0
21/08/2026,67401.28,69400.0,0.0,0.0,67401.28,67401.28,67401.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,67401.28,69400.0,0.0,0.0,67401.28,67401.28,67401.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,67401.28,69500.0,-100.0,-0.00143885,67401.28,67401.28,67401.28,200.0,13880000.0,0.0,0.0,200.0,13880000.0,-100.0,100.0,0.0,0.0,-6940000.0,6940000.0,0.0,0.0
18/08/2026,67498.4,67100.0,2400.0,0.03576751,67498.4,67498.4,67498.4,118.0,8145500.0,0.0,0.0,118.0,8145500.0,5.0,-5.0,0.0,0.0,327100.0,-327100.0,0.0,0.0
17/08/2026,65167.52,67100.0,0.0,0.0,65167.52,65167.52,65167.52,200.0,13420000.0,0.0,0.0,200.0,13420000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,65167.52,67100.0,0.0,0.0,65167.52,65167.52,65167.52,56.0,3568700.0,0.0,0.0,56.0,3568700.0,56.0,0.0,0.0,-56.0,3568700.0,0.0,0.0,-3568700.0
13/08/2026,65167.52,68500.0,-1400.0,-0.02043796,66527.2,66915.68,65167.52,1300.0,89190000.0,0.0,0.0,1300.0,89190000.0,300.0,-300.0,0.0,0.0,20670000.0,-20670000.0,0.0,0.0
12/08/2026,66527.2,68500.0,0.0,0.0,66527.2,66527.2,66527.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,66527.2,67900.0,600.0,0.00883652,64487.68,66527.2,64487.68,2800.0,186720000.0,0.0,0.0,2800.0,186720000.0,-800.0,600.0,0.0,200.0,-53890000.0,40610000.0,0.0,13280000.0
10/08/2026,65944.48,66600.0,1300.0,0.01951952,65847.36,65944.48,65847.36,1311.0,88984600.0,0.0,0.0,1311.0,88984600.0,396.0,-396.0,0.0,0.0,26877600.0,-26877600.0,0.0,0.0
07/08/2026,64681.92,66700.0,-100.0,-0.00149925,64779.04,64876.16,64681.92,1100.0,73320000.0,0.0,0.0,1100.0,73320000.0,-100.0,100.0,0.0,0.0,-6660000.0,6660000.0,0.0,0.0
06/08/2026,64779.04,68800.0,-2100.0,-0.03052326,64681.92,66721.44,64681.92,1800.0,121950000.0,0.0,0.0,1800.0,121950000.0,600.0,-700.0,0.0,100.0,41410000.0,-48090000.0,0.0,6680000.0
05/08/2026,66818.56,68800.0,0.0,0.0,64876.16,66818.56,64876.16,1102.0,74437800.0,0.0,0.0,1102.0,74437800.0,-499.0,201.0,0.0,298.0,-34141200.0,13639000.0,0.0,20502200.0
04/08/2026,66818.56,68800.0,0.0,0.0,66818.56,66818.56,66818.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/08/2026,66818.56,68800.0,0.0,0.0,66818.56,67984.0,66721.44,1400.0,96710000.0,0.0,0.0,1400.0,96710000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,66818.56,68800.0,0.0,0.0,66818.56,66818.56,66818.56,500.0,34400000.0,0.0,0.0,500.0,34400000.0,-300.0,0.0,0.0,300.0,-20640000.0,0.0,0.0,20640000.0
30/07/2026,66818.56,68800.0,0.0,0.0,66818.56,66818.56,66818.56,906.0,62332200.0,0.0,0.0,906.0,62332200.0,-594.0,100.0,0.0,494.0,-40867801.0,6880000.0,0.0,33987800.0
29/07/2026,66818.56,70000.0,-1200.0,-0.01714286,66624.32,66915.68,66624.32,2302.0,158347800.0,0.0,0.0,2302.0,158347800.0,-900.0,500.0,0.0,400.0,-61950001.0,34400000.0,0.0,27550000.0
28/07/2026,67984.0,69700.0,300.0,0.00430416,67498.4,67984.0,67498.4,600.0,41850000.0,0.0,0.0,600.0,41850000.0,-400.0,0.0,0.0,400.0,-27900000.0,0.0,0.0,27900000.0
