NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,20500.0,20950.0,-450.0,-0.02147971,20850.0,20850.0,20400.0,1033773.0,21295065450.0,0.0,0.0,1033773.0,21295065450.0,0.0,0.0,-5000.0,-403200.0,0.0,0.0,-103000000.0,-8305960000.0
28/08/2026,20950.0,21000.0,-50.0,-0.00238095,21100.0,21100.0,20900.0,434071.0,9090069700.0,0.0,0.0,434071.0,9090069700.0,236670.0,53630.0,0.0,-290300.0,4955728000.0,1122807000.0,0.0,-6078535000.0
27/08/2026,21000.0,21100.0,-100.0,-0.00473934,21100.0,21100.0,20900.0,736132.0,15457002650.0,0.0,0.0,736132.0,15457002650.0,355030.0,19970.0,0.0,-375000.0,7455171400.0,417808600.0,0.0,-7872980000.0
26/08/2026,21100.0,21200.0,-100.0,-0.00471698,21300.0,21300.0,21050.0,563720.0,11926049750.0,0.0,0.0,563720.0,11926049750.0,181995.0,-21595.0,22600.0,-160400.0,3854297050.0,-461617051.0,478870000.0,-3392680000.0
25/08/2026,21200.0,21350.0,-150.0,-0.00702576,21350.0,21500.0,21150.0,507764.0,10808772700.0,0.0,0.0,507764.0,10808772700.0,104628.0,34672.0,57600.0,-139300.0,2226361750.0,741443250.0,1224900000.0,-2967805000.0
24/08/2026,21350.0,21400.0,-50.0,-0.00233645,21600.0,21700.0,21300.0,590188.0,12643783600.0,0.0,0.0,590188.0,12643783600.0,-146229.0,185029.0,60000.0,-38800.0,-3129718900.0,3959378900.0,1284500000.0,-829660000.0
21/08/2026,21400.0,21250.0,150.0,0.00705882,21250.0,21450.0,21150.0,733299.0,15641930100.0,0.0,0.0,733299.0,15641930100.0,111106.0,100794.0,25000.0,-211900.0,2375323900.0,2148071100.0,531000000.0,-4523395000.0
20/08/2026,21250.0,21250.0,0.0,0.0,21350.0,21400.0,21200.0,382073.0,8124789650.0,0.0,0.0,382073.0,8124789650.0,83899.0,61501.0,20000.0,-145400.0,1782622250.0,1307932750.0,424750000.0,-3090555000.0
19/08/2026,21250.0,21300.0,-50.0,-0.00234742,21300.0,21350.0,21200.0,374706.0,7973457450.0,0.0,0.0,374706.0,7973457450.0,98526.0,-6226.0,45000.0,-92300.0,2099839500.0,-134274500.0,957100000.0,-1965565000.0
18/08/2026,21300.0,21300.0,0.0,0.0,21500.0,21800.0,21250.0,476948.0,10220298300.0,0.0,0.0,476948.0,10220298300.0,83378.0,52022.0,0.0,-135400.0,1778095900.0,1124669100.0,0.0,-2902765000.0
