NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,12200.0,12200.0,0.0,0.0,12300.0,12300.0,12000.0,345524.0,4188542800.0,0.0,0.0,345524.0,4188542800.0,7300.0,0.0,0.0,-7300.0,89040000.0,0.0,0.0,-89040000.0
03/09/2026,12200.0,12500.0,-300.0,-0.024,12450.0,12450.0,12200.0,426672.0,5261922950.0,0.0,0.0,426672.0,5261922950.0,11300.0,0.0,0.0,-11300.0,140435000.0,0.0,0.0,-140435000.0
28/08/2026,12500.0,12550.0,-50.0,-0.00398406,12550.0,12600.0,12450.0,205635.0,2574959100.0,0.0,0.0,205635.0,2574959100.0,5600.0,-1700.0,0.0,-3900.0,70440000.0,-21520000.0,0.0,-48920000.0
27/08/2026,12550.0,12700.0,-150.0,-0.01181102,12650.0,12850.0,12550.0,241603.0,3052659700.0,0.0,0.0,241603.0,3052659700.0,6150.0,3550.0,0.0,-9700.0,78985000.0,43890000.0,0.0,-122875000.0
26/08/2026,12700.0,12800.0,-100.0,-0.0078125,12900.0,12900.0,12700.0,381532.0,4864987100.0,0.0,0.0,381532.0,4864987100.0,33410.0,-23310.0,0.0,-10100.0,422907550.0,-293677550.0,0.0,-129230000.0
25/08/2026,12800.0,13350.0,-550.0,-0.0411985,13250.0,13250.0,12800.0,582459.0,7550359450.0,0.0,0.0,582459.0,7550359450.0,55403.0,-47403.0,0.0,-8000.0,715610100.0,-610450100.0,0.0,-105160000.0
24/08/2026,13350.0,12550.0,800.0,0.06374502,12650.0,13350.0,12450.0,702774.0,8979314850.0,500000.0,6500000000.0,1202774.0,15479314850.0,86038.0,-93338.0,0.0,7300.0,1101613500.0,-1194473500.0,0.0,92860000.0
21/08/2026,12550.0,12500.0,50.0,0.004,12350.0,12650.0,12200.0,926363.0,11557458400.0,0.0,0.0,926363.0,11557458400.0,276805.0,-302305.0,0.0,25500.0,3475643750.0,-3796993750.0,0.0,321350000.0
20/08/2026,12500.0,12450.0,50.0,0.00401606,12650.0,12700.0,12350.0,248058.0,3089815900.0,0.0,0.0,248058.0,3089815900.0,-124948.0,130348.0,0.0,-5400.0,-1558654400.0,1625434399.0,0.0,-66780000.0
19/08/2026,12450.0,13350.0,-900.0,-0.06741573,13350.0,13350.0,12450.0,3981564.0,49691485400.0,0.0,0.0,3981564.0,49691485400.0,1547899.0,-1647199.0,0.0,99300.0,19274970900.0,-20511230900.0,0.0,1236260000.0
18/08/2026,13350.0,13450.0,-100.0,-0.00743494,13500.0,13500.0,13200.0,228372.0,3040227200.0,0.0,0.0,228372.0,3040227200.0,27995.0,-27995.0,0.0,0.0,368257500.0,-368257500.0,0.0,0.0
17/08/2026,13450.0,13400.0,50.0,0.00373134,13400.0,13450.0,13200.0,175565.0,2338533300.0,0.0,0.0,175565.0,2338533300.0,29787.0,-22787.0,0.0,-7000.0,394319000.0,-300489000.0,0.0,-93830000.0
14/08/2026,13400.0,13450.0,-50.0,-0.00371747,13550.0,13550.0,13150.0,369513.0,4929705350.0,0.0,0.0,369513.0,4929705350.0,40989.0,-40989.0,0.0,0.0,539566550.0,-539566550.0,0.0,0.0
13/08/2026,13450.0,13600.0,-150.0,-0.01102941,13600.0,13600.0,13350.0,193184.0,2602386050.0,0.0,0.0,193184.0,2602386050.0,8953.0,-8953.0,0.0,0.0,119996000.0,-119996000.0,0.0,0.0
12/08/2026,13600.0,13650.0,-50.0,-0.003663,13750.0,13750.0,13500.0,212442.0,2891621050.0,0.0,0.0,212442.0,2891621050.0,10191.0,-10191.0,0.0,0.0,138825649.0,-138825650.0,0.0,0.0
11/08/2026,13650.0,13700.0,-50.0,-0.00364964,13700.0,13800.0,13550.0,140614.0,1915430450.0,0.0,0.0,140614.0,1915430450.0,-2686.0,3586.0,0.0,-900.0,-35650450.0,47980450.0,0.0,-12330000.0
10/08/2026,13700.0,13600.0,100.0,0.00735294,13300.0,13700.0,13300.0,286102.0,3879097200.0,400000.0,5330000000.0,686102.0,9209097200.0,43849.0,-43049.0,0.0,-800.0,596187500.0,-585387500.0,0.0,-10800000.0
07/08/2026,13600.0,13700.0,-100.0,-0.00729927,13600.0,13600.0,13400.0,178543.0,2409890050.0,0.0,0.0,178543.0,2409890050.0,12869.0,-12369.0,0.0,-500.0,171876300.0,-165046300.0,0.0,-6830000.0
06/08/2026,13700.0,13700.0,0.0,0.0,13700.0,13700.0,13400.0,224628.0,3038805000.0,0.0,0.0,224628.0,3038805000.0,77979.0,-62679.0,0.0,-15300.0,1047270950.0,-840480950.0,0.0,-206790000.0
05/08/2026,13700.0,13850.0,-150.0,-0.01083032,13850.0,14100.0,13650.0,301542.0,4166190600.0,0.0,0.0,301542.0,4166190600.0,78929.0,-78929.0,0.0,0.0,1091964800.0,-1091964800.0,0.0,0.0
04/08/2026,13850.0,14000.0,-150.0,-0.01071429,13900.0,13950.0,13750.0,277500.0,3829895000.0,0.0,0.0,277500.0,3829895000.0,99508.0,-99608.0,0.0,100.0,1372778400.0,-1374173400.0,0.0,1395000.0
03/08/2026,14000.0,13700.0,300.0,0.02189781,13700.0,14100.0,13550.0,543185.0,7508941250.0,200000.0,2800000000.0,743185.0,10308941250.0,236290.0,-254390.0,0.0,18100.0,3250993400.0,-3500918400.0,0.0,249925000.0
31/07/2026,13700.0,13700.0,0.0,0.0,13800.0,13800.0,13500.0,290521.0,3952668500.0,0.0,0.0,290521.0,3952668500.0,-38316.0,46016.0,0.0,-7700.0,-524345000.0,629580000.0,0.0,-105235000.0
30/07/2026,13700.0,13700.0,0.0,0.0,13550.0,13800.0,13550.0,453070.0,6184329000.0,0.0,0.0,453070.0,6184329000.0,99755.0,-102455.0,0.0,2700.0,1364963500.0,-1401683500.0,0.0,36720000.0
29/07/2026,13700.0,14000.0,-300.0,-0.02142857,13750.0,13800.0,13550.0,310767.0,4235024400.0,100000.0,1400000000.0,410767.0,5635024400.0,-110356.0,70356.0,0.0,40000.0,-1503815650.0,955815650.0,0.0,548000000.0
28/07/2026,14000.0,14000.0,0.0,0.0,13500.0,14000.0,13200.0,538002.0,7300165750.0,0.0,0.0,538002.0,7300165750.0,142610.0,-141610.0,0.0,-1000.0,1917731200.0,-1904846200.0,0.0,-12885000.0
27/07/2026,14000.0,14350.0,-350.0,-0.02439024,14050.0,14350.0,13900.0,269489.0,3804065000.0,0.0,0.0,269489.0,3804065000.0,-33048.0,39948.0,0.0,-6900.0,-459178800.0,556983800.0,0.0,-97805000.0
24/07/2026,14350.0,14500.0,-150.0,-0.01034483,14500.0,14500.0,14100.0,198966.0,2828031850.0,0.0,0.0,198966.0,2828031850.0,-80156.0,69756.0,0.0,10400.0,-1143498000.0,995298000.0,0.0,148200000.0
23/07/2026,14500.0,14550.0,-50.0,-0.00343643,14400.0,14500.0,14150.0,227534.0,3260792650.0,0.0,0.0,227534.0,3260792650.0,-30019.0,19919.0,0.0,10100.0,-435371401.0,291951400.0,0.0,143420000.0
22/07/2026,14550.0,14650.0,-100.0,-0.00682594,14700.0,14700.0,14250.0,221680.0,3196192100.0,0.0,0.0,221680.0,3196192100.0,-75918.0,71118.0,0.0,4800.0,-1100787400.0,1032522400.0,0.0,68265000.0
21/07/2026,14650.0,14800.0,-150.0,-0.01013514,14700.0,14700.0,14450.0,261721.0,3815039650.0,0.0,0.0,261721.0,3815039650.0,-200445.0,205745.0,0.0,-5300.0,-2924556001.0,3001616000.0,0.0,-77060000.0
20/07/2026,14800.0,14850.0,-50.0,-0.003367,14550.0,14800.0,14400.0,231030.0,3369945050.0,0.0,0.0,231030.0,3369945050.0,-80260.0,79460.0,0.0,800.0,-1174755001.0,1163195000.0,0.0,11560000.0
17/07/2026,14850.0,14850.0,0.0,0.0,14700.0,14850.0,14500.0,111692.0,1641324700.0,0.0,0.0,111692.0,1641324700.0,-76750.0,86450.0,0.0,-9700.0,-1130314950.0,1271974950.0,0.0,-141660000.0
16/07/2026,14850.0,14850.0,0.0,0.0,14650.0,14850.0,14400.0,268676.0,3932725800.0,0.0,0.0,268676.0,3932725800.0,-58200.0,40200.0,0.0,18000.0,-854515000.0,591715000.0,0.0,262800000.0
15/07/2026,14850.0,15100.0,-250.0,-0.01655629,15100.0,15100.0,14750.0,285920.0,4242838000.0,0.0,0.0,285920.0,4242838000.0,-40620.0,40720.0,0.0,-100.0,-604178000.0,605663000.0,0.0,-1485000.0
14/07/2026,15100.0,14950.0,150.0,0.01003344,14850.0,15100.0,14300.0,413926.0,6145993300.0,0.0,0.0,413926.0,6145993300.0,-113800.0,96400.0,0.0,17400.0,-1692060001.0,1436640000.0,0.0,255420000.0
13/07/2026,14950.0,15000.0,-50.0,-0.00333333,15000.0,15000.0,14200.0,403059.0,5925749100.0,200000.0,3000000000.0,603059.0,8925749100.0,-146035.0,146835.0,0.0,-800.0,-2150235001.0,2162335000.0,0.0,-12100000.0
10/07/2026,15000.0,15000.0,0.0,0.0,14750.0,15050.0,14750.0,92311.0,1380154550.0,0.0,0.0,92311.0,1380154550.0,-2391.0,2891.0,0.0,-500.0,-36315450.0,43815450.0,0.0,-7500000.0
09/07/2026,15000.0,15100.0,-100.0,-0.00662252,15000.0,15000.0,14800.0,47156.0,703251400.0,0.0,0.0,47156.0,703251400.0,-1275.0,1275.0,0.0,0.0,-20250600.0,20250600.0,0.0,0.0
08/07/2026,15100.0,15000.0,100.0,0.00666667,15000.0,15100.0,14750.0,151819.0,2270712100.0,0.0,0.0,151819.0,2270712100.0,-60599.0,58999.0,0.0,1600.0,-906626500.0,882786500.0,0.0,23840000.0
07/07/2026,15000.0,15000.0,0.0,0.0,14750.0,15050.0,14750.0,177257.0,2649041900.0,0.0,0.0,177257.0,2649041900.0,-81392.0,80892.0,0.0,500.0,-1220005751.0,1212580750.0,0.0,7425000.0
06/07/2026,15000.0,15200.0,-200.0,-0.01315789,15200.0,15200.0,14200.0,285033.0,4227431900.0,500000.0,7600000000.0,785033.0,11827431900.0,-116981.0,116181.0,0.0,800.0,-1736275500.0,1724765500.0,0.0,11510000.0
03/07/2026,15200.0,15200.0,0.0,0.0,15100.0,15200.0,15000.0,155558.0,2350940950.0,0.0,0.0,155558.0,2350940950.0,-58108.0,68808.0,-3600.0,-10700.0,-880086100.0,1042726100.0,-54180000.0,-162640000.0
02/07/2026,15200.0,15200.0,0.0,0.0,15100.0,15250.0,15100.0,243836.0,3695697150.0,0.0,0.0,243836.0,3695697150.0,-23979.0,23979.0,0.0,0.0,-364841500.0,364841500.0,0.0,0.0
01/07/2026,15200.0,15350.0,-150.0,-0.00977199,15400.0,15450.0,15200.0,156666.0,2388121450.0,0.0,0.0,156666.0,2388121450.0,-47044.0,47044.0,3600.0,0.0,-717150300.0,717150300.0,55515000.0,0.0
30/06/2026,15350.0,15400.0,-50.0,-0.00324675,15400.0,15450.0,15200.0,83780.0,1285071500.0,0.0,0.0,83780.0,1285071500.0,-23519.0,27035.0,0.0,-3516.0,-361250400.0,415395500.0,0.0,-54145100.0
29/06/2026,15400.0,15400.0,0.0,0.0,15400.0,15400.0,15250.0,120850.0,1856501000.0,0.0,0.0,120850.0,1856501000.0,4201.0,19043.0,0.0,-23244.0,64335400.0,293245000.0,0.0,-357580400.0
26/06/2026,15400.0,15400.0,0.0,0.0,15400.0,15400.0,15300.0,91809.0,1412656050.0,0.0,0.0,91809.0,1412656050.0,-66846.0,73746.0,0.0,-6900.0,-1028944700.0,1135139700.0,0.0,-106195000.0
25/06/2026,15400.0,15500.0,-100.0,-0.00645161,15300.0,15500.0,15250.0,109431.0,1683454250.0,0.0,0.0,109431.0,1683454250.0,-27211.0,44411.0,0.0,-17200.0,-420803300.0,684428300.0,0.0,-263625000.0
24/06/2026,15500.0,15500.0,0.0,0.0,15400.0,15500.0,15150.0,226867.0,3467013300.0,0.0,0.0,226867.0,3467013300.0,-17595.0,54995.0,-100.0,-37400.0,-271265000.0,841235000.0,-1530000.0,-569970000.0
23/06/2026,15500.0,15650.0,-150.0,-0.00958466,15400.0,15600.0,15350.0,252124.0,3891421050.0,0.0,0.0,252124.0,3891421050.0,-22897.0,54397.0,0.0,-31500.0,-354972850.0,840717850.0,0.0,-485745000.0
22/06/2026,15650.0,15400.0,250.0,0.01623377,15450.0,15650.0,15350.0,111038.0,1710202100.0,0.0,0.0,111038.0,1710202100.0,7190.0,17410.0,0.0,-24600.0,108086000.0,270449000.0,0.0,-378535000.0
19/06/2026,15400.0,15550.0,-150.0,-0.0096463,15650.0,15650.0,15400.0,96352.0,1490438750.0,0.0,0.0,96352.0,1490438750.0,58706.0,-23006.0,0.0,-35700.0,907818051.0,-356108050.0,0.0,-551710000.0
18/06/2026,15550.0,15700.0,-150.0,-0.00955414,15700.0,15750.0,15500.0,84476.0,1319844200.0,0.0,0.0,84476.0,1319844200.0,16835.0,365.0,200.0,-17200.0,263562750.0,5267250.0,3140000.0,-268830000.0
17/06/2026,15700.0,15550.0,150.0,0.0096463,15650.0,15900.0,15600.0,142742.0,2249344750.0,0.0,0.0,142742.0,2249344750.0,19386.0,-15286.0,400.0,-4100.0,306569750.0,-240944750.0,6310000.0,-65625000.0
16/06/2026,15550.0,15550.0,0.0,0.0,15350.0,15700.0,15350.0,157476.0,2444920600.0,0.0,0.0,157476.0,2444920600.0,19629.0,-11729.0,400.0,-7900.0,308697400.0,-185737400.0,6220000.0,-122960000.0
15/06/2026,15550.0,15400.0,150.0,0.00974026,15450.0,15700.0,15350.0,222968.0,3441676000.0,0.0,0.0,222968.0,3441676000.0,28850.0,4250.0,0.0,-33100.0,445702500.0,65972500.0,0.0,-511675000.0
12/06/2026,15400.0,15450.0,-50.0,-0.00323625,15500.0,15500.0,15350.0,164809.0,2543923200.0,0.0,0.0,164809.0,2543923200.0,-33001.0,75801.0,1300.0,-42800.0,-509576600.0,1170001600.0,20050000.0,-660425000.0
11/06/2026,15450.0,15700.0,-250.0,-0.01592357,15250.0,15650.0,15250.0,96317.0,1488409600.0,0.0,0.0,96317.0,1488409600.0,-22789.0,30689.0,400.0,-7900.0,-350579500.0,473189500.0,6180000.0,-122610000.0
10/06/2026,15700.0,15550.0,150.0,0.0096463,15500.0,15700.0,15350.0,117036.0,1821832800.0,0.0,0.0,117036.0,1821832800.0,24741.0,1159.0,10500.0,-25900.0,384848100.0,18626900.0,164820000.0,-403475000.0
09/06/2026,15550.0,15400.0,150.0,0.00974026,15400.0,15600.0,15400.0,203034.0,3144812250.0,0.0,0.0,203034.0,3144812250.0,-19585.0,77185.0,0.0,-57600.0,-305483000.0,1197448000.0,0.0,-891965000.0
08/06/2026,15400.0,15850.0,-450.0,-0.02839117,15800.0,15800.0,15300.0,411320.0,6395378350.0,0.0,0.0,411320.0,6395378350.0,27615.0,58385.0,0.0,-86000.0,424635501.0,912289500.0,0.0,-1336925000.0
05/06/2026,15850.0,15900.0,-50.0,-0.00314465,16150.0,16150.0,15800.0,96549.0,1532225250.0,0.0,0.0,96549.0,1532225250.0,-12401.0,44201.0,0.0,-31800.0,-196597250.0,700877250.0,0.0,-504280000.0
04/06/2026,15900.0,15850.0,50.0,0.00315457,15850.0,16100.0,15800.0,117668.0,1865561500.0,0.0,0.0,117668.0,1865561500.0,21970.0,21630.0,0.0,-43600.0,349391450.0,343208550.0,0.0,-692600000.0
03/06/2026,15850.0,15800.0,50.0,0.00316456,15800.0,16000.0,15700.0,157294.0,2486732550.0,0.0,0.0,157294.0,2486732550.0,26548.0,34252.0,0.0,-60800.0,421153400.0,540541600.0,0.0,-961695000.0
02/06/2026,15800.0,16050.0,-250.0,-0.01557632,15900.0,16000.0,15800.0,343566.0,5446162650.0,0.0,0.0,343566.0,5446162650.0,110425.0,-9925.0,0.0,-100500.0,1749640000.0,-153680000.0,0.0,-1595960000.0
01/06/2026,16050.0,16000.0,50.0,0.003125,16000.0,16150.0,15900.0,156355.0,2501914250.0,0.0,0.0,156355.0,2501914250.0,-14602.0,29502.0,0.0,-14900.0,-235310800.0,473950800.0,0.0,-238640000.0
29/05/2026,16000.0,16150.0,-150.0,-0.00928793,16050.0,16300.0,16000.0,209861.0,3376373650.0,0.0,0.0,209861.0,3376373650.0,39470.0,13530.0,0.0,-53000.0,635003500.0,219391500.0,0.0,-854395000.0
28/05/2026,16150.0,16500.0,-350.0,-0.02121212,16500.0,16500.0,16150.0,197498.0,3222862000.0,0.0,0.0,197498.0,3222862000.0,-19836.0,37836.0,0.0,-18000.0,-322528450.0,616838450.0,0.0,-294310000.0
27/05/2026,16500.0,16550.0,-50.0,-0.00302115,16600.0,16800.0,16450.0,328788.0,5465612050.0,0.0,0.0,328788.0,5465612050.0,-11082.0,-11218.0,0.0,22300.0,-183665350.0,-186709650.0,0.0,370375000.0
26/05/2026,16550.0,16500.0,50.0,0.0030303,16350.0,16800.0,16350.0,394389.0,6534733200.0,0.0,0.0,394389.0,6534733200.0,-30054.0,15254.0,0.0,14800.0,-497041400.0,252636400.0,0.0,244405000.0
25/05/2026,16500.0,16300.0,200.0,0.01226994,16350.0,16700.0,16350.0,508889.0,8415661400.0,0.0,0.0,508889.0,8415661400.0,-15997.0,-32303.0,0.0,48300.0,-264625300.0,-533054700.0,0.0,797680000.0
