NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,13150.0,13050.0,100.0,0.00766284,13150.0,13400.0,12950.0,15561423.0,203579927550.0,0.0,0.0,15561423.0,203579927550.0,6780249.0,0.0,-400.0,-6779849.0,88607884450.0,0.0,-5260000.0,-88602624450.0
28/08/2026,13050.0,13150.0,-100.0,-0.00760456,13250.0,13250.0,13050.0,7710861.0,101221509550.0,2459975.0,34562648750.0,10170836.0,135784158300.0,2024474.0,-1294333.0,-14400.0,-730141.0,26586173000.0,-17006721800.0,-189360000.0,-9579451200.0
27/08/2026,13150.0,13250.0,-100.0,-0.00754717,13300.0,13400.0,13150.0,5791104.0,76632781350.0,0.0,0.0,5791104.0,76632781350.0,1913232.0,-210732.0,0.0,-1702500.0,25316753550.0,-2801723550.0,0.0,-22515030000.0
26/08/2026,13250.0,13300.0,-50.0,-0.0037594,13250.0,13450.0,13250.0,6935973.0,92312346950.0,2697000.0,35174500000.0,9632973.0,127486846950.0,428104.0,-369327.0,0.0,-58777.0,5720651500.0,-4927602400.0,0.0,-793049100.0
25/08/2026,13300.0,13550.0,-250.0,-0.01845018,13650.0,13700.0,13300.0,7455072.0,100055448600.0,200000.0,2710000000.0,7655072.0,102765448600.0,-63876.0,255009.0,0.0,-191133.0,-842006800.0,3435945750.0,0.0,-2593938950.0
24/08/2026,13550.0,13350.0,200.0,0.01498127,13550.0,13800.0,13400.0,12380626.0,168477694600.0,0.0,0.0,12380626.0,168477694600.0,1288649.0,-2166456.0,1300.0,877807.0,17447016599.0,-29404916100.0,17810000.0,11957899500.0
21/08/2026,13350.0,13000.0,350.0,0.02692308,13000.0,13450.0,12900.0,11766104.0,155512628150.0,0.0,0.0,11766104.0,155512628150.0,-2591919.0,1303819.0,0.0,1288100.0,-34062585700.0,17021715700.0,0.0,17040870000.0
20/08/2026,13000.0,13000.0,0.0,0.0,12900.0,13100.0,12800.0,9028253.0,116827771700.0,2459975.0,34193652500.0,11488228.0,151021424200.0,3169.0,1394368.0,0.0,-1397537.0,69186900.0,18025343650.0,0.0,-18094530550.0
19/08/2026,13000.0,13200.0,-200.0,-0.01515152,13150.0,13400.0,12850.0,11041775.0,144181888550.0,0.0,0.0,11041775.0,144181888550.0,1318099.0,-852188.0,-24200.0,-465911.0,17437648650.0,-11294106750.0,-315710000.0,-6143541900.0
18/08/2026,13200.0,13200.0,0.0,0.0,13300.0,13550.0,13100.0,8618852.0,114879449650.0,0.0,0.0,8618852.0,114879449650.0,1182298.0,-1183517.0,0.0,1219.0,15847580950.0,-15876210950.0,0.0,28630000.0
17/08/2026,13200.0,13250.0,-50.0,-0.00377358,13200.0,13500.0,13000.0,12027789.0,159012166100.0,3168076.0,40216565200.0,15195865.0,199228731300.0,18559.0,-1508009.0,22300.0,1489450.0,241958750.0,-20024081500.0,295125000.0,19782122750.0
