NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,7290.0,7070.0,220.0,0.0311174,7070.0,7290.0,7070.0,300.0,2143000.0,0.0,0.0,300.0,2143000.0,100.0,-100.0,0.0,0.0,685000.0,-685000.0,0.0,0.0
27/08/2026,7070.0,7070.0,0.0,0.0,7070.0,7070.0,7070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,7070.0,7070.0,0.0,0.0,7070.0,7070.0,7070.0,1000.0,7070000.0,0.0,0.0,1000.0,7070000.0,-1000.0,1000.0,0.0,0.0,-7070000.0,7070000.0,0.0,0.0
25/08/2026,7070.0,7520.0,-450.0,-0.05984043,7080.0,7080.0,7070.0,300.0,2123000.0,0.0,0.0,300.0,2123000.0,-300.0,300.0,0.0,0.0,-2123000.0,2123000.0,0.0,0.0
24/08/2026,7520.0,7520.0,0.0,0.0,7520.0,7520.0,7520.0,200.0,1504000.0,0.0,0.0,200.0,1504000.0,-200.0,200.0,0.0,0.0,-1504000.0,1504000.0,0.0,0.0
21/08/2026,7520.0,7030.0,490.0,0.06970128,7000.0,7520.0,7000.0,6700.0,49809000.0,0.0,0.0,6700.0,49809000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,7030.0,7000.0,30.0,0.00428571,7030.0,7030.0,7030.0,100.0,703000.0,0.0,0.0,100.0,703000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,7000.0,7000.0,0.0,0.0,7000.0,7000.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,7000.0,7000.0,0.0,0.0,7000.0,7000.0,7000.0,1100.0,7700000.0,0.0,0.0,1100.0,7700000.0,-100.0,100.0,0.0,0.0,-700000.0,700000.0,0.0,0.0
17/08/2026,7000.0,7100.0,-100.0,-0.01408451,7100.0,7100.0,7000.0,201.0,1417100.0,0.0,0.0,201.0,1417100.0,-1.0,1.0,0.0,0.0,-7100.0,7100.0,0.0,0.0
14/08/2026,7100.0,7380.0,-280.0,-0.03794038,7100.0,7100.0,7100.0,1000.0,7100000.0,0.0,0.0,1000.0,7100000.0,-200.0,100.0,0.0,100.0,-1420000.0,710000.0,0.0,710000.0
13/08/2026,7380.0,6900.0,480.0,0.06956522,7290.0,7380.0,7290.0,1400.0,10312000.0,0.0,0.0,1400.0,10312000.0,0.0,0.0,0.0,0.0,2000.0,-2000.0,0.0,0.0
12/08/2026,6900.0,7000.0,-100.0,-0.01428571,6900.0,6900.0,6900.0,201.0,1387000.0,0.0,0.0,201.0,1387000.0,-200.0,200.0,0.0,0.0,-1380000.0,1380000.0,0.0,0.0
11/08/2026,7000.0,7000.0,0.0,0.0,7000.0,7000.0,7000.0,40.0,281830.0,0.0,0.0,40.0,281830.0,-25.0,25.0,0.0,0.0,-176501.0,176500.0,0.0,0.0
10/08/2026,7000.0,7000.0,0.0,0.0,7000.0,7000.0,7000.0,1.0,7060.0,0.0,0.0,1.0,7060.0,-1.0,1.0,0.0,0.0,-7060.0,7060.0,0.0,0.0
07/08/2026,7000.0,7000.0,0.0,0.0,7000.0,7000.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,7000.0,7200.0,-200.0,-0.02777778,7100.0,7100.0,7000.0,1306.0,9163670.0,0.0,0.0,1306.0,9163670.0,-1004.0,1004.0,0.0,0.0,-7028240.0,7028240.0,0.0,0.0
05/08/2026,7200.0,7060.0,140.0,0.01983003,7090.0,7440.0,7090.0,802.0,5807190.0,0.0,0.0,802.0,5807190.0,300.0,-400.0,0.0,100.0,2116001.0,-2856000.0,0.0,740000.0
04/08/2026,7060.0,7500.0,-440.0,-0.05866667,7030.0,7060.0,7030.0,200.0,1409000.0,0.0,0.0,200.0,1409000.0,-100.0,100.0,0.0,0.0,-706000.0,706000.0,0.0,0.0
03/08/2026,7500.0,7500.0,0.0,0.0,7500.0,7500.0,7500.0,2.0,15000.0,0.0,0.0,2.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,7500.0,7500.0,0.0,0.0,7500.0,7500.0,7500.0,101.0,758000.0,0.0,0.0,101.0,758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/07/2026,7500.0,7500.0,0.0,0.0,7500.0,7500.0,7500.0,1.0,7860.0,0.0,0.0,1.0,7860.0,-1.0,1.0,0.0,0.0,-7860.0,7860.0,0.0,0.0
29/07/2026,7500.0,7500.0,0.0,0.0,7500.0,7500.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,7500.0,7500.0,0.0,0.0,7500.0,7500.0,7500.0,9.0,68850.0,0.0,0.0,9.0,68850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/07/2026,7500.0,7500.0,0.0,0.0,7500.0,7500.0,7500.0,76.0,570000.0,0.0,0.0,76.0,570000.0,1.0,-1.0,0.0,0.0,7500.0,-7500.0,0.0,0.0
24/07/2026,7500.0,7500.0,0.0,0.0,7500.0,7500.0,7500.0,119.0,845300.0,0.0,0.0,119.0,845300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/07/2026,7500.0,7450.0,50.0,0.00671141,7000.0,7500.0,7000.0,200.0,1450000.0,0.0,0.0,200.0,1450000.0,200.0,-200.0,0.0,0.0,1450000.0,-1450000.0,0.0,0.0
22/07/2026,7450.0,7450.0,0.0,0.0,7450.0,7450.0,7450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/07/2026,7450.0,7450.0,0.0,0.0,7450.0,7450.0,7450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/07/2026,7450.0,7960.0,-510.0,-0.06407035,7450.0,7450.0,7450.0,101.0,752960.0,0.0,0.0,101.0,752960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/07/2026,7960.0,7960.0,0.0,0.0,7960.0,7960.0,7960.0,1.0,7960.0,0.0,0.0,1.0,7960.0,1.0,-1.0,0.0,0.0,7960.0,-7960.0,0.0,0.0
16/07/2026,7960.0,7500.0,460.0,0.06133333,7960.0,7960.0,7960.0,101.0,802980.0,0.0,0.0,101.0,802980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/07/2026,7500.0,7500.0,0.0,0.0,7500.0,7500.0,7500.0,3.0,22500.0,0.0,0.0,3.0,22500.0,3.0,-3.0,0.0,0.0,22500.0,-22500.0,0.0,0.0
14/07/2026,7500.0,7500.0,0.0,0.0,7500.0,7500.0,7500.0,1.0,7500.0,0.0,0.0,1.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/07/2026,7500.0,7970.0,-470.0,-0.05897114,7500.0,7500.0,7500.0,206.0,1547820.0,0.0,0.0,206.0,1547820.0,-3.0,3.0,0.0,0.0,-23911.0,23910.0,0.0,0.0
10/07/2026,7970.0,7480.0,490.0,0.06550802,7970.0,7970.0,7970.0,105.0,831800.0,0.0,0.0,105.0,831800.0,-1.0,1.0,0.0,0.0,-6961.0,6960.0,0.0,0.0
09/07/2026,7480.0,7480.0,0.0,0.0,7480.0,7480.0,7480.0,1.0,7480.0,0.0,0.0,1.0,7480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/07/2026,7480.0,7480.0,0.0,0.0,7020.0,7480.0,7020.0,200.0,1450000.0,0.0,0.0,200.0,1450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/07/2026,7480.0,7480.0,0.0,0.0,7480.0,7480.0,7480.0,15.0,105150.0,0.0,0.0,15.0,105150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07/2026,7480.0,7340.0,140.0,0.01907357,7480.0,7480.0,7480.0,2052.0,15349960.0,0.0,0.0,2052.0,15349960.0,400.0,0.0,0.0,-400.0,2992000.0,0.0,0.0,-2992000.0
03/07/2026,7340.0,7890.0,-550.0,-0.06970849,7880.0,7880.0,7340.0,401.0,3051880.0,0.0,0.0,401.0,3051880.0,100.0,-100.0,0.0,0.0,788000.0,-788000.0,0.0,0.0
02/07/2026,7890.0,7890.0,0.0,0.0,7890.0,7890.0,7890.0,52.0,410570.0,0.0,0.0,52.0,410570.0,23.0,-23.0,0.0,0.0,181470.0,-181470.0,0.0,0.0
01/07/2026,7890.0,7820.0,70.0,0.00895141,7810.0,7990.0,7810.0,1062.0,8352400.0,0.0,0.0,1062.0,8352400.0,167.0,-67.0,0.0,-100.0,1316040.0,-523040.0,0.0,-793000.0
30/06/2026,7820.0,7790.0,30.0,0.00385109,7260.0,7820.0,7250.0,302.0,2248580.0,0.0,0.0,302.0,2248580.0,100.0,-100.0,0.0,0.0,782000.0,-782000.0,0.0,0.0
29/06/2026,7790.0,7790.0,0.0,0.0,7790.0,7790.0,7790.0,1.0,7780.0,0.0,0.0,1.0,7780.0,1.0,-1.0,0.0,0.0,7780.0,-7780.0,0.0,0.0
26/06/2026,7790.0,7850.0,-60.0,-0.00764331,7790.0,7790.0,7790.0,200.0,1558000.0,0.0,0.0,200.0,1558000.0,-200.0,200.0,0.0,0.0,-1558000.0,1558000.0,0.0,0.0
25/06/2026,7850.0,7850.0,0.0,0.0,7850.0,7850.0,7850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/06/2026,7850.0,7800.0,50.0,0.00641026,7850.0,7850.0,7850.0,100.0,785000.0,0.0,0.0,100.0,785000.0,-100.0,100.0,0.0,0.0,-785000.0,785000.0,0.0,0.0
23/06/2026,7800.0,7800.0,0.0,0.0,7800.0,7800.0,7800.0,3.0,22580.0,0.0,0.0,3.0,22580.0,-1.0,1.0,0.0,0.0,-7290.0,7290.0,0.0,0.0
22/06/2026,7800.0,7800.0,0.0,0.0,7800.0,7800.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/06/2026,7800.0,7800.0,0.0,0.0,7800.0,7800.0,7800.0,1.0,7890.0,0.0,0.0,1.0,7890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/06/2026,7800.0,7640.0,160.0,0.02094241,7800.0,7800.0,7800.0,104.0,810560.0,0.0,0.0,104.0,810560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
