NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,2180.0,2190.0,-10.0,-0.00456621,2210.0,2210.0,2150.0,218402.0,477723190.0,0.0,0.0,218402.0,477723190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,2190.0,2350.0,-160.0,-0.06808511,2360.0,2360.0,2190.0,525589.0,1177280880.0,0.0,0.0,525589.0,1177280880.0,94682.0,-95582.0,0.0,900.0,209665600.0,-211590600.0,0.0,1925000.0
27/08/2026,2350.0,2330.0,20.0,0.00858369,2440.0,2450.0,2340.0,688969.0,1646351540.0,0.0,0.0,688969.0,1646351540.0,370.0,49730.0,0.0,-50100.0,3108160.0,117476840.0,0.0,-120585000.0
26/08/2026,2330.0,2180.0,150.0,0.06880734,2180.0,2330.0,2180.0,653301.0,1509624330.0,0.0,0.0,653301.0,1509624330.0,-21816.0,30016.0,0.0,-8200.0,-54425280.0,72367280.0,0.0,-17942000.0
25/08/2026,2180.0,2190.0,-10.0,-0.00456621,2190.0,2190.0,2150.0,179001.0,387222200.0,0.0,0.0,179001.0,387222200.0,-78100.0,85400.0,0.0,-7300.0,-168325000.0,184326000.0,0.0,-16001000.0
24/08/2026,2190.0,2160.0,30.0,0.01388889,2160.0,2200.0,2160.0,537886.0,1166817120.0,0.0,0.0,537886.0,1166817120.0,-85867.0,80367.0,0.0,5500.0,-185787800.0,173870801.0,0.0,11917000.0
21/08/2026,2160.0,2150.0,10.0,0.00465116,2160.0,2180.0,2120.0,184200.0,395641000.0,0.0,0.0,184200.0,395641000.0,-49300.0,29700.0,0.0,19600.0,-104816000.0,62693000.0,0.0,42123000.0
20/08/2026,2150.0,2150.0,0.0,0.0,2150.0,2180.0,2140.0,42445.0,91373620.0,0.0,0.0,42445.0,91373620.0,4359.0,-259.0,0.0,-4100.0,9310761.0,-495760.0,0.0,-8815000.0
19/08/2026,2150.0,2170.0,-20.0,-0.00921659,2200.0,2200.0,2150.0,57810.0,125294900.0,0.0,0.0,57810.0,125294900.0,-20810.0,28210.0,0.0,-7400.0,-45200900.0,61248899.0,0.0,-16048000.0
18/08/2026,2170.0,2180.0,-10.0,-0.00458716,2180.0,2220.0,2160.0,76329.0,165664080.0,0.0,0.0,76329.0,165664080.0,-28625.0,33225.0,0.0,-4600.0,-61640000.0,71809000.0,0.0,-10169000.0
17/08/2026,2180.0,2180.0,0.0,0.0,2160.0,2180.0,2160.0,160700.0,349733000.0,0.0,0.0,160700.0,349733000.0,-7700.0,9600.0,0.0,-1900.0,-16704000.0,20846000.0,0.0,-4142000.0
14/08/2026,2180.0,2220.0,-40.0,-0.01801802,2240.0,2240.0,2170.0,152909.0,334685780.0,0.0,0.0,152909.0,334685780.0,-5600.0,18600.0,0.0,-13000.0,-12493000.0,40929000.0,0.0,-28436000.0
13/08/2026,2220.0,2240.0,-20.0,-0.00892857,2250.0,2250.0,2220.0,95430.0,212698900.0,0.0,0.0,95430.0,212698900.0,589.0,7111.0,0.0,-7700.0,1348470.0,15801530.0,0.0,-17150000.0
12/08/2026,2240.0,2240.0,0.0,0.0,2240.0,2250.0,2200.0,91100.0,201390000.0,0.0,0.0,91100.0,201390000.0,-27700.0,24800.0,0.0,2900.0,-61127000.0,54699000.0,0.0,6428000.0
11/08/2026,2240.0,2230.0,10.0,0.0044843,2250.0,2270.0,2220.0,362305.0,810186070.0,0.0,0.0,362305.0,810186070.0,-63125.0,37025.0,0.0,26100.0,-140105931.0,81642930.0,0.0,58463000.0
10/08/2026,2230.0,2200.0,30.0,0.01363636,2170.0,2250.0,2170.0,181459.0,403668360.0,0.0,0.0,181459.0,403668360.0,-96.0,-23904.0,0.0,24000.0,554401.0,-53825400.0,0.0,53271000.0
07/08/2026,2200.0,2200.0,0.0,0.0,2200.0,2200.0,2170.0,93832.0,204800470.0,0.0,0.0,93832.0,204800470.0,4700.0,-5500.0,0.0,800.0,10060000.0,-11802000.0,0.0,1742000.0
06/08/2026,2200.0,2220.0,-20.0,-0.00900901,2210.0,2240.0,2200.0,52736.0,116688930.0,0.0,0.0,52736.0,116688930.0,2335.0,6265.0,0.0,-8600.0,5276691.0,13746310.0,0.0,-19023000.0
05/08/2026,2220.0,2250.0,-30.0,-0.01333333,2250.0,2290.0,2210.0,192950.0,430210800.0,0.0,0.0,192950.0,430210800.0,-46300.0,46300.0,0.0,0.0,-102640500.0,102700500.0,0.0,-60000.0
04/08/2026,2250.0,2170.0,80.0,0.03686636,2180.0,2250.0,2180.0,215839.0,480054660.0,0.0,0.0,215839.0,480054660.0,37719.0,-10019.0,0.0,-27700.0,85143560.0,-22695560.0,0.0,-62448000.0
03/08/2026,2170.0,2130.0,40.0,0.01877934,2150.0,2180.0,2110.0,257440.0,550449800.0,0.0,0.0,257440.0,550449800.0,-7900.0,-6300.0,0.0,14200.0,-16998000.0,-13550000.0,0.0,30548000.0
31/07/2026,2130.0,2120.0,10.0,0.00471698,2140.0,2150.0,2120.0,74564.0,158811960.0,0.0,0.0,74564.0,158811960.0,-6600.0,13200.0,0.0,-6600.0,-13915000.0,27924000.0,0.0,-14009000.0
30/07/2026,2120.0,2100.0,20.0,0.00952381,2140.0,2160.0,2120.0,208398.0,444860210.0,0.0,0.0,208398.0,444860210.0,-75285.0,63385.0,0.0,11900.0,-160425700.0,134911700.0,0.0,25514000.0
29/07/2026,2100.0,2050.0,50.0,0.02439024,2100.0,2100.0,2070.0,108579.0,226995300.0,0.0,0.0,108579.0,226995300.0,8602.0,-19202.0,0.0,10600.0,18250290.0,-40400290.0,0.0,22150000.0
28/07/2026,2050.0,2050.0,0.0,0.0,2050.0,2080.0,2030.0,147853.0,302499760.0,0.0,0.0,147853.0,302499760.0,-25800.0,12600.0,0.0,13200.0,-52498000.0,25392000.0,0.0,27106000.0
27/07/2026,2050.0,2120.0,-70.0,-0.03301887,2120.0,2120.0,2050.0,242549.0,506084840.0,0.0,0.0,242549.0,506084840.0,43401.0,-27001.0,0.0,-16400.0,91526080.0,-56763080.0,0.0,-34763000.0
24/07/2026,2120.0,2200.0,-80.0,-0.03636364,2170.0,2220.0,2120.0,246942.0,531249260.0,0.0,0.0,246942.0,531249260.0,-7898.0,14898.0,0.0,-7000.0,-16590300.0,32042300.0,0.0,-15452000.0
23/07/2026,2200.0,2150.0,50.0,0.02325581,2170.0,2250.0,2140.0,281351.0,612084060.0,0.0,0.0,281351.0,612084060.0,63700.0,-107300.0,0.0,43600.0,139192000.0,-234051000.0,0.0,94859000.0
22/07/2026,2150.0,2230.0,-80.0,-0.03587444,2250.0,2270.0,2120.0,322248.0,703354490.0,0.0,0.0,322248.0,703354490.0,18400.0,-24400.0,0.0,6000.0,39599570.0,-51314570.0,0.0,11715000.0
21/07/2026,2230.0,2380.0,-150.0,-0.06302521,2240.0,2420.0,2230.0,718841.0,1638969490.0,0.0,0.0,718841.0,1638969490.0,62796.0,-77396.0,0.0,14600.0,142506800.0,-175637800.0,0.0,33131000.0
20/07/2026,2380.0,2530.0,-150.0,-0.05928854,2520.0,2590.0,2380.0,282960.0,690679020.0,0.0,0.0,282960.0,690679020.0,9759.0,-12359.0,0.0,2600.0,20324240.0,-26626240.0,0.0,6302000.0
17/07/2026,2530.0,2640.0,-110.0,-0.04166667,2580.0,2670.0,2530.0,328111.0,837734090.0,0.0,0.0,328111.0,837734090.0,69999.0,-69999.0,0.0,0.0,177566410.0,-177566410.0,0.0,0.0
16/07/2026,2640.0,2590.0,50.0,0.01930502,2640.0,2640.0,2420.0,311526.0,791806880.0,0.0,0.0,311526.0,791806880.0,57062.0,-65162.0,0.0,8100.0,150827960.0,-170378960.0,0.0,19551000.0
15/07/2026,2590.0,2620.0,-30.0,-0.01145038,2670.0,2670.0,2590.0,236376.0,618205120.0,0.0,0.0,236376.0,618205120.0,52000.0,-52800.0,0.0,800.0,136557000.0,-138578000.0,0.0,2021000.0
14/07/2026,2620.0,2640.0,-20.0,-0.00757576,2650.0,2700.0,2580.0,259182.0,679026890.0,0.0,0.0,259182.0,679026890.0,-21679.0,35679.0,0.0,-14000.0,-55968560.0,93092560.0,0.0,-37124000.0
13/07/2026,2640.0,2750.0,-110.0,-0.04,2760.0,2760.0,2620.0,566569.0,1514761400.0,0.0,0.0,566569.0,1514761400.0,-113547.0,129347.0,0.0,-15800.0,-306052181.0,349169180.0,0.0,-43117000.0
10/07/2026,2750.0,2780.0,-30.0,-0.01079137,2660.0,2800.0,2660.0,237951.0,649218840.0,0.0,0.0,237951.0,649218840.0,58482.0,-53382.0,0.0,-5100.0,156484781.0,-142314780.0,0.0,-14170000.0
09/07/2026,2780.0,2820.0,-40.0,-0.0141844,2820.0,2830.0,2780.0,267478.0,746647180.0,0.0,0.0,267478.0,746647180.0,13320.0,-27820.0,0.0,14500.0,37465200.0,-77748200.0,0.0,40283000.0
08/07/2026,2820.0,2810.0,10.0,0.00355872,2810.0,2820.0,2800.0,250971.0,704532360.0,0.0,0.0,250971.0,704532360.0,-12098.0,-9502.0,0.0,21600.0,-33961850.0,-26734150.0,0.0,60696000.0
07/07/2026,2810.0,2800.0,10.0,0.00357143,2800.0,2860.0,2800.0,241538.0,680641710.0,0.0,0.0,241538.0,680641710.0,28725.0,-28625.0,0.0,-100.0,81082860.0,-80813860.0,0.0,-269000.0
06/07/2026,2800.0,2850.0,-50.0,-0.01754386,2840.0,2840.0,2790.0,367484.0,1030445930.0,0.0,0.0,367484.0,1030445930.0,73715.0,-72615.0,0.0,-1100.0,206189040.0,-203033040.0,0.0,-3156000.0
03/07/2026,2850.0,2850.0,0.0,0.0,2850.0,2860.0,2790.0,330873.0,930429250.0,0.0,0.0,330873.0,930429250.0,73668.0,-76568.0,0.0,2900.0,207670760.0,-215807760.0,0.0,8137000.0
02/07/2026,2850.0,2870.0,-20.0,-0.00696864,2850.0,2870.0,2820.0,233146.0,661754810.0,0.0,0.0,233146.0,661754810.0,-34469.0,34969.0,0.0,-500.0,-97943460.0,99386460.0,0.0,-1443000.0
01/07/2026,2870.0,2870.0,0.0,0.0,2870.0,2880.0,2810.0,211443.0,602443410.0,0.0,0.0,211443.0,602443410.0,30712.0,-31512.0,0.0,800.0,87746750.0,-89905750.0,0.0,2159000.0
30/06/2026,2870.0,2890.0,-20.0,-0.00692042,2880.0,2880.0,2800.0,163503.0,466063840.0,0.0,0.0,163503.0,466063840.0,-7200.0,6200.0,0.0,1000.0,-21171000.0,18378000.0,0.0,2793000.0
29/06/2026,2890.0,2820.0,70.0,0.0248227,2820.0,2890.0,2790.0,174912.0,493574960.0,0.0,0.0,174912.0,493574960.0,-4800.0,10600.0,0.0,-5800.0,-11651000.0,28175000.0,0.0,-16524000.0
26/06/2026,2820.0,2800.0,20.0,0.00714286,2830.0,2850.0,2780.0,188618.0,529200810.0,0.0,0.0,188618.0,529200810.0,-11896.0,11896.0,0.0,0.0,-33261340.0,33261340.0,0.0,0.0
25/06/2026,2800.0,2880.0,-80.0,-0.02777778,2920.0,2920.0,2800.0,273323.0,775980830.0,0.0,0.0,273323.0,775980830.0,-94812.0,93912.0,0.0,900.0,-266508921.0,263988920.0,0.0,2520000.0
24/06/2026,2880.0,2910.0,-30.0,-0.01030928,2900.0,2930.0,2870.0,244105.0,706918610.0,0.0,0.0,244105.0,706918610.0,11545.0,-11545.0,-144.0,0.0,33502500.0,-33502500.0,-416000.0,0.0
23/06/2026,2910.0,2920.0,-10.0,-0.00342466,2940.0,2940.0,2890.0,133093.0,387715070.0,0.0,0.0,133093.0,387715070.0,-21564.0,21564.0,0.0,0.0,-62805010.0,62805010.0,0.0,0.0
22/06/2026,2920.0,2880.0,40.0,0.01388889,2880.0,2960.0,2860.0,357806.0,1048580460.0,0.0,0.0,357806.0,1048580460.0,99961.0,-97061.0,0.0,-2900.0,293032080.0,-284655080.0,0.0,-8377000.0
19/06/2026,2880.0,2900.0,-20.0,-0.00689655,2900.0,2900.0,2860.0,318030.0,913774760.0,0.0,0.0,318030.0,913774760.0,-93943.0,93943.0,0.0,0.0,-269948210.0,269948210.0,0.0,0.0
18/06/2026,2900.0,2920.0,-20.0,-0.00684932,2920.0,2930.0,2890.0,185857.0,538805310.0,0.0,0.0,185857.0,538805310.0,38780.0,-38780.0,0.0,0.0,112633000.0,-112633000.0,0.0,0.0
17/06/2026,2920.0,2930.0,-10.0,-0.00341297,2930.0,2930.0,2880.0,259702.0,753962920.0,0.0,0.0,259702.0,753962920.0,23662.0,-25062.0,0.0,1400.0,68931920.0,-72977920.0,0.0,4046000.0
16/06/2026,2930.0,2890.0,40.0,0.01384083,2890.0,2930.0,2890.0,170347.0,494924580.0,0.0,0.0,170347.0,494924580.0,34658.0,-35158.0,0.0,500.0,100202250.0,-101651250.0,0.0,1449000.0
15/06/2026,2890.0,2910.0,-20.0,-0.00687285,2920.0,2970.0,2860.0,594124.0,1722496810.0,0.0,0.0,594124.0,1722496810.0,118667.0,-122367.0,-6.0,3700.0,342389250.0,-353088250.0,-18000.0,10699000.0
12/06/2026,2910.0,2920.0,-10.0,-0.00342466,2930.0,2980.0,2900.0,260426.0,758745380.0,0.0,0.0,260426.0,758745380.0,-81922.0,87322.0,0.0,-5400.0,-237569200.0,253445200.0,0.0,-15876000.0
11/06/2026,2920.0,3000.0,-80.0,-0.02666667,3000.0,3000.0,2920.0,302844.0,894312220.0,0.0,0.0,302844.0,894312220.0,-9515.0,10615.0,0.0,-1100.0,-27082920.0,30471920.0,0.0,-3389000.0
10/06/2026,3000.0,3000.0,0.0,0.0,3000.0,3070.0,2980.0,336557.0,1010140070.0,0.0,0.0,336557.0,1010140070.0,-35757.0,43057.0,0.0,-7300.0,-107956070.0,130270070.0,0.0,-22314000.0
09/06/2026,3000.0,2920.0,80.0,0.02739726,2920.0,3070.0,2920.0,484494.0,1455804270.0,0.0,0.0,484494.0,1455804270.0,49756.0,-45356.0,0.0,-4400.0,149474090.0,-136554090.0,0.0,-12920000.0
08/06/2026,2920.0,2990.0,-70.0,-0.02341137,2990.0,3000.0,2850.0,344287.0,1001985240.0,0.0,0.0,344287.0,1001985240.0,4634.0,2766.0,0.0,-7400.0,13023419.0,8679580.0,0.0,-21703000.0
05/06/2026,2990.0,3000.0,-10.0,-0.00333333,3000.0,3070.0,2980.0,462412.0,1396216400.0,0.0,0.0,462412.0,1396216400.0,184231.0,-205531.0,0.0,21300.0,557614851.0,-621509850.0,0.0,63895000.0
04/06/2026,3000.0,3000.0,0.0,0.0,3020.0,3050.0,3000.0,337879.0,1015683080.0,0.0,0.0,337879.0,1015683080.0,55707.0,-55307.0,0.0,-400.0,167415570.0,-166145570.0,0.0,-1270000.0
03/06/2026,3000.0,3030.0,-30.0,-0.00990099,3010.0,3070.0,2940.0,726382.0,2190926230.0,0.0,0.0,726382.0,2190926230.0,-84352.0,104152.0,0.0,-19800.0,-251649159.0,312696160.0,0.0,-61047000.0
02/06/2026,3030.0,3250.0,-220.0,-0.06769231,3200.0,3200.0,3030.0,2644766.0,8096555490.0,0.0,0.0,2644766.0,8096555490.0,-979933.0,979833.0,0.0,100.0,-2969959670.0,2969656670.0,0.0,303000.0
01/06/2026,3250.0,3250.0,0.0,0.0,3190.0,3390.0,3190.0,1103504.0,3636565820.0,0.0,0.0,1103504.0,3636565820.0,227243.0,-220243.0,0.0,-7000.0,752797870.0,-730397870.0,0.0,-22400000.0
29/05/2026,3250.0,3390.0,-140.0,-0.04129794,3430.0,3450.0,3250.0,1475439.0,4923149580.0,0.0,0.0,1475439.0,4923149580.0,21041.0,-5041.0,0.0,-16000.0,56114390.0,-2332389.0,0.0,-53782000.0
28/05/2026,3390.0,3290.0,100.0,0.03039514,3210.0,3450.0,3210.0,1826750.0,6186420690.0,0.0,0.0,1826750.0,6186420690.0,-14541.0,16941.0,0.0,-2400.0,-46785350.0,54393350.0,0.0,-7608000.0
27/05/2026,3290.0,3080.0,210.0,0.06818182,3080.0,3290.0,3000.0,2346021.0,7563216980.0,0.0,0.0,2346021.0,7563216980.0,385230.0,-382930.0,0.0,-2300.0,1216017670.0,-1208254670.0,0.0,-7763000.0
26/05/2026,3080.0,3210.0,-130.0,-0.04049844,3180.0,3180.0,3040.0,874730.0,2689446310.0,0.0,0.0,874730.0,2689446310.0,112644.0,-128044.0,0.0,15400.0,340078750.0,-387233750.0,0.0,47155000.0
25/05/2026,3210.0,3250.0,-40.0,-0.01230769,3250.0,3290.0,3040.0,1228596.0,3842799180.0,0.0,0.0,1228596.0,3842799180.0,325767.0,-335867.0,0.0,10100.0,1018386690.0,-1046837690.0,0.0,28451000.0
22/05/2026,3250.0,3190.0,60.0,0.01880878,3350.0,3390.0,3120.0,1535648.0,5037802760.0,0.0,0.0,1535648.0,5037802760.0,352020.0,-352320.0,0.0,300.0,1138025000.0,-1139013000.0,0.0,988000.0
21/05/2026,3190.0,2990.0,200.0,0.06688963,3190.0,3190.0,3100.0,1991723.0,6327053420.0,0.0,0.0,1991723.0,6327053420.0,80678.0,-81178.0,0.0,500.0,247878461.0,-249431460.0,0.0,1553000.0
20/05/2026,2990.0,2800.0,190.0,0.06785714,2820.0,2990.0,2820.0,1488962.0,4359914250.0,0.0,0.0,1488962.0,4359914250.0,235813.0,-260113.0,0.0,24300.0,676172880.0,-747306880.0,0.0,71134000.0
19/05/2026,2800.0,2820.0,-20.0,-0.0070922,2820.0,2840.0,2770.0,173151.0,484941580.0,0.0,0.0,173151.0,484941580.0,13181.0,-6881.0,0.0,-6300.0,38031490.0,-20324490.0,0.0,-17707000.0
18/05/2026,2820.0,2790.0,30.0,0.01075269,2830.0,2830.0,2780.0,223913.0,627061690.0,0.0,0.0,223913.0,627061690.0,33904.0,-18604.0,0.0,-15300.0,94989210.0,-52072210.0,0.0,-42917000.0
15/05/2026,2790.0,2900.0,-110.0,-0.03793103,2870.0,2880.0,2790.0,1002425.0,2827778890.0,0.0,0.0,1002425.0,2827778890.0,149263.0,-156763.0,0.0,7500.0,420922500.0,-441741500.0,0.0,20819000.0
14/05/2026,2900.0,2920.0,-20.0,-0.00684932,2920.0,2970.0,2890.0,348558.0,1014193370.0,0.0,0.0,348558.0,1014193370.0,121188.0,-127488.0,0.0,6300.0,352504720.0,-370794720.0,0.0,18290000.0
13/05/2026,2920.0,2910.0,10.0,0.00343643,2950.0,2960.0,2910.0,163385.0,478564240.0,0.0,0.0,163385.0,478564240.0,3333.0,-10733.0,0.0,7400.0,9901880.0,-31438880.0,0.0,21537000.0
12/05/2026,2910.0,2940.0,-30.0,-0.01020408,2940.0,2970.0,2900.0,140208.0,410598960.0,0.0,0.0,140208.0,410598960.0,-42274.0,39674.0,0.0,2600.0,-123283140.0,115816140.0,0.0,7467000.0
11/05/2026,2940.0,3010.0,-70.0,-0.02325581,3040.0,3040.0,2940.0,200376.0,596087170.0,0.0,0.0,200376.0,596087170.0,22072.0,-18872.0,0.0,-3200.0,66157240.0,-56516240.0,0.0,-9641000.0
08/05/2026,3010.0,3050.0,-40.0,-0.01311475,3050.0,3050.0,2990.0,253100.0,758957000.0,0.0,0.0,253100.0,758957000.0,133300.0,-138000.0,0.0,4700.0,398769000.0,-412942000.0,0.0,14173000.0
07/05/2026,3050.0,3010.0,40.0,0.01328904,3040.0,3080.0,3010.0,266367.0,810937260.0,0.0,0.0,266367.0,810937260.0,-56234.0,54834.0,0.0,1400.0,-172096320.0,167858320.0,0.0,4238000.0
06/05/2026,3010.0,3050.0,-40.0,-0.01311475,3010.0,3050.0,3010.0,170188.0,515238300.0,0.0,0.0,170188.0,515238300.0,-47611.0,47211.0,0.0,400.0,-144735439.0,143530440.0,0.0,1205000.0
05/05/2026,3050.0,3000.0,50.0,0.01666667,3010.0,3050.0,2990.0,207507.0,628402270.0,0.0,0.0,207507.0,628402270.0,32704.0,-32504.0,0.0,-200.0,100041200.0,-99431200.0,0.0,-610000.0
04/05/2026,3000.0,3000.0,0.0,0.0,2990.0,3030.0,2980.0,272352.0,815841070.0,961100.0,2862300000.0,1233452.0,3678141070.0,8809.0,-5909.0,0.0,-2900.0,26376941.0,-17665940.0,0.0,-8711000.0
29/04/2026,3000.0,2980.0,20.0,0.00671141,3030.0,3030.0,2950.0,131659.0,392291440.0,0.0,0.0,131659.0,392291440.0,20267.0,-12467.0,0.0,-7800.0,60681510.0,-37443510.0,0.0,-23238000.0
28/04/2026,2980.0,3080.0,-100.0,-0.03246753,3050.0,3100.0,2980.0,302619.0,916697620.0,250000.0,717500000.0,552619.0,1634197620.0,-34527.0,26727.0,0.0,7800.0,-105784260.0,82060260.0,0.0,23724000.0
24/04/2026,3080.0,3250.0,-170.0,-0.05230769,3240.0,3240.0,3050.0,599398.0,1868514590.0,0.0,0.0,599398.0,1868514590.0,153207.0,-165807.0,0.0,12600.0,479805430.0,-518673430.0,0.0,38868000.0
23/04/2026,3250.0,3150.0,100.0,0.03174603,3300.0,3300.0,3170.0,1271608.0,4111114530.0,0.0,0.0,1271608.0,4111114530.0,91502.0,-87902.0,0.0,-3600.0,301185021.0,-289561020.0,0.0,-11624000.0
22/04/2026,3150.0,2950.0,200.0,0.06779661,2950.0,3150.0,2950.0,1203716.0,3763791040.0,290000.0,797500000.0,1493716.0,4561291040.0,-13125.0,21425.0,0.0,-8300.0,-31336900.0,56430900.0,0.0,-25094000.0
21/04/2026,2950.0,2960.0,-10.0,-0.00337838,2970.0,2980.0,2930.0,159400.0,471193000.0,0.0,0.0,159400.0,471193000.0,27100.0,-30800.0,0.0,3700.0,80013000.0,-90870000.0,0.0,10857000.0
20/04/2026,2960.0,2960.0,0.0,0.0,2950.0,2980.0,2930.0,177464.0,523632310.0,0.0,0.0,177464.0,523632310.0,-41855.0,47655.0,0.0,-5800.0,-123205930.0,140474930.0,0.0,-17269000.0
17/04/2026,2960.0,2950.0,10.0,0.00338983,2950.0,2970.0,2940.0,91057.0,268862230.0,0.0,0.0,91057.0,268862230.0,-27956.0,31556.0,0.0,-3600.0,-82297271.0,92968270.0,0.0,-10671000.0
16/04/2026,2950.0,2960.0,-10.0,-0.00337838,2930.0,2980.0,2930.0,153394.0,452433100.0,0.0,0.0,153394.0,452433100.0,-44664.0,47164.0,0.0,-2500.0,-131522401.0,138925400.0,0.0,-7403000.0
15/04/2026,2960.0,2970.0,-10.0,-0.003367,2980.0,3020.0,2960.0,421288.0,1256699910.0,0.0,0.0,421288.0,1256699910.0,14645.0,-17645.0,0.0,3000.0,41783520.0,-50540520.0,0.0,8757000.0
14/04/2026,2970.0,2990.0,-20.0,-0.00668896,2980.0,3010.0,2970.0,151975.0,453220000.0,0.0,0.0,151975.0,453220000.0,5168.0,-4368.0,0.0,-800.0,15391000.0,-12947000.0,0.0,-2444000.0
13/04/2026,2990.0,2990.0,0.0,0.0,2970.0,3000.0,2960.0,147979.0,440556210.0,0.0,0.0,147979.0,440556210.0,-1570.0,5870.0,0.0,-4300.0,-4455300.0,17276300.0,0.0,-12821000.0
10/04/2026,2990.0,2990.0,0.0,0.0,3020.0,3020.0,2980.0,336466.0,1008965940.0,0.0,0.0,336466.0,1008965940.0,-71680.0,73480.0,0.0,-1800.0,-213871110.0,219264110.0,0.0,-5393000.0
09/04/2026,2990.0,2990.0,0.0,0.0,2990.0,3020.0,2980.0,293136.0,878667790.0,0.0,0.0,293136.0,878667790.0,76224.0,-49724.0,0.0,-26500.0,228694750.0,-149571750.0,0.0,-79123000.0
08/04/2026,2990.0,2960.0,30.0,0.01013514,3010.0,3020.0,2960.0,476548.0,1423253160.0,0.0,0.0,476548.0,1423253160.0,203300.0,-206800.0,0.0,3500.0,607995999.0,-618361000.0,0.0,10365000.0
07/04/2026,2960.0,2950.0,10.0,0.00338983,2980.0,2980.0,2950.0,72811.0,215411750.0,0.0,0.0,72811.0,215411750.0,-32894.0,35094.0,0.0,-2200.0,-97074150.0,103630150.0,0.0,-6556000.0
06/04/2026,2950.0,2950.0,0.0,0.0,2960.0,3010.0,2950.0,141234.0,419230000.0,0.0,0.0,141234.0,419230000.0,3886.0,-7586.0,0.0,3700.0,12176000.0,-23094000.0,0.0,10918000.0
