NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,20800.0,20800.0,0.0,0.0,20800.0,20800.0,20800.0,1.0,20700.0,0.0,0.0,1.0,20700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,20800.0,20800.0,0.0,0.0,20800.0,20800.0,20800.0,2079.0,43172100.0,0.0,0.0,2079.0,43172100.0,974.0,-974.0,0.0,0.0,20192600.0,-20192600.0,0.0,0.0
26/08/2026,20800.0,21000.0,-200.0,-0.00952381,20050.0,20800.0,20000.0,2400.0,49445000.0,0.0,0.0,2400.0,49445000.0,500.0,-500.0,0.0,0.0,10240000.0,-10240000.0,0.0,0.0
25/08/2026,21000.0,21000.0,0.0,0.0,20050.0,21000.0,20000.0,16109.0,325364800.0,0.0,0.0,16109.0,325364800.0,-4491.0,4491.0,0.0,0.0,-86830200.0,86830200.0,0.0,0.0
24/08/2026,21000.0,21000.0,0.0,0.0,21000.0,21000.0,21000.0,601.0,12620150.0,4320001.0,90720021000.0,4320602.0,90732641150.0,601.0,-601.0,0.0,0.0,12620150.0,-12620150.0,0.0,0.0
21/08/2026,21000.0,21000.0,0.0,0.0,21000.0,21000.0,21000.0,8600.0,180600000.0,0.0,0.0,8600.0,180600000.0,2100.0,-2100.0,0.0,0.0,44100000.0,-44100000.0,0.0,0.0
20/08/2026,21000.0,21000.0,0.0,0.0,20050.0,21000.0,20000.0,1700.0,35205000.0,0.0,0.0,1700.0,35205000.0,1600.0,-1600.0,0.0,0.0,33200000.0,-33200000.0,0.0,0.0
19/08/2026,21000.0,21100.0,-100.0,-0.00473934,21100.0,21100.0,20500.0,1000.0,20710000.0,0.0,0.0,1000.0,20710000.0,500.0,-500.0,0.0,0.0,10200000.0,-10200000.0,0.0,0.0
18/08/2026,21100.0,21200.0,-100.0,-0.00471698,21100.0,21100.0,21100.0,2108.0,44479600.0,0.0,0.0,2108.0,44479600.0,2093.0,-2093.0,0.0,0.0,44161601.0,-44161600.0,0.0,0.0
17/08/2026,21200.0,21200.0,0.0,0.0,21200.0,21200.0,21200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,21200.0,21200.0,0.0,0.0,21200.0,21200.0,21200.0,200.0,4240000.0,0.0,0.0,200.0,4240000.0,-200.0,200.0,0.0,0.0,-4240000.0,4240000.0,0.0,0.0
13/08/2026,21200.0,21000.0,200.0,0.00952381,20000.0,21200.0,20000.0,2101.0,44421100.0,0.0,0.0,2101.0,44421100.0,2000.0,-2000.0,0.0,0.0,42400001.0,-42400000.0,0.0,0.0
12/08/2026,21000.0,21000.0,0.0,0.0,21000.0,21000.0,21000.0,2900.0,60900000.0,0.0,0.0,2900.0,60900000.0,1500.0,-1500.0,0.0,0.0,31500000.0,-31500000.0,0.0,0.0
11/08/2026,21000.0,21200.0,-200.0,-0.00943396,21200.0,21200.0,21000.0,1511.0,31743000.0,0.0,0.0,1511.0,31743000.0,1490.0,-1490.0,0.0,0.0,31318000.0,-31318000.0,0.0,0.0
10/08/2026,21200.0,21250.0,-50.0,-0.00235294,21250.0,21350.0,21200.0,1100.0,23395000.0,0.0,0.0,1100.0,23395000.0,700.0,-700.0,0.0,0.0,14890000.0,-14890000.0,0.0,0.0
07/08/2026,21250.0,21300.0,-50.0,-0.00234742,21300.0,21300.0,21250.0,211.0,4486250.0,0.0,0.0,211.0,4486250.0,89.0,-89.0,0.0,0.0,1893750.0,-1893750.0,0.0,0.0
06/08/2026,21300.0,21400.0,-100.0,-0.0046729,21400.0,21400.0,21300.0,1614.0,34385400.0,0.0,0.0,1614.0,34385400.0,1600.0,-1600.0,0.0,0.0,34090000.0,-34090000.0,0.0,0.0
05/08/2026,21400.0,21500.0,-100.0,-0.00465116,21600.0,21600.0,21400.0,1013.0,21772550.0,0.0,0.0,1013.0,21772550.0,288.0,-288.0,0.0,0.0,6195950.0,-6195950.0,0.0,0.0
04/08/2026,21500.0,21600.0,-100.0,-0.00462963,20800.0,21500.0,20800.0,2111.0,45316100.0,0.0,0.0,2111.0,45316100.0,-11.0,11.0,0.0,0.0,-236099.0,236100.0,0.0,0.0
03/08/2026,21600.0,21800.0,-200.0,-0.00917431,20550.0,21600.0,20550.0,808.0,16929400.0,3148000.0,67682000000.0,3148808.0,67698929400.0,300.0,-300.0,0.0,0.0,6365000.0,-6365000.0,0.0,0.0
31/07/2026,21800.0,21800.0,0.0,0.0,20300.0,21900.0,20300.0,2016.0,43659000.0,0.0,0.0,2016.0,43659000.0,499.0,-499.0,0.0,0.0,10888000.0,-10888000.0,0.0,0.0
30/07/2026,21800.0,21800.0,0.0,0.0,21500.0,21800.0,21500.0,9015.0,195916500.0,0.0,0.0,9015.0,195916500.0,2108.0,-2108.0,0.0,0.0,45343900.0,-45343900.0,0.0,0.0
29/07/2026,21800.0,21900.0,-100.0,-0.00456621,20850.0,21800.0,20600.0,4909.0,103460500.0,0.0,0.0,4909.0,103460500.0,508.0,-508.0,0.0,0.0,10825000.0,-10825000.0,0.0,0.0
28/07/2026,21900.0,21500.0,400.0,0.01860465,22600.0,22600.0,21350.0,3840.0,83489050.0,3168000.0,68112000000.0,3171840.0,68195489050.0,600.0,-600.0,0.0,0.0,12895000.0,-12895000.0,0.0,0.0
27/07/2026,21500.0,20950.0,550.0,0.02625298,21500.0,21500.0,21500.0,1914.0,41125100.0,1900000.0,41800000000.0,1901914.0,41841125100.0,100.0,-100.0,0.0,0.0,2150000.0,-2150000.0,0.0,0.0
24/07/2026,20950.0,21500.0,-550.0,-0.0255814,20000.0,21500.0,20000.0,4039.0,84338800.0,0.0,0.0,4039.0,84338800.0,2721.0,-2721.0,0.0,0.0,57181000.0,-57181000.0,0.0,0.0
23/07/2026,21500.0,21000.0,500.0,0.02380952,19600.0,21500.0,19600.0,3819.0,80364600.0,0.0,0.0,3819.0,80364600.0,1809.0,-1809.0,0.0,0.0,37995600.0,-37995600.0,0.0,0.0
22/07/2026,21000.0,21000.0,0.0,0.0,19650.0,21400.0,19550.0,23996.0,473634600.0,0.0,0.0,23996.0,473634600.0,-17700.0,17700.0,0.0,0.0,-344660001.0,344660000.0,0.0,0.0
21/07/2026,21000.0,21250.0,-250.0,-0.01176471,20050.0,21000.0,19900.0,2801.0,58221000.0,2018400.0,41286000000.0,2021201.0,41344221000.0,1200.0,-1200.0,0.0,0.0,25200000.0,-25200000.0,0.0,0.0
20/07/2026,21250.0,20000.0,1250.0,0.0625,19800.0,21250.0,19500.0,1011.0,20400000.0,0.0,0.0,1011.0,20400000.0,100.0,-100.0,0.0,0.0,1980000.0,-1980000.0,0.0,0.0
17/07/2026,20000.0,20000.0,0.0,0.0,20000.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/07/2026,20000.0,20000.0,0.0,0.0,20000.0,20000.0,20000.0,40.0,799500.0,0.0,0.0,40.0,799500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/07/2026,20000.0,20000.0,0.0,0.0,20000.0,20000.0,20000.0,1616.0,32314950.0,0.0,0.0,1616.0,32314950.0,1001.0,-1001.0,0.0,0.0,20019950.0,-20019950.0,0.0,0.0
14/07/2026,20000.0,19400.0,600.0,0.03092784,19400.0,20000.0,19400.0,6120.0,122133500.0,0.0,0.0,6120.0,122133500.0,2100.0,-2100.0,0.0,0.0,41800000.0,-41800000.0,0.0,0.0
13/07/2026,19400.0,20000.0,-600.0,-0.03,20000.0,20000.0,19400.0,713.0,13936900.0,0.0,0.0,713.0,13936900.0,99.0,-99.0,0.0,0.0,1940601.0,-1940600.0,0.0,0.0
10/07/2026,20000.0,20000.0,0.0,0.0,19400.0,20000.0,19400.0,2885.0,57472100.0,0.0,0.0,2885.0,57472100.0,1626.0,-1626.0,0.0,0.0,32627400.0,-32627400.0,0.0,0.0
09/07/2026,20000.0,19150.0,856.0,0.04471375,18250.0,20000.0,18250.0,579.0,11070700.0,0.0,0.0,579.0,11070700.0,-165.0,165.0,0.0,0.0,-3314900.0,3314900.0,0.0,0.0
08/07/2026,19144.64,23200.0,0.0,0.0,19144.64,19144.64,19144.64,226.0,5244200.0,0.0,0.0,226.0,5244200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/07/2026,19144.64,23400.0,-200.0,-0.00854701,19144.64,19144.64,19144.64,201.0,4663000.0,0.0,0.0,201.0,4663000.0,1.0,-1.0,0.0,0.0,23000.0,-23000.0,0.0,0.0
06/07/2026,19309.68,23500.0,-100.0,-0.00425532,19474.72,19474.72,19309.68,884.0,20751600.0,0.0,0.0,884.0,20751600.0,401.0,-401.0,0.0,0.0,9383501.0,-9383500.0,0.0,0.0
03/07/2026,19392.2,24000.0,-500.0,-0.02083333,19309.68,19392.2,19309.68,206.0,4830700.0,0.0,0.0,206.0,4830700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/07/2026,19804.8,23100.0,900.0,0.03896104,19062.12,19804.8,19062.12,505.0,11755000.0,170800.0,3757600000.0,171305.0,3769355000.0,5.0,-5.0,0.0,0.0,115000.0,-115000.0,0.0,0.0
01/07/2026,19062.12,23700.0,-600.0,-0.02531646,19062.12,19062.12,19062.12,145.0,3337050.0,0.0,0.0,145.0,3337050.0,-100.0,100.0,0.0,0.0,-2310000.0,2310000.0,0.0,0.0
30/06/2026,19557.24,23700.0,0.0,0.0,19557.24,19557.24,19557.24,164.0,3878650.0,0.0,0.0,164.0,3878650.0,27.0,-27.0,0.0,0.0,635150.0,-635150.0,0.0,0.0
29/06/2026,19557.24,23100.0,600.0,0.02597403,19969.84,19969.84,19557.24,355.0,8459250.0,0.0,0.0,355.0,8459250.0,205.0,-205.0,0.0,0.0,4857250.0,-4857250.0,0.0,0.0
26/06/2026,19062.12,24500.0,-1400.0,-0.05714286,18979.6,19062.12,18979.6,2020.0,46567450.0,0.0,0.0,2020.0,46567450.0,-95.0,95.0,0.0,0.0,-2190000.0,2190000.0,0.0,0.0
25/06/2026,20217.4,24500.0,0.0,0.0,20217.4,20217.4,20217.4,10.0,228000.0,0.0,0.0,10.0,228000.0,-1.0,1.0,0.0,0.0,-22800.0,22800.0,0.0,0.0
24/06/2026,20217.4,24500.0,0.0,0.0,20217.4,20217.4,20217.4,5.0,121500.0,170800.0,4184600000.0,170805.0,4184721500.0,5.0,-5.0,0.0,0.0,121500.0,-121500.0,0.0,0.0
23/06/2026,20217.4,23500.0,1000.0,0.04255319,20217.4,20217.4,20217.4,233.0,5691450.0,0.0,0.0,233.0,5691450.0,21.0,-21.0,0.0,0.0,503950.0,-503950.0,0.0,0.0
