NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,14900.0,15050.0,-150.0,-0.00996678,15000.0,15250.0,14150.0,194668.0,2902557100.0,0.0,0.0,194668.0,2902557100.0,9907.0,0.0,0.0,-9907.0,148395400.0,0.0,0.0,-148395400.0
03/09/2026,15050.0,15100.0,-50.0,-0.00331126,15100.0,15250.0,15050.0,118175.0,1787639500.0,0.0,0.0,118175.0,1787639500.0,1300.0,0.0,0.0,-1300.0,19800000.0,0.0,0.0,-19800000.0
28/08/2026,15100.0,15250.0,-150.0,-0.00983607,15200.0,15300.0,15000.0,240929.0,3647215800.0,0.0,0.0,240929.0,3647215800.0,-53866.0,49582.0,0.0,4284.0,-813480500.0,748449500.0,0.0,65031000.0
27/08/2026,15250.0,15300.0,-50.0,-0.00326797,15400.0,15400.0,15050.0,233251.0,3547326600.0,0.0,0.0,233251.0,3547326600.0,-15602.0,17202.0,0.0,-1600.0,-236015100.0,260490100.0,0.0,-24475000.0
26/08/2026,15300.0,15350.0,-50.0,-0.00325733,15500.0,15500.0,15250.0,199695.0,3065143600.0,0.0,0.0,199695.0,3065143600.0,-40554.0,38458.0,0.0,2096.0,-621163400.0,588864600.0,0.0,32298800.0
25/08/2026,15350.0,15600.0,-250.0,-0.01602564,15600.0,15700.0,15300.0,131525.0,2035446100.0,0.0,0.0,131525.0,2035446100.0,-17219.0,15819.0,0.0,1400.0,-266114400.0,244509400.0,0.0,21605000.0
24/08/2026,15600.0,15700.0,-100.0,-0.00636943,15750.0,15900.0,15600.0,133248.0,2085638650.0,0.0,0.0,133248.0,2085638650.0,28849.0,-33149.0,0.0,4300.0,453879250.0,-521239250.0,0.0,67360000.0
21/08/2026,15700.0,15250.0,450.0,0.0295082,15300.0,15700.0,15250.0,155948.0,2412896650.0,0.0,0.0,155948.0,2412896650.0,-66952.0,52162.0,0.0,14790.0,-1036344800.0,808934300.0,0.0,227410500.0
20/08/2026,15250.0,15300.0,-50.0,-0.00326797,15500.0,15500.0,15150.0,53977.0,824183550.0,0.0,0.0,53977.0,824183550.0,2690.0,-2690.0,0.0,0.0,41310600.0,-41310600.0,0.0,0.0
19/08/2026,15300.0,15450.0,-150.0,-0.00970874,15500.0,15600.0,15200.0,98232.0,1505925400.0,0.0,0.0,98232.0,1505925400.0,5041.0,-3441.0,0.0,-1600.0,80595300.0,-54625300.0,0.0,-25970000.0
