NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,89600.0,88700.0,900.0,0.01014656,90500.0,90500.0,88800.0,3810.0,340603400.0,0.0,0.0,3810.0,340603400.0,1880.0,-1880.0,0.0,0.0,168166000.0,-168166000.0,0.0,0.0
27/08/2026,88700.0,91000.0,-2300.0,-0.02527473,91500.0,91500.0,88000.0,9964.0,881753400.0,0.0,0.0,9964.0,881753400.0,-199.0,199.0,0.0,0.0,-17083000.0,17083000.0,0.0,0.0
26/08/2026,91000.0,91300.0,-300.0,-0.00328587,91300.0,91300.0,91000.0,824.0,75048200.0,0.0,0.0,824.0,75048200.0,-5.0,5.0,0.0,0.0,-455000.0,455000.0,0.0,0.0
25/08/2026,91300.0,96000.0,-4700.0,-0.04895833,94200.0,94200.0,89300.0,202714.0,18108323100.0,120360.0,12276720000.0,323074.0,30385043100.0,-42645.0,42645.0,0.0,0.0,-3808335000.0,3808335000.0,0.0,0.0
24/08/2026,96000.0,90000.0,6000.0,0.06666667,90000.0,96000.0,90000.0,10601.0,997506300.0,0.0,0.0,10601.0,997506300.0,-501.0,501.0,0.0,0.0,-45326300.0,45326300.0,0.0,0.0
21/08/2026,90000.0,89600.0,400.0,0.00446429,90000.0,90000.0,89800.0,3700.0,332950000.0,0.0,0.0,3700.0,332950000.0,-1200.0,1200.0,0.0,0.0,-107990000.0,107990000.0,0.0,0.0
20/08/2026,89600.0,89500.0,100.0,0.00111732,89500.0,89600.0,89500.0,355.0,31768500.0,0.0,0.0,355.0,31768500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,89500.0,88800.0,700.0,0.00788288,89500.0,89500.0,89000.0,2200.0,196690000.0,0.0,0.0,2200.0,196690000.0,0.0,0.0,0.0,0.0,40000.0,-40000.0,0.0,0.0
18/08/2026,88800.0,89500.0,-700.0,-0.00782123,89600.0,89600.0,88400.0,400.0,35630000.0,0.0,0.0,400.0,35630000.0,100.0,-100.0,0.0,0.0,8840000.0,-8840000.0,0.0,0.0
17/08/2026,89500.0,93200.0,-3700.0,-0.03969957,93100.0,93100.0,87300.0,29244.0,2598107000.0,0.0,0.0,29244.0,2598107000.0,2430.0,-2430.0,0.0,0.0,217839000.0,-217839000.0,0.0,0.0
14/08/2026,93200.0,95000.0,-1800.0,-0.01894737,94100.0,94100.0,93100.0,5616.0,526560000.0,0.0,0.0,5616.0,526560000.0,-135.0,135.0,0.0,0.0,-12663000.0,12663000.0,0.0,0.0
13/08/2026,95000.0,95000.0,0.0,0.0,95000.0,95000.0,95000.0,1401.0,133095000.0,0.0,0.0,1401.0,133095000.0,100.0,-100.0,0.0,0.0,9500000.0,-9500000.0,0.0,0.0
12/08/2026,95000.0,95500.0,-500.0,-0.0052356,95500.0,95500.0,94700.0,2949.0,280369500.0,0.0,0.0,2949.0,280369500.0,-20.0,20.0,0.0,0.0,-1900500.0,1900500.0,0.0,0.0
11/08/2026,95500.0,95500.0,0.0,0.0,95600.0,95600.0,95500.0,200.0,19110000.0,0.0,0.0,200.0,19110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,95500.0,95500.0,0.0,0.0,95500.0,96000.0,94700.0,1250.0,119150000.0,0.0,0.0,1250.0,119150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/08/2026,95500.0,96100.0,-600.0,-0.0062435,95300.0,97000.0,95300.0,6620.0,635667800.0,0.0,0.0,6620.0,635667800.0,-3700.0,3700.0,0.0,0.0,-355470000.0,355470000.0,0.0,0.0
06/08/2026,96100.0,96000.0,100.0,0.00104167,96000.0,96200.0,96000.0,1904.0,182995400.0,0.0,0.0,1904.0,182995400.0,400.0,-400.0,0.0,0.0,38430000.0,-38430000.0,0.0,0.0
05/08/2026,96000.0,96500.0,-500.0,-0.00518135,96000.0,96000.0,95800.0,8701.0,835149500.0,0.0,0.0,8701.0,835149500.0,-401.0,401.0,0.0,0.0,-38499500.0,38499500.0,0.0,0.0
04/08/2026,96500.0,96200.0,300.0,0.0031185,96200.0,96500.0,96000.0,3312.0,318590600.0,0.0,0.0,3312.0,318590600.0,-1100.0,1100.0,0.0,0.0,-105820001.0,105820000.0,0.0,0.0
03/08/2026,96200.0,98200.0,-2000.0,-0.0203666,96000.0,96200.0,95300.0,11600.0,1113410000.0,0.0,0.0,11600.0,1113410000.0,-6400.0,6400.0,0.0,0.0,-614250000.0,614250000.0,0.0,0.0
31/07/2026,98200.0,95500.0,2700.0,0.02827225,95100.0,101800.0,95000.0,2253.0,219601900.0,0.0,0.0,2253.0,219601900.0,-1700.0,1700.0,0.0,0.0,-165980001.0,165980000.0,0.0,0.0
30/07/2026,95500.0,95500.0,0.0,0.0,95500.0,95500.0,95500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,95500.0,94300.0,1200.0,0.01272534,94700.0,95500.0,94700.0,612.0,58194500.0,0.0,0.0,612.0,58194500.0,200.0,-200.0,0.0,0.0,19000000.0,-19000000.0,0.0,0.0
28/07/2026,94300.0,96000.0,-1700.0,-0.01770833,95000.0,95000.0,94300.0,1137.0,107652000.0,0.0,0.0,1137.0,107652000.0,-200.0,200.0,0.0,0.0,-19000000.0,19000000.0,0.0,0.0
27/07/2026,96000.0,96100.0,-100.0,-0.00104058,95400.0,96100.0,95100.0,1696.0,162143600.0,0.0,0.0,1696.0,162143600.0,-45.0,95.0,0.0,-50.0,-4378000.0,9119500.0,0.0,-4741500.0
24/07/2026,96100.0,98200.0,-2100.0,-0.02138493,97100.0,97100.0,96100.0,2815.0,272192500.0,0.0,0.0,2815.0,272192500.0,2100.0,100.0,0.0,-2200.0,203030000.0,10040000.0,0.0,-213070000.0
23/07/2026,98200.0,98200.0,0.0,0.0,97500.0,98200.0,97500.0,21058.0,2066413000.0,0.0,0.0,21058.0,2066413000.0,-1950.0,1950.0,0.0,0.0,-190960000.0,190960000.0,0.0,0.0
22/07/2026,98200.0,98000.0,200.0,0.00204082,97500.0,98200.0,97500.0,1100.0,107550000.0,0.0,0.0,1100.0,107550000.0,200.0,-200.0,0.0,0.0,19510000.0,-19510000.0,0.0,0.0
21/07/2026,98000.0,99300.0,-1300.0,-0.01309164,98500.0,99700.0,98000.0,2711.0,266630600.0,0.0,0.0,2711.0,266630600.0,-502.0,502.0,0.0,0.0,-49348000.0,49348000.0,0.0,0.0
20/07/2026,99300.0,98800.0,500.0,0.00506073,101100.0,101100.0,98500.0,12743.0,1258546400.0,0.0,0.0,12743.0,1258546400.0,-1000.0,1000.0,0.0,0.0,-98820000.0,98820000.0,0.0,0.0
17/07/2026,98800.0,98900.0,-100.0,-0.00101112,98100.0,98800.0,98100.0,431.0,42445100.0,0.0,0.0,431.0,42445100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/07/2026,98900.0,99600.0,-700.0,-0.00702811,100400.0,100400.0,97800.0,4829.0,476535200.0,0.0,0.0,4829.0,476535200.0,91.0,-91.0,0.0,0.0,8240800.0,-8240800.0,0.0,0.0
15/07/2026,99600.0,99500.0,100.0,0.00100503,100700.0,100700.0,98300.0,3400.0,334820000.0,0.0,0.0,3400.0,334820000.0,-480.0,480.0,0.0,0.0,-47160000.0,47160000.0,0.0,0.0
14/07/2026,99500.0,100000.0,-500.0,-0.005,100000.0,100000.0,98300.0,8350.0,827950000.0,0.0,0.0,8350.0,827950000.0,-1900.0,1900.0,0.0,0.0,-188150000.0,188150000.0,0.0,0.0
13/07/2026,100000.0,101400.0,-1400.0,-0.01380671,96300.0,100000.0,96300.0,4028.0,399261400.0,0.0,0.0,4028.0,399261400.0,499.0,-499.0,0.0,0.0,48888600.0,-48888600.0,0.0,0.0
10/07/2026,101400.0,101400.0,0.0,0.0,101400.0,101400.0,101400.0,6.0,585000.0,0.0,0.0,6.0,585000.0,6.0,-6.0,0.0,0.0,585000.0,-585000.0,0.0,0.0
09/07/2026,101400.0,100200.0,1200.0,0.01197605,101400.0,101400.0,101400.0,100.0,10140000.0,0.0,0.0,100.0,10140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/07/2026,100200.0,100000.0,200.0,0.002,100200.0,100200.0,100200.0,163.0,16320200.0,0.0,0.0,163.0,16320200.0,-1.0,1.0,0.0,0.0,-100000.0,100000.0,0.0,0.0
07/07/2026,100000.0,100100.0,-100.0,-0.000999,100100.0,100100.0,100000.0,511.0,51141100.0,0.0,0.0,511.0,51141100.0,97.0,-97.0,0.0,0.0,9699699.0,-9699700.0,0.0,0.0
