NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,12250.0,12400.0,-150.0,-0.01209677,12250.0,12300.0,12050.0,3524430.0,42946719100.0,0.0,0.0,3524430.0,42946719100.0,90413.0,0.0,0.0,-90413.0,1105439900.0,0.0,0.0,-1105439900.0
28/08/2026,12400.0,12650.0,-250.0,-0.01976285,12650.0,12650.0,12400.0,3715582.0,46417467550.0,220000.0,2805880000.0,3935582.0,49223347550.0,1459134.0,234480.0,0.0,-1693614.0,18219211000.0,2934617350.0,0.0,-21153828350.0
27/08/2026,12650.0,12650.0,0.0,0.0,12700.0,12850.0,12450.0,4768514.0,60280142400.0,300000.0,3600000000.0,5068514.0,63880142400.0,708334.0,373086.0,0.0,-1081420.0,9015367750.0,4679651250.0,0.0,-13695019000.0
26/08/2026,12650.0,12700.0,-50.0,-0.00393701,12600.0,12700.0,12500.0,4019516.0,50603658150.0,0.0,0.0,4019516.0,50603658150.0,203787.0,484013.0,0.0,-687800.0,2554920701.0,6105594300.0,0.0,-8660515000.0
25/08/2026,12700.0,12850.0,-150.0,-0.01167315,12850.0,12900.0,12600.0,5403127.0,68624883250.0,300000.0,4080000000.0,5703127.0,72704883250.0,-1180842.0,1254242.0,0.0,-73400.0,-14942489550.0,15894604550.0,0.0,-952115000.0
24/08/2026,12850.0,12300.0,550.0,0.04471545,12300.0,12950.0,12300.0,11223786.0,141509404400.0,0.0,0.0,11223786.0,141509404400.0,-2541742.0,2657042.0,700.0,-115300.0,-32324148900.0,33827488900.0,9030000.0,-1503340000.0
21/08/2026,12300.0,11800.0,500.0,0.04237288,11800.0,12400.0,11800.0,8036649.0,97819782050.0,313000.0,3443000000.0,8349649.0,101262782050.0,-1005956.0,-556830.0,0.0,1562786.0,-12392818299.0,-6610317050.0,0.0,19003135350.0
20/08/2026,11800.0,11900.0,-100.0,-0.00840336,11900.0,12050.0,11800.0,3028259.0,36048352500.0,0.0,0.0,3028259.0,36048352500.0,557474.0,-210632.0,0.0,-346842.0,6703267300.0,-2563435900.0,0.0,-4139831400.0
19/08/2026,11900.0,12050.0,-150.0,-0.01244813,12150.0,12200.0,11850.0,4710908.0,56495665100.0,0.0,0.0,4710908.0,56495665100.0,535001.0,-316201.0,-8.0,-218800.0,6416128300.0,-3782208300.0,-95000.0,-2633920000.0
18/08/2026,12050.0,12100.0,-50.0,-0.00413223,12100.0,12350.0,12000.0,4090422.0,49726198850.0,0.0,0.0,4090422.0,49726198850.0,-1403427.0,1424527.0,0.0,-21100.0,-17083906650.0,17342426650.0,0.0,-258520000.0
17/08/2026,12100.0,11950.0,150.0,0.0125523,12000.0,12450.0,11800.0,7700401.0,93762339000.0,313000.0,3990750000.0,8013401.0,97753089000.0,-2868639.0,1614539.0,700.0,1254100.0,-34887286449.0,19557126450.0,8330000.0,15330160000.0
14/08/2026,11950.0,11950.0,0.0,0.0,11850.0,12300.0,11700.0,6204931.0,74208626450.0,0.0,0.0,6204931.0,74208626450.0,-459194.0,-22906.0,300.0,482100.0,-5459813000.0,-247692000.0,3570000.0,5707505000.0
13/08/2026,11950.0,12100.0,-150.0,-0.01239669,12150.0,12250.0,11800.0,6997174.0,83969538750.0,0.0,0.0,6997174.0,83969538750.0,-503775.0,434550.0,0.0,69225.0,-6143962600.0,5307708100.0,0.0,836254500.0
12/08/2026,12100.0,12100.0,0.0,0.0,12150.0,12300.0,12050.0,3598050.0,43726388800.0,0.0,0.0,3598050.0,43726388800.0,-208834.0,229534.0,1100.0,-20700.0,-2574674301.0,2819069300.0,13475000.0,-244395000.0
11/08/2026,12100.0,12100.0,0.0,0.0,12100.0,12450.0,12000.0,6707096.0,81858713050.0,0.0,0.0,6707096.0,81858713050.0,-1341765.0,1257065.0,14700.0,84700.0,-16375715049.0,15325085050.0,179195000.0,1050630000.0
10/08/2026,12100.0,11900.0,200.0,0.01680672,11900.0,12200.0,11850.0,6247488.0,75275257100.0,0.0,0.0,6247488.0,75275257100.0,-129827.0,133027.0,0.0,-3200.0,-1498231150.0,1552406150.0,0.0,-54175000.0
