NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,8300.0,8300.0,0.0,0.0,8300.0,8300.0,8250.0,14539.0,120571900.0,0.0,0.0,14539.0,120571900.0,1097.0,-1097.0,0,0.0,9105100.0,-9105100.0,0,0.0
27/08/2026,8300.0,8250.0,50.0,0.00606061,8220.0,8300.0,8180.0,6800.0,55803000.0,0.0,0.0,6800.0,55803000.0,-600.0,600.0,0,0.0,-4953000.0,4953000.0,0,0.0
26/08/2026,8250.0,8300.0,-50.0,-0.0060241,8230.0,8250.0,8210.0,25064.0,206115080.0,0.0,0.0,25064.0,206115080.0,-4300.0,4300.0,0,0.0,-35346000.0,35346000.0,0,0.0
25/08/2026,8300.0,8320.0,-20.0,-0.00240385,8300.0,8310.0,8230.0,17214.0,142727830.0,0.0,0.0,17214.0,142727830.0,-3300.0,3300.0,0,0.0,-27287001.0,27287000.0,0,0.0
24/08/2026,8320.0,8320.0,0.0,0.0,8310.0,8330.0,8310.0,4786.0,39808650.0,0.0,0.0,4786.0,39808650.0,-3547.0,2547.0,0,1000.0,-29495270.0,21185270.0,0,8310000.0
21/08/2026,8320.0,8300.0,20.0,0.00240964,8220.0,8360.0,8220.0,28810.0,239398140.0,0.0,0.0,28810.0,239398140.0,7200.0,-8100.0,0,900.0,59716000.0,-67212000.0,0,7496000.0
20/08/2026,8300.0,8290.0,10.0,0.00120627,8290.0,8300.0,8260.0,17280.0,143304100.0,0.0,0.0,17280.0,143304100.0,-4730.0,4730.0,0,0.0,-39294500.0,39294500.0,0,0.0
19/08/2026,8290.0,8250.0,40.0,0.00484848,8290.0,8290.0,8290.0,108.0,895050.0,0.0,0.0,108.0,895050.0,-100.0,100.0,0,0.0,-829001.0,829000.0,0,0.0
18/08/2026,8250.0,8240.0,10.0,0.00121359,8490.0,8490.0,8250.0,10303.0,85367720.0,0.0,0.0,10303.0,85367720.0,9800.0,-9800.0,0,0.0,81149000.0,-81149000.0,0,0.0
17/08/2026,8240.0,8240.0,0.0,0.0,8240.0,8260.0,8240.0,3829.0,31575960.0,0.0,0.0,3829.0,31575960.0,-829.0,829.0,0,0.0,-6830960.0,6830960.0,0,0.0
14/08/2026,8240.0,8240.0,0.0,0.0,8240.0,8240.0,8240.0,6123.0,50453480.0,0.0,0.0,6123.0,50453480.0,-5900.0,5900.0,0,0.0,-48616000.0,48616000.0,0,0.0
13/08/2026,8240.0,8320.0,-80.0,-0.00961538,8260.0,8300.0,8240.0,9718.0,80443210.0,0.0,0.0,9718.0,80443210.0,3700.0,-3700.0,0,0.0,30757000.0,-30757000.0,0,0.0
12/08/2026,8320.0,8260.0,60.0,0.00726392,8270.0,8320.0,8270.0,2300.0,19026000.0,0.0,0.0,2300.0,19026000.0,1900.0,-1900.0,0,0.0,15713000.0,-15713000.0,0,0.0
11/08/2026,8260.0,8350.0,-90.0,-0.01077844,8350.0,8350.0,8260.0,14742.0,122602440.0,0.0,0.0,14742.0,122602440.0,13700.0,-13700.0,0,0.0,113948000.0,-113948000.0,0,0.0
10/08/2026,8350.0,8340.0,10.0,0.00119904,8240.0,8350.0,8240.0,6204.0,51419440.0,0.0,0.0,6204.0,51419440.0,2500.0,-2500.0,0,0.0,20821000.0,-20821000.0,0,0.0
07/08/2026,8340.0,8310.0,30.0,0.00361011,8380.0,8380.0,8270.0,805.0,6693650.0,0.0,0.0,805.0,6693650.0,-99.0,99.0,0,0.0,-828470.0,828470.0,0,0.0
