NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,13600.0,14100.0,-500.0,-0.03546099,13950.0,13950.0,13600.0,82517.0,1129376300.0,0.0,0.0,82517.0,1129376300.0,0.0,0.0,0.0,5100.0,0.0,0.0,0.0,69540000.0
28/08/2026,14100.0,14200.0,-100.0,-0.00704225,13650.0,14150.0,13650.0,42041.0,584790150.0,0.0,0.0,42041.0,584790150.0,2141.0,-2141.0,0.0,0.0,29609450.0,-29609450.0,0.0,0.0
27/08/2026,14200.0,13700.0,500.0,0.03649635,13800.0,14350.0,13750.0,176724.0,2487143550.0,0.0,0.0,176724.0,2487143550.0,40655.0,-37555.0,0.0,-3100.0,574974600.0,-530804600.0,0.0,-44170000.0
26/08/2026,13700.0,12850.0,850.0,0.06614786,12850.0,13700.0,12850.0,228662.0,3093394450.0,0.0,0.0,228662.0,3093394450.0,4881.0,-4981.0,0.0,100.0,66398950.0,-67683950.0,0.0,1285000.0
25/08/2026,12850.0,12850.0,0.0,0.0,12850.0,12850.0,12800.0,12232.0,157086300.0,0.0,0.0,12232.0,157086300.0,3654.0,-3654.0,0.0,0.0,46909101.0,-46909100.0,0.0,0.0
24/08/2026,12850.0,12700.0,150.0,0.01181102,12650.0,13000.0,12650.0,4634.0,59220300.0,0.0,0.0,4634.0,59220300.0,-799.0,799.0,0.0,0.0,-10331750.0,10331750.0,0.0,0.0
21/08/2026,12700.0,12650.0,50.0,0.00395257,12600.0,13000.0,12600.0,60757.0,770306050.0,0.0,0.0,60757.0,770306050.0,13600.0,-14100.0,0.0,500.0,171610000.0,-177910000.0,0.0,6300000.0
20/08/2026,12650.0,12700.0,-50.0,-0.00393701,12700.0,12700.0,12650.0,7909.0,100194600.0,0.0,0.0,7909.0,100194600.0,2502.0,-5002.0,0.0,2500.0,31650700.0,-63275700.0,0.0,31625000.0
19/08/2026,12700.0,12750.0,-50.0,-0.00392157,12750.0,12750.0,12700.0,41813.0,531620750.0,0.0,0.0,41813.0,531620750.0,913.0,-913.0,0.0,0.0,11640750.0,-11640750.0,0.0,0.0
18/08/2026,12750.0,12700.0,50.0,0.00393701,12850.0,12850.0,12700.0,33627.0,429526550.0,0.0,0.0,33627.0,429526550.0,-905.0,-95.0,0.0,1000.0,-11652000.0,-1098000.0,0.0,12750000.0
17/08/2026,12700.0,12800.0,-100.0,-0.0078125,12800.0,12800.0,12700.0,26732.0,341589350.0,0.0,0.0,26732.0,341589350.0,-15658.0,1003.0,0.0,14655.0,-200331901.0,12737650.0,0.0,187594250.0
14/08/2026,12800.0,12850.0,-50.0,-0.00389105,12600.0,12800.0,12550.0,9346.0,118785600.0,0.0,0.0,9346.0,118785600.0,1323.0,-1423.0,0.0,100.0,16647600.0,-17927600.0,0.0,1280000.0
13/08/2026,12850.0,12850.0,0.0,0.0,12600.0,12850.0,12600.0,9811.0,125410450.0,0.0,0.0,9811.0,125410450.0,1201.0,-1201.0,0.0,0.0,15007850.0,-15007850.0,0.0,0.0
12/08/2026,12850.0,12900.0,-50.0,-0.00387597,12900.0,12900.0,12700.0,36336.0,466149300.0,0.0,0.0,36336.0,466149300.0,9699.0,-4799.0,0.0,-4900.0,124062200.0,-61517200.0,0.0,-62545000.0
11/08/2026,12900.0,13000.0,-100.0,-0.00769231,12850.0,12950.0,12850.0,15137.0,195339100.0,0.0,0.0,15137.0,195339100.0,-1123.0,23.0,0.0,1100.0,-14543800.0,298800.0,0.0,14245000.0
10/08/2026,13000.0,12800.0,200.0,0.015625,13300.0,13300.0,12900.0,14256.0,187833250.0,0.0,0.0,14256.0,187833250.0,-7515.0,4415.0,0.0,3100.0,-99328500.0,58213500.0,0.0,41115000.0
07/08/2026,12800.0,12800.0,0.0,0.0,12550.0,13000.0,12550.0,29064.0,375848200.0,0.0,0.0,29064.0,375848200.0,-15064.0,14364.0,0.0,700.0,-195203200.0,186383200.0,0.0,8820000.0
06/08/2026,12800.0,13000.0,-200.0,-0.01538462,12950.0,13000.0,12800.0,63251.0,818041200.0,0.0,0.0,63251.0,818041200.0,11116.0,-9916.0,0.0,-1200.0,144418801.0,-128938800.0,0.0,-15480000.0
05/08/2026,13000.0,12900.0,100.0,0.00775194,13000.0,13100.0,12750.0,20896.0,270018400.0,0.0,0.0,20896.0,270018400.0,-300.0,300.0,0.0,0.0,-3685000.0,3685000.0,0.0,0.0
04/08/2026,12900.0,13200.0,-300.0,-0.02272727,12950.0,13000.0,12900.0,3516.0,45474700.0,0.0,0.0,3516.0,45474700.0,2009.0,-2009.0,0.0,0.0,25973550.0,-25973550.0,0.0,0.0
03/08/2026,13200.0,12600.0,600.0,0.04761905,12600.0,13450.0,12450.0,173711.0,2270166550.0,0.0,0.0,173711.0,2270166550.0,84527.0,-84927.0,0.0,400.0,1106963850.0,-1111943850.0,0.0,4980000.0
31/07/2026,12600.0,12550.0,50.0,0.00398406,12600.0,12700.0,12500.0,40697.0,513441700.0,0.0,0.0,40697.0,513441700.0,-9026.0,-974.0,0.0,10000.0,-113987600.0,-12992400.0,0.0,126980000.0
30/07/2026,12550.0,12200.0,350.0,0.02868852,12250.0,12550.0,12250.0,26127.0,325626700.0,0.0,0.0,26127.0,325626700.0,-7021.0,5421.0,0.0,1600.0,-87539000.0,67709000.0,0.0,19830000.0
29/07/2026,12200.0,12200.0,0.0,0.0,12100.0,12400.0,12100.0,51603.0,635044900.0,0.0,0.0,51603.0,635044900.0,-6400.0,6300.0,0.0,100.0,-78950000.0,78010000.0,0.0,940000.0
28/07/2026,12200.0,11800.0,400.0,0.03389831,11800.0,12250.0,11800.0,23903.0,291306000.0,0.0,0.0,23903.0,291306000.0,8100.0,-8100.0,0.0,0.0,98770000.0,-98770000.0,0.0,0.0
27/07/2026,11800.0,12200.0,-400.0,-0.03278689,12000.0,12350.0,11800.0,47546.0,568610600.0,0.0,0.0,47546.0,568610600.0,15300.0,-15300.0,0.0,0.0,180830001.0,-180830000.0,0.0,0.0
24/07/2026,12200.0,12150.0,50.0,0.00411523,11850.0,12200.0,11850.0,8150.0,99385000.0,0.0,0.0,8150.0,99385000.0,500.0,-500.0,0.0,0.0,6095000.0,-6095000.0,0.0,0.0
