NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
23/09/2026,21698.93,22700.0,0.0,0.0,21698.93,21698.93,21698.93,1.0,22700.0,0.0,0.0,1.0,22700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/09/2026,21698.93,22800.0,-100.0,-0.00438596,21698.93,21698.93,21698.93,3009.0,68305200.0,0.0,0.0,3009.0,68305200.0,200.0,0.0,0.0,-200.0,4540000.0,0.0,0.0,-4540000.0
21/09/2026,21794.52,22700.0,100.0,0.00440529,21794.52,21794.52,21794.52,301.0,6862800.0,0.0,0.0,301.0,6862800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/09/2026,21698.93,22700.0,0.0,0.0,21698.93,21698.93,21698.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/09/2026,21698.93,22100.0,600.0,0.02714932,21125.39,21698.93,21125.39,2301.0,51151550.0,0.0,0.0,2301.0,51151550.0,1300.0,0.0,0.0,-1300.0,28730000.0,0.0,0.0,-28730000.0
16/09/2026,21125.39,22000.0,100.0,0.00454545,21842.315,21842.315,21125.39,1539.0,34383000.0,0.0,0.0,1539.0,34383000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/09/2026,21029.8,22000.0,0.0,0.0,21029.8,21029.8,21029.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/09/2026,21029.8,21550.0,450.0,0.02088167,21029.8,21029.8,21029.8,210.0,4619500.0,0.0,0.0,210.0,4619500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/09/2026,20599.645,21550.0,0.0,0.0,20599.645,20599.645,20599.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/09/2026,20599.645,21800.0,-250.0,-0.01146789,21029.8,21029.8,20599.645,500.0,10955000.0,0.0,0.0,500.0,10955000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/09/2026,20838.62,21800.0,0.0,0.0,20838.62,20838.62,20838.62,47.0,1024600.0,0.0,0.0,47.0,1024600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/09/2026,20838.62,22000.0,-200.0,-0.00909091,21507.75,21507.75,20599.645,871.0,19104500.0,0.0,0.0,871.0,19104500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/09/2026,21029.8,22400.0,-400.0,-0.01785714,21029.8,21029.8,21029.8,255.0,5633100.0,0.0,0.0,255.0,5633100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/09/2026,21412.16,22450.0,-50.0,-0.00222717,21459.955,21459.955,21412.16,1200.0,26905000.0,0.0,0.0,1200.0,26905000.0,-1000.0,0.0,0.0,1000.0,-22425000.0,0.0,0.0,22425000.0
03/09/2026,21459.955,22450.0,0.0,0.0,21985.7,21985.7,21459.955,405.0,9258800.0,0.0,0.0,405.0,9258800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,21459.955,22500.0,-50.0,-0.00222222,21507.75,21507.75,21459.955,406.0,9130000.0,0.0,0.0,406.0,9130000.0,-5.0,5.0,0.0,0.0,-112500.0,112500.0,0.0,0.0
27/08/2026,21507.75,22500.0,0.0,0.0,21507.75,21507.75,21507.75,3.0,67500.0,0.0,0.0,3.0,67500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,21507.75,22150.0,350.0,0.01580135,21507.75,21507.75,21507.75,1000.0,22500000.0,0.0,0.0,1000.0,22500000.0,1000.0,-1000.0,0.0,0.0,22500000.0,-22500000.0,0.0,0.0
