NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,23300.0,23300.0,0.0,0.0,23300.0,23300.0,23300.0,101.0,2353050.0,0.0,0.0,101.0,2353050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,23300.0,23300.0,0.0,0.0,23300.0,23300.0,23300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,23300.0,23100.0,200.0,0.00865801,23300.0,23300.0,23300.0,1500.0,34950000.0,0.0,0.0,1500.0,34950000.0,400.0,-400.0,0.0,0.0,9320000.0,-9320000.0,0.0,0.0
26/08/2026,23100.0,23000.0,100.0,0.00434783,23100.0,23100.0,23100.0,502.0,11596200.0,0.0,0.0,502.0,11596200.0,-502.0,502.0,0.0,0.0,-11596200.0,11596200.0,0.0,0.0
25/08/2026,23000.0,23000.0,0.0,0.0,23000.0,23000.0,23000.0,2101.0,48323000.0,0.0,0.0,2101.0,48323000.0,1500.0,-1500.0,0.0,0.0,34500000.0,-34500000.0,0.0,0.0
24/08/2026,23000.0,23100.0,-100.0,-0.004329,23100.0,23100.0,23000.0,2125.0,49077500.0,0.0,0.0,2125.0,49077500.0,-700.0,0.0,0.0,700.0,-16170000.0,0.0,0.0,16170000.0
21/08/2026,23100.0,23100.0,0.0,0.0,23100.0,23100.0,23100.0,914.0,21099450.0,0.0,0.0,914.0,21099450.0,500.0,-500.0,0.0,0.0,11550000.0,-11550000.0,0.0,0.0
20/08/2026,23100.0,23100.0,0.0,0.0,23100.0,23100.0,23100.0,100.0,2310000.0,0.0,0.0,100.0,2310000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,23100.0,23100.0,0.0,0.0,23200.0,23200.0,23100.0,410.0,9491000.0,0.0,0.0,410.0,9491000.0,199.0,-199.0,0.0,0.0,4596900.0,-4596900.0,0.0,0.0
18/08/2026,23100.0,23100.0,0.0,0.0,23100.0,23100.0,23100.0,94.0,2034250.0,0.0,0.0,94.0,2034250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,23100.0,23100.0,0.0,0.0,23100.0,23100.0,23100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,23100.0,23100.0,0.0,0.0,24700.0,24700.0,23100.0,25121.0,580612000.0,0.0,0.0,25121.0,580612000.0,-10.0,10.0,0.0,0.0,-246000.0,246000.0,0.0,0.0
13/08/2026,23100.0,23000.0,100.0,0.00434783,23200.0,23200.0,23100.0,4107.0,95175500.0,0.0,0.0,4107.0,95175500.0,2600.0,-600.0,0.0,-2000.0,60310000.0,-13910000.0,0.0,-46400000.0
12/08/2026,23000.0,23200.0,-200.0,-0.00862069,22900.0,23000.0,22500.0,11189.0,256832450.0,0.0,0.0,11189.0,256832450.0,6500.0,-6500.0,0.0,0.0,149074850.0,-149074850.0,0.0,0.0
11/08/2026,23200.0,23250.0,-50.0,-0.00215054,23200.0,23300.0,23200.0,9305.0,216431250.0,0.0,0.0,9305.0,216431250.0,5300.0,-1300.0,0.0,-4000.0,123415000.0,-30215000.0,0.0,-93200000.0
10/08/2026,23250.0,23450.0,-200.0,-0.00852878,23200.0,23250.0,23150.0,9200.0,213425000.0,0.0,0.0,9200.0,213425000.0,5100.0,-5800.0,0.0,700.0,118300000.0,-134540000.0,0.0,16240000.0
07/08/2026,23450.0,23000.0,450.0,0.01956522,22500.0,23550.0,22500.0,5833.0,136342800.0,0.0,0.0,5833.0,136342800.0,4592.0,-4292.0,0.0,-300.0,107898201.0,-100863200.0,0.0,-7035000.0
06/08/2026,23000.0,23200.0,-200.0,-0.00862069,23000.0,23000.0,22350.0,36363.0,833704450.0,0.0,0.0,36363.0,833704450.0,2400.0,-2200.0,0.0,-200.0,55150000.0,-50550000.0,0.0,-4600000.0
05/08/2026,23200.0,23400.0,-200.0,-0.00854701,23400.0,23400.0,23200.0,21528.0,501995200.0,0.0,0.0,21528.0,501995200.0,9900.0,-9900.0,0.0,0.0,230860000.0,-230860000.0,0.0,0.0
04/08/2026,23400.0,22300.0,1100.0,0.04932735,22300.0,23850.0,22300.0,50910.0,1186405000.0,0.0,0.0,50910.0,1186405000.0,26100.0,-26400.0,0.0,300.0,606385000.0,-613455000.0,0.0,7070000.0
03/08/2026,22300.0,21000.0,1300.0,0.06190476,22350.0,22350.0,21000.0,11860.0,262723000.0,0.0,0.0,11860.0,262723000.0,500.0,-400.0,0.0,-100.0,11790000.0,-9390000.0,0.0,-2400000.0
31/07/2026,21000.0,20900.0,100.0,0.00478469,20700.0,21000.0,20700.0,5431.0,113328950.0,0.0,0.0,5431.0,113328950.0,1099.0,-1099.0,0.0,0.0,23348550.0,-23348550.0,0.0,0.0
30/07/2026,20900.0,19550.0,1350.0,0.06905371,20800.0,20900.0,20000.0,28712.0,592120000.0,0.0,0.0,28712.0,592120000.0,15800.0,-15800.0,0.0,0.0,324725000.0,-324725000.0,0.0,0.0
29/07/2026,19550.0,20000.0,-450.0,-0.0225,21200.0,21200.0,19050.0,13739.0,282577400.0,0.0,0.0,13739.0,282577400.0,-5161.0,5261.0,0.0,-100.0,-107022600.0,109557600.0,0.0,-2535000.0
28/07/2026,20000.0,20250.0,-250.0,-0.01234568,20400.0,21300.0,20000.0,13581.0,275975600.0,0.0,0.0,13581.0,275975600.0,5511.0,-5511.0,0.0,0.0,111784401.0,-111784400.0,0.0,0.0
27/07/2026,20250.0,19250.0,1000.0,0.05194805,19250.0,20500.0,19250.0,25975.0,525102250.0,0.0,0.0,25975.0,525102250.0,4232.0,-4145.0,0.0,-87.0,86554050.0,-84901050.0,0.0,-1653000.0
