NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,21450.0,21400.0,50.0,0.00233645,21950.0,21950.0,21300.0,2802.0,59848900.0,0.0,0.0,2802.0,59848900.0,-100.0,0.0,0.0,100.0,-2130000.0,0.0,0.0,2130000.0
03/09/2026,21400.0,21900.0,-500.0,-0.02283105,21700.0,21700.0,21300.0,8137.0,174386550.0,0.0,0.0,8137.0,174386550.0,300.0,0.0,0.0,-300.0,6450000.0,0.0,0.0,-6450000.0
28/08/2026,21900.0,21150.0,750.0,0.03546099,21900.0,22600.0,21350.0,3467.0,76980950.0,0.0,0.0,3467.0,76980950.0,-500.0,800.0,0.0,-300.0,-10990000.0,17590000.0,0.0,-6600000.0
27/08/2026,21150.0,21900.0,-750.0,-0.03424658,21900.0,21900.0,21100.0,4702.0,99963700.0,0.0,0.0,4702.0,99963700.0,-821.0,821.0,0.0,0.0,-17663849.0,17663850.0,0.0,0.0
26/08/2026,21900.0,21650.0,250.0,0.01154734,21650.0,22250.0,21000.0,7215.0,155399500.0,0.0,0.0,7215.0,155399500.0,-3310.0,3010.0,0.0,300.0,-71180000.0,64730000.0,0.0,6450000.0
25/08/2026,21650.0,21900.0,-250.0,-0.01141553,21900.0,21900.0,21600.0,4021.0,87156900.0,0.0,0.0,4021.0,87156900.0,106.0,-206.0,0.0,100.0,2305500.0,-4470500.0,0.0,2165000.0
24/08/2026,21900.0,21900.0,0.0,0.0,21900.0,21950.0,21650.0,6016.0,131721400.0,0.0,0.0,6016.0,131721400.0,920.0,-720.0,0.0,-200.0,20174000.0,-15769000.0,0.0,-4405000.0
21/08/2026,21900.0,21750.0,150.0,0.00689655,21700.0,21900.0,21450.0,2449.0,53360800.0,0.0,0.0,2449.0,53360800.0,1300.0,-1300.0,0.0,0.0,28330000.0,-28330000.0,0.0,0.0
20/08/2026,21750.0,21350.0,400.0,0.01873536,21500.0,21800.0,21500.0,652.0,14136000.0,0.0,0.0,652.0,14136000.0,-200.0,200.0,0.0,0.0,-4345000.0,4345000.0,0.0,0.0
19/08/2026,21350.0,21500.0,-150.0,-0.00697674,21500.0,21500.0,21150.0,2411.0,51341150.0,0.0,0.0,2411.0,51341150.0,-100.0,100.0,0.0,0.0,-2120000.0,2120000.0,0.0,0.0
18/08/2026,21500.0,21850.0,-350.0,-0.01601831,21450.0,21700.0,21300.0,6515.0,140312000.0,0.0,0.0,6515.0,140312000.0,800.0,-600.0,0.0,-200.0,17295000.0,-12955000.0,0.0,-4340000.0
17/08/2026,21850.0,21850.0,0.0,0.0,21100.0,22250.0,21100.0,2285.0,48591450.0,0.0,0.0,2285.0,48591450.0,0.0,0.0,0.0,0.0,105000.0,-105000.0,0.0,0.0
14/08/2026,21850.0,22150.0,-300.0,-0.01354402,22300.0,22300.0,21800.0,2556.0,55893600.0,0.0,0.0,2556.0,55893600.0,-600.0,-300.0,0.0,900.0,-13130000.0,-6490000.0,0.0,19620000.0
13/08/2026,22150.0,22400.0,-250.0,-0.01116071,22100.0,22500.0,21900.0,2576.0,56847000.0,0.0,0.0,2576.0,56847000.0,-250.0,150.0,0.0,100.0,-5536400.0,3326400.0,0.0,2210000.0
12/08/2026,22400.0,22700.0,-300.0,-0.01321586,22700.0,22700.0,22000.0,14278.0,316009500.0,0.0,0.0,14278.0,316009500.0,-545.0,145.0,0.0,400.0,-12176950.0,3361950.0,0.0,8815000.0
11/08/2026,22700.0,22800.0,-100.0,-0.00438596,23450.0,23450.0,22500.0,4059.0,92553700.0,0.0,0.0,4059.0,92553700.0,1300.0,-1100.0,0.0,-200.0,29740000.0,-25185000.0,0.0,-4555000.0
10/08/2026,22800.0,22550.0,255.0,0.01131071,22800.0,23500.0,22600.0,10596.0,242333000.0,0.0,0.0,10596.0,242333000.0,1041.0,-741.0,0.0,-300.0,23606000.0,-16696000.0,0.0,-6910000.0
07/08/2026,22545.665,23000.0,1350.0,0.05869565,21666.06,22777.14,21295.7,71530.0,1684534700.0,0.0,0.0,71530.0,1684534700.0,42083.0,-42083.0,0.0,0.0,978704799.0,-978794800.0,0.0,90000.0
06/08/2026,21295.7,23050.0,-50.0,-0.0021692,21758.65,21758.65,21249.405,8001.0,184638200.0,0.0,0.0,8001.0,184638200.0,-1199.0,-901.0,0.0,2100.0,-27601800.0,-20948200.0,0.0,48550000.0
05/08/2026,21341.995,23050.0,0.0,0.0,21712.355,21712.355,21110.52,7511.0,174299650.0,0.0,0.0,7511.0,174299650.0,-101.0,-499.0,0.0,600.0,-2453149.0,-11466850.0,0.0,13920000.0
04/08/2026,21341.995,23000.0,50.0,0.00217391,21480.88,21480.88,20832.75,2523.0,57893050.0,0.0,0.0,2523.0,57893050.0,-1590.0,1590.0,0.0,0.0,-36511000.0,36511000.0,0.0,0.0
03/08/2026,21295.7,22750.0,250.0,0.01098901,21110.52,21758.65,21110.52,4731.0,108619450.0,0.0,0.0,4731.0,108619450.0,1080.0,-780.0,0.0,-300.0,24710000.0,-17720000.0,0.0,-6990000.0
31/07/2026,21064.225,22400.0,350.0,0.015625,20740.16,21943.83,20369.8,10308.0,235131600.0,0.0,0.0,10308.0,235131600.0,350.0,-350.0,0.0,0.0,7755000.0,-7755000.0,0.0,0.0
30/07/2026,20740.16,22250.0,150.0,0.00674157,20740.16,20740.16,20416.095,4100.0,90910000.0,0.0,0.0,4100.0,90910000.0,-1300.0,1300.0,0.0,0.0,-28670000.0,28670000.0,0.0,0.0
29/07/2026,20601.275,22300.0,-50.0,-0.00224215,20230.915,20647.57,20184.62,4001.0,87632300.0,0.0,0.0,4001.0,87632300.0,-1800.0,1800.0,0.0,0.0,-39355000.0,39395000.0,0.0,-40000.0
28/07/2026,20647.57,22300.0,0.0,0.0,20647.57,20647.57,20230.915,1424.0,31383000.0,0.0,0.0,1424.0,31383000.0,-300.0,-500.0,0.0,800.0,-6505000.0,-11150000.0,0.0,17655000.0
27/07/2026,20647.57,22400.0,-100.0,-0.00446429,20693.865,20740.16,20647.57,2340.0,52237000.0,0.0,0.0,2340.0,52237000.0,360.0,-360.0,0.0,0.0,8058000.0,-8058000.0,0.0,0.0
24/07/2026,20740.16,22000.0,401.0,0.0182281,20323.505,20832.75,19629.08,8830.0,193777250.0,0.0,0.0,8830.0,193777250.0,-100.0,-100.0,0.0,200.0,-1900000.0,-2340000.0,0.0,4240000.0
23/07/2026,20369.33705,23000.0,0.0,0.0,20059.3688775,20369.33705,20059.3688775,575.0,13126200.0,0.0,0.0,575.0,13126200.0,296.0,-296.0,0.0,0.0,6738000.0,-6738000.0,0.0,0.0
22/07/2026,20369.33705,23100.0,-100.0,-0.004329,20767.8675575,20812.148725,20369.33705,22410.0,524851200.0,0.0,0.0,22410.0,524851200.0,-18800.0,19200.0,0.0,-400.0,-440520000.0,449900000.0,0.0,-9380000.0
21/07/2026,20457.899385,22950.0,150.0,0.00653595,20590.7428875,20590.7428875,20147.9312125,3434.0,78788200.0,0.0,0.0,3434.0,78788200.0,-1830.0,2030.0,0.0,-200.0,-42086001.0,46726000.0,0.0,-4640000.0
20/07/2026,20325.0558825,23150.0,-200.0,-0.00863931,20457.899385,20723.58639,20103.650045,9103.0,208709650.0,0.0,0.0,9103.0,208709650.0,300.0,-300.0,0.0,0.0,6810000.0,-6810000.0,0.0,0.0
17/07/2026,20502.1805525,23500.0,-350.0,-0.01489362,20723.58639,20723.58639,20369.33705,3880.0,90315900.0,0.0,0.0,3880.0,90315900.0,700.0,-700.0,0.0,0.0,16235000.0,-16235000.0,0.0,0.0
16/07/2026,20812.148725,23550.0,-50.0,-0.00212314,20856.4298925,20856.4298925,20413.6182175,830.0,19495500.0,0.0,0.0,830.0,19495500.0,270.0,-270.0,0.0,0.0,6304500.0,-6304500.0,0.0,0.0
15/07/2026,20856.4298925,23600.0,-50.0,-0.00211864,20900.71106,20944.9922275,20147.9312125,6358.0,148366250.0,0.0,0.0,6358.0,148366250.0,-1500.0,1000.0,0.0,500.0,-34715000.0,23425000.0,0.0,11290000.0
14/07/2026,20900.71106,23400.0,200.0,0.00854701,20369.33705,21166.398065,20192.21238,22324.0,529380700.0,0.0,0.0,22324.0,529380700.0,-11590.0,11590.0,0.0,0.0,-274739850.0,274739850.0,0.0,0.0
13/07/2026,20723.58639,23400.0,0.0,0.0,21609.20974,21609.20974,20413.6182175,3281.0,77141900.0,0.0,0.0,3281.0,77141900.0,480.0,-180.0,0.0,-300.0,11232001.0,-4212000.0,0.0,-7020000.0
10/07/2026,20723.58639,23250.0,150.0,0.00645161,21033.5545625,21033.5545625,20369.33705,19024.0,445451600.0,0.0,0.0,19024.0,445451600.0,-13715.0,13615.0,0.0,100.0,-322066001.0,319761000.0,0.0,2305000.0
09/07/2026,20590.7428875,22900.0,350.0,0.01528384,20147.9312125,20590.7428875,20147.9312125,8502.0,194245800.0,0.0,0.0,8502.0,194245800.0,-7100.0,7100.0,0.0,0.0,-162185001.0,162185000.0,0.0,0.0
08/07/2026,20280.774715,22500.0,400.0,0.01777778,20325.0558825,20325.0558825,19660.83837,5400.0,121765000.0,0.0,0.0,5400.0,121765000.0,-900.0,900.0,0.0,0.0,-20140000.0,20140000.0,0.0,0.0
07/07/2026,19926.525375,22650.0,-150.0,-0.00662252,20369.33705,20369.33705,19660.83837,1930.0,43225150.0,0.0,0.0,1930.0,43225150.0,-100.0,100.0,0.0,0.0,-2250000.0,2250000.0,0.0,0.0
06/07/2026,20059.3688775,22500.0,150.0,0.00666667,19793.6818725,20457.899385,19793.6818725,22510.0,514965000.0,0.0,0.0,22510.0,514965000.0,-13500.0,-1500.0,0.0,15000.0,-311095000.0,-34655000.0,0.0,345750000.0
