NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,8630.0,9250.0,-620.0,-0.06702703,8630.0,8630.0,8630.0,102.0,880860.0,0.0,0.0,102.0,880860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,9250.0,9250.0,0.0,0.0,9250.0,9250.0,9250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,9250.0,9250.0,0.0,0.0,9250.0,9250.0,9250.0,1.0,8990.0,0.0,0.0,1.0,8990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,9250.0,8720.0,530.0,0.06077982,9250.0,9250.0,9250.0,182.0,1624400.0,0.0,0.0,182.0,1624400.0,-182.0,182.0,0.0,0.0,-1624400.0,1624400.0,0.0,0.0
25/08/2026,8720.0,9000.0,-280.0,-0.03111111,9380.0,9380.0,8720.0,235.0,2124720.0,0.0,0.0,235.0,2124720.0,-135.0,135.0,0.0,0.0,-1252721.0,1252720.0,0.0,0.0
24/08/2026,9000.0,9140.0,-140.0,-0.01531729,9000.0,9000.0,9000.0,204.0,1836560.0,0.0,0.0,204.0,1836560.0,-200.0,200.0,0.0,0.0,-1800001.0,1800000.0,0.0,0.0
21/08/2026,9140.0,9200.0,-60.0,-0.00652174,9150.0,9150.0,9140.0,438.0,3997560.0,0.0,0.0,438.0,3997560.0,-78.0,78.0,0.0,0.0,-719080.0,719080.0,0.0,0.0
20/08/2026,9200.0,8600.0,600.0,0.06976744,9200.0,9200.0,9200.0,105.0,963000.0,0.0,0.0,105.0,963000.0,-102.0,102.0,0.0,0.0,-937201.0,937200.0,0.0,0.0
19/08/2026,8600.0,8230.0,370.0,0.04495747,8790.0,8800.0,8600.0,406.0,3547380.0,0.0,0.0,406.0,3547380.0,200.0,-200.0,0.0,0.0,1740000.0,-1740000.0,0.0,0.0
18/08/2026,8230.0,8800.0,-570.0,-0.06477273,8660.0,8950.0,8220.0,2740.0,23276400.0,0.0,0.0,2740.0,23276400.0,1437.0,-1437.0,0.0,0.0,11976770.0,-11976770.0,0.0,0.0
