NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,36000.0,36200.0,-200.0,-0.00552486,36200.0,36250.0,35750.0,3271741.0,117862250750.0,0.0,0.0,3271741.0,117862250750.0,0.0,400.0,400.0,170100.0,0.0,14380000.0,14380000.0,6132490000.0
03/09/2026,36200.0,36250.0,-50.0,-0.00137931,36900.0,37200.0,36200.0,4866596.0,178256467600.0,0.0,0.0,4866596.0,178256467600.0,-278800.0,0.0,2000.0,276800.0,-10149685000.0,0.0,73620000.0,10076065000.0
28/08/2026,36250.0,36400.0,-150.0,-0.00412088,36500.0,36900.0,36250.0,4814228.0,175683825500.0,0.0,0.0,4814228.0,175683825500.0,-553375.0,511875.0,-69400.0,41500.0,-20204312400.0,18712432400.0,-2515750000.0,1491880000.0
27/08/2026,36400.0,37400.0,-1000.0,-0.02673797,37400.0,37450.0,36200.0,6889120.0,252511289900.0,40000.0,1484000000.0,6929120.0,253995289900.0,648265.0,29235.0,40000.0,-677500.0,23821639650.0,1084185350.0,1482000000.0,-24905825000.0
26/08/2026,37400.0,37500.0,-100.0,-0.00266667,37400.0,38800.0,37350.0,5524309.0,209182956600.0,0.0,0.0,5524309.0,209182956600.0,-62164.0,598164.0,73700.0,-536000.0,-2308503650.0,22699938650.0,2779550000.0,-20391435000.0
25/08/2026,37500.0,38050.0,-550.0,-0.01445466,37750.0,38000.0,37000.0,3611338.0,135360280600.0,0.0,0.0,3611338.0,135360280600.0,83421.0,-23921.0,9300.0,-59500.0,3169011851.0,-902666850.0,349195000.0,-2266345000.0
24/08/2026,38050.0,37950.0,100.0,0.00263505,38400.0,39000.0,37800.0,5311258.0,204297632400.0,0.0,0.0,5311258.0,204297632400.0,947432.0,4368.0,61900.0,-951800.0,36694830550.0,-22010550.0,2346830000.0,-36672820000.0
21/08/2026,37950.0,38200.0,-250.0,-0.0065445,38500.0,38500.0,37450.0,3058572.0,115471348000.0,0.0,0.0,3058572.0,115471348000.0,584094.0,48382.0,-1600.0,-632476.0,22075566300.0,1840976150.0,-60480000.0,-23916542450.0
20/08/2026,38200.0,38100.0,100.0,0.00262467,38300.0,38650.0,37100.0,3978913.0,150872978500.0,0.0,0.0,3978913.0,150872978500.0,-409095.0,215540.0,5000.0,193555.0,-15447488250.0,8139794750.0,192250000.0,7307693500.0
19/08/2026,38100.0,37950.0,150.0,0.00395257,38800.0,39050.0,37850.0,5395917.0,206766756600.0,0.0,0.0,5395917.0,206766756600.0,-290094.0,-95806.0,9200.0,385900.0,-10858011301.0,-3856078700.0,352360000.0,14714090000.0
18/08/2026,37950.0,35500.0,2450.0,0.06901408,36300.0,37950.0,36200.0,5368858.0,201465462850.0,0.0,0.0,5368858.0,201465462850.0,-849507.0,459207.0,0.0,390300.0,-32194712500.0,17685327500.0,0.0,14509385000.0
17/08/2026,35500.0,35050.0,450.0,0.0128388,35000.0,35700.0,34750.0,1858527.0,65502923800.0,0.0,0.0,1858527.0,65502923800.0,303672.0,-63902.0,1600.0,-239770.0,10694440101.0,-2262566600.0,56880000.0,-8431873500.0
14/08/2026,35050.0,35600.0,-550.0,-0.01544944,35600.0,36200.0,34800.0,3465693.0,122038820150.0,0.0,0.0,3465693.0,122038820150.0,67565.0,-437164.0,800.0,369599.0,2379431400.0,-15335691350.0,28560000.0,12956259950.0
