NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,6300.0,6300.0,0.0,0.0,6300.0,6300.0,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,6300.0,6300.0,0.0,0.0,6300.0,6300.0,6300.0,756.0,4746000.0,0.0,0.0,756.0,4746000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,6300.0,6300.0,0.0,0.0,6300.0,6300.0,6300.0,200.0,1260000.0,0.0,0.0,200.0,1260000.0,200.0,-200.0,0.0,0.0,1260000.0,-1260000.0,0.0,0.0
25/08/2026,6300.0,6000.0,300.0,0.05,6000.0,6420.0,6000.0,12303.0,78652000.0,0.0,0.0,12303.0,78652000.0,-6800.0,6800.0,0.0,0.0,-43564000.0,43564000.0,0.0,0.0
24/08/2026,6000.0,6000.0,0.0,0.0,6000.0,6000.0,6000.0,1412.0,8470800.0,0.0,0.0,1412.0,8470800.0,-1400.0,1400.0,0.0,0.0,-8400001.0,8400000.0,0.0,0.0
21/08/2026,6000.0,5950.0,50.0,0.00840336,5980.0,6000.0,5600.0,7300.0,43353000.0,0.0,0.0,7300.0,43353000.0,3200.0,-3200.0,0.0,0.0,19202000.0,-19202000.0,0.0,0.0
20/08/2026,5950.0,5930.0,20.0,0.00337268,6240.0,6240.0,5930.0,524.0,3172370.0,0.0,0.0,524.0,3172370.0,-300.0,300.0,0.0,0.0,-1781001.0,1781000.0,0.0,0.0
19/08/2026,5930.0,5930.0,0.0,0.0,5930.0,5930.0,5930.0,1.0,5930.0,0.0,0.0,1.0,5930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,5930.0,5900.0,30.0,0.00508475,5930.0,5930.0,5930.0,2300.0,13639000.0,0.0,0.0,2300.0,13639000.0,-2300.0,2300.0,0.0,0.0,-13639000.0,13639000.0,0.0,0.0
17/08/2026,5900.0,5900.0,0.0,0.0,5900.0,5900.0,5900.0,601.0,3545890.0,0.0,0.0,601.0,3545890.0,-499.0,499.0,0.0,0.0,-2944111.0,2944110.0,0.0,0.0
14/08/2026,5900.0,5900.0,0.0,0.0,6000.0,6000.0,5900.0,801.0,4744610.0,0.0,0.0,801.0,4744610.0,-400.0,500.0,0.0,-100.0,-2341000.0,2940000.0,0.0,-599000.0
13/08/2026,5900.0,5720.0,180.0,0.03146853,6000.0,6000.0,5600.0,1700.0,10090000.0,0.0,0.0,1700.0,10090000.0,300.0,-300.0,0.0,0.0,1830000.0,-1830000.0,0.0,0.0
12/08/2026,5720.0,5960.0,-240.0,-0.04026846,5900.0,5900.0,5610.0,800.0,4528000.0,0.0,0.0,800.0,4528000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,5960.0,6370.0,-410.0,-0.06436421,5950.0,6040.0,5950.0,4800.0,28611000.0,0.0,0.0,4800.0,28611000.0,-300.0,300.0,0.0,0.0,-1793000.0,1793000.0,0.0,0.0
10/08/2026,6370.0,5990.0,380.0,0.06343907,5990.0,6370.0,5580.0,800.0,4719000.0,0.0,0.0,800.0,4719000.0,-100.0,100.0,0.0,0.0,-606000.0,606000.0,0.0,0.0
07/08/2026,5990.0,6010.0,-20.0,-0.00332779,6010.0,6010.0,5590.0,7314.0,41381460.0,0.0,0.0,7314.0,41381460.0,-2806.0,4706.0,0.0,-1900.0,-15905541.0,26602540.0,0.0,-10697000.0
06/08/2026,6010.0,5860.0,150.0,0.02559727,6000.0,6010.0,6000.0,1204.0,7227920.0,0.0,0.0,1204.0,7227920.0,-596.0,596.0,0.0,0.0,-3579080.0,3579080.0,0.0,0.0
05/08/2026,5860.0,6140.0,-280.0,-0.04560261,5810.0,5900.0,5810.0,662.0,3873640.0,0.0,0.0,662.0,3873640.0,-85.0,85.0,0.0,0.0,-497900.0,497900.0,0.0,0.0
04/08/2026,6140.0,6140.0,0.0,0.0,6140.0,6140.0,6140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/08/2026,6140.0,6140.0,0.0,0.0,6140.0,6140.0,6140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,6140.0,6160.0,-20.0,-0.00324675,6140.0,6140.0,5770.0,1600.0,9787000.0,0.0,0.0,1600.0,9787000.0,-800.0,800.0,0.0,0.0,-4912000.0,4912000.0,0.0,0.0
30/07/2026,6160.0,6160.0,0.0,0.0,6160.0,6160.0,6160.0,200.0,1232000.0,0.0,0.0,200.0,1232000.0,-100.0,-100.0,0.0,200.0,-616000.0,-616000.0,0.0,1232000.0
29/07/2026,6160.0,6610.0,-450.0,-0.06807867,6990.0,6990.0,6150.0,2363.0,14629450.0,0.0,0.0,2363.0,14629450.0,799.0,-799.0,0.0,0.0,4920850.0,-4920850.0,0.0,0.0
28/07/2026,6610.0,6610.0,0.0,0.0,6610.0,6610.0,6610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/07/2026,6610.0,6610.0,0.0,0.0,6610.0,6610.0,6610.0,2.0,13220.0,0.0,0.0,2.0,13220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2026,6610.0,6220.0,390.0,0.06270096,5790.0,6610.0,5790.0,1900.0,11104000.0,0.0,0.0,1900.0,11104000.0,-1100.0,1100.0,0.0,0.0,-6451000.0,6451000.0,0.0,0.0
23/07/2026,6220.0,6220.0,0.0,0.0,6220.0,6220.0,6220.0,100.0,622000.0,0.0,0.0,100.0,622000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/07/2026,6220.0,6680.0,-460.0,-0.06886228,6220.0,6220.0,6220.0,446.0,2774120.0,0.0,0.0,446.0,2774120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/07/2026,6680.0,6680.0,0.0,0.0,6680.0,6680.0,6680.0,2.0,13360.0,0.0,0.0,2.0,13360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/07/2026,6680.0,6680.0,0.0,0.0,6680.0,6680.0,6680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/07/2026,6680.0,6680.0,0.0,0.0,6680.0,6680.0,6680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/07/2026,6680.0,6790.0,-110.0,-0.01620029,6320.0,6680.0,6320.0,200.0,1300000.0,0.0,0.0,200.0,1300000.0,100.0,-100.0,0.0,0.0,632000.0,-632000.0,0.0,0.0
15/07/2026,6790.0,6790.0,0.0,0.0,6790.0,6790.0,6790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/07/2026,6790.0,6500.0,290.0,0.04461538,6790.0,6790.0,6060.0,300.0,1964000.0,0.0,0.0,300.0,1964000.0,100.0,-100.0,0.0,0.0,606000.0,-606000.0,0.0,0.0
13/07/2026,6500.0,6500.0,0.0,0.0,6950.0,6950.0,6060.0,700.0,4375000.0,0.0,0.0,700.0,4375000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/07/2026,6500.0,6500.0,0.0,0.0,6500.0,6500.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/07/2026,6500.0,6500.0,0.0,0.0,6500.0,6500.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/07/2026,6500.0,6500.0,0.0,0.0,6500.0,6500.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/07/2026,6500.0,6510.0,-10.0,-0.0015361,6490.0,6500.0,6490.0,900.0,5848000.0,0.0,0.0,900.0,5848000.0,-600.0,700.0,0.0,-100.0,-3898000.0,4548000.0,0.0,-650000.0
06/07/2026,6510.0,6510.0,0.0,0.0,6510.0,6510.0,6510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/07/2026,6510.0,6510.0,0.0,0.0,6510.0,6510.0,6510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/07/2026,6510.0,6510.0,0.0,0.0,6510.0,6510.0,6510.0,902.0,5871980.0,0.0,0.0,902.0,5871980.0,-402.0,402.0,0.0,0.0,-2616981.0,2616980.0,0.0,0.0
01/07/2026,6510.0,6100.0,410.0,0.06721311,6100.0,6510.0,6100.0,30803.0,199197350.0,0.0,0.0,30803.0,199197350.0,12897.0,-12897.0,0.0,0.0,83673650.0,-83673650.0,0.0,0.0
30/06/2026,6100.0,6040.0,60.0,0.00993377,6000.0,6100.0,6000.0,612.0,3684180.0,0.0,0.0,612.0,3684180.0,400.0,-400.0,0.0,0.0,2400001.0,-2400000.0,0.0,0.0
29/06/2026,6040.0,6040.0,0.0,0.0,6040.0,6040.0,6040.0,1900.0,11476000.0,0.0,0.0,1900.0,11476000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/06/2026,6040.0,6040.0,0.0,0.0,6040.0,6040.0,6040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/06/2026,6040.0,6040.0,0.0,0.0,6040.0,6040.0,6040.0,200.0,1208000.0,0.0,0.0,200.0,1208000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/06/2026,6040.0,6040.0,0.0,0.0,6040.0,6040.0,6040.0,200.0,1208000.0,0.0,0.0,200.0,1208000.0,100.0,-200.0,0.0,100.0,604000.0,-1208000.0,0.0,604000.0
23/06/2026,6040.0,6040.0,0.0,0.0,6040.0,6040.0,6040.0,108.0,652470.0,0.0,0.0,108.0,652470.0,7.0,-7.0,-7.0,0.0,42460.0,-42460.0,-42000.0,0.0
22/06/2026,6040.0,6110.0,-70.0,-0.01145663,6040.0,6040.0,6040.0,101.0,610110.0,0.0,0.0,101.0,610110.0,1.0,-1.0,0.0,0.0,6110.0,-6110.0,0.0,0.0
19/06/2026,6110.0,6110.0,0.0,0.0,6110.0,6110.0,6110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/06/2026,6110.0,6110.0,0.0,0.0,6110.0,6110.0,6110.0,100.0,611000.0,0.0,0.0,100.0,611000.0,100.0,-100.0,0.0,0.0,611000.0,-611000.0,0.0,0.0
17/06/2026,6110.0,6400.0,-290.0,-0.0453125,5970.0,6110.0,5970.0,800.0,4803000.0,0.0,0.0,800.0,4803000.0,800.0,-800.0,0.0,0.0,4803000.0,-4803000.0,0.0,0.0
16/06/2026,6400.0,6400.0,0.0,0.0,6400.0,6400.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/06/2026,6400.0,6400.0,0.0,0.0,6400.0,6400.0,6400.0,1900.0,12160000.0,0.0,0.0,1900.0,12160000.0,-100.0,100.0,0.0,0.0,-640000.0,640000.0,0.0,0.0
12/06/2026,6400.0,6450.0,-50.0,-0.00775194,6400.0,6400.0,6400.0,300.0,1920000.0,0.0,0.0,300.0,1920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/06/2026,6450.0,6060.0,390.0,0.06435644,6480.0,6480.0,6450.0,300.0,1938000.0,0.0,0.0,300.0,1938000.0,0.0,200.0,0.0,-200.0,0.0,1290000.0,0.0,-1290000.0
10/06/2026,6060.0,6060.0,0.0,0.0,6060.0,6060.0,6060.0,1322.0,8011750.0,0.0,0.0,1322.0,8011750.0,1319.0,-1319.0,0.0,0.0,7993561.0,-7993560.0,0.0,0.0
09/06/2026,6060.0,6450.0,-390.0,-0.06046512,6450.0,6450.0,6020.0,1200.0,7434000.0,0.0,0.0,1200.0,7434000.0,400.0,-400.0,0.0,0.0,2360000.0,-2360000.0,0.0,0.0
08/06/2026,6450.0,6790.0,-340.0,-0.05007364,6500.0,6500.0,6450.0,1100.0,7125000.0,0.0,0.0,1100.0,7125000.0,800.0,-800.0,0.0,0.0,5175000.0,-5175000.0,0.0,0.0
05/06/2026,6790.0,6490.0,300.0,0.04622496,6250.0,6790.0,6040.0,1792.0,10990350.0,0.0,0.0,1792.0,10990350.0,-1213.0,1213.0,0.0,0.0,-7408851.0,7408850.0,0.0,0.0
04/06/2026,6490.0,6960.0,-470.0,-0.06752874,6500.0,6500.0,6490.0,605.0,3928400.0,0.0,0.0,605.0,3928400.0,0.0,0.0,0.0,0.0,1000.0,-1000.0,0.0,0.0
03/06/2026,6960.0,6570.0,390.0,0.05936073,6120.0,6960.0,6120.0,503.0,3163800.0,0.0,0.0,503.0,3163800.0,-297.0,297.0,0.0,0.0,-1732200.0,1732200.0,0.0,0.0
02/06/2026,6570.0,6570.0,0.0,0.0,6800.0,6800.0,6570.0,2202.0,14697360.0,0.0,0.0,2202.0,14697360.0,1601.0,-1601.0,0.0,0.0,10748570.0,-10748570.0,0.0,0.0
01/06/2026,6570.0,6570.0,0.0,0.0,6480.0,6570.0,6470.0,3700.0,24007000.0,0.0,0.0,3700.0,24007000.0,-500.0,500.0,0.0,0.0,-3191000.0,3191000.0,0.0,0.0
29/05/2026,6570.0,6530.0,40.0,0.00612557,6550.0,6570.0,6540.0,2120.0,13880600.0,0.0,0.0,2120.0,13880600.0,-180.0,-20.0,0.0,200.0,-1192400.0,-115600.0,0.0,1308000.0
28/05/2026,6530.0,6990.0,-460.0,-0.0658083,6990.0,6990.0,6530.0,200.0,1352000.0,0.0,0.0,200.0,1352000.0,100.0,0.0,0.0,-100.0,653000.0,0.0,0.0,-653000.0
