NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,26000.0,27850.0,-1850.0,-0.06642729,25950.0,26000.0,25950.0,1200.0,31175000.0,0.0,0.0,1200.0,31175000.0,-600.0,600.0,0.0,0.0,-15605000.0,15605000.0,0.0,0.0
27/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,68.0,1764600.0,0.0,0.0,68.0,1764600.0,68.0,-68.0,0.0,0.0,1764600.0,-1764600.0,0.0,0.0
20/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,4.0,103800.0,0.0,0.0,4.0,103800.0,3.0,-3.0,0.0,0.0,77850.0,-77850.0,0.0,0.0
19/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,18.0,467100.0,0.0,0.0,18.0,467100.0,18.0,-18.0,0.0,0.0,467100.0,-467100.0,0.0,0.0
18/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,13.0,338000.0,0.0,0.0,13.0,338000.0,13.0,-13.0,0.0,0.0,338000.0,-338000.0,0.0,0.0
10/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/08/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,5344877.0,144311679000.0,5344877.0,144311679000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/07/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,27850.0,27850.0,0.0,0.0,27850.0,27850.0,27850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
