NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
07/09/2026,31001.6,32100.0,-100.0,-0.00311526,30856.28,31098.48,30856.28,48593.0,1554331700.0,0.0,0.0,48593.0,1554331700.0,4900.0,0.0,0.0,-4900.0,156785000.0,0.0,0.0,-156785000.0
04/09/2026,31098.48,32250.0,-150.0,-0.00465116,31243.8,31243.8,30807.84,19932.0,638704850.0,0.0,0.0,19932.0,638704850.0,-1300.0,0.0,0.0,1300.0,-41730000.0,0.0,0.0,41730000.0
03/09/2026,31243.8,32400.0,-150.0,-0.00462963,31389.12,31389.12,30759.4,61399.0,1973046100.0,0.0,0.0,61399.0,1973046100.0,13450.0,0.0,0.0,-13450.0,429865000.0,0.0,0.0,-429865000.0
28/08/2026,31389.12,32050.0,350.0,0.01092044,31243.8,31437.56,31050.04,33736.0,1091670950.0,0.0,0.0,33736.0,1091670950.0,-1807.0,-7893.0,0.0,9700.0,-58805901.0,-255444101.0,0.0,314250000.0
27/08/2026,31050.04,32000.0,50.0,0.0015625,31486.0,31486.0,30226.56,97770.0,3108352450.0,0.0,0.0,97770.0,3108352450.0,16347.0,23653.0,0.0,-40000.0,508771000.0,753999000.0,0.0,-1262770000.0
26/08/2026,31001.6,32550.0,-550.0,-0.01689708,31534.44,31582.88,30953.16,450196.0,14416467100.0,0.0,0.0,450196.0,14416467100.0,-168362.0,49662.0,0.0,118700.0,-5394632500.0,1590382500.0,0.0,3804250000.0
25/08/2026,31534.44,32500.0,50.0,0.00153846,31486.0,31921.96,30565.64,214178.0,6884563700.0,0.0,0.0,214178.0,6884563700.0,129710.0,30415.0,0.0,-160125.0,4146001600.0,976552150.0,0.0,-5122553750.0
24/08/2026,31486.0,32000.0,500.0,0.015625,31098.48,31486.0,30565.64,307159.0,9845235200.0,0.0,0.0,307159.0,9845235200.0,128105.0,-136705.0,0.0,8600.0,4097060001.0,-4375095000.0,0.0,278035000.0
21/08/2026,31001.6,32000.0,0.0,0.0,30323.44,31437.56,30323.44,129330.0,4130788050.0,40000.0,1280000000.0,169330.0,5410788050.0,24847.0,-63972.0,0.0,39125.0,783930200.0,-2046649550.0,0.0,1262719350.0
20/08/2026,31001.6,31700.0,300.0,0.00946372,30807.84,31050.04,30710.96,46115.0,1472145350.0,0.0,0.0,46115.0,1472145350.0,-22055.0,21355.0,0.0,700.0,-704603550.0,682243550.0,0.0,22360000.0
19/08/2026,30710.96,32200.0,-500.0,-0.01552795,31195.36,31340.68,30129.68,164043.0,5150341050.0,0.0,0.0,164043.0,5150341050.0,34805.0,45645.0,0.0,-80450.0,1104061901.0,1433038550.0,0.0,-2537100450.0
18/08/2026,31195.36,32500.0,-300.0,-0.00923077,31486.0,32164.16,31146.92,39990.0,1290518250.0,0.0,0.0,39990.0,1290518250.0,13171.0,4929.0,0.0,-18100.0,425412650.0,158802350.0,0.0,-584215000.0
17/08/2026,31486.0,33200.0,-700.0,-0.02108434,32164.16,32697.0,31195.36,85611.0,2768765400.0,0.0,0.0,85611.0,2768765400.0,51154.0,20821.0,0.0,-71975.0,1654804251.0,669843850.0,0.0,-2324648100.0
14/08/2026,32164.16,33650.0,-450.0,-0.01337296,32600.12,32600.12,32164.16,19355.0,647380300.0,0.0,0.0,19355.0,647380300.0,14656.0,-12498.0,0.0,-2158.0,490917400.0,-418673600.0,0.0,-72243800.0
13/08/2026,32600.12,33650.0,0.0,0.0,32454.8,32648.56,31195.36,50793.0,1686757450.0,0.0,0.0,50793.0,1686757450.0,10403.0,23605.0,0.0,-34008.0,341640800.0,785773400.0,0.0,-1127414200.0
12/08/2026,32600.12,33300.0,350.0,0.01051051,32261.04,32648.56,32164.16,23537.0,785685700.0,0.0,0.0,23537.0,785685700.0,3300.0,-4200.0,0.0,900.0,109760000.0,-139410000.0,0.0,29650000.0
11/08/2026,32261.04,33900.0,-600.0,-0.01769912,32939.2,32939.2,32164.16,76226.0,2549338950.0,0.0,0.0,76226.0,2549338950.0,47145.0,10430.0,0.0,-57575.0,1574732050.0,348363500.0,0.0,-1923095550.0
10/08/2026,32842.32,33500.0,400.0,0.0119403,32357.92,32890.76,32067.28,23868.0,801533450.0,0.0,0.0,23868.0,801533450.0,-5675.0,4575.0,0.0,1100.0,-190813901.0,153643900.0,0.0,37170000.0
07/08/2026,32454.8,34500.0,-1000.0,-0.02898551,32890.76,32939.2,32406.36,51425.0,1728783500.0,0.0,0.0,51425.0,1728783500.0,25945.0,20980.0,0.0,-46925.0,872016000.0,705568000.0,0.0,-1577584000.0
