NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,5510.0,5160.0,350.0,0.06782946,5270.0,5520.0,5270.0,1800.0,9746000.0,0.0,0.0,1800.0,9746000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,5160.0,5410.0,-250.0,-0.04621072,5150.0,5160.0,5150.0,4400.0,22699000.0,0.0,0.0,4400.0,22699000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,5410.0,5800.0,-390.0,-0.06724138,5400.0,5410.0,5400.0,5555.0,30041000.0,0.0,0.0,5555.0,30041000.0,3570.0,-3570.0,0.0,0.0,19314000.0,-19314000.0,0.0,0.0
27/08/2026,5800.0,5800.0,0.0,0.0,5800.0,5800.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,5800.0,5800.0,0.0,0.0,5800.0,5800.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,5800.0,5430.0,370.0,0.06813996,5100.0,5800.0,5100.0,9339.0,47769770.0,0.0,0.0,9339.0,47769770.0,-1600.0,1600.0,0.0,0.0,-8170000.0,8170000.0,0.0,0.0
24/08/2026,5430.0,5430.0,0.0,0.0,5430.0,5430.0,5430.0,2043.0,11078370.0,0.0,0.0,2043.0,11078370.0,-7.0,7.0,0.0,0.0,-35490.0,35490.0,0.0,0.0
21/08/2026,5430.0,5420.0,10.0,0.00184502,5430.0,5490.0,5420.0,31910.0,173247100.0,0.0,0.0,31910.0,173247100.0,-3499.0,-201.0,0.0,3700.0,-18982590.0,-1091410.0,0.0,20074000.0
20/08/2026,5420.0,5570.0,-150.0,-0.02692998,5420.0,5420.0,5420.0,1001.0,5425400.0,0.0,0.0,1001.0,5425400.0,-900.0,0.0,0.0,900.0,-4878001.0,0.0,0.0,4878000.0
19/08/2026,5570.0,5580.0,-10.0,-0.00179211,5580.0,5580.0,5570.0,5000.0,27876000.0,0.0,0.0,5000.0,27876000.0,3000.0,-3000.0,0.0,0.0,16721000.0,-16721000.0,0.0,0.0
18/08/2026,5580.0,5580.0,0.0,0.0,5580.0,5580.0,5580.0,4200.0,23436000.0,0.0,0.0,4200.0,23436000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,5580.0,5560.0,20.0,0.00359712,5580.0,5580.0,5580.0,610.0,3403690.0,0.0,0.0,610.0,3403690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,5560.0,5830.0,-270.0,-0.04631218,5560.0,5560.0,5560.0,5700.0,31692000.0,0.0,0.0,5700.0,31692000.0,-3000.0,0.0,0.0,3000.0,-16680000.0,0.0,0.0,16680000.0
13/08/2026,5830.0,5850.0,-20.0,-0.0034188,5850.0,5890.0,5830.0,1201.0,7025860.0,0.0,0.0,1201.0,7025860.0,-200.0,0.0,0.0,200.0,-1166000.0,0.0,0.0,1166000.0
