NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,1800.0,1820.0,-20.0,-0.01098901,1810.0,1810.0,1710.0,29502.0,52773880.0,0.0,0.0,29502.0,52773880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,1820.0,1810.0,10.0,0.00552486,1810.0,1840.0,1800.0,10383.0,18821230.0,0.0,0.0,10383.0,18821230.0,-1500.0,1500.0,0.0,0.0,-2728000.0,2728000.0,0.0,0.0
27/08/2026,1810.0,1820.0,-10.0,-0.00549451,1820.0,1850.0,1800.0,28253.0,51337400.0,0.0,0.0,28253.0,51337400.0,4499.0,-4499.0,0.0,0.0,8151180.0,-8151180.0,0.0,0.0
26/08/2026,1820.0,1810.0,10.0,0.00552486,1750.0,1880.0,1750.0,20801.0,37144860.0,0.0,0.0,20801.0,37144860.0,-6801.0,6801.0,0.0,0.0,-12048860.0,12048860.0,0.0,0.0
25/08/2026,1810.0,1800.0,10.0,0.00555556,1800.0,1900.0,1770.0,38284.0,68252700.0,0.0,0.0,38284.0,68252700.0,-1760.0,1760.0,0.0,0.0,-3238401.0,3238400.0,0.0,0.0
24/08/2026,1800.0,1790.0,10.0,0.00558659,1790.0,1900.0,1780.0,75606.0,136399860.0,0.0,0.0,75606.0,136399860.0,-18000.0,18000.0,0.0,0.0,-32548000.0,32548000.0,0.0,0.0
21/08/2026,1790.0,1780.0,10.0,0.00561798,1830.0,1830.0,1780.0,28860.0,51845800.0,0.0,0.0,28860.0,51845800.0,-2140.0,2140.0,0.0,0.0,-3859200.0,3859200.0,0.0,0.0
20/08/2026,1780.0,1780.0,0.0,0.0,1780.0,1860.0,1740.0,34401.0,61290780.0,0.0,0.0,34401.0,61290780.0,26500.0,-26500.0,0.0,0.0,46883001.0,-46883000.0,0.0,0.0
19/08/2026,1780.0,1800.0,-20.0,-0.01111111,1800.0,1800.0,1780.0,7404.0,13247200.0,0.0,0.0,7404.0,13247200.0,6298.0,-6298.0,0.0,0.0,11275400.0,-11275400.0,0.0,0.0
18/08/2026,1800.0,1800.0,0.0,0.0,1800.0,1820.0,1760.0,22822.0,40585620.0,0.0,0.0,22822.0,40585620.0,-4600.0,4600.0,0.0,0.0,-8210000.0,8210000.0,0.0,0.0
