NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,19350.0,19150.0,200.0,0.01044386,19450.0,19900.0,19300.0,5075191.0,99371665350.0,0.0,0.0,5075191.0,99371665350.0,0.0,0.0,608300.0,-9635.0,0.0,0.0,11897680000.0,-235448400.0
28/08/2026,19150.0,19200.0,-50.0,-0.00260417,19200.0,19400.0,19150.0,3931936.0,75593579100.0,720000.0,13032000000.0,4651936.0,88625579100.0,-1668366.0,1691448.0,103300.0,-23082.0,-31994726200.0,32392528800.0,1978195000.0,-397802600.0
27/08/2026,19200.0,19600.0,-400.0,-0.02040816,19600.0,19650.0,19200.0,2441265.0,47162846950.0,0.0,0.0,2441265.0,47162846950.0,145439.0,363164.0,0.0,-508603.0,2805005750.0,7020737450.0,0.0,-9825743200.0
26/08/2026,19600.0,19200.0,400.0,0.02083333,19100.0,19650.0,19100.0,6025893.0,117074849000.0,0.0,0.0,6025893.0,117074849000.0,-320220.0,468316.0,0.0,-148096.0,-6258834599.0,9123692000.0,0.0,-2864857400.0
25/08/2026,19200.0,19350.0,-150.0,-0.00775194,19400.0,19400.0,18950.0,3887249.0,74493320050.0,1972200.0,37284441000.0,5859449.0,111777761050.0,-83856.0,102052.0,16800.0,-18196.0,-1618076551.0,1990624550.0,322335000.0,-372548000.0
24/08/2026,19350.0,18600.0,750.0,0.04032258,18900.0,19750.0,18750.0,7204181.0,139224954550.0,0.0,0.0,7204181.0,139224954550.0,287868.0,-558039.0,13700.0,270171.0,5821309500.0,-10936824500.0,266945000.0,5115515000.0
21/08/2026,18600.0,18350.0,250.0,0.01362398,18400.0,18800.0,18300.0,2942514.0,54410202150.0,8972200.0,169771800000.0,11914714.0,224182002150.0,-212638.0,121920.0,0.0,90718.0,-3985567899.0,2285470100.0,0.0,1700097800.0
20/08/2026,18350.0,18400.0,-50.0,-0.00271739,18450.0,18550.0,18150.0,1868638.0,34242902050.0,19665300.0,364972899700.0,21533938.0,399215801750.0,-105044.0,25744.0,0.0,79300.0,-1924754600.0,466264600.0,0.0,1458490000.0
19/08/2026,18400.0,18500.0,-100.0,-0.00540541,18600.0,18650.0,18250.0,1532254.0,28252972600.0,11077800.0,208060064600.0,12610054.0,236313037200.0,-58000.0,58690.0,0.0,-690.0,-1050322750.0,1065412750.0,0.0,-15090000.0
18/08/2026,18500.0,18150.0,350.0,0.01928375,18350.0,19000.0,18200.0,4280025.0,79792311500.0,16970300.0,318089507900.0,21250325.0,397881819400.0,-74574.0,-187856.0,0.0,262430.0,-1390824700.0,-3478243300.0,0.0,4869068000.0
17/08/2026,18150.0,17950.0,200.0,0.01114206,18100.0,18250.0,17650.0,1380062.0,24891951300.0,4077800.0,75439300000.0,5457862.0,100331251300.0,79084.0,-79184.0,500.0,100.0,1424882450.0,-1436037450.0,8950000.0,11155000.0
14/08/2026,17950.0,18300.0,-350.0,-0.01912568,18550.0,18550.0,17900.0,2979453.0,53890960100.0,16945300.0,318571640000.0,19924753.0,372462600100.0,280491.0,270397.0,0.0,-550888.0,5129966650.0,4862981450.0,0.0,-9992948100.0
13/08/2026,18300.0,18700.0,-400.0,-0.02139037,18700.0,18750.0,18300.0,1977052.0,36653005800.0,0.0,0.0,1977052.0,36653005800.0,-144644.0,243129.0,0.0,-98485.0,-2685547000.0,4518230750.0,0.0,-1832683750.0
12/08/2026,18700.0,18200.0,500.0,0.02747253,18300.0,18900.0,18100.0,5161020.0,95989729200.0,0.0,0.0,5161020.0,95989729200.0,-845972.0,701062.0,-13900.0,144910.0,-15813972150.0,13157040650.0,-253955000.0,2656931500.0
11/08/2026,18200.0,18250.0,-50.0,-0.00273973,18300.0,18500.0,18200.0,2513545.0,46049792650.0,2700000.0,50506200000.0,5213545.0,96555992650.0,-178623.0,-81077.0,0.0,259700.0,-3258812350.0,-1508082650.0,0.0,4766895000.0
10/08/2026,18250.0,18050.0,200.0,0.01108033,18500.0,18500.0,18050.0,2533136.0,46355054400.0,4470000.0,80503000000.0,7003136.0,126858054400.0,449245.0,-129978.0,800.0,-319267.0,8213887950.0,-2390853350.0,14665000.0,-5823034600.0
07/08/2026,18050.0,17750.0,300.0,0.01690141,17850.0,18550.0,17850.0,5511191.0,100470374300.0,2893400.0,54252804000.0,8404591.0,154723178300.0,104613.0,228687.0,1000.0,-333300.0,1801001800.0,4255158200.0,18170000.0,-6056160000.0
06/08/2026,17750.0,17900.0,-150.0,-0.00837989,18050.0,18200.0,17750.0,1835754.0,32892676450.0,4300000.0,77830000000.0,6135754.0,110722676450.0,148041.0,-3691.0,-101100.0,-144350.0,2627183449.0,-37310950.0,-1810015000.0,-2589872500.0
05/08/2026,17900.0,18100.0,-200.0,-0.01104972,18100.0,18100.0,17700.0,3221418.0,57542759250.0,4193400.0,78200540000.0,7414818.0,135743299250.0,412322.0,39078.0,0.0,-451400.0,7363156200.0,695783800.0,0.0,-8058940000.0
04/08/2026,18100.0,18100.0,0.0,0.0,18300.0,18300.0,18050.0,1677852.0,30440664550.0,2510000.0,47439000000.0,4187852.0,77879664550.0,406328.0,-258328.0,0.0,-148000.0,7375013750.0,-4688773750.0,0.0,-2686240000.0
03/08/2026,18100.0,18150.0,-50.0,-0.00275482,18000.0,18300.0,17900.0,3737267.0,67654293300.0,13150000.0,246375000000.0,16887267.0,314029293300.0,185039.0,336585.0,0.0,-521624.0,3368974400.0,6100042400.0,0.0,-9469016800.0
31/07/2026,18150.0,18900.0,-750.0,-0.03968254,18800.0,18800.0,18000.0,5663431.0,103099052900.0,13430000.0,251506000000.0,19093431.0,354605052900.0,815077.0,700832.0,0.0,-1515909.0,14701080300.0,12834308500.0,0.0,-27535388800.0
30/07/2026,18900.0,18400.0,500.0,0.02717391,18500.0,18900.0,18500.0,2056363.0,38613116400.0,0.0,0.0,2056363.0,38613116400.0,40621.0,-15921.0,0.0,-24700.0,750589599.0,-288124600.0,0.0,-462465000.0
29/07/2026,18400.0,18350.0,50.0,0.0027248,18400.0,18600.0,18250.0,1571492.0,28930244850.0,20920000.0,397480000000.0,22491492.0,426410244850.0,228633.0,107967.0,0.0,-336600.0,4211237800.0,1984287200.0,0.0,-6195525000.0
28/07/2026,18350.0,18300.0,50.0,0.00273224,18300.0,18400.0,18050.0,1372914.0,25084775850.0,0.0,0.0,1372914.0,25084775850.0,62962.0,121738.0,0.0,-184700.0,1149332700.0,2219907300.0,0.0,-3369240000.0
27/07/2026,18300.0,19000.0,-700.0,-0.03684211,18500.0,19000.0,18300.0,1737805.0,32203973900.0,0.0,0.0,1737805.0,32203973900.0,186799.0,63401.0,26500.0,-250200.0,3461000849.0,1167134150.0,492920000.0,-4628135000.0
24/07/2026,19000.0,18500.0,500.0,0.02702703,18500.0,19400.0,18200.0,4297369.0,81529167800.0,0.0,0.0,4297369.0,81529167800.0,-473814.0,717394.0,0.0,-243580.0,-9170476899.0,13782573900.0,0.0,-4612097000.0
23/07/2026,18500.0,17500.0,1000.0,0.05714286,18450.0,18500.0,17500.0,3878125.0,70260722900.0,0.0,0.0,3878125.0,70260722900.0,9870.0,54630.0,0.0,-64500.0,49301900.0,1033148100.0,0.0,-1082450000.0
22/07/2026,17500.0,18500.0,-1000.0,-0.05405405,18500.0,18550.0,17350.0,3330371.0,58962285600.0,0.0,0.0,3330371.0,58962285600.0,428447.0,83353.0,500.0,-511800.0,7646564550.0,1499240450.0,9075000.0,-9145805000.0
21/07/2026,18500.0,19300.0,-800.0,-0.04145078,18700.0,19200.0,17950.0,8048909.0,146767868100.0,0.0,0.0,8048909.0,146767868100.0,797359.0,1485641.0,-15000.0,-2283000.0,14780696550.0,26908343450.0,-277500000.0,-41689040000.0
20/07/2026,19300.0,19550.0,-250.0,-0.01278772,19700.0,19800.0,18800.0,2862117.0,54923446350.0,1800000.0,33840000000.0,4662117.0,88763446350.0,79861.0,184239.0,17700.0,-264100.0,1495297650.0,3572077350.0,338805000.0,-5067375000.0
17/07/2026,19550.0,19900.0,-350.0,-0.01758794,19700.0,19700.0,19000.0,3046764.0,58911976800.0,0.0,0.0,3046764.0,58911976800.0,-308804.0,220704.0,15500.0,88100.0,-6110918551.0,4244493550.0,302875000.0,1866425000.0
16/07/2026,19900.0,19650.0,250.0,0.01272265,19650.0,19900.0,18300.0,5237444.0,99411541800.0,0.0,0.0,5237444.0,99411541800.0,190893.0,388907.0,30500.0,-579800.0,3205593451.0,7424391550.0,564000000.0,-10629985000.0
15/07/2026,19650.0,19900.0,-250.0,-0.01256281,20150.0,20700.0,19450.0,6646152.0,132748615350.0,0.0,0.0,6646152.0,132748615350.0,1392393.0,536222.0,0.0,-1928615.0,27820356300.0,10580700200.0,0.0,-38401056500.0
14/07/2026,19900.0,18600.0,1295.0,0.06960494,19900.0,19900.0,19350.0,6799451.0,134757604850.0,0.0,0.0,6799451.0,134757604850.0,-254230.0,1188792.0,-500.0,-934562.0,-4973078450.0,23615892250.0,-9850000.0,-18642813800.0
13/07/2026,18605.16,32500.0,-1450.0,-0.04461538,19474.0,19773.6,18605.16,4270903.0,135757426700.0,60000.0,1936000000.0,4330903.0,137693426700.0,226619.0,-145578.0,-57900.0,-81041.0,7314953250.0,-4599985750.0,-1828270000.0,-2714967500.0
10/07/2026,19474.0,33300.0,-800.0,-0.02402402,19953.36,19953.36,19474.0,3083444.0,101715280150.0,16723224.0,553354300752.0,19806668.0,655069580902.0,1005444.0,-974816.0,58800.0,-30628.0,33411172750.0,-32429499600.0,1933585000.0,-981673150.0
09/07/2026,19953.36,32550.0,750.0,0.02304147,19593.84,20252.96,19593.84,7240643.0,240853210300.0,8106700.0,273075060500.0,15347343.0,513928270800.0,1516449.0,-1457549.0,56100.0,-58900.0,50459019800.0,-48374829800.0,1864795000.0,-2084190000.0
08/07/2026,19503.96,32600.0,-50.0,-0.00153374,19863.48,20013.28,19503.96,2293965.0,75623918100.0,5279503.0,171178496000.0,7573468.0,246802414100.0,94479.0,-124130.0,0.0,29651.0,3112810700.0,-4061929550.0,0.0,949118850.0
07/07/2026,19533.92,31550.0,1050.0,0.03328051,18904.76,19653.76,18904.76,3186554.0,102504982950.0,10897800.0,366217360000.0,14084354.0,468722342950.0,-336377.0,-106616.0,-300.0,442993.0,-10761475450.0,-3510016250.0,-9630000.0,14271491700.0
06/07/2026,18904.76,32550.0,-1000.0,-0.03072197,19533.92,19563.88,18575.2,2916600.0,93151141500.0,1555503.0,49776096000.0,4472103.0,142927237500.0,-36260.0,-35990.0,-300.0,72250.0,-1013219600.0,-1170593650.0,-9510000.0,2183813250.0
03/07/2026,19503.96,32750.0,-200.0,-0.00610687,19653.76,19773.6,19503.96,1981956.0,64949716000.0,405000.0,12611000000.0,2386956.0,77560716000.0,-145405.0,-12395.0,0.0,157800.0,-4770754750.0,-403935250.0,0.0,5174690000.0
