NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,31400.0,31350.0,50.0,0.0015949,30000.0,31400.0,30000.0,500.0,15530000.0,0.0,0.0,500.0,15530000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
03/09/2026,31350.0,31300.0,50.0,0.00159744,31400.0,31400.0,31350.0,213.0,6678000.0,0.0,0.0,213.0,6678000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
28/08/2026,31300.0,31300.0,0.0,0.0,31300.0,31300.0,31300.0,100.0,3130000.0,0.0,0.0,100.0,3130000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
27/08/2026,31300.0,31300.0,0.0,0.0,29550.0,31300.0,29550.0,5600.0,167795000.0,0.0,0.0,5600.0,167795000.0,-400.0,400.0,0,0.0,-11645000.0,11645000.0,0,0.0
26/08/2026,31300.0,31300.0,0.0,0.0,31300.0,31300.0,31300.0,100.0,3130000.0,0.0,0.0,100.0,3130000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
25/08/2026,31300.0,31400.0,-100.0,-0.00318471,31300.0,31300.0,31300.0,201.0,6291400.0,0.0,0.0,201.0,6291400.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24/08/2026,31400.0,31400.0,0.0,0.0,31400.0,31400.0,31400.0,6.0,188400.0,0.0,0.0,6.0,188400.0,6.0,-6.0,0,0.0,188400.0,-188400.0,0,0.0
21/08/2026,31400.0,31400.0,0.0,0.0,31400.0,31400.0,31400.0,100.0,3140000.0,0.0,0.0,100.0,3140000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
20/08/2026,31400.0,31100.0,300.0,0.0096463,31000.0,31400.0,30300.0,4200.0,128480000.0,0.0,0.0,4200.0,128480000.0,3000.0,-3000.0,0,0.0,91310000.0,-91310000.0,0,0.0
19/08/2026,31100.0,32000.0,-900.0,-0.028125,31100.0,31100.0,31100.0,1000.0,31100000.0,0.0,0.0,1000.0,31100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
18/08/2026,32000.0,31000.0,1000.0,0.03225806,32000.0,32000.0,32000.0,100.0,3200000.0,0.0,0.0,100.0,3200000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
17/08/2026,31000.0,31700.0,-700.0,-0.02208202,31000.0,31000.0,31000.0,900.0,27900000.0,0.0,0.0,900.0,27900000.0,-100.0,100.0,0,0.0,-3100000.0,3100000.0,0,0.0
14/08/2026,31700.0,31850.0,-150.0,-0.00470958,31700.0,31700.0,31700.0,200.0,6340000.0,0.0,0.0,200.0,6340000.0,100.0,-100.0,0,0.0,3170000.0,-3170000.0,0,0.0
13/08/2026,31850.0,31850.0,0.0,0.0,31800.0,31850.0,31800.0,400.0,12725000.0,0.0,0.0,400.0,12725000.0,300.0,-300.0,0,0.0,9540000.0,-9540000.0,0,0.0
12/08/2026,31850.0,31000.0,850.0,0.02741935,31000.0,31850.0,31000.0,201.0,6316850.0,0.0,0.0,201.0,6316850.0,200.0,-200.0,0,0.0,6285000.0,-6285000.0,0,0.0
11/08/2026,31000.0,31850.0,-850.0,-0.0266876,31000.0,31000.0,31000.0,600.0,18600000.0,0.0,0.0,600.0,18600000.0,100.0,-100.0,0,0.0,3100000.0,-3100000.0,0,0.0
10/08/2026,31850.0,31900.0,-50.0,-0.0015674,30500.0,31850.0,30250.0,2100.0,64025000.0,0.0,0.0,2100.0,64025000.0,100.0,-100.0,0,0.0,3185000.0,-3185000.0,0,0.0
