NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,77500.0,77700.0,-200.0,-0.002574,76700.0,77500.0,76600.0,3190.0,244497600.0,0.0,0.0,3190.0,244497600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,77700.0,77500.0,200.0,0.00258065,77600.0,77700.0,76500.0,856.0,66263500.0,0.0,0.0,856.0,66263500.0,-540.0,540.0,0.0,0.0,-41860000.0,41860000.0,0.0,0.0
27/08/2026,77500.0,77700.0,-200.0,-0.002574,77000.0,77500.0,77000.0,3900.0,301420000.0,0.0,0.0,3900.0,301420000.0,-500.0,500.0,0.0,0.0,-38600000.0,38600000.0,0.0,0.0
26/08/2026,77700.0,77600.0,100.0,0.00128866,77300.0,77700.0,77300.0,2289.0,177291300.0,0.0,0.0,2289.0,177291300.0,-199.0,99.0,0.0,100.0,-15411100.0,7671100.0,0.0,7740000.0
25/08/2026,77600.0,77800.0,-200.0,-0.00257069,77500.0,77600.0,77400.0,1144.0,88701000.0,0.0,0.0,1144.0,88701000.0,42.0,-42.0,0.0,0.0,3294000.0,-3294000.0,0.0,0.0
24/08/2026,77800.0,77800.0,0.0,0.0,77500.0,78900.0,77200.0,1222.0,94969500.0,0.0,0.0,1222.0,94969500.0,-199.0,199.0,0.0,0.0,-15562100.0,15562100.0,0.0,0.0
21/08/2026,77800.0,77800.0,0.0,0.0,77800.0,77800.0,77300.0,4846.0,376523000.0,0.0,0.0,4846.0,376523000.0,-368.0,368.0,0.0,0.0,-28630400.0,28630400.0,0.0,0.0
20/08/2026,77800.0,77200.0,600.0,0.00777202,77400.0,77900.0,77300.0,2234.0,173491800.0,0.0,0.0,2234.0,173491800.0,-1319.0,1319.0,0.0,0.0,-102523001.0,102523000.0,0.0,0.0
19/08/2026,77200.0,79800.0,-2600.0,-0.03258145,79200.0,79200.0,77100.0,3521.0,272665800.0,0.0,0.0,3521.0,272665800.0,-110.0,110.0,0.0,0.0,-8518000.0,8518000.0,0.0,0.0
18/08/2026,79800.0,77800.0,1998.0,0.02568057,77800.0,79800.0,77400.0,2170.0,168585900.0,0.0,0.0,2170.0,168585900.0,-87.0,87.0,0.0,0.0,-6729200.0,6729200.0,0.0,0.0
