NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,31600.0,31500.0,100.0,0.0031746,31600.0,31600.0,31600.0,1001.0,31633000.0,0.0,0.0,1001.0,31633000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,31500.0,32000.0,-500.0,-0.015625,31500.0,31500.0,31500.0,1301.0,40983400.0,0.0,0.0,1301.0,40983400.0,-1001.0,1001.0,0.0,0.0,-31533400.0,31533400.0,0.0,0.0
27/08/2026,32000.0,32000.0,0.0,0.0,32000.0,32000.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,32000.0,32000.0,0.0,0.0,32000.0,32000.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,32000.0,33000.0,-1000.0,-0.03030303,32000.0,32000.0,32000.0,1000.0,32000000.0,0.0,0.0,1000.0,32000000.0,-1000.0,1000.0,0.0,0.0,-32000000.0,32000000.0,0.0,0.0
24/08/2026,33000.0,33000.0,0.0,0.0,33000.0,33000.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,33000.0,33000.0,0.0,0.0,33000.0,33000.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,33000.0,33000.0,0.0,0.0,33000.0,33000.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,33000.0,33000.0,0.0,0.0,33000.0,33000.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,33000.0,33000.0,0.0,0.0,33000.0,33000.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,33000.0,32500.0,500.0,0.01538462,33000.0,33000.0,33000.0,1041.0,34332500.0,0.0,0.0,1041.0,34332500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,32500.0,32500.0,0.0,0.0,32500.0,32500.0,32500.0,1001.0,32532500.0,0.0,0.0,1001.0,32532500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,32500.0,32500.0,0.0,0.0,32500.0,32500.0,32500.0,2.0,65000.0,0.0,0.0,2.0,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,32500.0,32500.0,0.0,0.0,32500.0,32500.0,32500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,32500.0,32500.0,0.0,0.0,32500.0,32500.0,32500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,32500.0,32500.0,0.0,0.0,32500.0,32500.0,32500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/08/2026,32500.0,32500.0,0.0,0.0,32500.0,32500.0,32500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,32500.0,32500.0,0.0,0.0,32500.0,32500.0,32500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,32500.0,32500.0,0.0,0.0,32500.0,32500.0,32500.0,1.0,32500.0,0.0,0.0,1.0,32500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
