NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,45600.0,45750.0,-150.0,-0.00327869,45950.0,46100.0,45600.0,565162.0,25894596050.0,0.0,0.0,565162.0,25894596050.0,-71244.0,18275.0,-52500.0,52969.0,-3272018100.0,844085100.0,-2402800000.0,2427933000.0
27/08/2026,45750.0,46150.0,-400.0,-0.00866739,46100.0,46250.0,45650.0,383883.0,17574209850.0,20000.0,980000000.0,403883.0,18554209850.0,34367.0,24650.0,-62200.0,-59017.0,1577113000.0,1124003500.0,-2849790000.0,-2701116500.0
26/08/2026,46150.0,46100.0,50.0,0.0010846,46100.0,46650.0,45750.0,491201.0,22655761750.0,140000.0,6466000000.0,631201.0,29121761750.0,23944.0,-72124.0,-41600.0,48180.0,1088316500.0,-3313150500.0,-1892715000.0,2224834000.0
25/08/2026,46100.0,46100.0,0.0,0.0,45850.0,46350.0,45600.0,631648.0,29017521250.0,0.0,0.0,631648.0,29017521250.0,-142992.0,36992.0,-42000.0,106000.0,-6576542600.0,1691682600.0,-1924505000.0,4884860000.0
24/08/2026,46100.0,46800.0,-700.0,-0.01495727,46900.0,46900.0,45650.0,1187091.0,54617167200.0,140000.0,6642600000.0,1327091.0,61259767200.0,60817.0,-20717.0,45500.0,-40100.0,2808511000.0,-958431000.0,2099730000.0,-1850080000.0
21/08/2026,46800.0,46800.0,0.0,0.0,47000.0,47000.0,46400.0,647899.0,30277419750.0,0.0,0.0,647899.0,30277419750.0,78415.0,-5160.0,24800.0,-73255.0,3660288599.0,-243862400.0,1162300000.0,-3416426200.0
20/08/2026,46800.0,45900.0,900.0,0.01960784,45950.0,47200.0,45900.0,1648811.0,77082230250.0,0.0,0.0,1648811.0,77082230250.0,-13481.0,-110236.0,73400.0,123717.0,-562632900.0,-5188269200.0,3426775000.0,5750902100.0
19/08/2026,45900.0,46300.0,-400.0,-0.00863931,46200.0,46550.0,45650.0,446521.0,20541932400.0,0.0,0.0,446521.0,20541932400.0,73024.0,8851.0,21100.0,-81875.0,3377131951.0,404583300.0,968875000.0,-3781715250.0
18/08/2026,46300.0,45750.0,550.0,0.01202186,45850.0,46300.0,45500.0,909617.0,41861285150.0,20000.0,935000000.0,929617.0,42796285150.0,-148081.0,-160134.0,-35600.0,308215.0,-6832629799.0,-7369340450.0,-1631450000.0,14201970250.0
17/08/2026,45750.0,45300.0,450.0,0.00993377,45300.0,45900.0,45050.0,646727.0,29397560300.0,42500.0,1931880000.0,689227.0,31329440300.0,-229533.0,35356.0,53500.0,194177.0,-10447075050.0,1625496050.0,2440030000.0,8821579000.0
14/08/2026,45300.0,45850.0,-550.0,-0.01199564,45850.0,46500.0,45300.0,813912.0,37331111200.0,20000.0,920000000.0,833912.0,38251111200.0,-84723.0,-122574.0,-36100.0,207297.0,-3933697650.0,-5614800900.0,-1641090000.0,9548498550.0
13/08/2026,45850.0,46300.0,-450.0,-0.00971922,46250.0,46300.0,45550.0,688808.0,31659526850.0,120000.0,5544800000.0,808808.0,37204326850.0,51123.0,-55023.0,-33000.0,3900.0,2363645200.0,-2525005200.0,-1514425000.0,161360000.0
12/08/2026,46300.0,45650.0,650.0,0.01423877,45900.0,46350.0,45350.0,967554.0,44316253650.0,0.0,0.0,967554.0,44316253650.0,-108882.0,-17928.0,65900.0,126810.0,-4991311699.0,-825657300.0,3013400000.0,5816969000.0
11/08/2026,45650.0,46500.0,-850.0,-0.01827957,46050.0,46350.0,45650.0,551239.0,25325840350.0,40000.0,1983000000.0,591239.0,27308840350.0,150135.0,-40972.0,10000.0,-109163.0,6904709550.0,-1882829650.0,462095000.0,-5021879900.0
10/08/2026,46500.0,44750.0,1750.0,0.03910615,45100.0,46550.0,44850.0,2433278.0,112078556700.0,0.0,0.0,2433278.0,112078556700.0,-641999.0,79956.0,32400.0,562043.0,-29608363650.0,3794802350.0,1494840000.0,25813561300.0
07/08/2026,44750.0,43700.0,1050.0,0.02402746,43700.0,45300.0,43700.0,784019.0,35061386350.0,942000.0,39662750000.0,1726019.0,74724136350.0,10247.0,-164229.0,-600.0,153982.0,436542700.0,-7360577600.0,-26920000.0,6924034900.0
06/08/2026,43700.0,44400.0,-700.0,-0.01576577,44350.0,44400.0,43700.0,582492.0,25599236200.0,20000.0,900000000.0,602492.0,26499236200.0,123081.0,100098.0,-11500.0,-223179.0,5407490449.0,4404359200.0,-504600000.0,-9811849650.0
05/08/2026,44400.0,45100.0,-700.0,-0.01552106,45000.0,45100.0,44400.0,489335.0,21838235650.0,2909400.0,129732990000.0,3398735.0,151571225650.0,18769.0,-48979.0,-42700.0,30210.0,840297650.0,-2192254150.0,-1901695000.0,1351956500.0
04/08/2026,45100.0,44800.0,300.0,0.00669643,44650.0,45150.0,44250.0,645303.0,28829435650.0,140000.0,6522000000.0,785303.0,35351435650.0,26155.0,-112255.0,-16600.0,86100.0,1143614349.0,-5003819350.0,-740795000.0,3860205000.0
03/08/2026,44800.0,43550.0,1250.0,0.02870264,43900.0,44800.0,43550.0,1231889.0,54552175100.0,0.0,0.0,1231889.0,54552175100.0,-176976.0,-294014.0,36000.0,470990.0,-7810722850.0,-13000676000.0,1576730000.0,20811398850.0
31/07/2026,43550.0,43400.0,150.0,0.00345622,43950.0,44000.0,43550.0,519829.0,22760581350.0,40000.0,1800000000.0,559829.0,24560581350.0,-173427.0,-86433.0,-34000.0,259860.0,-7609543800.0,-3776659200.0,-1485970000.0,11386203000.0
30/07/2026,43400.0,43000.0,400.0,0.00930233,43500.0,44000.0,43000.0,678667.0,29455785650.0,0.0,0.0,678667.0,29455785650.0,-40771.0,-203201.0,-54100.0,243972.0,-1787493200.0,-8806156800.0,-2332990000.0,10593650000.0
29/07/2026,43000.0,43150.0,-150.0,-0.00347625,43400.0,43400.0,42950.0,548829.0,23656056700.0,0.0,0.0,548829.0,23656056700.0,-19937.0,-39863.0,-57100.0,59800.0,-856242449.0,-1723077550.0,-2462825000.0,2579320000.0
28/07/2026,43150.0,43600.0,-448.0,-0.0102757,43000.0,43500.0,42700.0,568285.0,24550906100.0,0.0,0.0,568285.0,24550906100.0,-51012.0,-44388.0,-3100.0,95400.0,-2210134800.0,-1922400200.0,-133395000.0,4132535000.0
27/07/2026,43598.96,46500.0,100.0,0.00215054,43692.52,44113.54,43458.62,894060.0,41767058800.0,127000.0,5575300000.0,1021060.0,47342358800.0,184304.0,-403964.0,-221600.0,219660.0,8605910950.0,-18871954950.0,-10323870000.0,10266044000.0
24/07/2026,43505.4,47000.0,-500.0,-0.0106383,43879.64,43879.64,43084.38,620048.0,28681070650.0,0.0,0.0,620048.0,28681070650.0,211423.0,-251506.0,-52500.0,40083.0,9764594449.0,-11620668600.0,-2429605000.0,1856074150.0
23/07/2026,43973.2,46950.0,50.0,0.00106496,44207.1,44207.1,42102.0,877643.0,40735259450.0,0.0,0.0,877643.0,40735259450.0,-34728.0,11547.0,6400.0,23181.0,-1597447950.0,471625150.0,285440000.0,1125822800.0
22/07/2026,43926.42,47000.0,-50.0,-0.00106383,44253.88,44253.88,43879.64,519588.0,24445894050.0,0.0,0.0,519588.0,24445894050.0,9964.0,34636.0,52700.0,-44600.0,461645500.0,1635564500.0,2483485000.0,-2097210000.0
21/07/2026,43973.2,47300.0,-300.0,-0.00634249,44066.76,44487.78,43973.2,494080.0,23332879150.0,0.0,0.0,494080.0,23332879150.0,-102776.0,121748.0,25800.0,-18972.0,-4857208699.0,5743630550.0,1222280000.0,-886421850.0
20/07/2026,44253.88,46900.0,400.0,0.00852878,44019.98,44815.24,43786.08,613764.0,28971329700.0,25000.0,1135000000.0,638764.0,30106329700.0,-66304.0,14200.0,92000.0,52104.0,-3149939150.0,680314950.0,4352460000.0,2469624200.0
17/07/2026,43879.64,46350.0,550.0,0.01186624,43318.28,43879.64,43084.38,342035.0,15924886300.0,0.0,0.0,342035.0,15924886300.0,94283.0,-60849.0,-59700.0,-33434.0,4381262550.0,-2831093050.0,-2772700000.0,-1550169500.0
16/07/2026,43365.06,46050.0,550.0,0.01194354,43131.16,43598.96,42803.7,516762.0,23828210050.0,72000.0,3381100000.0,588762.0,27209310050.0,-28112.0,67412.0,44500.0,-39300.0,-1295605250.0,3112195250.0,2058915000.0,-1816590000.0
15/07/2026,43084.38,46800.0,-750.0,-0.01602564,43926.42,43926.42,43037.6,313060.0,14509612900.0,0.0,0.0,313060.0,14509612900.0,70962.0,-66662.0,-31000.0,-4300.0,3294230800.0,-3089050800.0,-1437255000.0,-205180000.0
