NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,13350.0,13350.0,0.0,0.0,13350.0,13350.0,13350.0,46.0,579600.0,0.0,0.0,46.0,579600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,13350.0,12900.0,450.0,0.03488372,13350.0,13350.0,13350.0,101.0,1348350.0,0.0,0.0,101.0,1348350.0,1.0,-1.0,0.0,0.0,13350.0,-13350.0,0.0,0.0
27/08/2026,12900.0,12900.0,0.0,0.0,12900.0,12900.0,12900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,12900.0,12900.0,0.0,0.0,12900.0,12900.0,12900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,12900.0,12900.0,0.0,0.0,12900.0,12900.0,12900.0,3100.0,39990000.0,0.0,0.0,3100.0,39990000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,12900.0,12900.0,0.0,0.0,12900.0,12900.0,12900.0,210.0,2709000.0,0.0,0.0,210.0,2709000.0,10.0,-10.0,0.0,0.0,129000.0,-129000.0,0.0,0.0
21/08/2026,12900.0,12900.0,0.0,0.0,12850.0,12900.0,12850.0,1600.0,20585000.0,0.0,0.0,1600.0,20585000.0,-100.0,100.0,0.0,0.0,-1285000.0,1285000.0,0.0,0.0
20/08/2026,12900.0,13000.0,-100.0,-0.00769231,12850.0,12900.0,12850.0,3085.0,39690000.0,0.0,0.0,3085.0,39690000.0,-400.0,1000.0,0.0,-600.0,-5140000.0,12850000.0,0.0,-7710000.0
19/08/2026,13000.0,13100.0,-100.0,-0.00763359,13000.0,13000.0,13000.0,7800.0,101400000.0,0.0,0.0,7800.0,101400000.0,4000.0,-4000.0,0.0,0.0,52000000.0,-52000000.0,0.0,0.0
18/08/2026,13100.0,13100.0,0.0,0.0,13100.0,13100.0,13100.0,501.0,6562600.0,0.0,0.0,501.0,6562600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,13100.0,13050.0,50.0,0.00383142,13150.0,13150.0,13100.0,300.0,3935000.0,0.0,0.0,300.0,3935000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,13050.0,13200.0,-150.0,-0.01136364,12550.0,13150.0,12550.0,2405.0,31427900.0,0.0,0.0,2405.0,31427900.0,1600.0,-1600.0,0.0,0.0,21040000.0,-21040000.0,0.0,0.0
13/08/2026,13200.0,13250.0,-50.0,-0.00377358,12700.0,13200.0,12550.0,1109.0,13969500.0,0.0,0.0,1109.0,13969500.0,-601.0,601.0,0.0,0.0,-7477550.0,7477550.0,0.0,0.0
12/08/2026,13250.0,13400.0,-150.0,-0.01119403,13350.0,13350.0,12700.0,5230.0,66680100.0,0.0,0.0,5230.0,66680100.0,5000.0,-4900.0,0.0,-100.0,63625000.0,-62300000.0,0.0,-1325000.0
11/08/2026,13400.0,13400.0,0.0,0.0,12800.0,13400.0,12800.0,4035.0,52473500.0,0.0,0.0,4035.0,52473500.0,2800.0,-2800.0,0.0,0.0,36320000.0,-36320000.0,0.0,0.0
10/08/2026,13400.0,12900.0,500.0,0.03875969,13800.0,13800.0,12800.0,2155.0,27748300.0,0.0,0.0,2155.0,27748300.0,2012.0,-2012.0,0.0,0.0,25911350.0,-25911350.0,0.0,0.0
07/08/2026,12900.0,12950.0,-50.0,-0.003861,12450.0,12900.0,12450.0,205.0,2599500.0,0.0,0.0,205.0,2599500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,12950.0,12850.0,100.0,0.0077821,12850.0,12950.0,12850.0,3042.0,39212000.0,0.0,0.0,3042.0,39212000.0,733.0,-733.0,0.0,0.0,9486000.0,-9486000.0,0.0,0.0
05/08/2026,12850.0,12750.0,100.0,0.00784314,12750.0,12850.0,12750.0,1810.0,23142000.0,0.0,0.0,1810.0,23142000.0,1000.0,-1000.0,0.0,0.0,12750000.0,-12750000.0,0.0,0.0
04/08/2026,12750.0,12700.0,50.0,0.00393701,12000.0,12750.0,12000.0,7401.0,93542700.0,0.0,0.0,7401.0,93542700.0,3100.0,-3100.0,0.0,0.0,39375000.0,-39375000.0,0.0,0.0
03/08/2026,12700.0,12550.0,150.0,0.01195219,12650.0,12700.0,12650.0,719.0,9073050.0,0.0,0.0,719.0,9073050.0,91.0,-91.0,0.0,0.0,1155251.0,-1155250.0,0.0,0.0
31/07/2026,12550.0,12600.0,-50.0,-0.00396825,12600.0,12600.0,12500.0,300.0,3765000.0,0.0,0.0,300.0,3765000.0,100.0,-100.0,0.0,0.0,1255000.0,-1255000.0,0.0,0.0
30/07/2026,12600.0,12650.0,-50.0,-0.00395257,12600.0,12650.0,12550.0,4670.0,58805100.0,0.0,0.0,4670.0,58805100.0,700.0,-600.0,0.0,-100.0,8810000.0,-7555000.0,0.0,-1255000.0
29/07/2026,12650.0,12800.0,-150.0,-0.01171875,12400.0,12650.0,12200.0,606.0,7499400.0,0.0,0.0,606.0,7499400.0,-6.0,6.0,0.0,0.0,-74400.0,74400.0,0.0,0.0
28/07/2026,12800.0,12800.0,0.0,0.0,12800.0,12800.0,12800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/07/2026,12800.0,12750.0,50.0,0.00392157,12800.0,12800.0,12800.0,200.0,2560000.0,0.0,0.0,200.0,2560000.0,-200.0,200.0,0.0,0.0,-2560000.0,2560000.0,0.0,0.0
24/07/2026,12750.0,12750.0,0.0,0.0,12800.0,12800.0,12100.0,1841.0,23356500.0,0.0,0.0,1841.0,23356500.0,306.0,-206.0,0.0,-100.0,3902000.0,-2632000.0,0.0,-1270000.0
