NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,22850.0,22850.0,0.0,0.0,22850.0,22950.0,22550.0,1082519.0,24662760600.0,0.0,0.0,1082519.0,24662760600.0,50322.0,0.0,0.0,-50322.0,1145568650.0,0.0,0.0,-1145568650.0
28/08/2026,22850.0,22750.0,100.0,0.0043956,22750.0,23050.0,22700.0,1063226.0,24271938700.0,0.0,0.0,1063226.0,24271938700.0,657986.0,-743388.0,0.0,85402.0,15010445549.0,-16961398150.0,0.0,1950952600.0
27/08/2026,22750.0,22900.0,-150.0,-0.00655022,22900.0,22900.0,22450.0,1081229.0,24502661650.0,0.0,0.0,1081229.0,24502661650.0,80770.0,-96870.0,0.0,16100.0,1842345051.0,-2207105050.0,0.0,364760000.0
26/08/2026,22900.0,23550.0,-650.0,-0.02760085,23550.0,23600.0,22700.0,1234141.0,28614714100.0,0.0,0.0,1234141.0,28614714100.0,-361434.0,366334.0,0.0,-4900.0,-8445271950.0,8558156950.0,0.0,-112885000.0
25/08/2026,23550.0,24150.0,-600.0,-0.02484472,24150.0,24150.0,23550.0,1365861.0,32652091600.0,0.0,0.0,1365861.0,32652091600.0,-549974.0,672474.0,0.0,-122500.0,-13191205550.0,16116235550.0,0.0,-2925030000.0
24/08/2026,24150.0,23800.0,350.0,0.01470588,23800.0,24150.0,23750.0,1291965.0,30972890000.0,0.0,0.0,1291965.0,30972890000.0,-422934.0,115834.0,600.0,307100.0,-10125716450.0,2770336450.0,14460000.0,7355380000.0
21/08/2026,23800.0,23800.0,0.0,0.0,23800.0,24000.0,23700.0,1625767.0,38718171200.0,0.0,0.0,1625767.0,38718171200.0,-202758.0,248082.0,12000.0,-45324.0,-4827217300.0,5906497000.0,284400000.0,-1079279700.0
20/08/2026,23800.0,23800.0,0.0,0.0,23800.0,23900.0,23700.0,1569285.0,37308305450.0,0.0,0.0,1569285.0,37308305450.0,-3835.0,43735.0,0.0,-39900.0,-91696200.0,1035931200.0,0.0,-944235000.0
19/08/2026,23800.0,23700.0,100.0,0.00421941,23700.0,23800.0,23350.0,1041832.0,24609803850.0,0.0,0.0,1041832.0,24609803850.0,208977.0,-207869.0,0.0,-1108.0,4947626700.0,-4930478700.0,0.0,-17148000.0
18/08/2026,23700.0,23350.0,350.0,0.01498929,23350.0,23800.0,23300.0,1239218.0,29086948200.0,0.0,0.0,1239218.0,29086948200.0,150463.0,-399863.0,0.0,249400.0,3509982849.0,-9371842850.0,0.0,5861860000.0
17/08/2026,23350.0,23300.0,50.0,0.00214592,23300.0,23400.0,22850.0,1125624.0,26073621000.0,0.0,0.0,1125624.0,26073621000.0,141484.0,-82192.0,12900.0,-59292.0,3256792650.0,-1884381650.0,299280000.0,-1372411000.0
14/08/2026,23300.0,23000.0,300.0,0.01304348,23000.0,23500.0,23000.0,1054434.0,24482997300.0,2204400.0,47394600000.0,3258834.0,71877597300.0,-70863.0,130363.0,0.0,-59500.0,-1665108150.0,3051123150.0,0.0,-1386015000.0
13/08/2026,23000.0,21600.0,1400.0,0.06481481,21600.0,23000.0,21600.0,1528380.0,34291270500.0,0.0,0.0,1528380.0,34291270500.0,-552235.0,197257.0,0.0,354978.0,-12403230500.0,4489898250.0,0.0,7913332250.0
12/08/2026,21600.0,21300.0,300.0,0.01408451,21300.0,21600.0,20900.0,570404.0,12201060250.0,10769072.0,229381233600.0,11339476.0,241582293850.0,-82861.0,-14141.0,1000.0,97002.0,-1772117800.0,-305640200.0,21300000.0,2077758000.0
11/08/2026,21300.0,21250.0,50.0,0.00235294,21250.0,21350.0,21100.0,467315.0,9915362800.0,0.0,0.0,467315.0,9915362800.0,157493.0,-163993.0,0.0,6500.0,3337851200.0,-3476386200.0,0.0,138535000.0
10/08/2026,21250.0,21000.0,250.0,0.01190476,21000.0,21250.0,20800.0,651916.0,13682992450.0,600000.0,12000000000.0,1251916.0,25682992450.0,346455.0,-247755.0,0.0,-98700.0,7261395750.0,-5194230750.0,0.0,-2067165000.0
07/08/2026,21000.0,20950.0,50.0,0.00238663,20950.0,21100.0,20800.0,408147.0,8543664500.0,3854000.0,78978100000.0,4262147.0,87521764500.0,233283.0,-173283.0,1200.0,-60000.0,4878988601.0,-3622943600.0,25080000.0,-1256045000.0
06/08/2026,20950.0,20650.0,300.0,0.01452785,20650.0,20950.0,20500.0,497547.0,10321946500.0,0.0,0.0,497547.0,10321946500.0,-26888.0,-108229.0,0.0,135117.0,-571805800.0,-2223753650.0,0.0,2795559450.0
05/08/2026,20650.0,21300.0,-650.0,-0.03051643,21300.0,21400.0,20650.0,605892.0,12783890650.0,466300.0,9932190000.0,1072192.0,22716080650.0,-89290.0,28190.0,0.0,61100.0,-1859409750.0,580264750.0,0.0,1279145000.0
04/08/2026,21300.0,21300.0,0.0,0.0,21300.0,21350.0,21150.0,540044.0,11483500850.0,1500000.0,31950000000.0,2040044.0,43433500850.0,-199220.0,190420.0,0.0,8800.0,-4240701001.0,4053901000.0,0.0,186800000.0
03/08/2026,21300.0,21250.0,50.0,0.00235294,21250.0,21350.0,21000.0,644399.0,13669850250.0,0.0,0.0,644399.0,13669850250.0,-354738.0,274738.0,0.0,80000.0,-7531315200.0,5844940200.0,0.0,1686375000.0
31/07/2026,21250.0,21300.0,-50.0,-0.00234742,21300.0,21300.0,21150.0,401914.0,8537270200.0,845000.0,18505500000.0,1246914.0,27042770200.0,116848.0,-89548.0,0.0,-27300.0,2483201550.0,-1902766550.0,0.0,-580435000.0
30/07/2026,21300.0,20700.0,600.0,0.02898551,20700.0,21400.0,20600.0,819214.0,17152017000.0,0.0,0.0,819214.0,17152017000.0,-197797.0,61697.0,0.0,136100.0,-4072597700.0,1234082700.0,0.0,2838515000.0
29/07/2026,20700.0,20700.0,0.0,0.0,20700.0,20700.0,20550.0,573993.0,11826952400.0,0.0,0.0,573993.0,11826952400.0,-131813.0,135413.0,0.0,-3600.0,-2720855700.0,2795475700.0,0.0,-74620000.0
28/07/2026,20700.0,20700.0,0.0,0.0,20650.0,20700.0,20450.0,486740.0,10019841150.0,1492100.0,32975410000.0,1978840.0,42995251150.0,-294824.0,337724.0,0.0,-42900.0,-6070594850.0,6953469850.0,0.0,-882875000.0
27/07/2026,20700.0,20750.0,-50.0,-0.00240964,20750.0,20750.0,20450.0,568666.0,11711751400.0,0.0,0.0,568666.0,11711751400.0,-437341.0,493370.0,0.0,-56029.0,-9009026100.0,10165053500.0,0.0,-1156027400.0
24/07/2026,20750.0,20750.0,0.0,0.0,20750.0,20750.0,20500.0,459483.0,9477377550.0,0.0,0.0,459483.0,9477377550.0,-372596.0,451396.0,0.0,-78800.0,-7685821150.0,9310931150.0,0.0,-1625110000.0
23/07/2026,20750.0,20850.0,-100.0,-0.00479616,20800.0,20850.0,20600.0,688603.0,14268682550.0,0.0,0.0,688603.0,14268682550.0,-166933.0,212433.0,0.0,-45500.0,-3470248450.0,4422648450.0,0.0,-952400000.0
22/07/2026,20850.0,20850.0,0.0,0.0,20850.0,20850.0,20600.0,408278.0,8467504950.0,0.0,0.0,408278.0,8467504950.0,-70984.0,213387.0,600.0,-142403.0,-1482450100.0,4432316300.0,12480000.0,-2949866200.0
21/07/2026,20850.0,20850.0,0.0,0.0,20850.0,20850.0,20600.0,861850.0,17874719250.0,0.0,0.0,861850.0,17874719250.0,-223041.0,547091.0,0.0,-324050.0,-4628521450.0,11344039450.0,0.0,-6715518000.0
20/07/2026,20850.0,20900.0,-50.0,-0.00239234,20900.0,20900.0,20650.0,692138.0,14416772750.0,560000.0,12488000000.0,1252138.0,26904772750.0,-287189.0,358108.0,1200.0,-70919.0,-5986299701.0,7462830950.0,25050000.0,-1476531250.0
17/07/2026,20900.0,21050.0,-150.0,-0.00712589,21050.0,21150.0,20900.0,694597.0,14589849400.0,0.0,0.0,694597.0,14589849400.0,-244870.0,223470.0,600.0,21400.0,-5138976550.0,4686791550.0,12630000.0,452185000.0
16/07/2026,21050.0,21000.0,50.0,0.00238095,21000.0,21150.0,20900.0,803190.0,16888904100.0,0.0,0.0,803190.0,16888904100.0,-335511.0,255479.0,-14610.0,80032.0,-7057167100.0,5374765550.0,-307800000.0,1682401550.0
15/07/2026,21000.0,20900.0,100.0,0.00478469,20900.0,21200.0,20800.0,874575.0,18353636150.0,300000.0,5880000000.0,1174575.0,24233636150.0,-238970.0,131675.0,0.0,107295.0,-5015907650.0,2763832150.0,0.0,2252075500.0
14/07/2026,20900.0,21250.0,-350.0,-0.01647059,21250.0,21300.0,20900.0,628184.0,13247930100.0,0.0,0.0,628184.0,13247930100.0,-145960.0,100960.0,-1203.0,45000.0,-3057161549.0,2112266550.0,-25412000.0,944895000.0
13/07/2026,21250.0,21300.0,-50.0,-0.00234742,21300.0,21300.0,21100.0,537064.0,11386463000.0,770000.0,16362500000.0,1307064.0,27748963000.0,179484.0,-194884.0,0.0,15400.0,3802412550.0,-4127282550.0,0.0,324870000.0
10/07/2026,21300.0,21250.0,50.0,0.00235294,21250.0,21300.0,21100.0,472830.0,10025037850.0,5880000.0,124950000000.0,6352830.0,134975037850.0,138702.0,-158302.0,0.0,19600.0,2931869650.0,-3346639650.0,0.0,414770000.0
09/07/2026,21250.0,21250.0,0.0,0.0,21250.0,21250.0,21000.0,546927.0,11558011550.0,0.0,0.0,546927.0,11558011550.0,-49042.0,102742.0,-14100.0,-53700.0,-1038298550.0,2170683550.0,-298305000.0,-1132385000.0
08/07/2026,21250.0,21200.0,50.0,0.00235849,21200.0,21250.0,21050.0,552802.0,11707147100.0,0.0,0.0,552802.0,11707147100.0,-134808.0,91792.0,0.0,43016.0,-2859084550.0,1949942300.0,0.0,909142250.0
07/07/2026,21200.0,21250.0,-50.0,-0.00235294,21200.0,21200.0,21000.0,550665.0,11616506650.0,0.0,0.0,550665.0,11616506650.0,-77724.0,71324.0,-600.0,6400.0,-1641451950.0,1508266950.0,-12660000.0,133185000.0
06/07/2026,21250.0,21250.0,0.0,0.0,21250.0,21300.0,21100.0,516126.0,10944875500.0,0.0,0.0,516126.0,10944875500.0,20859.0,-44559.0,-600.0,23700.0,439148200.0,-938318200.0,-12690000.0,499170000.0
03/07/2026,21250.0,20850.0,400.0,0.01918465,20850.0,21250.0,20800.0,568597.0,11921164450.0,0.0,0.0,568597.0,11921164450.0,-11452.0,15752.0,0.0,-4300.0,-240822750.0,330532750.0,0.0,-89710000.0
02/07/2026,20850.0,21250.0,-400.0,-0.01882353,21250.0,21300.0,20850.0,507858.0,10714946800.0,1400000.0,30100000000.0,1907858.0,40814946800.0,-54607.0,52207.0,0.0,2400.0,-1149253000.0,1098988000.0,0.0,50265000.0
01/07/2026,21250.0,21250.0,0.0,0.0,21250.0,21250.0,21050.0,519800.0,11019905300.0,0.0,0.0,519800.0,11019905300.0,-105049.0,74854.0,0.0,30195.0,-2225504900.0,1588240400.0,0.0,637264500.0
30/06/2026,21250.0,21300.0,-50.0,-0.00234742,21300.0,21300.0,21150.0,478576.0,10154958750.0,5200000.0,118040000000.0,5678576.0,128194958750.0,-19716.0,60216.0,0.0,-40500.0,-421290099.0,1280250100.0,0.0,-858960000.0
29/06/2026,21300.0,21300.0,0.0,0.0,21300.0,21300.0,21100.0,406625.0,8634814150.0,4044000.0,91798800000.0,4450625.0,100433614150.0,-29630.0,35430.0,14376.0,-5800.0,-632254350.0,755294350.0,305027000.0,-123040000.0
26/06/2026,21300.0,21400.0,-100.0,-0.0046729,21200.0,21350.0,21150.0,421328.0,8950779550.0,720000.0,16416000000.0,1141328.0,25366779550.0,-324079.0,372779.0,-600.0,-48700.0,-6883307400.0,7917237400.0,-12750000.0,-1033930000.0
25/06/2026,21400.0,21450.0,-50.0,-0.002331,21450.0,21450.0,21200.0,409148.0,8722657150.0,0.0,0.0,409148.0,8722657150.0,143840.0,-126340.0,0.0,-17500.0,3062683000.0,-2689123000.0,0.0,-373560000.0
24/06/2026,21450.0,21450.0,0.0,0.0,21100.0,21450.0,21100.0,459167.0,9789015700.0,0.0,0.0,459167.0,9789015700.0,359561.0,-333261.0,0.0,-26300.0,7667650401.0,-7107960400.0,0.0,-559690000.0
23/06/2026,21450.0,21600.0,-150.0,-0.00694444,21600.0,21600.0,20650.0,656698.0,13998815400.0,1100000.0,23705000000.0,1756698.0,37703815400.0,269437.0,-309062.0,-120.0,39625.0,5727311000.0,-6547689250.0,-2561000.0,820378250.0
22/06/2026,21600.0,21550.0,50.0,0.00232019,21550.0,21600.0,21150.0,523206.0,11238101350.0,819000.0,16461900000.0,1342206.0,27700001350.0,-167772.0,134892.0,14100.0,32880.0,-3594953550.0,2898501550.0,302065000.0,696452000.0
19/06/2026,21550.0,21300.0,250.0,0.01173709,21300.0,21550.0,21000.0,668589.0,14248907800.0,0.0,0.0,668589.0,14248907800.0,-397473.0,154773.0,0.0,242700.0,-8460628850.0,3269548850.0,0.0,5191080000.0
18/06/2026,21300.0,21750.0,-450.0,-0.02068966,21500.0,21700.0,21100.0,743027.0,15922115150.0,0.0,0.0,743027.0,15922115150.0,62000.0,-10800.0,0.0,-51200.0,1339222500.0,-233072500.0,0.0,-1106150000.0
17/06/2026,21750.0,21750.0,0.0,0.0,21750.0,21900.0,21450.0,432844.0,9398065150.0,6030000.0,122107500000.0,6462844.0,131505565150.0,262146.0,-217246.0,0.0,-44900.0,5696803650.0,-4721778650.0,0.0,-975025000.0
16/06/2026,21750.0,21750.0,0.0,0.0,21750.0,21900.0,21600.0,576463.0,12538009950.0,0.0,0.0,576463.0,12538009950.0,-249872.0,332231.0,0.0,-82359.0,-5430187149.0,7219870950.0,0.0,-1789683800.0
15/06/2026,21750.0,21550.0,200.0,0.00928074,21550.0,21800.0,21450.0,605626.0,13113251700.0,2450000.0,56350000000.0,3055626.0,69463251700.0,-139401.0,157506.0,-60.0,-18105.0,-3019162600.0,3409390600.0,-1287000.0,-390228000.0
12/06/2026,21550.0,21900.0,-350.0,-0.01598174,21900.0,22000.0,21550.0,593986.0,12953512000.0,0.0,0.0,593986.0,12953512000.0,85261.0,-25461.0,0.0,-59800.0,1881442651.0,-580107650.0,0.0,-1301335000.0
11/06/2026,21900.0,21200.0,700.0,0.03301887,21150.0,21900.0,20900.0,948575.0,20323878850.0,0.0,0.0,948575.0,20323878850.0,124545.0,-281845.0,0.0,157300.0,2700888950.0,-6072088950.0,0.0,3371200000.0
10/06/2026,21200.0,20500.0,700.0,0.03414634,20500.0,21200.0,20350.0,779671.0,16155315350.0,12755629.0,278710493650.0,13535300.0,294865809000.0,328918.0,-392622.0,0.0,63704.0,6857356849.0,-8163169150.0,0.0,1305812300.0
