NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,6230.0,6230.0,0.0,0.0,6230.0,6230.0,6230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,6230.0,6310.0,-80.0,-0.01267829,5880.0,6270.0,5870.0,1510.0,9132000.0,0.0,0.0,1510.0,9132000.0,890.0,-890.0,0.0,0.0,5330000.0,-5330000.0,0.0,0.0
27/08/2026,6310.0,6200.0,110.0,0.01774194,6200.0,6310.0,6200.0,600.0,3731000.0,0.0,0.0,600.0,3731000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,6200.0,6250.0,-50.0,-0.008,6320.0,6320.0,5820.0,2506.0,14778890.0,0.0,0.0,2506.0,14778890.0,876.0,-876.0,0.0,0.0,5126660.0,-5126660.0,0.0,0.0
25/08/2026,6250.0,6110.0,140.0,0.02291326,6150.0,6320.0,6150.0,310.0,1934500.0,0.0,0.0,310.0,1934500.0,90.0,-90.0,0.0,0.0,552500.0,-552500.0,0.0,0.0
24/08/2026,6110.0,6130.0,-20.0,-0.00326264,5750.0,6110.0,5750.0,804.0,4659000.0,0.0,0.0,804.0,4659000.0,-200.0,200.0,0.0,0.0,-1150000.0,1150000.0,0.0,0.0
21/08/2026,6130.0,6330.0,-200.0,-0.03159558,5890.0,6140.0,5890.0,2010.0,11892240.0,0.0,0.0,2010.0,11892240.0,1793.0,-1793.0,0.0,0.0,10557691.0,-10557690.0,0.0,0.0
20/08/2026,6330.0,6180.0,150.0,0.02427184,6330.0,6330.0,6330.0,101.0,639180.0,0.0,0.0,101.0,639180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,6180.0,6180.0,0.0,0.0,6180.0,6180.0,6180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,6180.0,6370.0,-190.0,-0.02982732,5930.0,6180.0,5930.0,5163.0,30654100.0,0.0,0.0,5163.0,30654100.0,-213.0,213.0,0.0,0.0,-1247100.0,1247100.0,0.0,0.0
17/08/2026,6370.0,6370.0,0.0,0.0,6370.0,6370.0,6370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,6370.0,6370.0,0.0,0.0,6370.0,6370.0,6370.0,6.0,35700.0,0.0,0.0,6.0,35700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,6370.0,6380.0,-10.0,-0.0015674,6370.0,6370.0,6370.0,139.0,886260.0,0.0,0.0,139.0,886260.0,11.0,-11.0,0.0,0.0,70179.0,-70180.0,0.0,0.0
12/08/2026,6380.0,6160.0,220.0,0.03571429,6380.0,6380.0,6380.0,320.0,2037300.0,0.0,0.0,320.0,2037300.0,291.0,-291.0,0.0,0.0,1858201.0,-1858200.0,0.0,0.0
11/08/2026,6160.0,6080.0,80.0,0.01315789,6080.0,6440.0,6080.0,9396.0,57498030.0,0.0,0.0,9396.0,57498030.0,-3518.0,3518.0,0.0,0.0,-21549080.0,21549080.0,0.0,0.0
10/08/2026,6080.0,6100.0,-20.0,-0.00327869,5700.0,6080.0,5700.0,666.0,3839280.0,0.0,0.0,666.0,3839280.0,-445.0,445.0,0.0,0.0,-2535260.0,2535260.0,0.0,0.0
07/08/2026,6100.0,6100.0,0.0,0.0,6100.0,6100.0,6100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,6100.0,6110.0,-10.0,-0.00163666,6350.0,6350.0,6100.0,230.0,1416000.0,0.0,0.0,230.0,1416000.0,0.0,0.0,0.0,0.0,25000.0,-25000.0,0.0,0.0
05/08/2026,6110.0,6100.0,10.0,0.00163934,6150.0,6150.0,5700.0,855.0,4959510.0,0.0,0.0,855.0,4959510.0,-105.0,105.0,0.0,0.0,-557170.0,557170.0,0.0,0.0
04/08/2026,6100.0,6030.0,70.0,0.01160862,6100.0,6100.0,6000.0,735.0,4470700.0,0.0,0.0,735.0,4470700.0,300.0,100.0,0.0,-400.0,1830001.0,600000.0,0.0,-2430000.0
03/08/2026,6030.0,6080.0,-50.0,-0.00822368,6030.0,6030.0,6030.0,116.0,693560.0,0.0,0.0,116.0,693560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,6080.0,6100.0,-20.0,-0.00327869,5810.0,6080.0,5800.0,1700.0,10001000.0,0.0,0.0,1700.0,10001000.0,100.0,-100.0,0.0,0.0,635000.0,-635000.0,0.0,0.0
30/07/2026,6100.0,6000.0,100.0,0.01666667,6000.0,6100.0,6000.0,201.0,1216090.0,0.0,0.0,201.0,1216090.0,201.0,-201.0,0.0,0.0,1216090.0,-1216090.0,0.0,0.0
29/07/2026,6000.0,6230.0,-230.0,-0.03691814,6000.0,6000.0,6000.0,401.0,2406000.0,0.0,0.0,401.0,2406000.0,199.0,-199.0,0.0,0.0,1194000.0,-1194000.0,0.0,0.0
28/07/2026,6230.0,5890.0,340.0,0.05772496,6230.0,6230.0,6230.0,130.0,809900.0,0.0,0.0,130.0,809900.0,119.0,-119.0,0.0,0.0,741371.0,-741370.0,0.0,0.0
27/07/2026,5890.0,6000.0,-110.0,-0.01833333,5580.0,5890.0,5580.0,240.0,1378600.0,0.0,0.0,240.0,1378600.0,1.0,-1.0,0.0,0.0,5580.0,-5580.0,0.0,0.0
24/07/2026,6000.0,5870.0,130.0,0.02214651,6200.0,6200.0,5950.0,820.0,4933700.0,0.0,0.0,820.0,4933700.0,-610.0,610.0,0.0,0.0,-3633700.0,3633700.0,0.0,0.0
