NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,16650.0,17900.0,-1250.0,-0.0698324,16650.0,16650.0,16650.0,101.0,1681650.0,0.0,0.0,101.0,1681650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,17900.0,17900.0,0.0,0.0,17900.0,17900.0,17900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,17900.0,17900.0,0.0,0.0,17900.0,17900.0,17900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,17900.0,17900.0,0.0,0.0,17900.0,17900.0,17900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,17900.0,17900.0,0.0,0.0,17900.0,17900.0,17900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,17900.0,17900.0,0.0,0.0,17900.0,17900.0,17900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,17900.0,17900.0,0.0,0.0,17900.0,17900.0,17900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,17900.0,17900.0,0.0,0.0,17900.0,17900.0,17900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,17900.0,17900.0,0.0,0.0,17900.0,17900.0,17900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,17900.0,17900.0,0.0,0.0,17900.0,17900.0,17900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,17900.0,17900.0,0.0,0.0,17900.0,17900.0,17900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,17900.0,16950.0,950.0,0.0560472,17900.0,17900.0,17900.0,111.0,1982500.0,0.0,0.0,111.0,1982500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,16950.0,18200.0,-1250.0,-0.06868132,16950.0,16950.0,16950.0,2116.0,35898700.0,0.0,0.0,2116.0,35898700.0,1294.0,-1294.0,0.0,0.0,21925801.0,-21925800.0,0.0,0.0
13/08/2026,18200.0,17050.0,1150.0,0.06744868,17050.0,18200.0,17050.0,400.0,6950000.0,0.0,0.0,400.0,6950000.0,-200.0,200.0,0.0,0.0,-3410000.0,3410000.0,0.0,0.0
12/08/2026,17050.0,17100.0,-50.0,-0.00292398,17050.0,17050.0,17050.0,4040.0,68884000.0,0.0,0.0,4040.0,68884000.0,40.0,-40.0,0.0,0.0,684000.0,-684000.0,0.0,0.0
11/08/2026,17100.0,16050.0,1050.0,0.06542056,17150.0,17150.0,17100.0,1516.0,25973650.0,0.0,0.0,1516.0,25973650.0,1.0,-1.0,0.0,0.0,17150.0,-17150.0,0.0,0.0
10/08/2026,16050.0,15000.0,1050.0,0.07,16050.0,16050.0,16050.0,701.0,11250000.0,0.0,0.0,701.0,11250000.0,-299.0,299.0,0.0,0.0,-4800000.0,4800000.0,0.0,0.0
07/08/2026,15000.0,14050.0,950.0,0.06761566,15000.0,15000.0,15000.0,100.0,1500000.0,0.0,0.0,100.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,14050.0,14050.0,0.0,0.0,14050.0,14050.0,14050.0,53.0,752000.0,0.0,0.0,53.0,752000.0,52.0,-52.0,0.0,0.0,737000.0,-737000.0,0.0,0.0
05/08/2026,14050.0,15000.0,-950.0,-0.06333333,14050.0,14050.0,14050.0,100.0,1405000.0,0.0,0.0,100.0,1405000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/08/2026,15000.0,15000.0,0.0,0.0,15000.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/08/2026,15000.0,16000.0,-1000.0,-0.0625,15000.0,15000.0,15000.0,100.0,1500000.0,0.0,0.0,100.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,16000.0,16000.0,0.0,0.0,16000.0,16000.0,16000.0,7.0,104300.0,0.0,0.0,7.0,104300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/07/2026,16000.0,16000.0,0.0,0.0,16000.0,16000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,16000.0,16000.0,0.0,0.0,16000.0,16000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,16000.0,16000.0,0.0,0.0,16000.0,16000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/07/2026,16000.0,16000.0,0.0,0.0,16000.0,16000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
