NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,4510.0,4540.0,-30.0,-0.00660793,4480.0,4550.0,4480.0,569056.0,2569974700.0,0.0,0.0,569056.0,2569974700.0,2700.0,0.0,0.0,-2700.0,12288000.0,0.0,0.0,-12288000.0
03/09/2026,4540.0,4570.0,-30.0,-0.00656455,4570.0,4570.0,4500.0,524950.0,2374818170.0,0.0,0.0,524950.0,2374818170.0,32700.0,0.0,0.0,-32700.0,148411000.0,0.0,0.0,-148411000.0
28/08/2026,4570.0,4560.0,10.0,0.00219298,4550.0,4570.0,4490.0,876502.0,3976571630.0,0.0,0.0,876502.0,3976571630.0,178299.0,-89799.0,0.0,-88500.0,812212970.0,-410249970.0,0.0,-401963000.0
27/08/2026,4560.0,4580.0,-20.0,-0.00436681,4600.0,4620.0,4540.0,649381.0,2964636010.0,20000.0,93600000.0,669381.0,3058236010.0,35547.0,60853.0,0.0,-96400.0,163711209.0,277120790.0,0.0,-440832000.0
26/08/2026,4580.0,4640.0,-60.0,-0.01293103,4620.0,4640.0,4560.0,1099760.0,5053052700.0,0.0,0.0,1099760.0,5053052700.0,262601.0,-1.0,0.0,-262600.0,1212716100.0,-1779100.0,0.0,-1210937000.0
25/08/2026,4640.0,4690.0,-50.0,-0.01066098,4690.0,4700.0,4610.0,735873.0,3416339570.0,0.0,0.0,735873.0,3416339570.0,-53739.0,52839.0,0.0,900.0,-251426381.0,247250380.0,0.0,4176000.0
24/08/2026,4690.0,4550.0,140.0,0.03076923,4550.0,4750.0,4530.0,2262021.0,10479331200.0,0.0,0.0,2262021.0,10479331200.0,-384602.0,246602.0,0.0,138000.0,-1766390141.0,1133624140.0,0.0,632766000.0
21/08/2026,4550.0,4430.0,120.0,0.02708804,4450.0,4560.0,4410.0,1312394.0,5898520700.0,0.0,0.0,1312394.0,5898520700.0,139596.0,-501496.0,0.0,361900.0,627322320.0,-2257500320.0,0.0,1630178000.0
20/08/2026,4430.0,4500.0,-70.0,-0.01555556,4500.0,4510.0,4400.0,1236141.0,5499318440.0,0.0,0.0,1236141.0,5499318440.0,385445.0,-378645.0,0.0,-6800.0,1721414250.0,-1690882250.0,0.0,-30532000.0
19/08/2026,4500.0,4550.0,-50.0,-0.01098901,4550.0,4570.0,4480.0,571287.0,2577147610.0,0.0,0.0,571287.0,2577147610.0,139332.0,-119018.0,0.0,-20314.0,628882459.0,-537468180.0,0.0,-91414280.0
18/08/2026,4550.0,4560.0,-10.0,-0.00219298,4580.0,4580.0,4490.0,746734.0,3380374220.0,0.0,0.0,746734.0,3380374220.0,-81270.0,121270.0,0.0,-40000.0,-363707460.0,545707460.0,0.0,-182000000.0
17/08/2026,4560.0,4500.0,60.0,0.01333333,4530.0,4590.0,4510.0,863577.0,3922628090.0,0.0,0.0,863577.0,3922628090.0,38584.0,-42084.0,0.0,3500.0,174958891.0,-190830890.0,0.0,15872000.0
14/08/2026,4500.0,4580.0,-80.0,-0.01746725,4570.0,4640.0,4500.0,956310.0,4342669040.0,0.0,0.0,956310.0,4342669040.0,13653.0,27147.0,0.0,-40800.0,61650720.0,123350280.0,0.0,-185001000.0
13/08/2026,4580.0,4630.0,-50.0,-0.01079914,4630.0,4680.0,4560.0,1481652.0,6822657610.0,0.0,0.0,1481652.0,6822657610.0,176201.0,-64201.0,0.0,-112000.0,813643330.0,-296073330.0,0.0,-517570000.0
12/08/2026,4630.0,4640.0,-10.0,-0.00215517,4640.0,4660.0,4560.0,790249.0,3649896890.0,0.0,0.0,790249.0,3649896890.0,62800.0,-62800.0,0.0,0.0,290664440.0,-290664440.0,0.0,0.0
11/08/2026,4640.0,4610.0,30.0,0.00650759,4640.0,4690.0,4600.0,952982.0,4417429160.0,0.0,0.0,952982.0,4417429160.0,-127425.0,94984.0,0.0,32441.0,-592157610.0,441811780.0,0.0,150345830.0
10/08/2026,4610.0,4550.0,60.0,0.01318681,4570.0,4620.0,4540.0,1041287.0,4775127580.0,0.0,0.0,1041287.0,4775127580.0,-335233.0,220033.0,0.0,115200.0,-1537963010.0,1008873010.0,0.0,529090000.0
07/08/2026,4550.0,4570.0,-20.0,-0.00437637,4520.0,4600.0,4510.0,774916.0,3527145730.0,0.0,0.0,774916.0,3527145730.0,-54145.0,52945.0,0.0,1200.0,-245370960.0,239924960.0,0.0,5446000.0
