NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,44050.0,44000.0,50.0,0.00113636,44500.0,44500.0,44000.0,68420.0,3017721550.0,0.0,0.0,68420.0,3017721550.0,0.0,100.0,100.0,-32700.0,0.0,4420000.0,4420000.0,-1441990000.0
03/09/2026,44000.0,44450.0,-450.0,-0.01012373,44450.0,44500.0,44000.0,130940.0,5799369850.0,50000.0,2100000000.0,180940.0,7899369850.0,59418.0,0.0,500.0,-59918.0,2631665100.0,0.0,22205000.0,-2653870100.0
28/08/2026,44450.0,44500.0,-50.0,-0.0011236,44500.0,44650.0,44450.0,112806.0,5022280500.0,0.0,0.0,112806.0,5022280500.0,39813.0,4887.0,0.0,-44700.0,1773179200.0,217425800.0,0.0,-1990605000.0
27/08/2026,44500.0,44650.0,-150.0,-0.00335946,44650.0,44850.0,44500.0,82808.0,3697055750.0,0.0,0.0,82808.0,3697055750.0,29958.0,18342.0,0.0,-48300.0,1337345800.0,819199200.0,0.0,-2156545000.0
26/08/2026,44650.0,45350.0,-700.0,-0.0154355,45000.0,45400.0,44650.0,154980.0,6972304600.0,0.0,0.0,154980.0,6972304600.0,51790.0,48160.0,0.0,-99950.0,2329258001.0,2168587000.0,0.0,-4497845000.0
25/08/2026,45350.0,45750.0,-400.0,-0.00874317,46000.0,46200.0,45350.0,91478.0,4171816900.0,0.0,0.0,91478.0,4171816900.0,10743.0,18857.0,200.0,-29600.0,487845900.0,858254100.0,9145000.0,-1346100000.0
24/08/2026,45750.0,45500.0,250.0,0.00549451,46300.0,46300.0,45700.0,102810.0,4736876650.0,0.0,0.0,102810.0,4736876650.0,-5376.0,2876.0,0.0,2500.0,-248332100.0,130507100.0,0.0,117825000.0
21/08/2026,45500.0,45350.0,150.0,0.00330761,45350.0,45650.0,44800.0,73621.0,3330085650.0,0.0,0.0,73621.0,3330085650.0,-8390.0,6090.0,0.0,2300.0,-378297599.0,273982600.0,0.0,104315000.0
20/08/2026,45350.0,45000.0,350.0,0.00777778,45000.0,45700.0,45000.0,66128.0,3010805300.0,0.0,0.0,66128.0,3010805300.0,4957.0,-6802.0,0.0,1845.0,225028000.0,-309162900.0,0.0,84134900.0
19/08/2026,45000.0,45000.0,0.0,0.0,44950.0,45500.0,44800.0,65253.0,2937696800.0,0.0,0.0,65253.0,2937696800.0,-20706.0,28606.0,0.0,-7900.0,-932068651.0,1287723650.0,0.0,-355655000.0
18/08/2026,45000.0,45450.0,-450.0,-0.00990099,45500.0,45750.0,45000.0,85451.0,3868940000.0,0.0,0.0,85451.0,3868940000.0,-15843.0,26343.0,200.0,-10500.0,-712890450.0,1190300450.0,9040000.0,-477410000.0
17/08/2026,45450.0,45450.0,0.0,0.0,45450.0,45900.0,45450.0,91791.0,4187692350.0,0.0,0.0,91791.0,4187692350.0,38082.0,-23982.0,0.0,-14100.0,1738392300.0,-1095507300.0,0.0,-642885000.0
14/08/2026,45450.0,45000.0,450.0,0.01,45050.0,46450.0,45050.0,156682.0,7170351350.0,0.0,0.0,156682.0,7170351350.0,-27708.0,1808.0,200.0,25900.0,-1257708199.0,77248200.0,9100000.0,1180460000.0
13/08/2026,45000.0,45150.0,-150.0,-0.00332226,45200.0,45400.0,45000.0,70885.0,3203715150.0,0.0,0.0,70885.0,3203715150.0,-7474.0,8174.0,0.0,-700.0,-339804549.0,371619550.0,0.0,-31815000.0
12/08/2026,45150.0,45350.0,-200.0,-0.00441014,45100.0,45350.0,45000.0,82111.0,3705524650.0,0.0,0.0,82111.0,3705524650.0,-19168.0,27806.0,0.0,-8638.0,-865767501.0,1255623900.0,0.0,-389856400.0
11/08/2026,45350.0,45500.0,-150.0,-0.0032967,45500.0,45800.0,45250.0,81717.0,3712429800.0,0.0,0.0,81717.0,3712429800.0,7998.0,2502.0,0.0,-10500.0,363176851.0,113938150.0,0.0,-477115000.0
10/08/2026,45500.0,45000.0,500.0,0.01111111,45000.0,45650.0,45000.0,80200.0,3638877400.0,0.0,0.0,80200.0,3638877400.0,-13794.0,7494.0,0.0,6300.0,-625011351.0,340896350.0,0.0,284115000.0
07/08/2026,45000.0,44700.0,300.0,0.00671141,44750.0,45100.0,44700.0,136586.0,6139148250.0,0.0,0.0,136586.0,6139148250.0,-32770.0,66570.0,0.0,-33800.0,-1473676601.0,2993381600.0,0.0,-1519705000.0
06/08/2026,44700.0,44650.0,50.0,0.00111982,44550.0,44950.0,44550.0,74273.0,3318081000.0,0.0,0.0,74273.0,3318081000.0,2822.0,22078.0,0.0,-24900.0,126912350.0,984817650.0,0.0,-1111730000.0
05/08/2026,44650.0,44700.0,-50.0,-0.00111857,44500.0,44900.0,44500.0,125256.0,5596758750.0,0.0,0.0,125256.0,5596758750.0,-43804.0,69804.0,0.0,-26000.0,-1958153600.0,3119393599.0,0.0,-1161240000.0
04/08/2026,44700.0,44550.0,150.0,0.003367,46000.0,46000.0,44550.0,121606.0,5454693000.0,0.0,0.0,121606.0,5454693000.0,-1461.0,60141.0,0.0,-58680.0,-60586300.0,2689726300.0,0.0,-2629140000.0
03/08/2026,44550.0,43400.0,1150.0,0.0264977,43400.0,44850.0,43400.0,144411.0,6378550450.0,0.0,0.0,144411.0,6378550450.0,-3333.0,-14768.0,0.0,18101.0,-141089600.0,-658555200.0,0.0,799644800.0
31/07/2026,43400.0,43400.0,0.0,0.0,43650.0,43750.0,43400.0,137593.0,5994442150.0,0.0,0.0,137593.0,5994442150.0,382.0,43018.0,0.0,-43400.0,16330150.0,1874279850.0,0.0,-1890610000.0
30/07/2026,43400.0,42650.0,750.0,0.01758499,42700.0,43400.0,42700.0,209662.0,9055981750.0,0.0,0.0,209662.0,9055981750.0,-65809.0,101509.0,0.0,-35700.0,-2845319450.0,4387884450.0,0.0,-1542565000.0
29/07/2026,42650.0,42600.0,50.0,0.00117371,42600.0,42850.0,42500.0,76069.0,3244458100.0,0.0,0.0,76069.0,3244458100.0,9619.0,10681.0,0.0,-20300.0,411175601.0,455334400.0,0.0,-866510000.0
28/07/2026,42600.0,42700.0,-100.0,-0.00234192,42400.0,42700.0,42000.0,121307.0,5132016300.0,0.0,0.0,121307.0,5132016300.0,-43906.0,46996.0,0.0,-3090.0,-1856777050.0,1987588550.0,0.0,-130811500.0
27/07/2026,42700.0,43500.0,-800.0,-0.0183908,43500.0,43800.0,42700.0,96576.0,4170714100.0,0.0,0.0,96576.0,4170714100.0,6466.0,2324.0,0.0,-8790.0,278903500.0,101746500.0,0.0,-380650000.0
24/07/2026,43500.0,44000.0,-500.0,-0.01136364,44000.0,44000.0,43200.0,72112.0,3149352550.0,0.0,0.0,72112.0,3149352550.0,-10997.0,20897.0,0.0,-9900.0,-479453350.0,912818350.0,0.0,-433365000.0
23/07/2026,44000.0,44450.0,-452.0,-0.01016827,44750.0,44750.0,43000.0,164179.0,7179467550.0,0.0,0.0,164179.0,7179467550.0,-6081.0,-4129.0,0.0,10210.0,-258666950.0,-181435550.0,0.0,440102500.0
22/07/2026,44452.26,47500.0,-550.0,-0.01157895,45020.34,45209.7,44357.58,235790.0,11104689050.0,0.0,0.0,235790.0,11104689050.0,90234.0,-93434.0,0.0,3200.0,4252363100.0,-4401873100.0,0.0,149510000.0
21/07/2026,44973.0,47850.0,-350.0,-0.00731452,45635.76,45635.76,44973.0,158994.0,7609748550.0,0.0,0.0,158994.0,7609748550.0,25707.0,-2807.0,0.0,-22900.0,1231115250.0,-131665250.0,0.0,-1099450000.0
20/07/2026,45304.38,48200.0,-350.0,-0.00726141,46345.86,46345.86,45304.38,197817.0,9527375250.0,0.0,0.0,197817.0,9527375250.0,18060.0,-14480.0,0.0,-3580.0,870822050.0,-697747050.0,0.0,-173075000.0
17/07/2026,45635.76,48100.0,100.0,0.002079,45541.08,45919.8,45541.08,91403.0,4416109650.0,0.0,0.0,91403.0,4416109650.0,30985.0,-19285.0,0.0,-11700.0,1496369250.0,-930754250.0,0.0,-565615000.0
16/07/2026,45541.08,48550.0,-450.0,-0.0092688,46061.82,46109.16,45351.72,143294.0,6896787550.0,0.0,0.0,143294.0,6896787550.0,51552.0,6238.0,0.0,-57790.0,2482628801.0,295367700.0,0.0,-2777996500.0
15/07/2026,45967.14,48500.0,50.0,0.00103093,46014.48,46109.16,45730.44,149241.0,7235090200.0,0.0,0.0,149241.0,7235090200.0,34517.0,-36217.0,0.0,1700.0,1670928200.0,-1753833200.0,0.0,82905000.0
14/07/2026,45919.8,48400.0,100.0,0.00206612,45919.8,46014.48,45493.74,161097.0,7786393600.0,0.0,0.0,161097.0,7786393600.0,-32832.0,24822.0,0.0,8010.0,-1585454901.0,1195596400.0,0.0,389858500.0
13/07/2026,45825.12,48500.0,-100.0,-0.00206186,45919.8,46393.2,45635.76,212139.0,10299473850.0,0.0,0.0,212139.0,10299473850.0,-2772.0,5472.0,200.0,-2700.0,-140129600.0,270794600.0,9780000.0,-130665000.0
10/07/2026,45919.8,48900.0,-400.0,-0.00817996,46487.88,46487.88,45919.8,127622.0,6213720350.0,0.0,0.0,127622.0,6213720350.0,11353.0,35347.0,0.0,-46700.0,549555351.0,1722984650.0,0.0,-2272540000.0
09/07/2026,46298.52,48900.0,0.0,0.0,46677.24,46677.24,46298.52,52470.0,2571171900.0,0.0,0.0,52470.0,2571171900.0,-3311.0,3401.0,0.0,-90.0,-163217000.0,167435000.0,0.0,-4218000.0
08/07/2026,46298.52,49050.0,-150.0,-0.0030581,46440.54,46629.9,45967.14,122865.0,5999830550.0,0.0,0.0,122865.0,5999830550.0,55683.0,8117.0,0.0,-63800.0,2716196750.0,398638250.0,0.0,-3114835000.0
07/07/2026,46440.54,49050.0,0.0,0.0,46487.88,46487.88,46298.52,50267.0,2463984050.0,0.0,0.0,50267.0,2463984050.0,8078.0,-6678.0,0.0,-1400.0,395344200.0,-326724200.0,0.0,-68620000.0
06/07/2026,46440.54,49250.0,-200.0,-0.00406091,46771.92,46961.28,46393.2,87763.0,4319124550.0,0.0,0.0,87763.0,4319124550.0,-6806.0,2606.0,0.0,4200.0,-333731701.0,130051700.0,0.0,203680000.0
03/07/2026,46629.9,49500.0,-250.0,-0.00505051,46866.6,47055.96,46629.9,33639.0,1662046500.0,0.0,0.0,33639.0,1662046500.0,4933.0,4867.0,0.0,-9800.0,244727950.0,239937050.0,0.0,-484665000.0
02/07/2026,46866.6,49200.0,300.0,0.00609756,46629.9,47150.64,46582.56,71317.0,3533416500.0,0.0,0.0,71317.0,3533416500.0,13175.0,3425.0,0.0,-16600.0,651415650.0,167794350.0,0.0,-819210000.0
01/07/2026,46582.56,48850.0,350.0,0.00716479,47055.96,47055.96,46298.52,49873.0,2451968800.0,0.0,0.0,49873.0,2451968800.0,4757.0,3043.0,0.0,-7800.0,231180800.0,151219200.0,0.0,-382400000.0
30/06/2026,46251.18,49400.0,-550.0,-0.0111336,46913.94,47245.32,45825.12,154740.0,7589362950.0,0.0,0.0,154740.0,7589362950.0,73311.0,4189.0,0.0,-77500.0,3592822650.0,195077350.0,0.0,-3787900000.0
29/06/2026,46771.92,48300.0,1100.0,0.02277433,45777.78,46771.92,45777.78,63146.0,3090825850.0,0.0,0.0,63146.0,3090825850.0,-3347.0,1497.0,0.0,1850.0,-165086250.0,73871250.0,0.0,91215000.0
26/06/2026,45730.44,49500.0,-1200.0,-0.02424242,46866.6,47150.64,45730.44,337686.0,16475642550.0,0.0,0.0,337686.0,16475642550.0,138843.0,69357.0,-111.0,-208200.0,6793236750.0,3383093250.0,-5380000.0,-10176330000.0
25/06/2026,46866.6,49400.0,100.0,0.00202429,46866.6,47008.62,46582.56,75282.0,3722522200.0,0.0,0.0,75282.0,3722522200.0,-3059.0,18059.0,0.0,-15000.0,-150994400.0,892539400.0,0.0,-741545000.0
24/06/2026,46771.92,50000.0,-600.0,-0.012,47434.68,47434.68,46440.54,186448.0,9217733300.0,0.0,0.0,186448.0,9217733300.0,59848.0,11552.0,0.0,-71400.0,2958096200.0,566628800.0,0.0,-3524725000.0
