NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,10300.0,10550.0,-250.0,-0.02369668,10150.0,10300.0,10150.0,528.0,5382300.0,0.0,0.0,528.0,5382300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,10550.0,10550.0,0.0,0.0,10550.0,10550.0,10550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,10550.0,10600.0,-50.0,-0.00471698,10550.0,10550.0,10550.0,100.0,1055000.0,0.0,0.0,100.0,1055000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,10600.0,10500.0,100.0,0.00952381,9860.0,10600.0,9860.0,430.0,4451000.0,0.0,0.0,430.0,4451000.0,90.0,-90.0,0.0,0.0,886000.0,-886000.0,0.0,0.0
25/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,1.0,10200.0,0.0,0.0,1.0,10200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,10500.0,10600.0,-100.0,-0.00943396,10300.0,10550.0,10300.0,1510.0,15620000.0,0.0,0.0,1510.0,15620000.0,-1190.0,1190.0,0.0,0.0,-12295000.0,12295000.0,0.0,0.0
21/08/2026,10600.0,10650.0,-50.0,-0.00469484,10050.0,10600.0,10050.0,901.0,9385600.0,0.0,0.0,901.0,9385600.0,-500.0,500.0,0.0,0.0,-5300000.0,5300000.0,0.0,0.0
20/08/2026,10650.0,10200.0,450.0,0.04411765,10650.0,10650.0,10650.0,116.0,1228200.0,0.0,0.0,116.0,1228200.0,-16.0,16.0,0.0,0.0,-163200.0,163200.0,0.0,0.0
19/08/2026,10200.0,10750.0,-550.0,-0.05116279,10600.0,10600.0,10200.0,600.0,6280000.0,0.0,0.0,600.0,6280000.0,-200.0,200.0,0.0,0.0,-2160000.0,2160000.0,0.0,0.0
18/08/2026,10750.0,10300.0,450.0,0.04368932,10750.0,10750.0,10750.0,134.0,1441600.0,0.0,0.0,134.0,1441600.0,95.0,-95.0,0.0,0.0,1020001.0,-1020000.0,0.0,0.0
17/08/2026,10300.0,10800.0,-500.0,-0.0462963,10300.0,10300.0,10300.0,102.0,1050900.0,0.0,0.0,102.0,1050900.0,100.0,-100.0,0.0,0.0,1030000.0,-1030000.0,0.0,0.0
14/08/2026,10800.0,10150.0,650.0,0.06403941,10800.0,10800.0,10800.0,100.0,1080000.0,0.0,0.0,100.0,1080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,10150.0,10800.0,-650.0,-0.06018519,10150.0,10150.0,10150.0,160.0,1633000.0,0.0,0.0,160.0,1633000.0,40.0,-40.0,0.0,0.0,397000.0,-397000.0,0.0,0.0
12/08/2026,10800.0,10800.0,0.0,0.0,10800.0,10800.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,10800.0,10800.0,0.0,0.0,10800.0,10800.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,10800.0,10800.0,0.0,0.0,10750.0,10800.0,10750.0,600.0,6470000.0,0.0,0.0,600.0,6470000.0,400.0,-400.0,0.0,0.0,4320000.0,-4320000.0,0.0,0.0
07/08/2026,10800.0,10800.0,0.0,0.0,10800.0,10800.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,10800.0,10800.0,0.0,0.0,10800.0,10800.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,10800.0,10850.0,-50.0,-0.00460829,10500.0,10850.0,10150.0,1884.0,19707000.0,0.0,0.0,1884.0,19707000.0,151.0,-151.0,0.0,0.0,1585500.0,-1585500.0,0.0,0.0
04/08/2026,10850.0,10850.0,0.0,0.0,10850.0,10850.0,10850.0,10.0,103000.0,0.0,0.0,10.0,103000.0,-10.0,10.0,0.0,0.0,-103000.0,103000.0,0.0,0.0
03/08/2026,10850.0,10900.0,-50.0,-0.00458716,10300.0,10850.0,10250.0,1591.0,16433900.0,0.0,0.0,1591.0,16433900.0,-10.0,10.0,0.0,0.0,-107000.0,107000.0,0.0,0.0
31/07/2026,10900.0,10700.0,200.0,0.01869159,10900.0,10900.0,10900.0,120.0,1303950.0,0.0,0.0,120.0,1303950.0,1.0,-1.0,0.0,0.0,10650.0,-10650.0,0.0,0.0
30/07/2026,10700.0,10850.0,-150.0,-0.01382488,10700.0,10700.0,10700.0,110.0,1171000.0,0.0,0.0,110.0,1171000.0,10.0,-10.0,0.0,0.0,101000.0,-101000.0,0.0,0.0
29/07/2026,10850.0,10850.0,0.0,0.0,10850.0,10850.0,10850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,10850.0,10500.0,350.0,0.03333333,10500.0,10850.0,10500.0,220.0,2350450.0,0.0,0.0,220.0,2350450.0,-198.0,198.0,0.0,0.0,-2114001.0,2114000.0,0.0,0.0
27/07/2026,10500.0,10950.0,-450.0,-0.04109589,10500.0,10500.0,10500.0,101.0,1060500.0,0.0,0.0,101.0,1060500.0,-1.0,1.0,0.0,0.0,-10500.0,10500.0,0.0,0.0
24/07/2026,10950.0,10950.0,0.0,0.0,10950.0,10950.0,10950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/07/2026,10950.0,10350.0,601.0,0.05807324,10250.0,11050.0,10250.0,930.0,9928000.0,0.0,0.0,930.0,9928000.0,110.0,-110.0,0.0,0.0,1198000.0,-1198000.0,0.0,0.0
22/07/2026,10349.815,10850.0,0.0,0.0,10349.815,10397.51,10302.12,1001.0,10840850.0,0.0,0.0,1001.0,10840850.0,-501.0,501.0,0.0,0.0,-5410850.0,5410850.0,0.0,0.0
21/07/2026,10349.815,10250.0,600.0,0.05853659,10397.51,10397.51,10349.815,500.0,5430000.0,0.0,0.0,500.0,5430000.0,-200.0,200.0,0.0,0.0,-2165000.0,2165000.0,0.0,0.0
20/07/2026,9777.475,10750.0,-500.0,-0.04651163,10254.425,10254.425,9777.475,609.0,6347200.0,0.0,0.0,609.0,6347200.0,300.0,-300.0,0.0,0.0,3075000.0,-3075000.0,0.0,0.0
17/07/2026,10254.425,10500.0,250.0,0.02380952,10397.51,10397.51,10254.425,201.0,2175500.0,0.0,0.0,201.0,2175500.0,101.0,-101.0,0.0,0.0,1100500.0,-1100500.0,0.0,0.0
16/07/2026,10015.95,10700.0,-200.0,-0.01869159,10015.95,10015.95,10015.95,6310.0,66255000.0,0.0,0.0,6310.0,66255000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/07/2026,10206.73,10700.0,0.0,0.0,9777.475,10206.73,9777.475,300.0,3120000.0,0.0,0.0,300.0,3120000.0,200.0,-200.0,0.0,0.0,2050000.0,-2050000.0,0.0,0.0
14/07/2026,10206.73,10700.0,0.0,0.0,10206.73,10206.73,10206.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/07/2026,10206.73,10700.0,0.0,0.0,10206.73,10206.73,10206.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/07/2026,10206.73,10700.0,0.0,0.0,10159.035,10206.73,10159.035,500.0,5335000.0,0.0,0.0,500.0,5335000.0,-100.0,100.0,0.0,0.0,-1070000.0,1070000.0,0.0,0.0
09/07/2026,10206.73,10700.0,0.0,0.0,10206.73,10206.73,10206.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/07/2026,10206.73,10850.0,-150.0,-0.01382488,10206.73,10206.73,10206.73,212.0,2270800.0,0.0,0.0,212.0,2270800.0,-198.0,198.0,0.0,0.0,-2119200.0,2119200.0,0.0,0.0
07/07/2026,10349.815,10250.0,600.0,0.05853659,10349.815,10349.815,10349.815,128.0,1377450.0,0.0,0.0,128.0,1377450.0,-108.0,108.0,0.0,0.0,-1161550.0,1161550.0,0.0,0.0
06/07/2026,9777.475,10900.0,-650.0,-0.05963303,9920.56,9920.56,9777.475,1116.0,11456400.0,0.0,0.0,1116.0,11456400.0,1084.0,-1084.0,0.0,0.0,11123601.0,-11123600.0,0.0,0.0
03/07/2026,10397.51,10900.0,0.0,0.0,10397.51,10397.51,10397.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/07/2026,10397.51,10900.0,0.0,0.0,10397.51,10397.51,10397.51,1.0,10850.0,0.0,0.0,1.0,10850.0,-1.0,1.0,0.0,0.0,-10850.0,10850.0,0.0,0.0
01/07/2026,10397.51,10900.0,0.0,0.0,10397.51,10397.51,10397.51,300.0,3270000.0,0.0,0.0,300.0,3270000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/06/2026,10397.51,10900.0,0.0,0.0,10397.51,10397.51,10397.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/06/2026,10397.51,10700.0,200.0,0.01869159,10397.51,10397.51,10397.51,200.0,2150500.0,0.0,0.0,200.0,2150500.0,-100.0,100.0,0.0,0.0,-1060500.0,1060500.0,0.0,0.0
26/06/2026,10206.73,10700.0,0.0,0.0,10206.73,10206.73,10206.73,600.0,6420000.0,0.0,0.0,600.0,6420000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/06/2026,10206.73,10800.0,-100.0,-0.00925926,10206.73,10206.73,10206.73,439.0,4688700.0,0.0,0.0,439.0,4688700.0,19.0,-19.0,0.0,0.0,192699.0,-192700.0,0.0,0.0
24/06/2026,10302.12,10800.0,0.0,0.0,10302.12,10302.12,10302.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/06/2026,10302.12,10800.0,0.0,0.0,10302.12,10302.12,10302.12,611.0,6546350.0,0.0,0.0,611.0,6546350.0,-100.0,100.0,0.0,0.0,-1080000.0,1080000.0,0.0,0.0
22/06/2026,10302.12,10850.0,-50.0,-0.00460829,9920.56,10349.815,9920.56,723.0,7784100.0,0.0,0.0,723.0,7784100.0,199.0,-199.0,0.0,0.0,2152500.0,-2152500.0,0.0,0.0
19/06/2026,10349.815,10300.0,550.0,0.05339806,10254.425,10349.815,10254.425,1026.0,11108100.0,0.0,0.0,1026.0,11108100.0,-412.0,412.0,0.0,0.0,-4469000.0,4469000.0,0.0,0.0
18/06/2026,9825.17,10950.0,-650.0,-0.05936073,9825.17,9825.17,9825.17,420.0,4333500.0,0.0,0.0,420.0,4333500.0,-210.0,210.0,0.0,0.0,-2169500.0,2169500.0,0.0,0.0
17/06/2026,10445.205,10950.0,0.0,0.0,10445.205,10445.205,10445.205,400.0,4380000.0,0.0,0.0,400.0,4380000.0,-400.0,400.0,0.0,0.0,-4380000.0,4380000.0,0.0,0.0
16/06/2026,10445.205,10950.0,0.0,0.0,10302.12,10445.205,10302.12,1410.0,15283200.0,0.0,0.0,1410.0,15283200.0,110.0,-110.0,0.0,0.0,1123200.0,-1123200.0,0.0,0.0
15/06/2026,10445.205,10950.0,0.0,0.0,10397.51,10445.205,10397.51,500.0,5460000.0,0.0,0.0,500.0,5460000.0,200.0,-200.0,0.0,0.0,2180000.0,-2180000.0,0.0,0.0
12/06/2026,10445.205,10800.0,150.0,0.01388889,10445.205,10445.205,10302.12,5572.0,60762600.0,0.0,0.0,5572.0,60762600.0,-3970.0,3970.0,0.0,0.0,-43461001.0,43461000.0,0.0,0.0
11/06/2026,10302.12,10900.0,-100.0,-0.00917431,10397.51,10397.51,10302.12,2900.0,31540000.0,0.0,0.0,2900.0,31540000.0,-800.0,800.0,0.0,0.0,-8710000.0,8710000.0,0.0,0.0
10/06/2026,10397.51,10700.0,200.0,0.01869159,10445.205,10445.205,10349.815,20801.0,227410900.0,0.0,0.0,20801.0,227410900.0,-7400.0,7400.0,0.0,0.0,-81175000.0,81175000.0,0.0,0.0
09/06/2026,10206.73,10400.0,300.0,0.02884615,10206.73,10206.73,10206.73,233.0,2478300.0,0.0,0.0,233.0,2478300.0,-129.0,129.0,0.0,0.0,-1368700.0,1368700.0,0.0,0.0
08/06/2026,9920.56,10450.0,-50.0,-0.00478469,9968.255,9968.255,9920.56,230.0,2378100.0,0.0,0.0,230.0,2378100.0,30.0,-30.0,0.0,0.0,293100.0,-293100.0,0.0,0.0
05/06/2026,9968.255,10350.0,100.0,0.00966184,9920.56,9968.255,9920.56,2401.0,24985350.0,0.0,0.0,2401.0,24985350.0,1799.0,-1799.0,0.0,0.0,18709651.0,-18709650.0,0.0,0.0
04/06/2026,9872.865,10300.0,50.0,0.00485437,9872.865,9872.865,9872.865,751.0,7770300.0,0.0,0.0,751.0,7770300.0,705.0,-705.0,0.0,0.0,7296500.0,-7296500.0,0.0,0.0
03/06/2026,9825.17,10700.0,-400.0,-0.03738318,9920.56,9920.56,9825.17,1114.0,11489700.0,0.0,0.0,1114.0,11489700.0,169.0,-169.0,0.0,0.0,1719500.0,-1719500.0,0.0,0.0
02/06/2026,10206.73,10700.0,0.0,0.0,10206.73,10206.73,10206.73,144.0,1514400.0,0.0,0.0,144.0,1514400.0,90.0,-90.0,0.0,0.0,969000.0,-969000.0,0.0,0.0
