NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,26400.0,26400.0,0.0,0.0,26400.0,26400.0,26400.0,19.0,503500.0,0.0,0.0,19.0,503500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,26400.0,26500.0,-100.0,-0.00377358,26500.0,26500.0,26400.0,1700.0,44930000.0,0.0,0.0,1700.0,44930000.0,1200.0,-1700.0,0.0,500.0,31680000.0,-44930000.0,0.0,13250000.0
27/08/2026,26500.0,26300.0,200.0,0.00760456,26500.0,26500.0,26500.0,700.0,18550000.0,0.0,0.0,700.0,18550000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,26300.0,26300.0,0.0,0.0,26300.0,26300.0,26300.0,600.0,15780000.0,0.0,0.0,600.0,15780000.0,-600.0,600.0,0.0,0.0,-15780000.0,15780000.0,0.0,0.0
25/08/2026,26300.0,26300.0,0.0,0.0,26300.0,26300.0,26300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,26300.0,26300.0,0.0,0.0,26300.0,26300.0,26300.0,9.0,252900.0,0.0,0.0,9.0,252900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,26300.0,26150.0,150.0,0.00573614,26300.0,26300.0,26300.0,100.0,2630000.0,0.0,0.0,100.0,2630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,26150.0,26150.0,0.0,0.0,26500.0,26500.0,26150.0,1000.0,26190000.0,0.0,0.0,1000.0,26190000.0,900.0,-1000.0,0.0,100.0,23575000.0,-26190000.0,0.0,2615000.0
19/08/2026,26150.0,26150.0,0.0,0.0,26150.0,26150.0,26150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,26150.0,26150.0,0.0,0.0,26150.0,26150.0,26150.0,35.0,913500.0,0.0,0.0,35.0,913500.0,35.0,-35.0,0.0,0.0,913500.0,-913500.0,0.0,0.0
17/08/2026,26150.0,26500.0,-350.0,-0.01320755,26250.0,26250.0,26150.0,200.0,5240000.0,0.0,0.0,200.0,5240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
