NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,54000.0,54000.0,0.0,0.0,54300.0,54300.0,53400.0,1816.0,97824600.0,0.0,0.0,1816.0,97824600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,54000.0,53700.0,300.0,0.00558659,54000.0,54000.0,53300.0,1215.0,65025200.0,0.0,0.0,1215.0,65025200.0,-201.0,201.0,0.0,0.0,-10744000.0,10744000.0,0.0,0.0
27/08/2026,53700.0,53700.0,0.0,0.0,53300.0,53700.0,53100.0,8708.0,467151700.0,0.0,0.0,8708.0,467151700.0,-106.0,106.0,0.0,0.0,-5684900.0,5684900.0,0.0,0.0
26/08/2026,53700.0,53700.0,0.0,0.0,53400.0,53700.0,53400.0,4904.0,261960000.0,0.0,0.0,4904.0,261960000.0,1304.0,-1404.0,0.0,100.0,69580000.0,-74930000.0,0.0,5350000.0
25/08/2026,53700.0,53800.0,-100.0,-0.00185874,53900.0,53900.0,53400.0,9600.0,516010000.0,0.0,0.0,9600.0,516010000.0,-4400.0,4400.0,0.0,0.0,-236570000.0,236570000.0,0.0,0.0
24/08/2026,53800.0,54000.0,-200.0,-0.0037037,54000.0,54000.0,53300.0,12027.0,643676600.0,0.0,0.0,12027.0,643676600.0,-3481.0,-519.0,0.0,4000.0,-186570400.0,-27829600.0,0.0,214400000.0
21/08/2026,54000.0,53900.0,100.0,0.00185529,53100.0,54000.0,53100.0,1601.0,85935000.0,0.0,0.0,1601.0,85935000.0,99.0,-99.0,0.0,0.0,5285000.0,-5285000.0,0.0,0.0
20/08/2026,53900.0,54100.0,-200.0,-0.00369686,54200.0,54200.0,53900.0,1100.0,59420000.0,0.0,0.0,1100.0,59420000.0,-400.0,300.0,0.0,100.0,-21590000.0,16180000.0,0.0,5410000.0
19/08/2026,54100.0,54200.0,-100.0,-0.00184502,54100.0,54100.0,53500.0,8221.0,441016000.0,0.0,0.0,8221.0,441016000.0,-3713.0,3713.0,0.0,0.0,-199148000.0,199148000.0,0.0,0.0
18/08/2026,54200.0,54700.0,-500.0,-0.00914077,54400.0,54800.0,53500.0,8320.0,450272300.0,0.0,0.0,8320.0,450272300.0,-419.0,419.0,0.0,0.0,-22467700.0,22467700.0,0.0,0.0
