NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,10000.0,10000.0,0.0,0.0,10000.0,10050.0,9910.0,28957.0,288992100.0,0.0,0.0,28957.0,288992100.0,0.0,0.0,0.0,-6000.0,0.0,0.0,0.0,-59932000.0
28/08/2026,10000.0,10050.0,-50.0,-0.00497512,10050.0,10200.0,10000.0,20929.0,210334750.0,0.0,0.0,20929.0,210334750.0,-2320.0,2320.0,0.0,0.0,-23248850.0,23278850.0,0.0,-30000.0
27/08/2026,10050.0,10150.0,-100.0,-0.00985222,10150.0,10150.0,10050.0,16703.0,168230600.0,0.0,0.0,16703.0,168230600.0,-5203.0,5103.0,0.0,100.0,-52365600.0,51355600.0,0.0,1010000.0
26/08/2026,10150.0,10200.0,-50.0,-0.00490196,10100.0,10250.0,10100.0,170226.0,1727404350.0,0.0,0.0,170226.0,1727404350.0,1308.0,-2708.0,0.0,1400.0,13306500.0,-27461500.0,0.0,14155000.0
25/08/2026,10200.0,10250.0,-50.0,-0.00487805,10250.0,10300.0,10050.0,33675.0,343486350.0,0.0,0.0,33675.0,343486350.0,-7060.0,3860.0,0.0,3200.0,-71488100.0,39153100.0,0.0,32335000.0
24/08/2026,10250.0,10200.0,50.0,0.00490196,10200.0,10350.0,10100.0,70025.0,716332700.0,0.0,0.0,70025.0,716332700.0,-15234.0,11334.0,0.0,3900.0,-156356900.0,116341901.0,0.0,40015000.0
21/08/2026,10200.0,9900.0,300.0,0.03030303,9840.0,10200.0,9760.0,82265.0,817927360.0,0.0,0.0,82265.0,817927360.0,7267.0,-4367.0,0.0,-2900.0,73032540.0,-44730540.0,0.0,-28302000.0
20/08/2026,9900.0,10250.0,-350.0,-0.03414634,10450.0,10450.0,9870.0,64924.0,652282750.0,0.0,0.0,64924.0,652282750.0,-8224.0,11124.0,0.0,-2900.0,-81321500.0,110583500.0,0.0,-29262000.0
19/08/2026,10250.0,10300.0,-50.0,-0.00485437,10350.0,10400.0,10150.0,4919.0,50479800.0,0.0,0.0,4919.0,50479800.0,427.0,273.0,0.0,-700.0,4462400.0,2752600.0,0.0,-7215000.0
18/08/2026,10300.0,10400.0,-100.0,-0.00961538,10400.0,10450.0,10050.0,66187.0,677136950.0,0.0,0.0,66187.0,677136950.0,-1211.0,9411.0,0.0,-8200.0,-10671000.0,95861000.0,0.0,-85190000.0
