NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,49200.0,49450.0,-250.0,-0.00505561,49450.0,49800.0,48900.0,145018.0,7142063150.0,0.0,0.0,145018.0,7142063150.0,0.0,0.0,0.0,-78567.0,0.0,0.0,0.0,-3861426900.0
28/08/2026,49450.0,50000.0,-550.0,-0.011,50000.0,50200.0,49350.0,134342.0,6680391700.0,0.0,0.0,134342.0,6680391700.0,24278.0,-6639.0,0.0,-17639.0,1203145250.0,-332163750.0,0.0,-870981500.0
27/08/2026,50000.0,49800.0,200.0,0.00401606,49800.0,50200.0,49500.0,96118.0,4786765000.0,0.0,0.0,96118.0,4786765000.0,34617.0,-5017.0,0.0,-29600.0,1725418750.0,-251913750.0,0.0,-1473505000.0
26/08/2026,49800.0,49500.0,300.0,0.00606061,49800.0,50300.0,49500.0,34422.0,1715586050.0,0.0,0.0,34422.0,1715586050.0,400.0,2900.0,0.0,-3300.0,20724350.0,144680650.0,0.0,-165405000.0
25/08/2026,49500.0,50000.0,-500.0,-0.01,50300.0,50500.0,49500.0,48410.0,2419017500.0,0.0,0.0,48410.0,2419017500.0,16108.0,-7508.0,-5900.0,-8600.0,801324700.0,-372034700.0,-292050000.0,-429290000.0
24/08/2026,50000.0,49900.0,100.0,0.00200401,50000.0,50400.0,49900.0,37399.0,1874583250.0,0.0,0.0,37399.0,1874583250.0,14638.0,-8238.0,100.0,-6400.0,733745400.0,-412550400.0,5010000.0,-321195000.0
21/08/2026,49900.0,49300.0,600.0,0.01217039,49150.0,50000.0,48800.0,55225.0,2719121000.0,0.0,0.0,55225.0,2719121000.0,-11451.0,12651.0,0.0,-1200.0,-566246200.0,624116200.0,0.0,-57870000.0
20/08/2026,49300.0,49700.0,-400.0,-0.00804829,49600.0,49900.0,48800.0,88292.0,4337231950.0,0.0,0.0,88292.0,4337231950.0,46285.0,-51985.0,0.0,5700.0,2270789200.0,-2551594200.0,0.0,280805000.0
19/08/2026,49700.0,49400.0,300.0,0.00607287,49100.0,49700.0,49100.0,80466.0,3974023150.0,0.0,0.0,80466.0,3974023150.0,-24933.0,23333.0,5900.0,1600.0,-1232074450.0,1153584450.0,293230000.0,78490000.0
18/08/2026,49400.0,49900.0,-500.0,-0.01002004,49950.0,50200.0,49400.0,167746.0,8336338000.0,0.0,0.0,167746.0,8336338000.0,18088.0,-27488.0,0.0,9400.0,903588500.0,-1373913500.0,0.0,470325000.0
17/08/2026,49900.0,50000.0,-100.0,-0.002,49700.0,50400.0,49500.0,121055.0,6025079850.0,0.0,0.0,121055.0,6025079850.0,-2908.0,-6292.0,100.0,9200.0,-145229301.0,-313835700.0,5040000.0,459065000.0
14/08/2026,50000.0,50900.0,-900.0,-0.01768173,51400.0,51400.0,50000.0,67082.0,3374356700.0,185000.0,9435000000.0,252082.0,12809356700.0,14519.0,-2219.0,0.0,-12300.0,730407800.0,-112447800.0,0.0,-617960000.0
13/08/2026,50900.0,51100.0,-200.0,-0.00391389,51200.0,51600.0,50800.0,82726.0,4247744500.0,0.0,0.0,82726.0,4247744500.0,-13594.0,7494.0,0.0,6100.0,-697481400.0,383711400.0,0.0,313770000.0
12/08/2026,51100.0,50900.0,200.0,0.00392927,50900.0,51100.0,50700.0,60250.0,3069367000.0,330000.0,16852500000.0,390250.0,19921867000.0,7410.0,-7010.0,200.0,-400.0,378116000.0,-357716000.0,10200000.0,-20400000.0
11/08/2026,50900.0,51100.0,-200.0,-0.00391389,51100.0,51400.0,50800.0,70557.0,3602609600.0,0.0,0.0,70557.0,3602609600.0,9646.0,-11146.0,0.0,1500.0,494195700.0,-570725700.0,0.0,76530000.0
10/08/2026,51100.0,50900.0,200.0,0.00392927,51000.0,51200.0,50600.0,57007.0,2901821300.0,145000.0,7409500000.0,202007.0,10311321300.0,11100.0,-2700.0,0.0,-8400.0,564750000.0,-136430000.0,0.0,-428320000.0
07/08/2026,50900.0,50100.0,800.0,0.01596806,49700.0,51700.0,49700.0,102980.0,5254316800.0,0.0,0.0,102980.0,5254316800.0,25186.0,-11586.0,200.0,-13600.0,1284154200.0,-590814200.0,10260000.0,-693340000.0
06/08/2026,50100.0,51000.0,-900.0,-0.01764706,51100.0,51100.0,50000.0,75488.0,3807657000.0,0.0,0.0,75488.0,3807657000.0,-4412.0,4551.0,0.0,-139.0,-224598800.0,231828400.0,0.0,-7229600.0
05/08/2026,51000.0,51000.0,0.0,0.0,51000.0,51700.0,50800.0,188347.0,9674411300.0,145000.0,6960000000.0,333347.0,16634411300.0,-109349.0,-27251.0,0.0,136600.0,-5619265600.0,-1404504400.0,0.0,7023770000.0
04/08/2026,51000.0,49650.0,1350.0,0.02719033,49650.0,51200.0,49450.0,200688.0,10125458250.0,0.0,0.0,200688.0,10125458250.0,-109134.0,1134.0,0.0,108000.0,-5513242600.0,68222600.0,0.0,5445020000.0
03/08/2026,49650.0,48100.0,1550.0,0.03222453,48550.0,49750.0,48550.0,109275.0,5392712800.0,145000.0,6989000000.0,254275.0,12381712800.0,-9421.0,-9079.0,0.0,18500.0,-465070200.0,-448389800.0,0.0,913460000.0
31/07/2026,48100.0,48200.0,-100.0,-0.00207469,48700.0,48700.0,48100.0,75961.0,3679639050.0,0.0,0.0,75961.0,3679639050.0,7686.0,-11386.0,0.0,3700.0,369877799.0,-549522800.0,0.0,179645000.0
30/07/2026,48200.0,47100.0,1100.0,0.02335456,47150.0,48200.0,47150.0,71306.0,3414606400.0,0.0,0.0,71306.0,3414606400.0,9747.0,-10847.0,0.0,1100.0,469924851.0,-521229850.0,0.0,51305000.0
