NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,13900.0,13950.0,-50.0,-0.00358423,13950.0,13950.0,13900.0,58792.0,817660750.0,0.0,0.0,58792.0,817660750.0,4000.0,0.0,0.0,-4000.0,55850000.0,0.0,0.0,-55850000.0
28/08/2026,13950.0,13950.0,0.0,0.0,13950.0,14000.0,13900.0,35786.0,499158950.0,0.0,0.0,35786.0,499158950.0,-3247.0,-14353.0,0.0,17600.0,-45235400.0,-200224600.0,0.0,245460000.0
27/08/2026,13950.0,13900.0,50.0,0.00359712,13900.0,13950.0,13900.0,33670.0,468692600.0,0.0,0.0,33670.0,468692600.0,3749.0,-3749.0,0.0,0.0,52468950.0,-52468950.0,0.0,0.0
26/08/2026,13900.0,13950.0,-50.0,-0.00358423,13900.0,13950.0,13900.0,32140.0,447205800.0,0.0,0.0,32140.0,447205800.0,-3417.0,3317.0,0.0,100.0,-47061500.0,45666500.0,0.0,1395000.0
25/08/2026,13950.0,13950.0,0.0,0.0,13900.0,14000.0,13850.0,90240.0,1258141350.0,0.0,0.0,90240.0,1258141350.0,-28281.0,8381.0,0.0,19900.0,-394077100.0,116927100.0,0.0,277150000.0
24/08/2026,13950.0,13950.0,0.0,0.0,13950.0,13950.0,13850.0,56531.0,786598550.0,0.0,0.0,56531.0,786598550.0,5996.0,-5996.0,0.0,0.0,83738950.0,-83738950.0,0.0,0.0
21/08/2026,13950.0,13950.0,0.0,0.0,13950.0,14000.0,13850.0,48684.0,677825400.0,0.0,0.0,48684.0,677825400.0,24285.0,-23085.0,0.0,-1200.0,337038350.0,-320373350.0,0.0,-16665000.0
20/08/2026,13950.0,13900.0,50.0,0.00359712,13900.0,13950.0,13900.0,26105.0,363299500.0,0.0,0.0,26105.0,363299500.0,-11405.0,11405.0,0.0,0.0,-158664500.0,158664500.0,0.0,0.0
19/08/2026,13900.0,13900.0,0.0,0.0,13900.0,14000.0,13900.0,38021.0,529814000.0,0.0,0.0,38021.0,529814000.0,-22400.0,22400.0,0.0,0.0,-311995000.0,311995000.0,0.0,0.0
18/08/2026,13900.0,13950.0,-50.0,-0.00358423,13850.0,13950.0,13850.0,12812.0,178185950.0,0.0,0.0,12812.0,178185950.0,3198.0,-3198.0,0.0,0.0,44449950.0,-44449950.0,0.0,0.0
17/08/2026,13950.0,13950.0,0.0,0.0,13950.0,13950.0,13850.0,24696.0,343500500.0,0.0,0.0,24696.0,343500500.0,4897.0,-4925.0,0.0,28.0,68086301.0,-68471900.0,0.0,385600.0
14/08/2026,13950.0,13950.0,0.0,0.0,13900.0,13950.0,13900.0,69438.0,966720650.0,0.0,0.0,69438.0,966720650.0,-18828.0,19428.0,0.0,-600.0,-262301150.0,270626150.0,0.0,-8325000.0
13/08/2026,13950.0,13900.0,50.0,0.00359712,13950.0,13950.0,13900.0,34298.0,477403300.0,0.0,0.0,34298.0,477403300.0,-6555.0,3155.0,0.0,3400.0,-91337250.0,43907250.0,0.0,47430000.0
12/08/2026,13900.0,14000.0,-100.0,-0.00714286,13850.0,13950.0,13850.0,112350.0,1559703550.0,0.0,0.0,112350.0,1559703550.0,44781.0,-33981.0,0.0,-10800.0,620749200.0,-470694200.0,0.0,-150055000.0
11/08/2026,14000.0,14000.0,0.0,0.0,14000.0,14000.0,13950.0,62982.0,878977350.0,0.0,0.0,62982.0,878977350.0,-9133.0,7833.0,0.0,1300.0,-127500250.0,109310250.0,0.0,18190000.0
10/08/2026,14000.0,14000.0,0.0,0.0,14000.0,14000.0,13900.0,68830.0,960108150.0,0.0,0.0,68830.0,960108150.0,28414.0,-25814.0,0.0,-2600.0,396308700.0,-359818700.0,0.0,-36490000.0
07/08/2026,14000.0,13900.0,100.0,0.00719424,13950.0,14000.0,13950.0,28527.0,398939250.0,0.0,0.0,28527.0,398939250.0,4490.0,-4690.0,0.0,200.0,62982650.0,-65772650.0,0.0,2790000.0
06/08/2026,13900.0,13950.0,-50.0,-0.00358423,13800.0,13950.0,13800.0,66794.0,926230300.0,0.0,0.0,66794.0,926230300.0,8139.0,-8139.0,0.0,0.0,113803600.0,-113803600.0,0.0,0.0
