NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,58600.0,56200.0,2400.0,0.04270463,56200.0,60100.0,56200.0,128351.0,7522274800.0,0.0,0.0,128351.0,7522274800.0,9246.0,0.0,0.0,-9246.0,544998000.0,0.0,0.0,-544998000.0
28/08/2026,56200.0,53100.0,3100.0,0.05838041,53100.0,56200.0,53000.0,47067.0,2588777900.0,0.0,0.0,47067.0,2588777900.0,1000.0,-1400.0,0.0,400.0,55587200.0,-79227200.0,0.0,23640000.0
27/08/2026,53100.0,53000.0,100.0,0.00188679,52100.0,53700.0,52000.0,30871.0,1624056900.0,0.0,0.0,30871.0,1624056900.0,508.0,-108.0,0.0,-400.0,26115000.0,-5985000.0,0.0,-20130000.0
26/08/2026,53000.0,51200.0,1800.0,0.03515625,54000.0,54000.0,52500.0,63150.0,3351992800.0,0.0,0.0,63150.0,3351992800.0,394.0,6.0,0.0,-400.0,18120301.0,3329700.0,0.0,-21450000.0
25/08/2026,51200.0,47900.0,3300.0,0.06889353,48100.0,51200.0,48100.0,72586.0,3597218950.0,0.0,0.0,72586.0,3597218950.0,9749.0,-10449.0,0.0,700.0,464560650.0,-498580650.0,0.0,34020000.0
24/08/2026,47900.0,47500.0,400.0,0.00842105,47500.0,47900.0,47000.0,9133.0,434922300.0,2564000.0,120508000000.0,2573133.0,120942922300.0,-1601.0,101.0,0.0,1500.0,-75812500.0,4622500.0,0.0,71190000.0
21/08/2026,47500.0,47200.0,300.0,0.00635593,46500.0,47500.0,46450.0,11801.0,558376450.0,0.0,0.0,11801.0,558376450.0,1200.0,-1200.0,0.0,0.0,57810000.0,-57710000.0,0.0,-100000.0
20/08/2026,47200.0,47400.0,-200.0,-0.00421941,47400.0,47400.0,47200.0,1655.0,78417000.0,0.0,0.0,1655.0,78417000.0,1509.0,-1509.0,0.0,0.0,71506601.0,-71506600.0,0.0,0.0
19/08/2026,47400.0,47400.0,0.0,0.0,47450.0,47450.0,47000.0,6908.0,327002000.0,0.0,0.0,6908.0,327002000.0,1707.0,-1607.0,-7.0,-100.0,80969750.0,-76229750.0,-310000.0,-4740000.0
18/08/2026,47400.0,47300.0,100.0,0.00211416,47500.0,47500.0,46750.0,16910.0,798345000.0,5434000.0,255398000000.0,5450910.0,256196345000.0,-1100.0,-500.0,0.0,1600.0,-49805000.0,-25485000.0,0.0,75290000.0
17/08/2026,47300.0,47300.0,0.0,0.0,47050.0,47300.0,46600.0,46750.0,2200932500.0,0.0,0.0,46750.0,2200932500.0,15900.0,-15200.0,0.0,-700.0,745665000.0,-712580000.0,0.0,-33085000.0
14/08/2026,47300.0,47350.0,-50.0,-0.00105597,47350.0,47600.0,46550.0,37625.0,1773532300.0,0.0,0.0,37625.0,1773532300.0,5469.0,-7500.0,0.0,2031.0,259591000.0,-354790000.0,0.0,95199000.0
13/08/2026,47350.0,47350.0,0.0,0.0,47000.0,47350.0,46500.0,127330.0,5979875000.0,0.0,0.0,127330.0,5979875000.0,2400.0,100.0,0.0,-2500.0,115790000.0,2135000.0,0.0,-117925000.0
12/08/2026,47350.0,47350.0,0.0,0.0,47300.0,47600.0,46500.0,66167.0,3109796600.0,0.0,0.0,66167.0,3109796600.0,-901.0,-999.0,400.0,1900.0,-40202600.0,-48162400.0,18940000.0,88365000.0
11/08/2026,47350.0,47400.0,-50.0,-0.00105485,46400.0,47350.0,46300.0,68286.0,3201443400.0,816000.0,38352000000.0,884286.0,41553443400.0,12930.0,-15533.0,0.0,2603.0,612468600.0,-733394600.0,0.0,120926000.0
10/08/2026,47400.0,47200.0,200.0,0.00423729,46900.0,47400.0,46250.0,38314.0,1799262650.0,0.0,0.0,38314.0,1799262650.0,8653.0,-9699.0,0.0,1046.0,411011000.0,-458423700.0,0.0,47412700.0
07/08/2026,47200.0,47100.0,100.0,0.00212314,47050.0,47300.0,46850.0,58403.0,2748196400.0,0.0,0.0,58403.0,2748196400.0,14390.0,-16390.0,0.0,2000.0,677463000.0,-771623000.0,0.0,94160000.0
06/08/2026,47100.0,47100.0,0.0,0.0,46250.0,47100.0,46150.0,58445.0,2729418950.0,0.0,0.0,58445.0,2729418950.0,2885.0,-3385.0,0.0,500.0,137911850.0,-160961850.0,0.0,23050000.0
05/08/2026,47100.0,47150.0,-50.0,-0.00106045,47500.0,47500.0,46100.0,73846.0,3442352100.0,0.0,0.0,73846.0,3442352100.0,5517.0,-2517.0,0.0,-3000.0,265209750.0,-123514750.0,0.0,-141695000.0
04/08/2026,47150.0,47150.0,0.0,0.0,47000.0,47200.0,46150.0,71352.0,3348848450.0,0.0,0.0,71352.0,3348848450.0,11869.0,-11769.0,0.0,-100.0,559590750.0,-554935750.0,0.0,-4655000.0
03/08/2026,47150.0,47150.0,0.0,0.0,47150.0,47350.0,46150.0,32156.0,1502980000.0,546000.0,25665000000.0,578156.0,27167980000.0,600.0,-300.0,0.0,-300.0,30840000.0,-16410000.0,0.0,-14430000.0
31/07/2026,47150.0,47300.0,-150.0,-0.00317125,50600.0,50600.0,46000.0,93497.0,4361349000.0,0.0,0.0,93497.0,4361349000.0,4748.0,-5048.0,0.0,300.0,222007950.0,-236727950.0,0.0,14720000.0
30/07/2026,47300.0,47200.0,100.0,0.00211864,46100.0,47400.0,45500.0,76870.0,3579130600.0,0.0,0.0,76870.0,3579130600.0,1083.0,3900.0,0.0,-4983.0,55481300.0,173135000.0,0.0,-228616300.0
29/07/2026,47200.0,47200.0,0.0,0.0,47200.0,47200.0,46050.0,43544.0,2026823400.0,0.0,0.0,43544.0,2026823400.0,477.0,-1877.0,0.0,1400.0,24287000.0,-88837000.0,0.0,64550000.0
28/07/2026,47200.0,47200.0,0.0,0.0,46050.0,47200.0,46000.0,69357.0,3196096350.0,0.0,0.0,69357.0,3196096350.0,-1311.0,1521.0,0.0,-210.0,-59528300.0,70308800.0,0.0,-10780500.0
27/07/2026,47200.0,47200.0,0.0,0.0,47200.0,47500.0,46000.0,187570.0,8796668250.0,2638000.0,126624000000.0,2825570.0,135420668250.0,8800.0,-4900.0,0.0,-3900.0,410705000.0,-225960000.0,0.0,-184745000.0
24/07/2026,47200.0,47400.0,-200.0,-0.00421941,46200.0,47500.0,46200.0,34719.0,1637149000.0,0.0,0.0,34719.0,1637149000.0,2400.0,-2900.0,0.0,500.0,112710000.0,-135940000.0,0.0,23230000.0
23/07/2026,47400.0,47200.0,200.0,0.00423729,45500.0,47500.0,45500.0,92935.0,4361758000.0,300000.0,14400000000.0,392935.0,18761758000.0,-6423.0,5623.0,0.0,800.0,-295761000.0,259421000.0,0.0,36340000.0
22/07/2026,47200.0,47400.0,-200.0,-0.00421941,46700.0,47400.0,46100.0,52914.0,2493298600.0,0.0,0.0,52914.0,2493298600.0,15312.0,-15912.0,0.0,600.0,721927600.0,-749662600.0,0.0,27735000.0
21/07/2026,47400.0,47500.0,-100.0,-0.00210526,46600.0,47500.0,46600.0,35615.0,1684849000.0,0.0,0.0,35615.0,1684849000.0,8100.0,-6500.0,0.0,-1600.0,385820000.0,-310050000.0,0.0,-75770000.0
