NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,40500.0,40450.0,50.0,0.00123609,40450.0,41100.0,40450.0,2843.0,115412000.0,0.0,0.0,2843.0,115412000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,40450.0,40450.0,0.0,0.0,40500.0,40550.0,40450.0,6002.0,243168900.0,0.0,0.0,6002.0,243168900.0,-250.0,250.0,0.0,0.0,-10090000.0,10090000.0,0.0,0.0
27/08/2026,40450.0,40000.0,450.0,0.01125,40000.0,40500.0,40000.0,14707.0,594385500.0,0.0,0.0,14707.0,594385500.0,606.0,-800.0,0.0,194.0,24540000.0,-32300000.0,0.0,7760000.0
26/08/2026,40000.0,40100.0,-100.0,-0.00249377,40050.0,40200.0,40000.0,5566.0,223371000.0,0.0,0.0,5566.0,223371000.0,-1232.0,-68.0,0.0,1300.0,-49238200.0,-2751800.0,0.0,51990000.0
25/08/2026,40100.0,40100.0,0.0,0.0,40100.0,40100.0,40100.0,3567.0,143036800.0,0.0,0.0,3567.0,143036800.0,-2935.0,2935.0,0.0,0.0,-117693501.0,117693500.0,0.0,0.0
24/08/2026,40100.0,40000.0,100.0,0.0025,40000.0,40100.0,39600.0,47954.0,1917710000.0,0.0,0.0,47954.0,1917710000.0,-18038.0,-2062.0,0.0,20100.0,-721630000.0,-82370000.0,0.0,804000000.0
21/08/2026,40000.0,40200.0,-200.0,-0.00497512,39600.0,40000.0,39600.0,2034.0,81110950.0,0.0,0.0,2034.0,81110950.0,-400.0,600.0,0.0,-200.0,-16120000.0,24120000.0,0.0,-8000000.0
20/08/2026,40200.0,39600.0,600.0,0.01515152,39000.0,40200.0,39000.0,10716.0,418633600.0,0.0,0.0,10716.0,418633600.0,-100.0,0.0,0.0,100.0,-3960000.0,0.0,0.0,3960000.0
19/08/2026,39600.0,39600.0,0.0,0.0,39600.0,39600.0,39500.0,1083.0,42841900.0,0.0,0.0,1083.0,42841900.0,-922.0,922.0,0.0,0.0,-36497900.0,36497900.0,0.0,0.0
18/08/2026,39600.0,39200.0,400.0,0.01020408,39200.0,39600.0,39200.0,15939.0,628480200.0,0.0,0.0,15939.0,628480200.0,-501.0,301.0,0.0,200.0,-19704200.0,11809200.0,0.0,7895000.0
17/08/2026,39200.0,39000.0,200.0,0.00512821,39350.0,39350.0,39000.0,1793.0,70151650.0,0.0,0.0,1793.0,70151650.0,-210.0,210.0,0.0,0.0,-8190001.0,8190000.0,0.0,0.0
14/08/2026,39000.0,39000.0,0.0,0.0,39000.0,39000.0,39000.0,1103.0,43018000.0,0.0,0.0,1103.0,43018000.0,-198.0,98.0,0.0,100.0,-7722000.0,3822000.0,0.0,3900000.0
13/08/2026,39000.0,38700.0,300.0,0.00775194,38700.0,39000.0,38700.0,2812.0,109186200.0,0.0,0.0,2812.0,109186200.0,-1900.0,1700.0,0.0,200.0,-73740001.0,65955000.0,0.0,7785000.0
12/08/2026,38700.0,39000.0,-300.0,-0.00769231,39000.0,39000.0,38700.0,5803.0,224670250.0,0.0,0.0,5803.0,224670250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,39000.0,39000.0,0.0,0.0,39000.0,39000.0,39000.0,6728.0,262398500.0,0.0,0.0,6728.0,262398500.0,-2000.0,2000.0,0.0,0.0,-78000000.0,78000000.0,0.0,0.0
10/08/2026,39000.0,39150.0,-150.0,-0.00383142,39450.0,39450.0,39000.0,4512.0,176379600.0,0.0,0.0,4512.0,176379600.0,-2400.0,700.0,0.0,1700.0,-93875000.0,27435000.0,0.0,66440000.0
07/08/2026,39150.0,39000.0,150.0,0.00384615,39000.0,39150.0,39000.0,11609.0,452765650.0,0.0,0.0,11609.0,452765650.0,1500.0,-1500.0,0.0,0.0,58500000.0,-58500000.0,0.0,0.0
06/08/2026,39000.0,39000.0,0.0,0.0,38950.0,39000.0,38950.0,6015.0,234464450.0,0.0,0.0,6015.0,234464450.0,-5201.0,5201.0,0.0,0.0,-202754000.0,202754000.0,0.0,0.0
05/08/2026,39000.0,38600.0,400.0,0.01036269,38600.0,39000.0,38600.0,4930.0,192185000.0,0.0,0.0,4930.0,192185000.0,-700.0,700.0,0.0,0.0,-27300000.0,27300000.0,0.0,0.0
04/08/2026,38600.0,38500.0,100.0,0.0025974,38500.0,38700.0,38500.0,14900.0,573785000.0,0.0,0.0,14900.0,573785000.0,7100.0,300.0,0.0,-7400.0,273285000.0,11605000.0,0.0,-284890000.0
03/08/2026,38500.0,38500.0,0.0,0.0,38500.0,38500.0,38400.0,6100.0,234825000.0,0.0,0.0,6100.0,234825000.0,100.0,4800.0,0.0,-4900.0,3830000.0,184820000.0,0.0,-188650000.0
31/07/2026,38500.0,39000.0,-500.0,-0.01282051,38500.0,38900.0,38400.0,17536.0,675117500.0,0.0,0.0,17536.0,675117500.0,4900.0,11500.0,0.0,-16400.0,188715000.0,442725000.0,0.0,-631440000.0
30/07/2026,39000.0,39000.0,0.0,0.0,38400.0,39000.0,38400.0,9925.0,385660000.0,0.0,0.0,9925.0,385660000.0,675.0,-675.0,0.0,0.0,26130000.0,-26130000.0,0.0,0.0
29/07/2026,39000.0,38500.0,500.0,0.01298701,38500.0,39000.0,38400.0,3502.0,134688100.0,0.0,0.0,3502.0,134688100.0,2500.0,-2500.0,0.0,0.0,96110000.0,-96110000.0,0.0,0.0
28/07/2026,38500.0,38500.0,0.0,0.0,38500.0,38500.0,38400.0,4400.0,169320000.0,0.0,0.0,4400.0,169320000.0,-3600.0,3600.0,0.0,0.0,-138540000.0,138540000.0,0.0,0.0
27/07/2026,38500.0,38500.0,0.0,0.0,38500.0,38500.0,38500.0,3010.0,115887400.0,0.0,0.0,3010.0,115887400.0,-100.0,100.0,0.0,0.0,-3850000.0,3850000.0,0.0,0.0
24/07/2026,38500.0,38600.0,-100.0,-0.00259067,38850.0,38850.0,38500.0,2029.0,78154200.0,0.0,0.0,2029.0,78154200.0,-1692.0,292.0,0.0,1400.0,-65176201.0,11276200.0,0.0,53900000.0
23/07/2026,38600.0,38700.0,-100.0,-0.00258398,38600.0,38600.0,38600.0,1101.0,42499000.0,0.0,0.0,1101.0,42499000.0,-400.0,400.0,0.0,0.0,-15440000.0,15440000.0,0.0,0.0
22/07/2026,38700.0,38400.0,300.0,0.0078125,38550.0,38700.0,38050.0,4407.0,169372800.0,0.0,0.0,4407.0,169372800.0,3200.0,-2600.0,0.0,-600.0,122990001.0,-99850000.0,0.0,-23140000.0
21/07/2026,38400.0,38650.0,-250.0,-0.00646831,38650.0,38650.0,38350.0,5400.0,207610000.0,0.0,0.0,5400.0,207610000.0,-200.0,600.0,0.0,-400.0,-7700000.0,23095000.0,0.0,-15395000.0
20/07/2026,38650.0,38550.0,100.0,0.00259403,38600.0,38800.0,38600.0,720.0,27843500.0,0.0,0.0,720.0,27843500.0,-199.0,299.0,0.0,-100.0,-7726450.0,11586450.0,0.0,-3860000.0
17/07/2026,38550.0,38650.0,-100.0,-0.00258732,38700.0,38700.0,38350.0,6941.0,267506950.0,0.0,0.0,6941.0,267506950.0,1641.0,-1641.0,0.0,0.0,62801950.0,-62801950.0,0.0,0.0
16/07/2026,38650.0,38600.0,50.0,0.00129534,38600.0,39150.0,38500.0,23167.0,893023900.0,0.0,0.0,23167.0,893023900.0,900.0,-900.0,0.0,0.0,34835000.0,-34835000.0,0.0,0.0
15/07/2026,38600.0,38950.0,-350.0,-0.00898588,38600.0,38700.0,38600.0,4033.0,155822000.0,0.0,0.0,4033.0,155822000.0,4000.0,-2800.0,0.0,-1200.0,154535000.0,-108160000.0,0.0,-46375000.0
14/07/2026,38950.0,38800.0,150.0,0.00386598,38800.0,38950.0,38550.0,27400.0,1060380000.0,0.0,0.0,27400.0,1060380000.0,200.0,-300.0,0.0,100.0,7905000.0,-11765000.0,0.0,3860000.0
13/07/2026,38800.0,38700.0,100.0,0.00258398,39900.0,40000.0,38700.0,12355.0,479600200.0,0.0,0.0,12355.0,479600200.0,6304.0,-6304.0,0.0,0.0,244370000.0,-244370000.0,0.0,0.0
10/07/2026,38700.0,38850.0,-150.0,-0.003861,38950.0,39000.0,38700.0,2409.0,93794650.0,0.0,0.0,2409.0,93794650.0,9.0,0.0,0.0,-9.0,349650.0,0.0,0.0,-349650.0
09/07/2026,38850.0,38900.0,-50.0,-0.00128535,38900.0,39000.0,38800.0,7298.0,283732400.0,0.0,0.0,7298.0,283732400.0,-3949.0,4149.0,0.0,-200.0,-153441200.0,161221200.0,0.0,-7780000.0
08/07/2026,38900.0,38900.0,0.0,0.0,38900.0,39000.0,38800.0,953.0,37071700.0,0.0,0.0,953.0,37071700.0,60.0,-60.0,0.0,0.0,2334000.0,-2334000.0,0.0,0.0
07/07/2026,38900.0,38850.0,50.0,0.001287,38900.0,38900.0,38700.0,4800.0,186295000.0,0.0,0.0,4800.0,186295000.0,-1000.0,2000.0,0.0,-1000.0,-38715000.0,77465000.0,0.0,-38750000.0
06/07/2026,38850.0,38700.0,150.0,0.00387597,39000.0,39000.0,38600.0,413.0,16033400.0,0.0,0.0,413.0,16033400.0,-88.0,88.0,0.0,0.0,-3410600.0,3410600.0,0.0,0.0
03/07/2026,38700.0,38600.0,100.0,0.00259067,38750.0,38850.0,38700.0,1958.0,75879050.0,0.0,0.0,1958.0,75879050.0,136.0,-136.0,0.0,0.0,5169100.0,-5169100.0,0.0,0.0
02/07/2026,38600.0,38800.0,-200.0,-0.00515464,38850.0,39000.0,38600.0,27640.0,1076157550.0,0.0,0.0,27640.0,1076157550.0,-5804.0,5404.0,0.0,400.0,-226873350.0,211433350.0,0.0,15440000.0
01/07/2026,38800.0,38750.0,50.0,0.00129032,38800.0,38800.0,38800.0,2500.0,97000000.0,0.0,0.0,2500.0,97000000.0,-600.0,600.0,0.0,0.0,-23280000.0,23280000.0,0.0,0.0
30/06/2026,38750.0,38950.0,-200.0,-0.00513479,38700.0,38950.0,38700.0,5521.0,214058000.0,0.0,0.0,5521.0,214058000.0,0.0,0.0,0.0,0.0,55000.0,-55000.0,0.0,0.0
29/06/2026,38950.0,38700.0,250.0,0.00645995,38700.0,39000.0,38700.0,11300.0,439140000.0,0.0,0.0,11300.0,439140000.0,-1200.0,1200.0,0.0,0.0,-47025000.0,47025000.0,0.0,0.0
26/06/2026,38700.0,38700.0,0.0,0.0,38600.0,38950.0,38050.0,10990.0,422284400.0,0.0,0.0,10990.0,422284400.0,-4083.0,4083.0,-64.0,0.0,-155994200.0,156034200.0,-2470000.0,-40000.0
25/06/2026,38700.0,38500.0,200.0,0.00519481,38750.0,38750.0,38600.0,1300.0,50235000.0,0.0,0.0,1300.0,50235000.0,700.0,-900.0,0.0,200.0,26990000.0,-34740000.0,0.0,7750000.0
24/06/2026,38500.0,38600.0,-100.0,-0.00259067,38600.0,38650.0,38500.0,2002.0,77234900.0,0.0,0.0,2002.0,77234900.0,-200.0,900.0,0.0,-700.0,-7750000.0,34750000.0,0.0,-27000000.0
23/06/2026,38600.0,38800.0,-200.0,-0.00515464,38800.0,38850.0,38550.0,3041.0,117672000.0,0.0,0.0,3041.0,117672000.0,-680.0,280.0,0.0,400.0,-26402500.0,10912500.0,0.0,15490000.0
22/06/2026,38800.0,38500.0,300.0,0.00779221,38400.0,38850.0,38000.0,11242.0,434010600.0,0.0,0.0,11242.0,434010600.0,1960.0,-60.0,0.0,-1900.0,74727000.0,-2417000.0,0.0,-72310000.0
19/06/2026,38500.0,38500.0,0.0,0.0,38500.0,38500.0,38500.0,2000.0,77000000.0,0.0,0.0,2000.0,77000000.0,-300.0,1200.0,0.0,-900.0,-11550000.0,46200000.0,0.0,-34650000.0
18/06/2026,38500.0,38500.0,0.0,0.0,38550.0,38550.0,38500.0,1031.0,39765000.0,0.0,0.0,1031.0,39765000.0,-210.0,10.0,0.0,200.0,-8100000.0,390000.0,0.0,7710000.0
17/06/2026,38500.0,38800.0,-300.0,-0.00773196,38800.0,38800.0,38500.0,2400.0,93179300.0,0.0,0.0,2400.0,93179300.0,840.0,660.0,0.0,-1500.0,32490000.0,25650000.0,0.0,-58140000.0
16/06/2026,38800.0,38800.0,0.0,0.0,38800.0,38800.0,38750.0,1730.0,67110000.0,0.0,0.0,1730.0,67110000.0,10.0,-10.0,0.0,0.0,382000.0,-382000.0,0.0,0.0
15/06/2026,38800.0,38850.0,-50.0,-0.001287,38700.0,38900.0,38500.0,6404.0,246875850.0,0.0,0.0,6404.0,246875850.0,4800.0,-4800.0,0.0,0.0,184780000.0,-184780000.0,0.0,0.0
12/06/2026,38850.0,38800.0,50.0,0.00128866,38800.0,38900.0,38500.0,31084.0,1198596400.0,0.0,0.0,31084.0,1198596400.0,-4488.0,5388.0,0.0,-900.0,-173299000.0,208244000.0,0.0,-34945000.0
11/06/2026,38800.0,38800.0,0.0,0.0,38800.0,38800.0,38800.0,602.0,23357800.0,0.0,0.0,602.0,23357800.0,300.0,200.0,0.0,-500.0,11640001.0,7760000.0,0.0,-19400000.0
10/06/2026,38800.0,38750.0,50.0,0.00129032,38800.0,38850.0,38700.0,11514.0,446748700.0,0.0,0.0,11514.0,446748700.0,-1011.0,1011.0,0.0,0.0,-39222300.0,39222300.0,0.0,0.0
09/06/2026,38750.0,38700.0,50.0,0.00129199,38700.0,39000.0,38500.0,820.0,31784800.0,0.0,0.0,820.0,31784800.0,100.0,-100.0,0.0,0.0,3874800.0,-3874800.0,0.0,0.0
08/06/2026,38700.0,38650.0,50.0,0.00129366,38650.0,38700.0,38500.0,24101.0,928128700.0,0.0,0.0,24101.0,928128700.0,14600.0,-14700.0,0.0,100.0,562085001.0,-565945000.0,0.0,3860000.0
05/06/2026,38650.0,38600.0,50.0,0.00129534,38600.0,38650.0,38500.0,7455.0,287255500.0,0.0,0.0,7455.0,287255500.0,-713.0,703.0,0.0,10.0,-27532500.0,27146500.0,0.0,386000.0
04/06/2026,38600.0,38600.0,0.0,0.0,38600.0,38600.0,38600.0,100.0,3860000.0,0.0,0.0,100.0,3860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/06/2026,38600.0,38500.0,100.0,0.0025974,38700.0,38700.0,38500.0,3081.0,118886800.0,0.0,0.0,3081.0,118886800.0,-155.0,-845.0,0.0,1000.0,-5998500.0,-32601500.0,0.0,38600000.0
02/06/2026,38500.0,38600.0,-100.0,-0.00259067,38600.0,38600.0,38500.0,6722.0,259046850.0,0.0,0.0,6722.0,259046850.0,1623.0,-1583.0,0.0,-40.0,62494650.0,-60954650.0,0.0,-1540000.0
01/06/2026,38600.0,38400.0,200.0,0.00520833,38500.0,38600.0,38400.0,5536.0,212871000.0,0.0,0.0,5536.0,212871000.0,590.0,-590.0,0.0,0.0,22740000.0,-22740000.0,0.0,0.0
29/05/2026,38400.0,38050.0,350.0,0.00919842,38500.0,38800.0,38400.0,22014.0,847209800.0,0.0,0.0,22014.0,847209800.0,6287.0,-6587.0,0.0,300.0,241928600.0,-253568600.0,0.0,11640000.0
28/05/2026,38050.0,38050.0,0.0,0.0,38000.0,38050.0,38000.0,11173.0,424698850.0,0.0,0.0,11173.0,424698850.0,-6789.0,6589.0,0.0,200.0,-258086451.0,250486451.0,0.0,7600000.0
27/05/2026,38050.0,38250.0,-200.0,-0.00522876,38000.0,38300.0,38000.0,5734.0,218804500.0,0.0,0.0,5734.0,218804500.0,-1021.0,1421.0,0.0,-400.0,-38881800.0,54201800.0,0.0,-15320000.0
26/05/2026,38250.0,38000.0,249.0,0.00655246,37800.0,38400.0,37800.0,19706.0,748101700.0,0.0,0.0,19706.0,748101700.0,2687.0,-2687.0,0.0,0.0,102955800.0,-102955800.0,0.0,0.0
25/05/2026,38001.6,39350.0,-350.0,-0.00889454,38440.08,38440.08,37952.88,14531.0,570111950.0,0.0,0.0,14531.0,570111950.0,-898.0,798.0,0.0,100.0,-35371500.0,31461500.0,0.0,3910000.0
22/05/2026,38342.64,39850.0,-500.0,-0.01254705,38829.84,38927.28,38196.48,7641.0,302353200.0,0.0,0.0,7641.0,302353200.0,1084.0,-1084.0,0.0,0.0,42708150.0,-42708150.0,0.0,0.0
