NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,10300.0,10350.0,-50.0,-0.00483092,10350.0,10350.0,9630.0,58410.0,588096000.0,0.0,0.0,58410.0,588096000.0,-13890.0,13690.0,0.0,200.0,-138023000.0,135973000.0,0.0,2050000.0
27/08/2026,10350.0,10300.0,50.0,0.00485437,10400.0,10750.0,10300.0,129442.0,1355139500.0,0.0,0.0,129442.0,1355139500.0,25300.0,-24800.0,0.0,-500.0,264300000.0,-258950000.0,0.0,-5350000.0
26/08/2026,10300.0,9930.0,370.0,0.03726083,10050.0,10300.0,9970.0,235861.0,2376167150.0,4900000.0,45276000000.0,5135861.0,47652167150.0,9900.0,-9700.0,0.0,-200.0,100035000.0,-98025000.0,0.0,-2010000.0
25/08/2026,9930.0,10050.0,-120.0,-0.0119403,10000.0,10050.0,9920.0,200985.0,2004946250.0,1500000.0,14025000000.0,1700985.0,16029946250.0,-18800.0,19000.0,0.0,-200.0,-186478000.0,188488000.0,0.0,-2010000.0
24/08/2026,10050.0,10050.0,0.0,0.0,10150.0,10150.0,10000.0,84152.0,846612200.0,0.0,0.0,84152.0,846612200.0,-15200.0,15200.0,0.0,0.0,-151886900.0,151886900.0,0.0,0.0
21/08/2026,10050.0,9950.0,100.0,0.01005025,9950.0,10050.0,9950.0,49400.0,493040000.0,0.0,0.0,49400.0,493040000.0,-22200.0,21500.0,0.0,700.0,-221516000.0,214520000.0,0.0,6996000.0
20/08/2026,9950.0,10000.0,-50.0,-0.005,10000.0,10000.0,9950.0,35430.0,352647500.0,3500000.0,32550000000.0,3535430.0,32902647500.0,11800.0,-11800.0,0.0,0.0,117427500.0,-117424500.0,0.0,-3000.0
19/08/2026,10000.0,10000.0,0.0,0.0,10000.0,10100.0,9910.0,97040.0,968425600.0,0.0,0.0,97040.0,968425600.0,65230.0,-61730.0,0.0,-3500.0,651995201.0,-617261200.0,0.0,-34734000.0
18/08/2026,10000.0,10100.0,-100.0,-0.00990099,10150.0,10150.0,9980.0,75967.0,760917900.0,0.0,0.0,75967.0,760917900.0,23498.0,-15798.0,0.0,-7700.0,236089200.0,-159144200.0,0.0,-76945000.0
17/08/2026,10100.0,10350.0,-250.0,-0.02415459,10200.0,10350.0,10000.0,44320.0,450553500.0,0.0,0.0,44320.0,450553500.0,26200.0,-16700.0,0.0,-9500.0,265980000.0,-169080000.0,0.0,-96900000.0
