NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,9990.0,9990.0,0.0,0.0,9990.0,9990.0,9990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,9990.0,9500.0,490.0,0.05157895,9990.0,9990.0,9990.0,600.0,5994000.0,0.0,0.0,600.0,5994000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,9500.0,9200.0,300.0,0.0326087,9500.0,9500.0,9200.0,10601.0,99178570.0,0.0,0.0,10601.0,99178570.0,-10500.0,10500.0,0.0,0.0,-98250000.0,98250000.0,0.0,0.0
26/08/2026,9200.0,9200.0,0.0,0.0,9200.0,9200.0,9200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,9200.0,9600.0,-400.0,-0.04166667,9400.0,9400.0,9100.0,12300.0,114177000.0,0.0,0.0,12300.0,114177000.0,-11600.0,11600.0,0.0,0.0,-107739000.0,107739000.0,0.0,0.0
24/08/2026,9600.0,9600.0,0.0,0.0,9600.0,9600.0,9600.0,401.0,3849400.0,0.0,0.0,401.0,3849400.0,-100.0,100.0,0.0,0.0,-960000.0,960000.0,0.0,0.0
21/08/2026,9600.0,10300.0,-700.0,-0.06796117,9580.0,9650.0,9580.0,1300.0,12503000.0,0.0,0.0,1300.0,12503000.0,1200.0,-1200.0,0.0,0.0,11545000.0,-11545000.0,0.0,0.0
20/08/2026,10300.0,10500.0,-200.0,-0.01904762,10300.0,10300.0,10300.0,100.0,1030000.0,0.0,0.0,100.0,1030000.0,100.0,-100.0,0.0,0.0,1030000.0,-1030000.0,0.0,0.0
19/08/2026,10500.0,10550.0,-50.0,-0.00473934,9830.0,10500.0,9830.0,3136.0,30893880.0,0.0,0.0,3136.0,30893880.0,100.0,-100.0,0.0,0.0,983000.0,-983000.0,0.0,0.0
18/08/2026,10550.0,10550.0,0.0,0.0,10550.0,10550.0,10550.0,1.0,9830.0,0.0,0.0,1.0,9830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,10550.0,10300.0,250.0,0.02427184,10450.0,10550.0,10450.0,1436.0,15129050.0,0.0,0.0,1436.0,15129050.0,-1400.0,1400.0,0.0,0.0,-14760001.0,14760000.0,0.0,0.0
14/08/2026,10300.0,9770.0,530.0,0.0542477,9500.0,10300.0,9500.0,3100.0,29530000.0,0.0,0.0,3100.0,29530000.0,-2700.0,2700.0,0.0,0.0,-25570000.0,25570000.0,0.0,0.0
13/08/2026,9770.0,10500.0,-730.0,-0.06952381,9770.0,9770.0,9770.0,1000.0,9770000.0,0.0,0.0,1000.0,9770000.0,-1000.0,0.0,0.0,1000.0,-9770000.0,0.0,0.0,9770000.0
12/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,10500.0,9910.0,590.0,0.05953582,9300.0,10500.0,9300.0,1100.0,10350000.0,0.0,0.0,1100.0,10350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,9910.0,10650.0,-740.0,-0.06948357,9910.0,9910.0,9910.0,1100.0,10901000.0,0.0,0.0,1100.0,10901000.0,-1000.0,0.0,0.0,1000.0,-9910000.0,0.0,0.0,9910000.0
