NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,37000.0,37000.0,0.0,0.0,37000.0,37000.0,37000.0,500.0,18500000.0,0.0,0.0,500.0,18500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,37000.0,37800.0,-800.0,-0.02116402,37000.0,37000.0,37000.0,2004.0,74141000.0,0.0,0.0,2004.0,74141000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,37800.0,37800.0,0.0,0.0,37800.0,37800.0,37800.0,1.0,37800.0,0.0,0.0,1.0,37800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,37800.0,39100.0,-1300.0,-0.03324808,37800.0,37800.0,37800.0,1000.0,37800000.0,0.0,0.0,1000.0,37800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,39100.0,39100.0,0.0,0.0,39100.0,39100.0,39100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,39100.0,39100.0,0.0,0.0,39100.0,39100.0,39100.0,15.0,546000.0,0.0,0.0,15.0,546000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,39100.0,36600.0,2500.0,0.06830601,36600.0,39100.0,36600.0,202.0,7643100.0,0.0,0.0,202.0,7643100.0,1.0,-1.0,0.0,0.0,36550.0,-36550.0,0.0,0.0
20/08/2026,36600.0,37000.0,-400.0,-0.01081081,36600.0,36600.0,36600.0,100.0,3660000.0,0.0,0.0,100.0,3660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,37000.0,39300.0,-2300.0,-0.05852417,37000.0,37000.0,37000.0,200.0,7400000.0,0.0,0.0,200.0,7400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,39300.0,37000.0,2300.0,0.06216216,36000.0,39300.0,36000.0,759.0,27635000.0,0.0,0.0,759.0,27635000.0,33.0,-33.0,0.0,0.0,1188000.0,-1188000.0,0.0,0.0
17/08/2026,37000.0,37000.0,0.0,0.0,37000.0,37000.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,37000.0,37000.0,0.0,0.0,37000.0,37000.0,37000.0,2.0,69000.0,0.0,0.0,2.0,69000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,37000.0,37000.0,0.0,0.0,37000.0,37000.0,37000.0,871.0,32085350.0,0.0,0.0,871.0,32085350.0,800.0,-800.0,0.0,0.0,29600001.0,-29600000.0,0.0,0.0
12/08/2026,37000.0,37550.0,-550.0,-0.01464714,37000.0,37000.0,37000.0,405.0,14981850.0,0.0,0.0,405.0,14981850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,37550.0,37550.0,0.0,0.0,37550.0,37550.0,37550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,37550.0,37550.0,0.0,0.0,37500.0,37550.0,35000.0,403.0,14872650.0,0.0,0.0,403.0,14872650.0,3.0,-3.0,0.0,0.0,112650.0,-112650.0,0.0,0.0
07/08/2026,37550.0,35100.0,2450.0,0.06980057,37550.0,37550.0,35500.0,301.0,11097550.0,0.0,0.0,301.0,11097550.0,99.0,-99.0,0.0,0.0,3922450.0,-3922450.0,0.0,0.0
06/08/2026,35100.0,37500.0,-2400.0,-0.064,35100.0,35100.0,35100.0,314.0,11029250.0,0.0,0.0,314.0,11029250.0,214.0,-214.0,0.0,0.0,7519250.0,-7519250.0,0.0,0.0
05/08/2026,37500.0,37500.0,0.0,0.0,37500.0,37500.0,37500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/08/2026,37500.0,39850.0,-2350.0,-0.05897114,38000.0,38000.0,37500.0,1409.0,53252000.0,0.0,0.0,1409.0,53252000.0,0.0,0.0,0.0,0.0,150000.0,-150000.0,0.0,0.0
03/08/2026,39850.0,39850.0,0.0,0.0,39850.0,39850.0,39850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,39850.0,39900.0,-50.0,-0.00125313,37500.0,39850.0,37150.0,3010.0,113133500.0,0.0,0.0,3010.0,113133500.0,-121.0,301.0,0.0,-180.0,-4330150.0,11017150.0,0.0,-6687000.0
30/07/2026,39900.0,39900.0,0.0,0.0,39900.0,39900.0,39900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,39900.0,39900.0,0.0,0.0,37500.0,39900.0,37500.0,200.0,7740000.0,0.0,0.0,200.0,7740000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,39900.0,37600.0,2300.0,0.06117021,39900.0,39900.0,39900.0,100.0,3990000.0,0.0,0.0,100.0,3990000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/07/2026,37600.0,37600.0,0.0,0.0,37600.0,37600.0,37600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2026,37600.0,38000.0,-400.0,-0.01052632,37600.0,37600.0,37600.0,200.0,7520000.0,0.0,0.0,200.0,7520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/07/2026,38000.0,38000.0,0.0,0.0,38000.0,38000.0,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/07/2026,38000.0,38500.0,-500.0,-0.01298701,38000.0,38000.0,38000.0,302.0,11477000.0,0.0,0.0,302.0,11477000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/07/2026,38500.0,39000.0,-500.0,-0.01282051,38500.0,38500.0,38500.0,300.0,11550000.0,0.0,0.0,300.0,11550000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/07/2026,39000.0,39000.0,0.0,0.0,39000.0,39000.0,39000.0,2.0,78000.0,0.0,0.0,2.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
