NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
18/09/2026,7700.0,7430.0,270.0,0.03633917,7700.0,7700.0,7700.0,1116.0,8593200.0,0.0,0.0,1116.0,8593200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/09/2026,7430.0,7420.0,10.0,0.00134771,7390.0,7480.0,6960.0,13212.0,93897160.0,0.0,0.0,13212.0,93897160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/09/2026,7420.0,7100.0,320.0,0.04507042,7100.0,7500.0,6950.0,9804.0,70435160.0,0.0,0.0,9804.0,70435160.0,-88.0,0.0,0.0,88.0,-659120.0,0.0,0.0,659120.0
15/09/2026,7100.0,6900.0,200.0,0.02898551,6540.0,7290.0,6540.0,9402.0,64753100.0,0.0,0.0,9402.0,64753100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/09/2026,6899.76,7380.0,20.0,0.00271003,6937.056,6974.352,6610.716,17291.0,126441710.0,0.0,0.0,17291.0,126441710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/09/2026,6881.112,7500.0,-120.0,-0.016,6927.732,6983.676,6871.788,6601.0,48772200.0,0.0,0.0,6601.0,48772200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/09/2026,6993.0,7260.0,240.0,0.03305785,6853.14,6993.0,6620.04,13255.0,96187600.0,0.0,0.0,13255.0,96187600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/09/2026,6769.224,7160.0,100.0,0.01396648,6675.984,6993.0,6620.04,11204.0,80545870.0,0.0,0.0,11204.0,80545870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/09/2026,6675.984,7130.0,30.0,0.00420757,6694.632,6703.956,6545.448,15503.0,109794120.0,0.0,0.0,15503.0,109794120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/09/2026,6648.012,7140.0,-10.0,-0.00140056,6843.816,6843.816,6526.8,608189.0,4287908880.0,0.0,0.0,608189.0,4287908880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/09/2026,6657.336,7140.0,0.0,0.0,6862.464,6862.464,6573.42,5942.0,42036450.0,0.0,0.0,5942.0,42036450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,6657.336,7030.0,110.0,0.01564723,6797.196,6797.196,6582.744,6720.0,47876200.0,0.0,0.0,6720.0,47876200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,6554.772,7200.0,-170.0,-0.02361111,6759.9,6759.9,6554.772,32887.0,235389910.0,0.0,0.0,32887.0,235389910.0,-30000.0,30000.0,0.0,0.0,-214800000.0,214800000.0,0.0,0.0
27/08/2026,6713.28,7240.0,-40.0,-0.00552486,6787.872,6787.872,6610.716,23100.0,166006000.0,0.0,0.0,23100.0,166006000.0,-13600.0,13600.0,0.0,0.0,-97973000.0,97973000.0,0.0,0.0
26/08/2026,6750.576,7300.0,-60.0,-0.00821918,6685.308,6750.576,6666.66,1600.0,11485000.0,0.0,0.0,1600.0,11485000.0,1000.0,-1000.0,0.0,0.0,7170000.0,-7170000.0,0.0,0.0
25/08/2026,6806.52,7310.0,-10.0,-0.00136799,6871.788,6871.788,6629.364,22209.0,159809790.0,0.0,0.0,22209.0,159809790.0,6300.0,-6300.0,0.0,0.0,44256000.0,-44256000.0,0.0,0.0
24/08/2026,6815.844,7470.0,-160.0,-0.02141901,6965.028,7272.72,6629.364,5206.0,37579470.0,0.0,0.0,5206.0,37579470.0,2199.0,-2199.0,0.0,0.0,15549200.0,-15549200.0,0.0,0.0
21/08/2026,6965.028,7490.0,-20.0,-0.00267023,6983.676,7188.804,6582.744,9269.0,67504330.0,0.0,0.0,9269.0,67504330.0,-2099.0,2099.0,0.0,0.0,-15520400.0,15520400.0,0.0,0.0
20/08/2026,6983.676,7540.0,-50.0,-0.0066313,6713.28,6983.676,6573.42,18546.0,132039880.0,0.0,0.0,18546.0,132039880.0,-6440.0,6440.0,0.0,0.0,-46160240.0,46160240.0,0.0,0.0
19/08/2026,7030.296,7520.0,20.0,0.00265957,6983.676,7263.396,6536.124,7611.0,56855420.0,0.0,0.0,7611.0,56855420.0,-1405.0,1405.0,0.0,0.0,-11029200.0,11029200.0,0.0,0.0
18/08/2026,7011.648,7380.0,140.0,0.01897019,7020.972,7020.972,7011.648,509.0,3831500.0,0.0,0.0,509.0,3831500.0,102.0,-102.0,0.0,0.0,767040.0,-767040.0,0.0,0.0
17/08/2026,6881.112,7600.0,-220.0,-0.02894737,7151.508,7151.508,6592.068,17105.0,122202990.0,0.0,0.0,17105.0,122202990.0,-6899.0,6899.0,0.0,0.0,-49270410.0,49270410.0,0.0,0.0
14/08/2026,7086.24,7170.0,430.0,0.05997211,7086.24,7086.24,7086.24,186.0,1337920.0,0.0,0.0,186.0,1337920.0,-100.0,100.0,0.0,0.0,-760000.0,760000.0,0.0,0.0
13/08/2026,6685.308,7450.0,-280.0,-0.03758389,7114.212,7151.508,6685.308,10433.0,77658550.0,0.0,0.0,10433.0,77658550.0,-2200.0,2200.0,0.0,0.0,-15383000.0,15383000.0,0.0,0.0
12/08/2026,6946.38,7370.0,80.0,0.01085482,7067.592,7067.592,6797.196,10786.0,78846820.0,0.0,0.0,10786.0,78846820.0,-6500.0,6500.0,0.0,0.0,-47450000.0,47450000.0,0.0,0.0
11/08/2026,6871.788,7690.0,-320.0,-0.04161248,6722.604,6899.76,6675.984,7304.0,53033670.0,0.0,0.0,7304.0,53033670.0,1000.0,-1000.0,0.0,0.0,7229000.0,-7229000.0,0.0,0.0
10/08/2026,7170.156,7260.0,430.0,0.05922865,7179.48,7216.776,6993.0,1600.0,12239000.0,0.0,0.0,1600.0,12239000.0,700.0,-700.0,0.0,0.0,5351000.0,-5351000.0,0.0,0.0
07/08/2026,6769.224,7800.0,-540.0,-0.06923077,7449.876,7459.2,6769.224,28066.0,204566820.0,0.0,0.0,28066.0,204566820.0,9666.0,9100.0,0.0,-18766.0,69722820.0,66520000.0,0.0,-136242820.0
06/08/2026,7272.72,7980.0,-180.0,-0.02255639,6993.0,7310.016,6993.0,5600.0,43087000.0,0.0,0.0,5600.0,43087000.0,-200.0,200.0,0.0,0.0,-1567000.0,1567000.0,0.0,0.0
05/08/2026,7440.552,8000.0,-20.0,-0.0025,7058.268,7449.876,6937.056,5124.0,38905420.0,0.0,0.0,5124.0,38905420.0,-2438.0,2438.0,0.0,0.0,-18513721.0,18513720.0,0.0,0.0
04/08/2026,7459.2,7710.0,290.0,0.03761349,7188.804,7543.116,7188.804,1310.0,10461930.0,0.0,0.0,1310.0,10461930.0,-302.0,302.0,0.0,0.0,-2403930.0,2403930.0,0.0,0.0
03/08/2026,7188.804,7520.0,190.0,0.02526596,7449.876,7459.2,6731.928,11787.0,90016120.0,0.0,0.0,11787.0,90016120.0,-2701.0,2901.0,0.0,-200.0,-20879979.0,22379980.0,0.0,-1500000.0
31/07/2026,7011.648,7580.0,-60.0,-0.00791557,6592.068,7058.268,6573.42,16000.0,115361000.0,0.0,0.0,16000.0,115361000.0,2600.0,-2600.0,0.0,0.0,16676000.0,-16676000.0,0.0,0.0
30/07/2026,7067.592,7500.0,80.0,0.01066667,7440.552,7459.2,6508.152,6400.0,45550000.0,0.0,0.0,6400.0,45550000.0,5000.0,-5000.0,0.0,0.0,34867000.0,-34867000.0,0.0,0.0
29/07/2026,6993.0,7310.0,190.0,0.02599179,6433.56,6993.0,6340.32,28718.0,205570400.0,0.0,0.0,28718.0,205570400.0,-4962.0,4962.0,0.0,0.0,-38551601.0,38551600.0,0.0,0.0
28/07/2026,6815.844,7020.0,290.0,0.04131054,6946.38,6946.38,6433.56,5400.0,39060000.0,0.0,0.0,5400.0,39060000.0,-1800.0,1800.0,0.0,0.0,-13271000.0,13271000.0,0.0,0.0
27/07/2026,6545.448,7090.0,-70.0,-0.00987306,6256.404,6713.28,6256.404,17900.0,124512000.0,0.0,0.0,17900.0,124512000.0,-7200.0,7200.0,0.0,0.0,-49970000.0,49970000.0,0.0,0.0
24/07/2026,6610.716,7140.0,-50.0,-0.0070028,6797.196,6797.196,6526.8,3200.0,22438000.0,0.0,0.0,3200.0,22438000.0,-3200.0,3200.0,0.0,0.0,-22438000.0,22438000.0,0.0,0.0
23/07/2026,6657.336,7200.0,-60.0,-0.00833333,6853.14,6853.14,6592.068,26480.0,188383000.0,0.0,0.0,26480.0,188383000.0,-14120.0,14200.0,0.0,-80.0,-100486000.0,101022000.0,0.0,-536000.0
22/07/2026,6713.28,7270.0,-70.0,-0.00962861,6899.76,6899.76,6703.956,9100.0,65756000.0,0.0,0.0,9100.0,65756000.0,-6700.0,6700.0,0.0,0.0,-48500000.0,48500000.0,0.0,0.0
21/07/2026,6778.548,7370.0,-100.0,-0.01356852,6564.096,6778.548,6526.8,9500.0,67120000.0,0.0,0.0,9500.0,67120000.0,-6800.0,7500.0,0.0,-700.0,-47997000.0,53037000.0,0.0,-5040000.0
20/07/2026,6871.788,7560.0,-190.0,-0.02513228,6629.364,7030.296,6564.096,15280.0,108261400.0,0.0,0.0,15280.0,108261400.0,-3780.0,3700.0,0.0,80.0,-26996400.0,26350000.0,0.0,646400.0
17/07/2026,7048.944,7560.0,0.0,0.0,7048.944,7048.944,7048.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/07/2026,7048.944,7500.0,60.0,0.008,7048.944,7048.944,7048.944,410.0,3099000.0,0.0,0.0,410.0,3099000.0,-390.0,390.0,0.0,0.0,-2949000.0,2949000.0,0.0,0.0
15/07/2026,6993.0,7500.0,0.0,0.0,7067.592,7067.592,6713.28,1200.0,8708000.0,0.0,0.0,1200.0,8708000.0,-200.0,200.0,0.0,0.0,-1508000.0,1508000.0,0.0,0.0
14/07/2026,6993.0,7500.0,0.0,0.0,7095.564,7095.564,6993.0,300.0,2261000.0,0.0,0.0,300.0,2261000.0,-100.0,100.0,0.0,0.0,-761000.0,761000.0,0.0,0.0
13/07/2026,6993.0,7590.0,-90.0,-0.01185771,7160.832,7160.832,6993.0,280.0,2082800.0,0.0,0.0,280.0,2082800.0,-20.0,100.0,0.0,-80.0,-203200.0,768000.0,0.0,-564800.0
10/07/2026,7076.916,7450.0,140.0,0.01879195,7076.916,7076.916,7076.916,100.0,759000.0,0.0,0.0,100.0,759000.0,-100.0,100.0,0.0,0.0,-759000.0,759000.0,0.0,0.0
09/07/2026,6946.38,7450.0,0.0,0.0,7086.24,7104.888,6927.732,19705.0,148622000.0,0.0,0.0,19705.0,148622000.0,-2200.0,2200.0,0.0,0.0,-17129000.0,17129000.0,0.0,0.0
08/07/2026,6946.38,7730.0,-280.0,-0.03622251,7310.016,7310.016,6946.38,2000.0,14939000.0,0.0,0.0,2000.0,14939000.0,-1200.0,1200.0,0.0,0.0,-8979000.0,8979000.0,0.0,0.0
07/07/2026,7207.452,7770.0,-40.0,-0.00514801,7160.832,7244.748,6993.0,17180.0,129702000.0,0.0,0.0,17180.0,129702000.0,-3779.0,3699.0,0.0,80.0,-28582700.0,27918700.0,0.0,664000.0
