NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,18250.0,17100.0,1150.0,0.06725146,17150.0,18250.0,17100.0,3315873.0,59421411950.0,0.0,0.0,3315873.0,59421411950.0,0.0,0.0,-14957.0,1706696.0,0.0,0.0,-284557000.0,30585572450.0
28/08/2026,17100.0,16000.0,1100.0,0.06875,16000.0,17100.0,16000.0,4918056.0,82987227550.0,450000.0,7695000000.0,5368056.0,90682227550.0,-2506729.0,178491.0,223910.0,2328238.0,-42368299401.0,3018688400.0,3756779000.0,39349611000.0
27/08/2026,16000.0,16000.0,0.0,0.0,15850.0,16050.0,15750.0,2160042.0,34330771850.0,0.0,0.0,2160042.0,34330771850.0,206554.0,-88861.0,-219540.0,-117693.0,3272617850.0,-1403408800.0,-3480546000.0,-1869209050.0
26/08/2026,16000.0,15850.0,150.0,0.00946372,15900.0,16000.0,15700.0,2048692.0,32478859550.0,12520000.0,198442000000.0,14568692.0,230920859550.0,-95119.0,138401.0,244675.0,-43282.0,-1522542050.0,2203519350.0,3899059000.0,-680977300.0
25/08/2026,15850.0,15500.0,350.0,0.02258065,15550.0,16050.0,15500.0,2264839.0,35710055950.0,8270000.0,129012000000.0,10534839.0,164722055950.0,-72518.0,119269.0,-109420.0,-46751.0,-1154451450.0,1884115550.0,-1717645000.0,-729664100.0
24/08/2026,15500.0,15300.0,200.0,0.0130719,15500.0,15500.0,15200.0,2274170.0,35056687800.0,0.0,0.0,2274170.0,35056687800.0,58424.0,-133124.0,-286000.0,74700.0,897320650.0,-2048800650.0,-4395845000.0,1151480000.0
21/08/2026,15300.0,15100.0,200.0,0.01324503,15000.0,15300.0,14850.0,2243154.0,33788270500.0,0.0,0.0,2243154.0,33788270500.0,15614.0,151086.0,225640.0,-166700.0,204683350.0,2298486650.0,3447951000.0,-2503170000.0
20/08/2026,15100.0,15050.0,50.0,0.00332226,15100.0,15100.0,14900.0,2557431.0,38426008200.0,0.0,0.0,2557431.0,38426008200.0,173655.0,334740.0,428000.0,-508395.0,2599238550.0,5042682700.0,6448255000.0,-7641921250.0
19/08/2026,15050.0,15050.0,0.0,0.0,15100.0,15100.0,14750.0,2402385.0,35783131800.0,0.0,0.0,2402385.0,35783131800.0,242384.0,122837.0,232090.0,-365221.0,3608300501.0,1821241600.0,3459122000.0,-5429542100.0
18/08/2026,15050.0,15200.0,-150.0,-0.00986842,15250.0,15300.0,14850.0,1915033.0,28770154750.0,0.0,0.0,1915033.0,28770154750.0,439504.0,-52404.0,-180300.0,-387100.0,6588289900.0,-786454900.0,-2700145000.0,-5801835000.0
17/08/2026,15200.0,15050.0,150.0,0.00996678,15050.0,15250.0,15000.0,2066879.0,31245072750.0,0.0,0.0,2066879.0,31245072750.0,144559.0,248741.0,239200.0,-393300.0,2173242300.0,3772072700.0,3630685000.0,-5945315000.0
14/08/2026,15050.0,15200.0,-150.0,-0.00986842,15150.0,15350.0,14800.0,2408590.0,36300233650.0,0.0,0.0,2408590.0,36300233650.0,642463.0,-92963.0,-56515.0,-549500.0,9631044851.0,-1363029850.0,-799167000.0,-8268015000.0
13/08/2026,15200.0,15450.0,-250.0,-0.01618123,15450.0,15500.0,15200.0,1889342.0,28989799650.0,0.0,0.0,1889342.0,28989799650.0,415415.0,-64315.0,24500.0,-351100.0,6350120950.0,-968075950.0,388740000.0,-5382045000.0
12/08/2026,15450.0,15400.0,50.0,0.00324675,15450.0,15550.0,15300.0,1948058.0,30134608350.0,0.0,0.0,1948058.0,30134608350.0,-183963.0,266863.0,357720.0,-82900.0,-2853288150.0,4132708150.0,5538943000.0,-1279420000.0
11/08/2026,15400.0,15250.0,150.0,0.00983607,15250.0,15450.0,15250.0,1903079.0,29193428450.0,0.0,0.0,1903079.0,29193428450.0,-38168.0,44568.0,59100.0,-6400.0,-587815150.0,685025150.0,908870000.0,-97210000.0
10/08/2026,15250.0,15050.0,200.0,0.01328904,15050.0,15300.0,14800.0,2229378.0,33809953100.0,0.0,0.0,2229378.0,33809953100.0,-48742.0,-7048.0,172615.0,55790.0,-764199500.0,-76025500.0,2627045000.0,840225000.0
07/08/2026,15050.0,15200.0,-150.0,-0.00986842,15200.0,15200.0,15050.0,2028320.0,30629934250.0,0.0,0.0,2028320.0,30629934250.0,136901.0,-79801.0,-34300.0,-57100.0,2062128050.0,-1200808050.0,-515025000.0,-861320000.0
06/08/2026,15200.0,15350.0,-150.0,-0.00977199,15300.0,15300.0,15050.0,2109321.0,31971333550.0,34300000.0,555660000000.0,36409321.0,587631333550.0,205875.0,-80875.0,-138300.0,-125000.0,3124475250.0,-1226385250.0,-2096505000.0,-1898090000.0
05/08/2026,15350.0,15450.0,-100.0,-0.00647249,15400.0,15400.0,15150.0,2158429.0,33011113700.0,0.0,0.0,2158429.0,33011113700.0,356823.0,-313623.0,-161400.0,-43200.0,5435102201.0,-4781672200.0,-2458420000.0,-653430000.0
04/08/2026,15450.0,15550.0,-100.0,-0.00643087,15500.0,15500.0,15200.0,2213998.0,33941196050.0,128200.0,1994920000.0,2342198.0,35936116050.0,406229.0,-356429.0,-62100.0,-49800.0,6228900750.0,-5458685750.0,-957735000.0,-770215000.0
03/08/2026,15550.0,15550.0,0.0,0.0,15550.0,15550.0,15400.0,2218414.0,34360141200.0,0.0,0.0,2218414.0,34360141200.0,-38509.0,-136786.0,152300.0,175295.0,-608841500.0,-2105416250.0,2364010000.0,2714257750.0
31/07/2026,15550.0,15550.0,0.0,0.0,15650.0,15650.0,15350.0,2150231.0,33277969700.0,11534541.0,184552656000.0,13684772.0,217830625700.0,-244108.0,220408.0,-47771.0,23700.0,-3809284550.0,3447704550.0,-720507000.0,361580000.0
30/07/2026,15550.0,15400.0,150.0,0.00974026,15300.0,15550.0,15050.0,2196479.0,33687747300.0,0.0,0.0,2196479.0,33687747300.0,243362.0,-252162.0,-215300.0,8800.0,3722157699.0,-3857427700.0,-3281380000.0,135270000.0
29/07/2026,15400.0,15550.0,-150.0,-0.0096463,15400.0,15500.0,14950.0,2058171.0,31490252000.0,0.0,0.0,2058171.0,31490252000.0,450727.0,-315927.0,-204500.0,-134800.0,6886394200.0,-4816564200.0,-3120735000.0,-2069830000.0
28/07/2026,15550.0,15550.0,0.0,0.0,15400.0,15550.0,15350.0,2080772.0,32250666850.0,0.0,0.0,2080772.0,32250666850.0,40882.0,16818.0,-31200.0,-57700.0,637400900.0,256994100.0,-481295000.0,-894395000.0
27/07/2026,15550.0,15400.0,150.0,0.00974026,15450.0,15550.0,15300.0,1845174.0,28600176050.0,0.0,0.0,1845174.0,28600176050.0,-62401.0,38801.0,59400.0,23600.0,-976803700.0,610928700.0,930960000.0,365875000.0
24/07/2026,15400.0,15650.0,-250.0,-0.01597444,15450.0,15600.0,15250.0,1962194.0,30199703850.0,0.0,0.0,1962194.0,30199703850.0,140463.0,-283063.0,-222300.0,142600.0,2164587150.0,-4352702150.0,-3417280000.0,2188115000.0
23/07/2026,15650.0,15650.0,0.0,0.0,15600.0,15800.0,15350.0,2317633.0,36184572600.0,15228800.0,243660800000.0,17546433.0,279845372600.0,204462.0,-193462.0,-258000.0,-11000.0,3183908900.0,-3012883900.0,-4007510000.0,-171025000.0
22/07/2026,15650.0,15650.0,0.0,0.0,15650.0,15750.0,15050.0,2775190.0,43169511200.0,0.0,0.0,2775190.0,43169511200.0,1031.0,161569.0,199122.0,-162600.0,-27979900.0,2560619900.0,3150509000.0,-2532640000.0
21/07/2026,15650.0,15750.0,-100.0,-0.00634921,15800.0,15800.0,15500.0,2200110.0,34436503550.0,2140377.0,33389881200.0,4340487.0,67826384750.0,58214.0,-30414.0,48000.0,-27800.0,910535550.0,-477695550.0,760255000.0,-432840000.0
20/07/2026,15750.0,15950.0,-200.0,-0.01253918,15900.0,15900.0,15250.0,2323912.0,36495416800.0,0.0,0.0,2323912.0,36495416800.0,-43164.0,216564.0,299700.0,-173400.0,-765816649.0,3446681650.0,4769430000.0,-2680865000.0
17/07/2026,15950.0,16000.0,-50.0,-0.003125,16000.0,16050.0,15450.0,2332319.0,36677795700.0,3890000.0,62240000000.0,6222319.0,98917795700.0,803416.0,-578816.0,-337871.0,-224600.0,12593137650.0,-9030412650.0,-5322147000.0,-3562725000.0
16/07/2026,16000.0,15800.0,200.0,0.01265823,15800.0,16000.0,15650.0,2059677.0,32540333550.0,24000000.0,386400000000.0,26059677.0,418940333550.0,-225418.0,254021.0,278600.0,-28603.0,-3576390650.0,4024947450.0,4423270000.0,-448556800.0
15/07/2026,15800.0,15900.0,-100.0,-0.00628931,15900.0,15900.0,15600.0,2092188.0,32944004950.0,0.0,0.0,2092188.0,32944004950.0,103111.0,-58011.0,19500.0,-45100.0,1623473650.0,-908643650.0,314055000.0,-714830000.0
14/07/2026,15900.0,15650.0,250.0,0.01597444,15650.0,15900.0,15250.0,2119633.0,32975622450.0,0.0,0.0,2119633.0,32975622450.0,-36337.0,35240.0,-28900.0,1097.0,-529701551.0,541672600.0,-457250000.0,-11971050.0
13/07/2026,15650.0,16250.0,-600.0,-0.03692308,16200.0,16250.0,15450.0,2494922.0,39567186050.0,5160000.0,84624000000.0,7654922.0,124191186050.0,235547.0,-15847.0,65400.0,-219700.0,3686548450.0,-178858450.0,1121825000.0,-3507690000.0
10/07/2026,16250.0,15950.0,300.0,0.01880878,15700.0,16250.0,15650.0,2248632.0,35856153050.0,0.0,0.0,2248632.0,35856153050.0,-50420.0,-117880.0,23700.0,168300.0,-794650550.0,-1887754450.0,382400000.0,2682405000.0
09/07/2026,15950.0,16400.0,-450.0,-0.02743902,16350.0,16400.0,15850.0,2243931.0,36181402650.0,20218900.0,325524290000.0,22462831.0,361705692650.0,207622.0,134678.0,51350.0,-342300.0,3330603849.0,2159376150.0,840030000.0,-5489980000.0
08/07/2026,16400.0,16400.0,0.0,0.0,16400.0,16400.0,16250.0,2277360.0,37185107550.0,0.0,0.0,2277360.0,37185107550.0,-13296.0,-100304.0,-59500.0,113600.0,-218045500.0,-1636959500.0,-970005000.0,1855005000.0
07/07/2026,16400.0,16400.0,0.0,0.0,16400.0,16400.0,16150.0,2170434.0,35446747450.0,0.0,0.0,2170434.0,35446747450.0,-459445.0,-36055.0,78950.0,495500.0,-7504465650.0,-587739350.0,1290023000.0,8092205000.0
06/07/2026,16400.0,16500.0,-100.0,-0.00606061,16500.0,16500.0,16050.0,2428284.0,39862117100.0,0.0,0.0,2428284.0,39862117100.0,-346874.0,-65726.0,5910.0,412600.0,-5689229300.0,-1075630700.0,100156000.0,6764860000.0
03/07/2026,16500.0,16500.0,0.0,0.0,16500.0,16500.0,16350.0,2094504.0,34390272100.0,0.0,0.0,2094504.0,34390272100.0,-279069.0,-41931.0,85400.0,321000.0,-4581052800.0,-689247200.0,1403890000.0,5270300000.0
02/07/2026,16500.0,16500.0,0.0,0.0,16450.0,16550.0,16300.0,2238279.0,36684538950.0,0.0,0.0,2238279.0,36684538950.0,-83757.0,-138043.0,-185640.0,221800.0,-1384396650.0,-2259568350.0,-3042026000.0,3643965000.0
01/07/2026,16500.0,16200.0,300.0,0.01851852,16200.0,16500.0,15900.0,3218435.0,52115273100.0,28200000.0,459660000000.0,31418435.0,511775273100.0,71878.0,-423178.0,-82262.0,351300.0,1189647550.0,-6891677550.0,-1337423000.0,5702030000.0
30/06/2026,16200.0,16150.0,50.0,0.00309598,16150.0,16200.0,15700.0,2976833.0,47550430900.0,0.0,0.0,2976833.0,47550430900.0,-52695.0,-89205.0,80430.0,141900.0,-814850500.0,-1439119500.0,1280280000.0,2253970000.0
