NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,22000.0,22000.0,0.0,0.0,22000.0,22000.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,22000.0,22000.0,0.0,0.0,22000.0,22000.0,22000.0,200.0,4400000.0,0.0,0.0,200.0,4400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,22000.0,22000.0,0.0,0.0,22000.0,22000.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,22000.0,22000.0,0.0,0.0,22000.0,22000.0,22000.0,100.0,2200000.0,0.0,0.0,100.0,2200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,22000.0,21900.0,100.0,0.00456621,22100.0,22100.0,22000.0,200.0,4410000.0,0.0,0.0,200.0,4410000.0,-200.0,200.0,0.0,0.0,-4410000.0,4410000.0,0.0,0.0
24/08/2026,21900.0,21900.0,0.0,0.0,21900.0,21900.0,21900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,21900.0,21900.0,0.0,0.0,21900.0,21900.0,21900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,21900.0,21900.0,0.0,0.0,21900.0,21900.0,21900.0,14.0,285600.0,0.0,0.0,14.0,285600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,21900.0,21900.0,0.0,0.0,21900.0,21900.0,21900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,21900.0,21100.0,800.0,0.03791469,21900.0,21900.0,21900.0,100.0,2190000.0,0.0,0.0,100.0,2190000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
