NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,21050.0,20900.0,150.0,0.00717703,21000.0,21200.0,20950.0,11585560.0,244164642600.0,0.0,0.0,11585560.0,244164642600.0,0.0,205000.0,205000.0,-565330.0,0.0,4325870000.0,4325870000.0,-11894913600.0
03/09/2026,20900.0,21350.0,-450.0,-0.02107728,21100.0,21350.0,20900.0,21978996.0,463791507600.0,100003.0,2280059700.0,22078999.0,466071567300.0,1526401.0,0.0,-542900.0,-983501.0,32310460150.0,0.0,-11462065000.0,-20848395150.0
28/08/2026,21350.0,21400.0,-50.0,-0.00233645,21300.0,21600.0,21300.0,20315050.0,435099318050.0,0.0,0.0,20315050.0,435099318050.0,4467764.0,-3153262.0,-2227800.0,-1314502.0,95696683850.0,-67584490150.0,-47744645000.0,-28112193700.0
27/08/2026,21400.0,21650.0,-250.0,-0.01154734,21750.0,21750.0,21350.0,15979416.0,343227995600.0,6253502.0,136279840300.0,22232918.0,479507835900.0,2324893.0,-350420.0,-1197100.0,-1974473.0,49949212500.0,-7443724350.0,-25692385000.0,-42505488150.0
26/08/2026,21650.0,21250.0,400.0,0.01882353,21100.0,21650.0,21100.0,27981985.0,600213085300.0,0.0,0.0,27981985.0,600213085300.0,-674404.0,-1251496.0,146000.0,1925900.0,-14447586150.0,-26784108850.0,3147650000.0,41231695000.0
25/08/2026,21250.0,21250.0,0.0,0.0,21250.0,21500.0,21100.0,30692826.0,653241535900.0,6000001.0,122382019800.0,36692827.0,775623555700.0,-2872496.0,1720308.0,-69200.0,1152188.0,-61053368900.0,36426024500.0,-1504635000.0,24627344400.0
24/08/2026,21250.0,20750.0,500.0,0.02409639,21400.0,21600.0,21100.0,32490519.0,692549615750.0,900001.0,19800019300.0,33390520.0,712349635050.0,-2873681.0,1024365.0,-174100.0,1849316.0,-61043472151.0,21716607950.0,-3715945000.0,39326864200.0
21/08/2026,20750.0,19400.0,1350.0,0.06958763,19700.0,20750.0,19650.0,38749002.0,786443934750.0,7480001.0,151887020000.0,46229003.0,938330954750.0,-5053801.0,1582243.0,-522500.0,3471558.0,-104430056750.0,32664564250.0,-10962305000.0,71765492500.0
20/08/2026,19400.0,19400.0,0.0,0.0,19600.0,19700.0,19400.0,11063459.0,216085967000.0,1500000.0,30514500000.0,12563459.0,246600467000.0,3534106.0,132820.0,-43700.0,-3666926.0,68970922200.0,2594399700.0,-845550000.0,-71565321900.0
19/08/2026,19400.0,19500.0,-100.0,-0.00512821,19500.0,19600.0,19200.0,11111186.0,215021775150.0,5956801.0,121062667750.0,17067987.0,336084442900.0,1938848.0,301257.0,341400.0,-2240105.0,37544874650.0,5820569600.0,6558700000.0,-43365444250.0
18/08/2026,19500.0,19800.0,-300.0,-0.01515152,19800.0,19900.0,19300.0,15322681.0,300528107650.0,1500000.0,30750000000.0,16822681.0,331278107650.0,2990219.0,311420.0,-75420.0,-3301639.0,59063724649.0,6055933650.0,-1485373000.0,-65119658300.0
17/08/2026,19800.0,19600.0,218.0,0.01113267,19800.0,20100.0,19700.0,18245055.0,363049953700.0,5356802.0,109814436500.0,23601857.0,472864390200.0,5163036.0,-2455509.0,-338700.0,-2707527.0,102668475750.0,-48839132750.0,-6737740000.0,-53829343000.0
14/08/2026,19582.85,25000.0,-500.0,-0.02,19942.535,19942.535,19422.99,34046434.0,838982158850.0,244002.0,6100046500.0,34290436.0,845082205350.0,-2343991.0,1998106.0,144700.0,345885.0,-57357111400.0,48995487800.0,3471100000.0,8361623600.0
