NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,74500.0,75500.0,-1000.0,-0.01324503,75200.0,75900.0,74300.0,2407916.0,180385341800.0,2160002.0,153452151000.0,4567918.0,333837492800.0,0.0,0.0,-159600.0,-566617.0,0.0,0.0,-11817620000.0,-42438545000.0
28/08/2026,75500.0,73500.0,2000.0,0.02721088,74000.0,76600.0,74000.0,9133124.0,691361014700.0,517000.0,35776400000.0,9650124.0,727137414700.0,-3569820.0,2527529.0,1600.0,1042291.0,-270967892200.0,192362346700.0,337770000.0,78605545500.0
27/08/2026,73500.0,74600.0,-1100.0,-0.01474531,74300.0,75500.0,73500.0,2709315.0,202514597800.0,1250000.0,87500000000.0,3959315.0,290014597800.0,-425273.0,259473.0,-192600.0,165800.0,-31671079700.0,19423539700.0,-14374790000.0,12247540000.0
26/08/2026,74600.0,74200.0,400.0,0.00539084,74500.0,75200.0,73800.0,3362290.0,250268037500.0,1025000.0,70827500000.0,4387290.0,321095537500.0,143145.0,566598.0,247600.0,-709743.0,10343375300.0,42312318300.0,18500590000.0,-52655693600.0
25/08/2026,74200.0,74900.0,-700.0,-0.00934579,75200.0,75400.0,74100.0,3354628.0,250355019400.0,1612000.0,112356400000.0,4966628.0,362711419400.0,302558.0,366565.0,-127300.0,-669123.0,22588756300.0,27418600600.0,-9523110000.0,-50007356900.0
24/08/2026,74900.0,74700.0,200.0,0.00267738,75200.0,75400.0,74800.0,1340330.0,100654475500.0,4609000.0,329808500000.0,5949330.0,430462975500.0,152014.0,-32671.0,-117800.0,-119343.0,11412782300.0,-2466337100.0,-8841850000.0,-8946445200.0
21/08/2026,74700.0,74500.0,200.0,0.00268456,74600.0,75400.0,74100.0,1955158.0,146283137700.0,996000.0,70207600000.0,2951158.0,216490737700.0,-129715.0,365915.0,185100.0,-236200.0,-9784349601.0,27491769600.0,13947550000.0,-17707420000.0
20/08/2026,74500.0,74800.0,-300.0,-0.0040107,75000.0,75800.0,73600.0,2239384.0,166936042100.0,4472000.0,314226600000.0,6711384.0,481162642100.0,325937.0,304111.0,531300.0,-630048.0,24092946400.0,22725308000.0,39765180000.0,-46818254400.0
19/08/2026,74800.0,75200.0,-400.0,-0.00531915,75300.0,76000.0,74100.0,4939277.0,373000886800.0,0.0,0.0,4939277.0,373000886800.0,2176656.0,-554790.0,-4000.0,-1621866.0,164522203200.0,-41979780000.0,-460300000.0,-122542423200.0
18/08/2026,75200.0,74200.0,1000.0,0.01347709,74400.0,76000.0,73700.0,4727885.0,355629261500.0,3272000.0,229291000000.0,7999885.0,584920261500.0,1252819.0,-792420.0,-466000.0,-460399.0,94296332600.0,-59667396700.0,-34992150000.0,-34628935900.0
17/08/2026,74200.0,72300.0,1900.0,0.02627939,72500.0,75000.0,72500.0,3944957.0,292706047200.0,0.0,0.0,3944957.0,292706047200.0,670585.0,-415785.0,160300.0,-254800.0,49989425200.0,-30995935200.0,11730940000.0,-18993490000.0
